6373_65772_000000_000000	"I have this morning heard of the death of my darling Eddie....	"I have this morning heard of the death of my darling Eddie....	false	0	2.61	20.912193
6373_65772_000000_000001	Can you give me any circumstances or particulars?...	Can you give me any circumstances or particulars?...	false	2.61	3.45	9
6373_65772_000000_000002	Oh! do not desert your poor friend in his bitter affliction!...	Oh! do not desert your poor friend in his bitter affliction!...	false	3.45	4.32	32.85959
6373_65772_000000_000003	Ask Mr. ---- to come, as I must deliver a message to him from my poor Eddie....	Ask mr ---- to come, as I must deliver a message to him from my poor Eddie....	false	4.32	5.04	15
6373_65772_000000_000004	I need not ask you to notice his death and to speak well of him.	I need not ask you to notice his death and to speak well of him.	false	5.04	5.73	6
6373_65772_000000_000005	I know you will.	I know you will.	false	5.73	5.91	4
6373_65772_000000_000006	But say what an affectionate son he was to me, his poor desolate mother..."	But say what an affectionate son he was to me, his poor desolate mother..."	false	5.91	6.57	-12
6373_65772_000001_000000	To hedge round a grave with respect, what choice is there, between the relinquished wealth and honors of the world, and the story of such a woman's unrewarded devotion!	To hedge round a grave with respect, what choice is there, between the relinquished wealth and honors of the world, and the story of such a woman's unrewarded devotion!	false	6.57	8.22	18.851519
6373_65772_000001_000001	Risking what we do, in delicacy, by making it public, we feel--other reasons aside--that it betters the world to make known that there are such ministrations to its erring and gifted. What we have said will speak to some hearts.	Risking what we do, in delicacy, by making it public, we feel-other reasons aside-that it betters the world to make known that there are such ministrations to its erring and gifted. What we have said will speak to some hearts.	false	8.22	11.19	22.213991
6373_65772_000001_000002	There are those who will be glad to know how the lamp, whose light of poetry has beamed on their far-away recognition, was watched over with care and pain, that they may send to her, who is more darkened than they by its extinction, some token of their sympathy.	There are those who will be glad to know how the lamp, whose light of poetry has beamed on their far away recognition, was watched over with care and pain, that they may send to her, who is more darkened than they by its extinction, some token of their sympathy.	false	11.19	15	20.974861
6373_65772_000001_000003	She is destitute and alone.	She is destitute and alone.	false	15	16.08	14
6373_65772_000001_000004	If any, far or near, will send to us what may aid and cheer her through the remainder of her life, we will joyfully place it in her hands.	If any, far or near, will send to us what may aid and cheer her through the remainder of her life, we will joyfully place it in her hands.	false	16.08	25.725	20.645657
6373_65772_000002_000000	THE UNPARALLELED ADVENTURES OF ONE HANS PFAAL (*1)	THE UNPARALLELED ADVENTURES OF ONE HANS p f a a l (asterisk one)	false	25.725	30.21	21.559881
6373_65772_000003_000000	BY late accounts from Rotterdam, that city seems to be in a high state of philosophical excitement.	BY late accounts from Rotterdam, that city seems to be in a high state of philosophical excitement.	true	30.21	36.79	16
6373_65772_000003_000001	Indeed, phenomena have there occurred of a nature so completely unexpected--so entirely novel--so utterly at variance with preconceived opinions--as to leave no doubt on my mind that long ere this all Europe is in an uproar, all physics in a ferment, all reason and astronomy together by the ears.	Indeed, phenomena have there occurred of a nature so completely unexpected-so entirely novel-so utterly at variance with preconceived opinions-as to leave no doubt on my mind that long ere this all Europe is in an uproar, all physics in a ferment, all reason and astronomy together by the ears.	true	36.98	59.95	21.675522
6373_65772_000004_000000	It appears that on the---- day of---- (I am not positive about the date), a vast crowd of people, for purposes not specifically mentioned, were assembled in the great square of the Exchange in the well-conditioned city of Rotterdam.	It appears that on the---- day of---- (I am not positive about the date), a vast crowd of people, for purposes not specifically mentioned, were assembled in the great square of the Exchange in the well conditioned city of Rotterdam.	false	60.26	76.45	22.56635
6373_65772_000004_000001	The day was warm--unusually so for the season--there was hardly a breath of air stirring; and the multitude were in no bad humor at being now and then besprinkled with friendly showers of momentary duration, that fell from large white masses of cloud which chequered in a fitful manner the blue vault of the firmament.	The day was warm-unusually so for the season-there was hardly a breath of air stirring; and the multitude were in no bad humor at being now and then besprinkled with friendly showers of momentary duration, that fell from large white masses of cloud which chequered in a fitful manner the blue vault of the firmament.	true	77	97.75	22.569214
6373_65772_000004_000002	Nevertheless, about noon, a slight but remarkable agitation became apparent in the assembly: the clattering of ten thousand tongues succeeded; and, in an instant afterward, ten thousand faces were upturned toward the heavens, ten thousand pipes descended simultaneously from the corners of ten thousand mouths, and a shout, which could be compared to nothing but the roaring of Niagara, resounded long, loudly, and furiously, through all the environs of Rotterdam.	Nevertheless, about noon, a slight but remarkable agitation became apparent in the assembly: the clattering of ten thousand tongues succeeded; and, in an instant afterward, ten thousand faces were upturned toward the heavens, ten thousand pipes descended simultaneously from the corners of ten thousand mouths, and a shout, which could be compared to nothing but the roaring of Niagara, resounded long, loudly, and furiously, through all the environs of Rotterdam.	true	98	130.99	21.541973
6373_65772_000005_000000	The origin of this hubbub soon became sufficiently evident.	The origin of this hubbub soon became sufficiently evident.	true	131.21	135.1	18
6373_65772_000005_000001	From behind the huge bulk of one of those sharply-defined masses of cloud already mentioned, was seen slowly to emerge into an open area of blue space, a queer, heterogeneous, but apparently solid substance, so oddly shaped, so whimsically put together, as not to be in any manner comprehended, and never to be sufficiently admired, by the host of sturdy burghers who stood open-mouthed below.	From behind the huge bulk of one of those sharply defined masses of cloud already mentioned, was seen slowly to emerge into an open area of blue space, a queer, heterogeneous, but apparently solid substance, so oddly shaped, so whimsically put together, as not to be in any manner comprehended, and never to be sufficiently admired, by the host of sturdy burghers who stood open mouthed below.	true	135.35	163.6	21.296091
6373_65772_000005_000002	What could it be?	What could it be?	true	164.24	165.85	21
6373_65772_000005_000003	In the name of all the vrows and devils in Rotterdam, what could it possibly portend?	In the name of all the v rows and devils in Rotterdam, what could it possibly portend?	false	166.25	172.84	20.648964
6373_65772_000005_000004	No one knew, no one could imagine; no one--not even the burgomaster Mynheer Superbus Von Underduk--had the slightest clew by which to unravel the mystery; so, as nothing more reasonable could be done, every one to a man replaced his pipe carefully in the corner of his mouth, and cocking up his right eye towards the phenomenon, puffed, paused, waddled about, and grunted significantly--then waddled back, grunted, paused, and finally--puffed again.	No one knew, no one could imagine; no one-not even the burgomaster Mynheer Superbus Von Underduk-had the slightest clew by which to unravel the mystery; so, as nothing more reasonable could be done, every one to a man replaced his pipe carefully in the corner of his mouth, and cocking up his right eye towards the phenomenon, puffed, paused, waddled about, and grunted significantly-then waddled back, grunted, paused, and finally-puffed again.	false	173.54	208.09	20.697159
6373_65772_000006_000000	In the meantime, however, lower and still lower toward the goodly city, came the object of so much curiosity, and the cause of so much smoke.	In the meantime, however, lower and still lower toward the goodly city, came the object of so much curiosity, and the cause of so much smoke.	true	209.3	219.28	22
6373_65772_000006_000001	In a very few minutes it arrived near enough to be accurately discerned.	In a very few minutes it arrived near enough to be accurately discerned.	true	219.56	223.99	20
6373_65772_000006_000002	It appeared to be--yes! it was undoubtedly a species of balloon; but surely no such balloon had ever been seen in Rotterdam before.	It appeared to be-yes! it was undoubtedly a species of balloon; but surely no such balloon had ever been seen in Rotterdam before.	true	224.15	233.98	20.294561
6373_65772_000006_000003	For who, let me ask, ever heard of a balloon manufactured entirely of dirty newspapers? No man in Holland certainly; yet here, under the very noses of the people, or rather at some distance above their noses was the identical thing in question, and composed, I have it on the best authority, of the precise material which no one had ever before known to be used for a similar purpose.	For who, let me ask, ever heard of a balloon manufactured entirely of dirty newspapers? No man in Holland certainly; yet here, under the very noses of the people, or rather at some distance above their noses was the identical thing in question, and composed, I have it on the best authority, of the precise material which no one had ever before known to be used for a similar purpose.	true	234.17	261.13	20
6373_65772_000006_000004	It was an egregious insult to the good sense of the burghers of Rotterdam.	It was an egregious insult to the good sense of the burghers of Rotterdam.	true	261.56	265.9	15
6373_65772_000006_000005	As to the shape of the phenomenon, it was even still more reprehensible.	As to the shape of the phenomenon, it was even still more reprehensible.	true	266.33	271.18	18
6373_65772_000006_000006	Being little or nothing better than a huge foolscap turned upside down.	Being little or nothing better than a huge foolscap turned upside down.	true	271.52	276.16	15
6373_65772_000006_000007	And this similitude was regarded as by no means lessened when, upon nearer inspection, there was perceived a large tassel depending from its apex, and, around the upper rim or base of the cone, a circle of little instruments, resembling sheep-bells, which kept up a continual tinkling to the tune of Betty Martin.	And this similitude was regarded as by no means lessened when, upon nearer inspection, there was perceived a large tassel depending from its apex, and, around the upper rim or base of the cone, a circle of little instruments, resembling sheep bells, which kept up a continual tinkling to the tune of Betty Martin.	true	276.47	297.64	20
6373_65772_000006_000008	But still worse. Suspended by blue ribbons to the end of this fantastic machine, there hung, by way of car, an enormous drab beaver hat, with a brim superlatively broad, and a hemispherical crown with a black band and a silver buckle.	But still worse. Suspended by blue ribbons to the end of this fantastic machine, there hung, by way of car, an enormous drab beaver hat, with a brim superlatively broad, and a hemispherical crown with a black band and a silver buckle.	true	298.04	315.97	21.475187
6373_65772_000006_000009	It is, however, somewhat remarkable that many citizens of Rotterdam swore to having seen the same hat repeatedly before; and indeed the whole assembly seemed to regard it with eyes of familiarity; while the vrow Grettel Pfaall, upon sight of it, uttered an exclamation of joyful surprise, and declared it to be the identical hat of her good man himself.	It is, however, somewhat remarkable that many citizens of Rotterdam swore to having seen the same hat repeatedly before; and indeed the whole assembly seemed to regard it with eyes of familiarity; while the v r o w Grettel Pfaall, upon sight of it, uttered an exclamation of joyful surprise, and declared it to be the identical hat of her good man himself.	false	316.22	340.18	20
6373_65772_000006_000010	Now this was a circumstance the more to be observed, as Pfaall, with three companions, had actually disappeared from Rotterdam about five years before, in a very sudden and unaccountable manner, and up to the date of this narrative all attempts had failed of obtaining any intelligence concerning them whatsoever.	Now this was a circumstance the more to be observed, as Pfaall, with three companions, had actually disappeared from Rotterdam about five years before, in a very sudden and unaccountable manner, and up to the date of this narrative all attempts had failed of obtaining any intelligence concerning them whatsoever.	false	340.4	361.12	18
6373_65772_000006_000011	To be sure, some bones which were thought to be human, mixed up with a quantity of odd-looking rubbish, had been lately discovered in a retired situation to the east of Rotterdam, and some people went so far as to imagine that in this spot a foul murder had been committed, and that the sufferers were in all probability Hans Pfaall and his associates.	To be sure, some bones which were thought to be human, mixed up with a quantity of odd looking rubbish, had been lately discovered in a retired situation to the east of Rotterdam, and some people went so far as to imagine that in this spot a foul murder had been committed, and that the sufferers were in all probability Hans Pfaall and his associates.	false	361.46	382.33	17
6373_65772_000006_000012	But to return.	But to return.	true	382.67	383.98	22.962315
6373_65772_000007_000000	The balloon (for such no doubt it was) had now descended to within a hundred feet of the earth, allowing the crowd below a sufficiently distinct view of the person of its occupant.	The balloon (for such no doubt it was) had now descended to within a hundred feet of the earth, allowing the crowd below a sufficiently distinct view of the person of its occupant.	true	384.32	395.92	21.55664
6373_65772_000007_000001	This was in truth a very droll little somebody.	This was in truth a very droll little somebody.	true	396.2	399.61	15
6373_65772_000007_000002	He could not have been more than two feet in height; but this altitude, little as it was, would have been sufficient to destroy his equilibrium, and tilt him over the edge of his tiny car, but for the intervention of a circular rim reaching as high as the breast, and rigged on to the cords of the balloon.	He could not have been more than two feet in height; but this altitude, little as it was, would have been sufficient to destroy his equilibrium, and tilt him over the edge of his tiny car, but for the intervention of a circular rim reaching as high as the breast, and rigged on to the cords of the balloon.	true	399.8	418.48	21.30953
6373_65772_000007_000003	The body of the little man was more than proportionately broad, giving to his entire figure a rotundity highly absurd.	The body of the little man was more than proportionately broad, giving to his entire figure a rotundity highly absurd.	true	418.88	426.94	19.676285
6373_65772_000007_000004	His feet, of course, could not be seen at all, although a horny substance of suspicious nature was occasionally protruded through a rent in the bottom of the car, or to speak more properly, in the top of the hat.	His feet, of course, could not be seen at all, although a horny substance of suspicious nature was occasionally protruded through a rent in the bottom of the car, or to speak more properly, in the top of the hat.	false	427.28	440.29	21
6373_65772_000007_000005	His hands were enormously large.	His hands were enormously large.	true	440.87	443.04	20.322802
6373_65772_000007_000006	His hair was extremely gray, and collected in a cue behind.	His hair was extremely gray, and collected in a cue behind.	true	443.04	447.13	15
6373_65772_000007_000007	His nose was prodigiously long, crooked, and inflammatory; his eyes full, brilliant, and acute; his chin and cheeks, although wrinkled with age, were broad, puffy, and double; but of ears of any kind or character there was not a semblance to be discovered upon any portion of his head.	His nose was prodigiously long, crooked, and inflammatory; his eyes full, brilliant, and acute; his chin and cheeks, although wrinkled with age, were broad, puffy, and double; but of ears of any kind or character there was not a semblance to be discovered upon any portion of his head.	false	447.32	467.5	22.67457
6373_65772_000007_000008	This odd little gentleman was dressed in a loose surtout of sky-blue satin, with tight breeches to match, fastened with silver buckles at the knees.	This odd little gentleman was dressed in a loose surtout of sky blue satin, with tight breeches to match, fastened with silver buckles at the knees.	true	467.72	477.4	22
6373_65772_000007_000009	His vest was of some bright yellow material; a white taffety cap was set jauntily on one side of his head; and, to complete his equipment, a blood-red silk handkerchief enveloped his throat, and fell down, in a dainty manner, upon his bosom, in a fantastic bow-knot of super-eminent dimensions.	His vest was of some bright yellow material; a white taffety cap was set jauntily on one side of his head; and, to complete his equipment, a blood red silk handkerchief enveloped his throat, and fell down, in a dainty manner, upon his bosom, in a fantastic bow knot of super eminent dimensions.	true	477.83	497.62	20
6373_65772_000008_000000	Having descended, as I said before, to about one hundred feet from the surface of the earth, the little old gentleman was suddenly seized with a fit of trepidation, and appeared disinclined to make any nearer approach to terra firma.	Having descended, as I said before, to about one hundred feet from the surface of the earth, the little old gentleman was suddenly seized with a fit of trepidation, and appeared disinclined to make any nearer approach to terra firma.	true	498.11	512.89	20.434582
6373_65772_000008_000001	Throwing out, therefore, a quantity of sand from a canvas bag, which, he lifted with great difficulty, he became stationary in an instant.	Throwing out, therefore, a quantity of sand from a canvas bag, which, he lifted with great difficulty, he became stationary in an instant.	true	513.02	522.52	23.116106
6373_65772_000008_000002	He then proceeded, in a hurried and agitated manner, to extract from a side-pocket in his surtout a large morocco pocket-book.	He then proceeded, in a hurried and agitated manner, to extract from a side pocket in his surtout a large morocco pocket book.	true	522.74	531.79	21.550962
6373_65772_000008_000003	This he poised suspiciously in his hand, then eyed it with an air of extreme surprise, and was evidently astonished at its weight. He at length opened it, and drawing there from a huge letter sealed with red sealing-wax and tied carefully with red tape, let it fall precisely at the feet of the burgomaster, Superbus Von Underduk.	This he poised suspiciously in his hand, then eyed it with an air of extreme surprise, and was evidently astonished at its weight. He at length opened it, and drawing there from a huge letter sealed with red sealing wax and tied carefully with red tape, let it fall precisely at the feet of the burgomaster, Superbus Von Underduk.	false	532.19	557.11	20.913866
6373_65772_000008_000004	His Excellency stooped to take it up.	His Excellency stooped to take it up.	true	557.48	560.23	23.872679
6373_65772_000008_000005	But the aeronaut, still greatly discomposed, and having apparently no farther business to detain him in Rotterdam, began at this moment to make busy preparations for departure; and it being necessary to discharge a portion of ballast to enable him to reascend, the half dozen bags which he threw out, one after another, without taking the trouble to empty their contents, tumbled, every one of them, most unfortunately upon the back of the burgomaster, and rolled him over and over no less than one-and-twenty times, in the face of every man in Rotterdam.	But the aeronaut, still greatly discomposed, and having apparently no farther business to detain him in Rotterdam, began at this moment to make busy preparations for departure; and it being necessary to discharge a portion of ballast to enable him to reascend, the half dozen bags which he threw out, one after another, without taking the trouble to empty their contents, tumbled, every one of them, most unfortunately upon the back of the burgomaster, and rolled him over and over no less than one and twenty times, in the face of every man in Rotterdam.	false	560.3	598.27	20
6373_65772_000008_000006	It is not to be supposed, however, that the great Underduk suffered this impertinence on the part of the little old man to pass off with impunity.	It is not to be supposed, however, that the great Underduk suffered this impertinence on the part of the little old man to pass off with impunity.	true	599.03	607.63	17
6373_65772_000008_000007	It is said, on the contrary, that during each and every one of his one-and twenty circumvolutions he emitted no less than one-and-twenty distinct and furious whiffs from his pipe, to which he held fast the whole time with all his might, and to which he intends holding fast until the day of his death.	It is said, on the contrary, that during each and every one of his one and twenty circumvolutions he emitted no less than one and twenty distinct and furious whiffs from his pipe, to which he held fast the whole time with all his might, and to which he intends holding fast until the day of his death.	true	608	627.76	19
6373_65772_000009_000000	In the meantime the balloon arose like a lark, and, soaring far away above the city, at length drifted quietly behind a cloud similar to that from which it had so oddly emerged, and was thus lost forever to the wondering eyes of the good citizens of Rotterdam.	In the meantime the balloon arose like a lark, and, soaring far away above the city, at length drifted quietly behind a cloud similar to that from which it had so oddly emerged, and was thus lost forever to the wondering eyes of the good citizens of Rotterdam.	true	628.49	645.97	21.010702
6373_65772_000009_000001	All attention was now directed to the letter, the descent of which, and the consequences attending thereupon, had proved so fatally subversive of both person and personal dignity to his Excellency, the illustrious Burgomaster Mynheer Superbus Von Underduk.	All attention was now directed to the letter, the descent of which, and the consequences attending thereupon, had proved so fatally subversive of both person and personal dignity to his Excellency, the illustrious Burgomaster Mynheer Superbus Von Underduk.	false	646.22	664.69	22.101242
