101_126860_000003_000000	MEDICINE AND MAGIC	MEDICINE AND MAGIC
101_126860_000005_000000	She found Gub-Gub poking his nose through the bars of the window, trying to sniff the cooking-smells that came from the palace-kitchen. She told the pig to bring the Doctor to the window because she wanted to speak to him.	She found Gub Gub poking his nose through the bars of the window, trying to sniff the cooking smells that came from the palace kitchen. She told the pig to bring the Doctor to the window because she wanted to speak to him.
101_126860_000005_000001	So Gub-Gub went and woke the Doctor who was taking a nap.	So Gub Gub went and woke the Doctor who was taking a nap.
101_126860_000006_000001	And you've got to find some way to turn him white.	And you've got to find some way to turn him white.
101_126860_000007_000001	"But it isn't so easy to turn a black man white.	"But it isn't so easy to turn a black man white.
101_126860_000008_000000	"I don't know anything about that," said Polynesia impatiently.	"I don't know anything about that," said Polynesia impatiently.
101_126860_000008_000004	He'll do anything for you if you change his color.	He'll do anything for you if you change his color.
101_126860_000008_000005	It is your only chance to get out of prison."	It is your only chance to get out of prison."
101_126860_000009_000000	"Well, I suppose it MIGHT be possible," said the Doctor.	"Well, I suppose it MIGHT be possible," said the Doctor.
101_126860_000010_000000	Well, that night Prince Bumpo came secretly to the Doctor in prison and said to him,	Well, that night Prince Bumpo came secretly to the Doctor in prison and said to him,
101_126860_000011_000000	"White Man, I am an unhappy prince.	"White Man, I am an unhappy prince.
101_126860_000011_000004	But when she saw my face she cried out, 'Oh, he's black!' And she ran away and wouldn't marry me--but went to sleep again somewhere else.	But when she saw my face she cried out, 'Oh, he's black!' And she ran away and wouldn't marry me-but went to sleep again somewhere else.
101_126860_000011_000005	So I came back, full of sadness, to my father's kingdom.	So I came back, full of sadness, to my father's kingdom.
101_126860_000011_000007	So I come to you for help.	So I come to you for help.
101_126860_000011_000008	If you will turn me white, so that I may go back to The Sleeping Beauty, I will give you half my kingdom and anything besides you ask."	If you will turn me white, so that I may go back to The Sleeping Beauty, I will give you half my kingdom and anything besides you ask."
101_126860_000013_000000	"No," said Bumpo.	"No," said Bumpo.
101_126860_000013_000002	I must be a white prince."	I must be a white prince."
101_126860_000014_000000	"You know it is very hard to change the color of a prince," said the Doctor--"one of the hardest things a magician can do.	"You know it is very hard to change the color of a prince," said the Doctor-"one of the hardest things a magician can do.
101_126860_000014_000001	You only want your face white, do you not?"	You only want your face white, do you not?"
101_126860_000015_000000	"Yes, that is all," said Bumpo.	"Yes, that is all," said Bumpo.
101_126860_000017_000000	"Yes, all over," said Bumpo--"and I would like my eyes blue too, but I suppose that would be very hard to do."	"Yes, all over," said Bumpo-"and I would like my eyes blue too, but I suppose that would be very hard to do."
101_126860_000018_000000	"Yes, it would," said the Doctor quickly.	"Yes, it would," said the Doctor quickly.
101_126860_000018_000001	"Well, I will do what I can for you.	"Well, I will do what I can for you.
101_126860_000018_000003	I might have to try two or three times.	I might have to try two or three times.
101_126860_000018_000004	You have a strong skin--yes?	You have a strong skin-yes?
101_126860_000018_000006	Now come over here by the light--Oh, but before I do anything, you must first go down to the beach and get a ship ready, with food in it, to take me across the sea.	Now come over here by the light-Oh, but before I do anything, you must first go down to the beach and get a ship ready, with food in it, to take me across the sea.
101_126860_000020_000000	When he came back and said that it was done, the Doctor asked Dab-Dab to bring a basin.	When he came back and said that it was done, the Doctor asked Dab Dab to bring a basin.
101_126860_000020_000001	Then he mixed a lot of medicines in the basin and told Bumpo to dip his face in it.	Then he mixed a lot of medicines in the basin and told Bumpo to dip his face in it.
101_126860_000022_000000	He held it there a long time--so long that the Doctor seemed to get dreadfully anxious and fidgety, standing first on one leg and then on the other, looking at all the bottles he had used for the mixture, and reading the labels on them again and again.	He held it there a long time-so long that the Doctor seemed to get dreadfully anxious and fidgety, standing first on one leg and then on the other, looking at all the bottles he had used for the mixture, and reading the labels on them again and again.
101_126860_000022_000001	A strong smell filled the prison, like the smell of brown paper burning.	A strong smell filled the prison, like the smell of brown paper burning.
101_126860_000023_000000	At last the Prince lifted his face up out of the basin, breathing very hard.	At last the Prince lifted his face up out of the basin, breathing very hard.
101_126860_000026_000000	Bumpo begged that he might keep the looking-glass, as it was the only one in the Kingdom of Jolliginki, and he wanted to look at himself all day long.	Bumpo begged that he might keep the looking glass, as it was the only one in the Kingdom of Jolliginki, and he wanted to look at himself all day long.
