3187_168497_000000_000000	XI	XI	false	11.07	11.58	15
3187_168497_000001_000000	A TRUE ASCETIC	A TRUE ASCETIC	false	11.58	18.91	10.92524
3187_168497_000002_000000	Herbert Spencer's objection to swearing, of which so much has been made by moralists, was not an objection to its sinfulness but an objection to its charm.	Herbert Spencer's objection to swearing, of which so much has been made by moralists, was not an objection to its sinfulness but an objection to its charm.	true	21.47	32.74	14
3187_168497_000002_000001	In brief, he feared comfort, satisfaction, joy.	In brief, he feared comfort, satisfaction, joy.	true	33.53	37.78	16.990967
3187_168497_000002_000002	The boarding houses in which he dragged out his gray years were as bare and cheerless as so many piano boxes.	The boarding houses in which he dragged out his gray years were as bare and cheerless as so many piano boxes.	true	38.48	45.64	10
3187_168497_000002_000003	He avoided all the little vices and dissipations which make human existence bearable: good eating, good drinking, dancing, tobacco, poker, poetry, the theatre, personal adornment, philandering, adultery.	He avoided all the little vices and dissipations which make human existence bearable: good eating, good drinking, dancing, tobacco, poker, poetry, the theatre, personal adornment, philandering, adultery.	true	47.6	64.15	14.797206
3187_168497_000002_000004	He was insanely suspicious of everything that threatened to interfere with his work.	He was insanely suspicious of everything that threatened to interfere with his work.	true	65.51	70.36	12
3187_168497_000002_000005	Even when that work halted him by the sheer agony of its monotony, and it became necessary for him to find recreation, he sought out some recreation that was as unattractive as possible, in the hope that it would quickly drive him back to work again.	Even when that work halted him by the sheer agony of its monotony, and it became necessary for him to find recreation, he sought out some recreation that was as unattractive as possible, in the hope that it would quickly drive him back to work again.	false	71.33	90.66	14.63783
3187_168497_000002_000006	Having to choose between methods of locomotion on his holidays, he chose going afoot, the most laborious and least satisfying available. Brought to bay by his human need for a woman, he directed his fancy toward George Eliot, probably the most unappetizing woman of his race and time.	Having to choose between methods of locomotion on his holidays, he chose going afoot, the most laborious and least satisfying available. Brought to bay by his human need for a woman, he directed his fancy toward George Eliot, probably the most unappetizing woman of his race and time.	true	90.66	111.52	15.198771
3187_168497_000002_000007	Drawn irresistibly to music, he avoided the Fifth Symphony and "Tristan und Isolde," and joined a crowd of old maids singing part songs around a cottage piano.	Drawn irresistibly to music, he avoided the Fifth Symphony and "Tristan und Isolde," and joined a crowd of old maids singing part songs around a cottage piano.	false	112.4	123.55	14
3187_168497_000002_000008	John Tyndall saw clearly the effect of all this and protested against it, saying, "He'd be a much nicer fellow if he had a good swear now and then"--_i. e._, if he let go now and then, if he yielded to his healthy human instincts now and then, if he went on some sort of debauch now and then.	john Tyndall saw clearly the effect of all this and protested against it, saying, "He'd be a much nicer fellow if he had a good swear now and then"--underscore i. e.underscore, if he let go now and then, if he yielded to his healthy human instincts now and then, if he went on some sort of debauch now and then.	false	124.52	143.35	16.246342
3187_168497_000002_000009	But what Tyndall overlooked was the fact that the meagreness of his recreations was the very element that attracted Spencer to them.	But what Tyndall overlooked was the fact that the meagreness of his recreations was the very element that attracted Spencer to them.	true	144.17	154.3	15.903311
