8758_291168_000003_000000	CHAPTER XIV.	CHAPTER fourteen.
8758_291168_000005_000000	FISHING EXPLOITS.	FISHING EXPLOITS.
8758_291168_000006_000000	Cats are, as a rule, averse to water in every shape.	Cats are, as a rule, averse to water in every shape.
8758_291168_000006_000002	Parsons might preach in peace, and actors rant undisturbed.	Parsons might preach in peace, and actors rant undisturbed.
8758_291168_000006_000003	It would be a bad thing in a business way, however, as far as the medical profession and their friends the undertakers are concerned; for, if the former did not work with additional zeal, many of the latter would starve.	It would be a bad thing in a business way, however, as far as the medical profession and their friends the undertakers are concerned; for, if the former did not work with additional zeal, many of the latter would starve.
8758_291168_000006_000004	Did you ever observe a cat crossing the street on a rainy day?	Did you ever observe a cat crossing the street on a rainy day?
8758_291168_000006_000005	How gingerly she treads, how carefully picks out the driest spots, lifting each fore-paw and shaking it with an air of supreme disgust, and finally, for the last few yards, making a reckless bolt to the front door.	How gingerly she treads, how carefully picks out the driest spots, lifting each fore paw and shaking it with an air of supreme disgust, and finally, for the last few yards, making a reckless bolt to the front door.
8758_291168_000007_000001	But let the occasion arise, either in the pursuit of game or in some case of necessity, and she at once throws all her scruples overboard, and goes overboard after them, wetting both feet and fur with a will.	But let the occasion arise, either in the pursuit of game or in some case of necessity, and she at once throws all her scruples overboard, and goes overboard after them, wetting both feet and fur with a will.
8758_291168_000008_000001	This is told as a great curiosity; but I can assure the reader that such things are by no means rare.	This is told as a great curiosity; but I can assure the reader that such things are by no means rare.
8758_291168_000008_000002	I have known of hundreds of such cases; and they are occurring every day.	I have known of hundreds of such cases; and they are occurring every day.
8758_291168_000009_000000	Joe, a nice she-tabby, was a curious specimen of the feline fish-catcher. Her master was a disciple of Walton's.	Joe, a nice she tabby, was a curious specimen of the feline fish catcher. Her master was a disciple of Walton's.
8758_291168_000009_000002	Anxiously she would watch the skimming fly, squaring her lips and emitting little excited screams of delight, whenever a fish rose to nibble.	Anxiously she would watch the skimming fly, squaring her lips and emitting little excited screams of delight, whenever a fish rose to nibble.
8758_291168_000009_000003	Then, when a trout was landed, pussy at once threw herself upon it and despatched it.	Then, when a trout was landed, pussy at once threw herself upon it and despatched it.
