3379_132592_000000_000000	CHAPTER IV	CHAPTER four	false	21.27	23.4	17.910543
3379_132592_000001_000000	Give thy thoughts no tongue. SHAKESPEARE	Give thy thoughts no tongue. SHAKESPEARE	true	23.4	26.11	20
3379_132592_000002_000000	The Baron St. Foix, whom anxiety for his friend had kept awake, rose early to enquire the event of the night, when, as he passed the Count's closet, hearing steps within, he knocked at the door, and it was opened by his friend himself.	The Baron st Foix, whom anxiety for his friend had kept awake, rose early to enquire the event of the night, when, as he passed the Count's closet, hearing steps within, he knocked at the door, and it was opened by his friend himself.	false	26.99	42.79	19.532343
3379_132592_000002_000001	Rejoicing to see him in safety, and curious to learn the occurrences of the night, he had not immediately leisure to observe the unusual gravity, that overspread the features of the Count, whose reserved answers first occasioned him to notice it.	Rejoicing to see him in safety, and curious to learn the occurrences of the night, he had not immediately leisure to observe the unusual gravity, that overspread the features of the Count, whose reserved answers first occasioned him to notice it.	true	43.13	58.21	17
3379_132592_000002_000002	The Count, then smiling, endeavoured to treat the subject of his curiosity with levity, but the Baron was serious, and pursued his enquiries so closely, that the Count, at length, resuming his gravity, said, 'Well, my friend, press the subject no further, I entreat you; and let me request also, that you will hereafter be silent upon any thing you may think extraordinary in my future conduct.	The Count, then smiling, endeavoured to treat the subject of his curiosity with levity, but the Baron was serious, and pursued his enquiries so closely, that the Count, at length, resuming his gravity, said, 'Well, my friend, press the subject no further, I entreat you; and let me request also, that you will hereafter be silent upon any thing you may think extraordinary in my future conduct.	false	59.39	85.9	17.906427
3379_132592_000002_000003	I do not scruple to tell you, that I am unhappy, and that the watch of the last night has not assisted me to discover Ludovico; upon every occurrence of the night you must excuse my reserve.'	I do not scruple to tell you, that I am unhappy, and that the watch of the last night has not assisted me to discover Ludovico; upon every occurrence of the night you must excuse my reserve.'	true	86.18	98.62	20
3379_132592_000003_000000	'But where is Henri?' said the Baron, with surprise and disappointment at this denial.	'But where is Henri?' said the Baron, with surprise and disappointment at this denial.	false	99.59	103.69	14
3379_132592_000004_000000	'He is well in his own apartment,' replied the Count. 'You will not question him on this topic, my friend, since you know my wish.'	'He is well in his own apartment,' replied the Count. 'You will not question him on this topic, my friend, since you know my wish.'	false	104.42	111.88	18
3379_132592_000005_000000	'Certainly not,' said the Baron, somewhat chagrined, 'since it would be displeasing to you; but methinks, my friend, you might rely on my discretion, and drop this unusual reserve.	'Certainly not,' said the Baron, somewhat chagrined, 'since it would be displeasing to you; but methinks, my friend, you might rely on my discretion, and drop this unusual reserve.	true	112.52	124.6	19.558525
3379_132592_000005_000001	However, you must allow me to suspect, that you have seen reason to become a convert to my system, and are no longer the incredulous knight you lately appeared to be.'	However, you must allow me to suspect, that you have seen reason to become a convert to my system, and are no longer the incredulous knight you lately appeared to be.'	true	124.82	134.08	17
3379_132592_000006_000000	'Let us talk no more upon this subject,' said the Count; 'you may be assured, that no ordinary circumstance has imposed this silence upon me towards a friend, whom I have called so for near thirty years; and my present reserve cannot make you question either my esteem, or the sincerity of my friendship.'	'Let us talk no more upon this subject,' said the Count; 'you may be assured, that no ordinary circumstance has imposed this silence upon me towards a friend, whom I have called so for near thirty years; and my present reserve cannot make you question either my esteem, or the sincerity of my friendship.'	false	134.87	152.17	17
3379_132592_000007_000000	'I will not doubt either,' said the Baron, 'though you must allow me to express my surprise, at this silence.'	'I will not doubt either,' said the Baron, 'though you must allow me to express my surprise, at this silence.'	false	152.72	158.2	16
3379_132592_000008_000000	'To me I will allow it,' replied the Count, 'but I earnestly entreat that you will forbear to notice it to my family, as well as every thing remarkable you may observe in my conduct towards them.'	'To me I will allow it,' replied the Count, 'but I earnestly entreat that you will forbear to notice it to my family, as well as every thing remarkable you may observe in my conduct towards them.'	false	158.63	170.08	19
3379_132592_000009_000000	The Baron readily promised this, and, after conversing for some time on general topics, they descended to the breakfast-room, where the Count met his family with a cheerful countenance, and evaded their enquiries by employing light ridicule, and assuming an air of uncommon gaiety, while he assured them, that they need not apprehend any evil from the north chambers, since Henri and himself had been permitted to return from them in safety.	The Baron readily promised this, and, after conversing for some time on general topics, they descended to the breakfast room, where the Count met his family with a cheerful countenance, and evaded their enquiries by employing light ridicule, and assuming an air of uncommon gaiety, while he assured them, that they need not apprehend any evil from the north chambers, since Henri and himself had been permitted to return from them in safety.	false	170.78	198.4	18
3379_132592_000010_000000	Henri, however, was less successful in disguising his feelings.	Henri, however, was less successful in disguising his feelings.	true	199.19	203.23	16
