17_362_000000_000000	Chapter 16	Chapter sixteen	true	14.25	15.39	23.268732
17_362_000001_000000	"Cursed, cursed creator!	"Cursed, cursed creator!	false	15.39	20.11	18.960777
17_362_000001_000001	Why did I live?	Why did I live?	true	21.14	23.53	17
17_362_000001_000002	Why, in that instant, did I not extinguish the spark of existence which you had so wantonly bestowed?	Why, in that instant, did I not extinguish the spark of existence which you had so wantonly bestowed?	true	24.02	31.84	18
17_362_000001_000003	I know not; despair had not yet taken possession of me; my feelings were those of rage and revenge.	I know not; despair had not yet taken possession of me; my feelings were those of rage and revenge.	true	32.48	40.96	17.420809
17_362_000001_000004	I could with pleasure have destroyed the cottage and its inhabitants and have glutted myself with their shrieks and misery.	I could with pleasure have destroyed the cottage and its inhabitants and have glutted myself with their shrieks and misery.	true	41.54	49.14	18
17_362_000002_000000	"When night came I quitted my retreat and wandered in the wood; and now, no longer restrained by the fear of discovery, I gave vent to my anguish in fearful howlings.	"When night came I quitted my retreat and wandered in the wood; and now, no longer restrained by the fear of discovery, I gave vent to my anguish in fearful howlings.	false	49.14	62.32	17.72254
17_362_000002_000001	I was like a wild beast that had broken the toils, destroying the objects that obstructed me and ranging through the wood with a stag-like swiftness.	I was like a wild beast that had broken the toils, destroying the objects that obstructed me and ranging through the wood with a stag like swiftness.	true	63.17	72.07	18
17_362_000002_000002	Oh!	Oh!	true	73.04	73.68	13
17_362_000002_000003	What a miserable night I passed!	What a miserable night I passed!	true	73.68	76.45	13
17_362_000002_000004	The cold stars shone in mockery, and the bare trees waved their branches above me; now and then the sweet voice of a bird burst forth amidst the universal stillness.	The cold stars shone in mockery, and the bare trees waved their branches above me; now and then the sweet voice of a bird burst forth amidst the universal stillness.	true	77.33	89.95	18
17_362_000002_000005	All, save I, were at rest or in enjoyment; I, like the arch-fiend, bore a hell within me, and finding myself unsympathized with, wished to tear up the trees, spread havoc and destruction around me, and then to have sat down and enjoyed the ruin.	All, save I, were at rest or in enjoyment; I, like the arch fiend, bore a hell within me, and finding myself unsympathized with, wished to tear up the trees, spread havoc and destruction around me, and then to have sat down and enjoyed the ruin.	true	90.71	114.69	19.686083
17_362_000003_000000	"But this was a luxury of sensation that could not endure; I became fatigued with excess of bodily exertion and sank on the damp grass in the sick impotence of despair.	"But this was a luxury of sensation that could not endure; I became fatigued with excess of bodily exertion and sank on the damp grass in the sick impotence of despair.	false	114.69	124.99	17.194181
17_362_000003_000001	There was none among the myriads of men that existed who would pity or assist me; and should I feel kindness towards my enemies?	There was none among the myriads of men that existed who would pity or assist me; and should I feel kindness towards my enemies?	true	126.59	135.28	21.453272
17_362_000003_000002	No; from that moment I declared everlasting war against the species, and more than all, against him who had formed me and sent me forth to this insupportable misery.	No; from that moment I declared everlasting war against the species, and more than all, against him who had formed me and sent me forth to this insupportable misery.	true	135.95	149.92	19.779127
17_362_000004_000000	"The sun rose; I heard the voices of men and knew that it was impossible to return to my retreat during that day.	"The sun rose; I heard the voices of men and knew that it was impossible to return to my retreat during that day.	true	151.37	158.23	18.1471
17_362_000004_000001	Accordingly I hid myself in some thick underwood, determining to devote the ensuing hours to reflection on my situation.	Accordingly I hid myself in some thick underwood, determining to devote the ensuing hours to reflection on my situation.	true	158.6	166.42	17
17_362_000005_000000	"The pleasant sunshine and the pure air of day restored me to some degree of tranquillity; and when I considered what had passed at the cottage, I could not help believing that I had been too hasty in my conclusions.	"The pleasant sunshine and the pure air of day restored me to some degree of tranquillity; and when I considered what had passed at the cottage, I could not help believing that I had been too hasty in my conclusions.	true	168.77	181.84	18.788265
17_362_000005_000001	I had certainly acted imprudently.	I had certainly acted imprudently.	true	182.75	185.02	16.225525
17_362_000005_000002	It was apparent that my conversation had interested the father in my behalf, and I was a fool in having exposed my person to the horror of his children.	It was apparent that my conversation had interested the father in my behalf, and I was a fool in having exposed my person to the horror of his children.	false	185.51	193.9	13
17_362_000005_000003	I ought to have familiarized the old De Lacey to me, and by degrees to have discovered myself to the rest of his family, when they should have been prepared for my approach.	I ought to have familiarized the old De Lacey to me, and by degrees to have discovered myself to the rest of his family, when they should have been prepared for my approach.	false	194.87	205.03	21
