17_362_000000_000000	Chapter 16	Chapter sixteen
17_362_000003_000001	There was none among the myriads of men that existed who would pity or assist me; and should I feel kindness towards my enemies?	There was none among the myriads of men that existed who would pity or assist me; and should I feel kindness towards my enemies?
17_362_000007_000002	That hour passed, the sun mounted high in the heavens, but the cottagers did not appear.	That hour passed, the sun mounted high in the heavens, but the cottagers did not appear.
17_362_000007_000004	The inside of the cottage was dark, and I heard no motion; I cannot describe the agony of this suspense.	The inside of the cottage was dark, and I heard no motion; I cannot describe the agony of this suspense.
17_362_000009_000000	"'Do you consider,' said his companion to him, 'that you will be obliged to pay three months' rent and to lose the produce of your garden?	"'Do you consider,' said his companion to him, 'that you will be obliged to pay three months' rent and to lose the produce of your garden?
17_362_000012_000000	"I continued for the remainder of the day in my hovel in a state of utter and stupid despair.	"I continued for the remainder of the day in my hovel in a state of utter and stupid despair.
17_362_000016_000003	From you only could I hope for succour, although towards you I felt no sentiment but that of hatred.	From you only could I hope for succour, although towards you I felt no sentiment but that of hatred.
17_362_000017_000002	Nature decayed around me, and the sun became heatless; rain and snow poured around me; mighty rivers were frozen; the surface of the earth was hard and chill, and bare, and I found no shelter.	Nature decayed around me, and the sun became heatless; rain and snow poured around me; mighty rivers were frozen; the surface of the earth was hard and chill, and bare, and I found no shelter.
17_362_000017_000003	Oh, earth!	Oh, earth!
17_362_000018_000004	Soft tears again bedewed my cheeks, and I even raised my humid eyes with thankfulness towards the blessed sun, which bestowed such joy upon me.	Soft tears again bedewed my cheeks, and I even raised my humid eyes with thankfulness towards the blessed sun, which bestowed such joy upon me.
17_362_000020_000000	"This was then the reward of my benevolence!	"This was then the reward of my benevolence!
17_362_000020_000004	But the agony of my wound overcame me; my pulses paused, and I fainted.	But the agony of my wound overcame me; my pulses paused, and I fainted.
17_362_000022_000000	"After some weeks my wound healed, and I continued my journey.	"After some weeks my wound healed, and I continued my journey.
17_362_000029_000003	You dare not keep me.'	You dare not keep me.'
17_362_000036_000003	The crime had its source in her; be hers the punishment!	The crime had its source in her; be hers the punishment!
