3876_174960_000000_000000	"I won't part at all," he said, standing his ground with his back to the fire.	"I won't part at all," he said, standing his ground with his back to the fire.	false	0	3.39	21.047758
3876_174960_000000_000001	"I don't understand it, by heaven I don't.	"I don't understand it, by heaven I don't.	false	3.39	5.1	16.841663
3876_174960_000000_000002	Because I said some stupid thing about Boulogne, all in joke--"	Because I said some stupid thing about Boulogne, all in joke-"	false	5.1	7.56	19.276224
3876_174960_000001_000000	"It was not in joke when you said that troubles had come heavy on you since you were engaged."	"It was not in joke when you said that troubles had come heavy on you since you were engaged."	false	7.56	8.55	10
3876_174960_000002_000000	"A man may be allowed to know, himself, whether he was in joke or not.	"A man may be allowed to know, himself, whether he was in joke or not.	false	8.55	8.55	
3876_174960_000002_000001	I suppose the truth is you don't care about me?"	I suppose the truth is you don't care about me?"	false	8.55	8.67	12
3876_174960_000003_000000	"I hope, Mr. Maule, that in time it may come--not quite to that."	"I hope, mr Maule, that in time it may come-not quite to that."	false	8.67	8.79	29
3876_174960_000004_000000	"I think that you are--using me very badly.	"I think that you are-using me very badly.	false	8.79	8.88	12
3876_174960_000004_000001	I think that you are--behaving--falsely to me.	I think that you are-behaving-falsely to me.	false	8.88	8.97	9
3876_174960_000004_000002	I think that I am--very--shamefully treated--among you.	I think that I am-very-shamefully treated-among you.	false	8.97	9.03	11
3876_174960_000004_000003	Of course I shall go.	Of course I shall go.	false	9.03	9.24	20
3876_174960_000004_000004	Of course I shall not stay in this house.	Of course I shall not stay in this house.	false	9.24	10.53	21.794744
3876_174960_000004_000005	A man can't make a girl keep her promise.	A man can't make a girl keep her promise.	false	10.53	10.53	
3876_174960_000004_000006	No--I won't shake hands.	No-I won't shake hands.	false	10.53	10.53	
3876_174960_000004_000007	I won't even say good-bye to you.	I won't even say good bye to you.	false	10.53	10.53	
3876_174960_000004_000008	Of course I shall go." So saying he slammed the door behind him.	Of course I shall go." So saying he slammed the door behind him.	false	10.53	10.53	
3876_174960_000005_000000	"If he cares for you he'll come back to you," Lady Chiltern said to Adelaide that night, who at the moment was lying on her bed in a sad condition, frantic with headache.	"If he cares for you he'll come back to you," Lady Chiltern said to Adelaide that night, who at the moment was lying on her bed in a sad condition, frantic with headache.	false	10.53	11.28	8
3876_174960_000006_000000	"I don't want him to come back; I will never make him go to Boulogne."	"I don't want him to come back; I will never make him go to Boulogne."	false	11.28	13.32	22
3876_174960_000007_000000	"Don't think of it, dear."	"Don't think of it, dear."	false	13.32	14.25	20
3876_174960_000008_000000	"Not think of it!	"Not think of it!	false	14.25	14.97	22.132915
3876_174960_000008_000001	how can I help thinking of it?	how can I help thinking of it?	false	14.97	16.26	22.034643
3876_174960_000008_000002	I shall always think of it.	I shall always think of it.	false	16.26	17.37	10
3876_174960_000008_000003	But I never want to see him again--never!	But I never want to see him again-never!	false	17.37	18.99	23.297312
3876_174960_000008_000004	How can I want to marry a man who tells me that I shall be a trouble to him?	How can I want to marry a man who tells me that I shall be a trouble to him?	false	18.99	21.12	19.237358
3876_174960_000008_000005	He shall never,--never have to go to Boulogne for me."	He shall never,--never have to go to Boulogne for me."	false	21.12	22.215	25.312527
3876_174960_000009_000000	CHAPTER XLIII.	CHAPTER forty three.	true	22.215	23.68	21
3876_174960_000010_000000	THE SECOND THUNDERBOLT.	THE SECOND THUNDERBOLT.	true	23.96	27.28	20.611832
3876_174960_000011_000000	The quarrel between Phineas Finn and Mr. Bonteen had now become the talk of the town, and had taken many various phases.	The quarrel between Phineas Finn and mr Bonteen had now become the talk of the town, and had taken many various phases.	true	27.53	35.23	17
3876_174960_000011_000001	The political phase, though it was perhaps the best understood, was not the most engrossing.	The political phase, though it was perhaps the best understood, was not the most engrossing.	true	36.2	41.83	20
3876_174960_000011_000002	There was the personal phase,--which had reference to the direct altercation that had taken place between the two gentlemen, and to the correspondence between them which had followed, as to which phase it may be said that though there were many rumours abroad, very little was known.	There was the personal phase,--which had reference to the direct altercation that had taken place between the two gentlemen, and to the correspondence between them which had followed, as to which phase it may be said that though there were many rumours abroad, very little was known.	true	42.29	58.66	20
