7868_110706_000001_000000	III.--HOW MR.	three.--HOW mr
7868_110706_000001_000001	HANS SET OFF ON AN EXPEDITION TO THE GOLDEN RIVER, AND HOW HE PROSPERED THEREIN	HANS SET OFF ON AN EXPEDITION TO THE GOLDEN RIVER, AND HOW HE PROSPERED THEREIN
7868_110706_000002_000000	The King of the Golden River had hardly made the extraordinary exit related in the last chapter, before Hans and Schwartz came roaring into the house, very savagely drunk.	The King of the Golden River had hardly made the extraordinary exit related in the last chapter, before Hans and Schwartz came roaring into the house, very savagely drunk.
7868_110706_000002_000001	The discovery of the total loss of their last piece of plate had the effect of sobering them just enough to enable them to stand over Gluck, beating him very steadily for a quarter of an hour; at the expiration of which period they dropped into a couple of chairs, and requested to know what he had to say for himself.	The discovery of the total loss of their last piece of plate had the effect of sobering them just enough to enable them to stand over Gluck, beating him very steadily for a quarter of an hour; at the expiration of which period they dropped into a couple of chairs, and requested to know what he had to say for himself.
7868_110706_000002_000002	Gluck told them his story, of which, of course, they did not believe a word.	Gluck told them his story, of which, of course, they did not believe a word.
7868_110706_000002_000003	They beat him again, till their arms were tired, and staggered to bed.	They beat him again, till their arms were tired, and staggered to bed.
7868_110706_000002_000004	In the morning, however, the steadiness with which he adhered to his story obtained him some degree of credence; the immediate consequence of which was, that the two brothers, after wrangling a long time on the knotty question, which of them should try his fortune first, drew their swords and began fighting.	In the morning, however, the steadiness with which he adhered to his story obtained him some degree of credence; the immediate consequence of which was, that the two brothers, after wrangling a long time on the knotty question, which of them should try his fortune first, drew their swords and began fighting.
7868_110706_000002_000005	The noise of the fray alarmed the neighbours who, finding they could not pacify the combatants, sent for the constable.	The noise of the fray alarmed the neighbours who, finding they could not pacify the combatants, sent for the constable.
7868_110706_000003_000000	Hans, on hearing this, contrived to escape, and hid himself; but Schwartz was taken before the magistrate, fined for breaking the peace, and, having drunk out his last penny the evening before, was thrown into prison till he should pay.	Hans, on hearing this, contrived to escape, and hid himself; but Schwartz was taken before the magistrate, fined for breaking the peace, and, having drunk out his last penny the evening before, was thrown into prison till he should pay.
7868_110706_000004_000000	When Hans heard this, he was much delighted, and determined to set out immediately for the Golden River.	When Hans heard this, he was much delighted, and determined to set out immediately for the Golden River.
7868_110706_000004_000001	How to get the holy water was the question.	How to get the holy water was the question.
7868_110706_000005_000000	Next morning he got up before the sun rose, put the holy water into a strong flask, and two bottles of wine and some meat in a basket, slung them over his back, took his alpine staff in his hand, and set off for the mountains.	Next morning he got up before the sun rose, put the holy water into a strong flask, and two bottles of wine and some meat in a basket, slung them over his back, took his alpine staff in his hand, and set off for the mountains.
7868_110706_000006_000000	On his way out of the town he had to pass the prison, and as he looked in at the windows, whom should he see but Schwartz himself peeping out of the bars, and looking very disconsolate.	On his way out of the town he had to pass the prison, and as he looked in at the windows, whom should he see but Schwartz himself peeping out of the bars, and looking very disconsolate.
7868_110706_000007_000000	"Good morning, brother," said Hans; "have you any message for the King of the Golden River?"	"Good morning, brother," said Hans; "have you any message for the King of the Golden River?"
7868_110706_000009_000000	It was, indeed, a morning that might have made anyone happy, even with no Golden River to seek for.	It was, indeed, a morning that might have made anyone happy, even with no Golden River to seek for.
7868_110706_000009_000001	Level lines of dewy mist lay stretched along the valley, out of which rose the massy mountains--their lower cliffs in pale gray shadow, hardly distinguishable from the floating vapour, but gradually ascending till they caught the sunlight, which ran in sharp touches of ruddy colour along the angular crags, and pierced, in long level rays, through their fringes of spear-like pine.	Level lines of dewy mist lay stretched along the valley, out of which rose the massy mountains-their lower cliffs in pale gray shadow, hardly distinguishable from the floating vapour, but gradually ascending till they caught the sunlight, which ran in sharp touches of ruddy colour along the angular crags, and pierced, in long level rays, through their fringes of spear like pine.
7868_110706_000011_000000	On this object, and on this alone, Hans's eyes and thoughts were fixed; forgetting the distance he had to traverse, he set off at an imprudent rate of walking, which greatly exhausted him before he had scaled the first range of the green and low hills.	On this object, and on this alone, Hans's eyes and thoughts were fixed; forgetting the distance he had to traverse, he set off at an imprudent rate of walking, which greatly exhausted him before he had scaled the first range of the green and low hills.
7868_110706_000011_000001	He was, moreover, surprised, on surmounting them, to find that a large glacier, of whose existence, notwithstanding his previous knowledge of the mountains, he had been absolutely ignorant, lay between him and the source of the Golden River.	He was, moreover, surprised, on surmounting them, to find that a large glacier, of whose existence, notwithstanding his previous knowledge of the mountains, he had been absolutely ignorant, lay between him and the source of the Golden River.
7868_110706_000011_000002	He entered on it with the boldness of a practised mountaineer; yet he thought he had never traversed so strange or so dangerous a glacier in his life.	He entered on it with the boldness of a practised mountaineer; yet he thought he had never traversed so strange or so dangerous a glacier in his life.
