5604_26982_000000_000000	The tide of Romola's feelings had been violently turned into a new channel.	The tide of Romola's feelings had been violently turned into a new channel.	false	0	6.51	19.640072
5604_26982_000000_000001	In the tumult of that moment there could be no check to the words which came as the impulsive utterance of her long-accumulating horror.	In the tumult of that moment there could be no check to the words which came as the impulsive utterance of her long accumulating horror.	false	6.51	10.26	19.816017
5604_26982_000000_000002	When Tito had named the men of whom she felt certain he was the confederate, she said, with a recoiling gesture and low-toned bitterness--	When Tito had named the men of whom she felt certain he was the confederate, she said, with a recoiling gesture and low toned bitterness-	false	10.26	11.52	16
5604_26982_000001_000000	"And _you_--you are safe?"	"And underscore you underscore--you are safe?"	false	11.52	11.85	22
5604_26982_000002_000000	"You are certainly an amiable wife, my Romola," said Tito, with the coldest irony.	"You are certainly an amiable wife, my Romola," said Tito, with the coldest irony.	false	11.85	12.57	22.736263
5604_26982_000002_000001	"Yes; I am safe."	"Yes; I am safe."	false	12.57	12.75	-20
5604_26982_000003_000000	They turned away from each other in silence.	They turned away from each other in silence.	false	12.75	13.155	-20
5604_26982_000004_000000	CHAPTER FIFTY SEVEN.	CHAPTER FIFTY SEVEN.	false	13.155	15.36	19.689919
5604_26982_000005_000000	WHY TITO WAS SAFE.	WHY TITO WAS SAFE.	true	15.36	17.05	21.245935
5604_26982_000006_000000	Tito had good reasons for saying that he was safe.	Tito had good reasons for saying that he was safe.	true	17.45	20.83	18.930305
5604_26982_000006_000001	In the last three months, during which he had foreseen the discovery of the Medicean conspirators as a probable event, he had had plenty of time to provide himself with resources.	In the last three months, during which he had foreseen the discovery of the Medicean conspirators as a probable event, he had had plenty of time to provide himself with resources.	false	20.93	30.85	20.557596
5604_26982_000006_000002	He had been strengthening his influence at Rome and at Milan, by being the medium of secret information and indirect measures against the Frate and the popular party; he had cultivated more assiduously than ever the regard of this party, by showing subtle evidence that his political convictions were entirely on their side; and all the while, instead of withdrawing his agency from the Mediceans, he had sought to be more actively employed and exclusively trusted by them. It was easy to him to keep up this triple game.	He had been strengthening his influence at Rome and at Milan, by being the medium of secret information and indirect measures against the Frate and the popular party; he had cultivated more assiduously than ever the regard of this party, by showing subtle evidence that his political convictions were entirely on their side; and all the while, instead of withdrawing his agency from the Mediceans, he had sought to be more actively employed and exclusively trusted by them. It was easy to him to keep up this triple game.	false	31.07	61.87	20.310423
5604_26982_000006_000003	The principle of duplicity admitted by the Mediceans on their own behalf deprived them of any standard by which they could measure the trustworthiness of a colleague who had not, like themselves, hereditary interests, alliances, and prejudices, which were intensely Medicean.	The principle of duplicity admitted by the Mediceans on their own behalf deprived them of any standard by which they could measure the trustworthiness of a colleague who had not, like themselves, hereditary interests, alliances, and prejudices, which were intensely Medicean.	false	61.91	77.31	20.468378
5604_26982_000006_000004	In their minds, to deceive the opposite party was fair stratagem; to deceive their own party was a baseness to which they felt no temptation; and, in using Tito's facile ability, they were not keenly awake to the fact that the absence of traditional attachments which made him a convenient agent was also the absence of what among themselves was the chief guarantee of mutual honour.	In their minds, to deceive the opposite party was fair stratagem; to deceive their own party was a baseness to which they felt no temptation; and, in using Tito's facile ability, they were not keenly awake to the fact that the absence of traditional attachments which made him a convenient agent was also the absence of what among themselves was the chief guarantee of mutual honour.	false	77.31	100.3	21.178383
5604_26982_000006_000005	Again, the Roman and Milanese friends of the aristocratic party, or Arrabbiati, who were the bitterest enemies of Savonarola, carried on a system of underhand correspondence and espionage, in which the deepest hypocrisy was the best service, and demanded the heaviest pay; so that to suspect an agent because he played a part strongly would have been an absurd want of logic.	Again, the Roman and Milanese friends of the aristocratic party, or Arrabbiati, who were the bitterest enemies of Savonarola, carried on a system of underhand correspondence and espionage, in which the deepest hypocrisy was the best service, and demanded the heaviest pay; so that to suspect an agent because he played a part strongly would have been an absurd want of logic.	false	100.76	123.73	20.330439
5604_26982_000006_000006	On the other hand, the Piagnoni of the popular party, who had the directness that belongs to energetic conviction, were the more inclined to credit Tito with sincerity in his political adhesion to them, because he affected no religious sympathies.	On the other hand, the Piagnoni of the popular party, who had the directness that belongs to energetic conviction, were the more inclined to credit Tito with sincerity in his political adhesion to them, because he affected no religious sympathies.	true	123.77	137.35	20.25886
5604_26982_000007_000000	By virtue of these conditions, the last three months had been a time of flattering success to Tito.	By virtue of these conditions, the last three months had been a time of flattering success to Tito.	true	138.11	143.23	20.411701
5604_26982_000007_000001	The result he most cared for was the securing of a future position for himself at Rome or at Milan; for he had a growing determination, when the favourable moment should come, to quit Florence for one of those great capitals where life was easier, and the rewards of talent and learning were more splendid.	The result he most cared for was the securing of a future position for himself at Rome or at Milan; for he had a growing determination, when the favourable moment should come, to quit Florence for one of those great capitals where life was easier, and the rewards of talent and learning were more splendid.	true	143.39	160.69	19.955185
5604_26982_000007_000002	At present, the scale dipped in favour of Milan; and if within the year he could render certain services to Duke Ludovico Sforza, he had the prospect of a place at the Milanese court which outweighed the advantages of Rome.	At present, the scale dipped in favour of Milan; and if within the year he could render certain services to Duke Ludovico Sforza, he had the prospect of a place at the Milanese court which outweighed the advantages of Rome.	true	160.82	174.16	20.569494
5604_26982_000008_000000	The revelation of the Medicean conspiracy, then, had been a subject of forethought to Tito; but he had not been able to foresee the mode in which it would be brought about.	The revelation of the Medicean conspiracy, then, had been a subject of forethought to Tito; but he had not been able to foresee the mode in which it would be brought about.	false	175.52	184.81	21.386126
5604_26982_000008_000001	The arrest of Lamberto dell' Antella with a tell-tale letter on his person, and a bitter rancour against the Medici in his heart, was an incalculable event.	The arrest of Lamberto dell' Antella with a tell tale letter on his person, and a bitter rancour against the Medici in his heart, was an incalculable event.	true	185.03	193.66	19
5604_26982_000008_000002	It was not possible, in spite of the careful pretexts with which his agency had been guarded, that Tito should escape implication: he had never expected this in case of any wide discovery concerning the Medicean plots.	It was not possible, in spite of the careful pretexts with which his agency had been guarded, that Tito should escape implication: he had never expected this in case of any wide discovery concerning the Medicean plots.	false	194.33	206.44	20.861435
5604_26982_000008_000003	But his quick mind had soon traced out the course that would secure his own safety with the fewest unpleasant concomitants.	But his quick mind had soon traced out the course that would secure his own safety with the fewest unpleasant concomitants.	true	206.69	212.98	20
5604_26982_000008_000004	It is agreeable to keep a whole skin; but the skin still remains an organ sensitive to the atmosphere.	It is agreeable to keep a whole skin; but the skin still remains an organ sensitive to the atmosphere.	true	213.35	219.01	21.077566
5604_26982_000009_000000	His reckoning had not deceived him.	His reckoning had not deceived him.	true	220.4	222.82	21.805082
5604_26982_000009_000001	That night, before he returned home, he had secured the three results for which he most cared: he was to be freed from all proceedings against him on account of complicity with the Mediceans; he was to retain his secretaryship for another year, unless he previously resigned it; and, lastly, the price by which he had obtained these guarantees was to be kept as a State secret.	That night, before he returned home, he had secured the three results for which he most cared: he was to be freed from all proceedings against him on account of complicity with the Mediceans; he was to retain his secretaryship for another year, unless he previously resigned it; and, lastly, the price by which he had obtained these guarantees was to be kept as a State secret.	false	223.13	246.28	20.29588
5604_26982_000009_000002	The price would have been thought heavy by most men; and Tito himself would rather not have paid it.	The price would have been thought heavy by most men; and Tito himself would rather not have paid it.	true	247.22	252.31	19.67328
5604_26982_000010_000000	He had applied himself first to win the mind of Francesco Valori, who was not only one of the Ten under whom he immediately held his secretaryship, but one of the special council appointed to investigate the evidence of the plot.	He had applied himself first to win the mind of Francesco Valori, who was not only one of the Ten under whom he immediately held his secretaryship, but one of the special council appointed to investigate the evidence of the plot.	false	252.95	265.15	18.8984
5604_26982_000010_000001	Francesco Valori, as we have seen, was the head of the Piagnoni, a man with certain fine qualities that were not incompatible with violent partisanship, with an arrogant temper that alienated his friends, nor with bitter personal animosities--one of the bitterest being directed against Bernardo del Nero.	Francesco Valori, as we have seen, was the head of the Piagnoni, a man with certain fine qualities that were not incompatible with violent partisanship, with an arrogant temper that alienated his friends, nor with bitter personal animosities-one of the bitterest being directed against Bernardo del Nero.	true	265.58	284.29	20.107862
5604_26982_000010_000002	To him, in a brief private interview, after obtaining a pledge of secrecy, Tito avowed his own agency for the Mediceans--an agency induced by motives about which he was very frank, declaring at the same time that he had always believed their efforts futile, and that he sincerely preferred the maintenance of the popular government; affected to confide to Valori, as a secret, his own personal dislike for Bernardo del Nero; and, after this preparation, came to the important statement that there was another Medicean plot, of which, if he obtained certain conditions from the government, he could, by a journey to Siena and into Romagna, where Piero de' Medici was again trying to gather forces, obtain documentary evidence to lay before the council.	To him, in a brief private interview, after obtaining a pledge of secrecy, Tito avowed his own agency for the Mediceans-an agency induced by motives about which he was very frank, declaring at the same time that he had always believed their efforts futile, and that he sincerely preferred the maintenance of the popular government; affected to confide to Valori, as a secret, his own personal dislike for Bernardo del Nero; and, after this preparation, came to the important statement that there was another Medicean plot, of which, if he obtained certain conditions from the government, he could, by a journey to Siena and into Romagna, where Piero de' Medici was again trying to gather forces, obtain documentary evidence to lay before the council.	false	284.42	327.63	20.79609
5604_26982_000010_000003	To this end it was essential that his character as a Medicean agent should be unshaken for all Mediceans, and hence the fact that he had been a source of information to the authorities must be wrapped in profound secrecy.	To this end it was essential that his character as a Medicean agent should be unshaken for all Mediceans, and hence the fact that he had been a source of information to the authorities must be wrapped in profound secrecy.	false	327.63	339.4	18
5604_26982_000010_000004	Still, some odour of the facts might escape in spite of precaution, and before Tito could incur the unpleasant consequences of acting against his friends, he must be assured of immunity from any prosecution as a Medicean, and from deprivation of office for a year to come.	Still, some odour of the facts might escape in spite of precaution, and before Tito could incur the unpleasant consequences of acting against his friends, he must be assured of immunity from any prosecution as a Medicean, and from deprivation of office for a year to come.	false	339.89	355.72	20.360006
5604_26982_000011_000000	These propositions did not sound in the ear of Francesco Valori precisely as they sound to us.	These propositions did not sound in the ear of Francesco Valori precisely as they sound to us.	true	356.69	362.44	20
5604_26982_000011_000001	Valori's mind was not intensely bent on the estimation of Tito's conduct; and it _was_ intensely bent on procuring an extreme sentence against the five prisoners.	Valori's mind was not intensely bent on the estimation of Tito's conduct; and it underscore was underscore intensely bent on procuring an extreme sentence against the five prisoners.	false	362.84	371.71	19
5604_26982_000011_000002	There were sure to be immense efforts to save them; and it was to be wished (on public grounds) that the evidence against them should be of the strongest, so as to alarm all well-affected men at the dangers of clemency.	There were sure to be immense efforts to save them; and it was to be wished (on public grounds) that the evidence against them should be of the strongest, so as to alarm all well affected men at the dangers of clemency.	true	372.29	384.43	20.16991
5604_26982_000011_000003	The character of legal proceedings at that time implied that evidence was one of those desirable things which could only be come at by foul means.	The character of legal proceedings at that time implied that evidence was one of those desirable things which could only be come at by foul means.	true	384.56	392.44	21
5604_26982_000011_000004	To catch a few people and torture them into confessing everybody's guilt was one step towards justice; and it was not always easy to see the next, unless a traitor turned up.	To catch a few people and torture them into confessing everybody's guilt was one step towards justice; and it was not always easy to see the next, unless a traitor turned up.	true	392.84	402.25	19.409855
5604_26982_000011_000005	Lamberto dell' Antella had been tortured in aid of his previous willingness to tell more than he knew; nevertheless, additional and stronger facts were desirable, especially against Bernardo del Nero, who, so far as appeared hitherto, had simply refrained from betraying the late plot after having tried in vain to discourage it; for the welfare of Florence demanded that the guilt of Bernardo del Nero should be put in the strongest light.	Lamberto dell' Antella had been tortured in aid of his previous willingness to tell more than he knew; nevertheless, additional and stronger facts were desirable, especially against Bernardo del Nero, who, so far as appeared hitherto, had simply refrained from betraying the late plot after having tried in vain to discourage it; for the welfare of Florence demanded that the guilt of Bernardo del Nero should be put in the strongest light.	true	402.47	426.97	20.590837
5604_26982_000011_000006	So Francesco Valori zealously believed; and perhaps he was not himself aware that the strength of his zeal was determined by his hatred.	So Francesco Valori zealously believed; and perhaps he was not himself aware that the strength of his zeal was determined by his hatred.	true	427.01	434.41	19.358524
5604_26982_000011_000007	He decided that Tito's proposition ought to be accepted, laid it before his colleagues without disclosing Tito's name, and won them over to his opinion.	He decided that Tito's proposition ought to be accepted, laid it before his colleagues without disclosing Tito's name, and won them over to his opinion.	false	434.48	443.26	20.128256
