6317_54487_000001_000000	THE UNITED STATES AND THE EUROPEAN WAR	THE UNITED STATES AND THE EUROPEAN WAR
6317_54487_000002_000001	On June 28, the heir to the Austro-Hungarian throne was assassinated at Serajevo, the capital of Bosnia, an Austrian province occupied mainly by Serbs.	On june twenty eighth, the heir to the Austro Hungarian throne was assassinated at Serajevo, the capital of Bosnia, an Austrian province occupied mainly by Serbs.
6317_54487_000002_000003	Germany at once proposed that the issue should be regarded as "an affair which should be settled solely between Austria-Hungary and Serbia"; meaning that the small nation should be left to the tender mercies of a great power.	Germany at once proposed that the issue should be regarded as "an affair which should be settled solely between Austria Hungary and Serbia"; meaning that the small nation should be left to the tender mercies of a great power.
6317_54487_000002_000004	Russia refused to take this view.	Russia refused to take this view.
6317_54487_000002_000005	Great Britain proposed a settlement by mediation.	Great Britain proposed a settlement by mediation.
6317_54487_000002_000006	Germany backed up Austria to the limit.	Germany backed up Austria to the limit.
6317_54487_000002_000007	To use the language of the German authorities: "We were perfectly aware that a possible warlike attitude of Austria-Hungary against Serbia might bring Russia upon the field and that it might therefore involve us in a war, in accordance with our duties as allies.	To use the language of the German authorities: "We were perfectly aware that a possible warlike attitude of Austria Hungary against Serbia might bring Russia upon the field and that it might therefore involve us in a war, in accordance with our duties as allies.
6317_54487_000002_000008	We could not, however, in these vital interests of Austria-Hungary which were at stake, advise our ally to take a yielding attitude not compatible with his dignity nor deny him our assistance." That made the war inevitable.	We could not, however, in these vital interests of Austria Hungary which were at stake, advise our ally to take a yielding attitude not compatible with his dignity nor deny him our assistance." That made the war inevitable.
6317_54487_000003_000000	Every day of the fateful August, 1914, was crowded with momentous events.	Every day of the fateful August, nineteen fourteen, was crowded with momentous events.
6317_54487_000003_000003	On the same day, Great Britain, anxiously besought by the French government, promised the aid of the British navy if German warships made hostile demonstrations in the Channel.	On the same day, Great Britain, anxiously besought by the French government, promised the aid of the British navy if German warships made hostile demonstrations in the Channel.
6317_54487_000003_000005	The following day, Great Britain demanded of Germany respect for Belgian neutrality and, failing to receive the guarantee, broke off diplomatic relations.	The following day, Great Britain demanded of Germany respect for Belgian neutrality and, failing to receive the guarantee, broke off diplomatic relations.
6317_54487_000003_000006	On the 5th, the British prime minister announced that war had opened between England and Germany.	On the fifth, the British prime minister announced that war had opened between England and Germany.
6317_54487_000003_000007	The storm now broke in all its pitiless fury.	The storm now broke in all its pitiless fury.
6317_54487_000004_000002	Moreover, they regarded the German imperial government as an autocratic power wielded in the interest of an ambitious military party.	Moreover, they regarded the German imperial government as an autocratic power wielded in the interest of an ambitious military party.
6317_54487_000004_000004	On the other hand, many Americans of German descent, in memory of their ties with the Fatherland, openly sympathized with the Central Powers; and many Americans of Irish descent, recalling their long and bitter struggle for home rule in Ireland, would have regarded British defeat as a merited redress of ancient grievances.	On the other hand, many Americans of German descent, in memory of their ties with the Fatherland, openly sympathized with the Central Powers; and many Americans of Irish descent, recalling their long and bitter struggle for home rule in Ireland, would have regarded British defeat as a merited redress of ancient grievances.
6317_54487_000005_000000	Extremely sensitive to American opinion, but ill informed about it, the German government soon began systematic efforts to present its cause to the people of the United States in the most favorable light possible. Dr. Bernhard Dernburg, the former colonial secretary of the German empire, was sent to America as a special agent.	Extremely sensitive to American opinion, but ill informed about it, the German government soon began systematic efforts to present its cause to the people of the United States in the most favorable light possible. dr Bernhard Dernburg, the former colonial secretary of the German empire, was sent to America as a special agent.
6317_54487_000005_000001	For months he filled the newspapers, magazines, and periodicals with interviews, articles, and notes on the justice of the Teutonic cause.	For months he filled the newspapers, magazines, and periodicals with interviews, articles, and notes on the justice of the Teutonic cause.
6317_54487_000005_000002	From a press bureau in New York flowed a stream of pamphlets, leaflets, and cartoons.	From a press bureau in New York flowed a stream of pamphlets, leaflets, and cartoons.
6317_54487_000007_000001	On this point there existed on August 1, 1914, a fairly definite body of principles by which nations were bound.	On this point there existed on august first nineteen fourteen, a fairly definite body of principles by which nations were bound.
6317_54487_000007_000004	In the second place, it was agreed that "contraband of war" found on an enemy or neutral ship was a lawful prize; any ship suspected of carrying it was liable to search and if caught with forbidden goods was subject to seizure.	In the second place, it was agreed that "contraband of war" found on an enemy or neutral ship was a lawful prize; any ship suspected of carrying it was liable to search and if caught with forbidden goods was subject to seizure.
6317_54487_000007_000005	In the third place, international law prescribed that a peaceful merchant ship, whether belonging to an enemy or to a neutral country, should not be destroyed or sunk without provision for the safety of crew and passengers.	In the third place, international law prescribed that a peaceful merchant ship, whether belonging to an enemy or to a neutral country, should not be destroyed or sunk without provision for the safety of crew and passengers.
6317_54487_000008_000001	As to contraband of war Great Britain put such a broad interpretation upon the term as to include nearly every important article of commerce.	As to contraband of war Great Britain put such a broad interpretation upon the term as to include nearly every important article of commerce.
6317_54487_000009_000000	A new question arose in connection with American trade with the neutral countries surrounding Germany.	A new question arose in connection with American trade with the neutral countries surrounding Germany.
6317_54487_000009_000001	Great Britain early began to intercept ships carrying oil, gasoline, and copper--all war materials of prime importance--on the ground that they either were destined ultimately to Germany or would release goods for sale to Germans.	Great Britain early began to intercept ships carrying oil, gasoline, and copper-all war materials of prime importance-on the ground that they either were destined ultimately to Germany or would release goods for sale to Germans.
6317_54487_000009_000002	On November 2, 1914, the English government announced that the Germans wore sowing mines in open waters and that therefore the whole of the North Sea was a military zone.	On november second nineteen fourteen, the English government announced that the Germans wore sowing mines in open waters and that therefore the whole of the North Sea was a military zone.
6317_54487_000009_000003	Ships bound for Denmark, Norway, and Sweden were ordered to come by the English Channel for inspection and sailing directions.	Ships bound for Denmark, Norway, and Sweden were ordered to come by the English Channel for inspection and sailing directions.
6317_54487_000009_000004	In effect, Americans were now licensed by Great Britain to trade in certain commodities and in certain amounts with neutral countries.	In effect, Americans were now licensed by Great Britain to trade in certain commodities and in certain amounts with neutral countries.
6317_54487_000011_000001	The German decree added that, as the British admiralty had ordered the use of neutral flags by English ships in time of distress, neutral vessels would be in danger of destruction if found in the forbidden area.	The German decree added that, as the British admiralty had ordered the use of neutral flags by English ships in time of distress, neutral vessels would be in danger of destruction if found in the forbidden area.
6317_54487_000011_000002	It was clear that Germany intended to employ submarines to destroy shipping.	It was clear that Germany intended to employ submarines to destroy shipping.
6317_54487_000011_000003	A new factor was thus introduced into naval warfare, one not provided for in the accepted laws of war.	A new factor was thus introduced into naval warfare, one not provided for in the accepted laws of war.
