6317_54487_000000_000000	In 1916 a second break in amicable relations occurred.	In nineteen sixteen a second break in amicable relations occurred.	false	0	0.99	15.755067
6317_54487_000000_000001	In the spring of that year a band of Villa's men raided the town of Columbus, New Mexico, killing several citizens and committing robberies.	In the spring of that year a band of Villa's men raided the town of Columbus, New Mexico, killing several citizens and committing robberies.	false	0.99	6.51	21.08468
6317_54487_000000_000002	A punitive expedition under the command of General Pershing was quickly sent out to capture the offenders.	A punitive expedition under the command of General Pershing was quickly sent out to capture the offenders.	false	6.51	11.55	22.017984
6317_54487_000000_000003	Against the protests of President Carranza, American forces penetrated deeply into Mexico without effecting the object of the undertaking.	Against the protests of President Carranza, American forces penetrated deeply into Mexico without effecting the object of the undertaking.	false	11.55	19.05	22.815527
6317_54487_000000_000004	This operation lasted until January, 1917, when the imminence of war with Germany led to the withdrawal of the American soldiers.	This operation lasted until January, nineteen seventeen, when the imminence of war with Germany led to the withdrawal of the American soldiers.	false	19.05	26.13	21.971785
6317_54487_000000_000005	Friendly relations were resumed with the Mexican government and the policy of "watchful waiting" was continued.	Friendly relations were resumed with the Mexican government and the policy of "watchful waiting" was continued.	false	26.13	30.16	21.644707
6317_54487_000001_000000	THE UNITED STATES AND THE EUROPEAN WAR	THE UNITED STATES AND THE EUROPEAN WAR	true	30.44	32.88	22
6317_54487_000002_000000	=The Outbreak of the War.=--In the opening days of August, 1914, the age-long jealousies of European nations, sharpened by new imperial ambitions, broke out in another general conflict such as had shaken the world in the days of Napoleon.	equals The Outbreak of the War.equals--In the opening days of August, nineteen fourteen, the age long jealousies of European nations, sharpened by new imperial ambitions, broke out in another general conflict such as had shaken the world in the days of Napoleon.	false	32.88	48.13	21.535957
6317_54487_000002_000001	On June 28, the heir to the Austro-Hungarian throne was assassinated at Serajevo, the capital of Bosnia, an Austrian province occupied mainly by Serbs.	On june twenty eighth, the heir to the Austro Hungarian throne was assassinated at Serajevo, the capital of Bosnia, an Austrian province occupied mainly by Serbs.	true	48.35	58.93	21
6317_54487_000002_000002	With a view to stopping Serbian agitation for independence, Austria-Hungary laid the blame for this incident on the government of Serbia and made humiliating demands on that country.	With a view to stopping Serbian agitation for independence, Austria Hungary laid the blame for this incident on the government of Serbia and made humiliating demands on that country.	true	59.09	69.4	19
6317_54487_000002_000003	Germany at once proposed that the issue should be regarded as "an affair which should be settled solely between Austria-Hungary and Serbia"; meaning that the small nation should be left to the tender mercies of a great power.	Germany at once proposed that the issue should be regarded as "an affair which should be settled solely between Austria Hungary and Serbia"; meaning that the small nation should be left to the tender mercies of a great power.	true	69.65	81.67	20
6317_54487_000002_000004	Russia refused to take this view.	Russia refused to take this view.	true	81.68	83.68	24.27528
6317_54487_000002_000005	Great Britain proposed a settlement by mediation.	Great Britain proposed a settlement by mediation.	true	83.9	86.68	23.486822
6317_54487_000002_000006	Germany backed up Austria to the limit.	Germany backed up Austria to the limit.	true	86.84	89.01	23.931551
6317_54487_000002_000007	To use the language of the German authorities: "We were perfectly aware that a possible warlike attitude of Austria-Hungary against Serbia might bring Russia upon the field and that it might therefore involve us in a war, in accordance with our duties as allies.	To use the language of the German authorities: "We were perfectly aware that a possible warlike attitude of Austria Hungary against Serbia might bring Russia upon the field and that it might therefore involve us in a war, in accordance with our duties as allies.	true	89.01	104.14	22.039835
6317_54487_000002_000008	We could not, however, in these vital interests of Austria-Hungary which were at stake, advise our ally to take a yielding attitude not compatible with his dignity nor deny him our assistance." That made the war inevitable.	We could not, however, in these vital interests of Austria Hungary which were at stake, advise our ally to take a yielding attitude not compatible with his dignity nor deny him our assistance." That made the war inevitable.	true	104.33	117.49	20.629501
6317_54487_000003_000000	Every day of the fateful August, 1914, was crowded with momentous events.	Every day of the fateful August, nineteen fourteen, was crowded with momentous events.	true	117.98	123.25	22.157652
6317_54487_000003_000001	On the 1st, Germany declared war on Russia.	On the first, Germany declared war on Russia.	true	123.35	126.3	18.23811
6317_54487_000003_000002	On the 2d, the Germans invaded the little duchy of Luxemburg and notified the King of Belgium that they were preparing to violate the neutrality of his realm on their way to Paris.	On the two d, the Germans invaded the little duchy of Luxemburg and notified the King of Belgium that they were preparing to violate the neutrality of his realm on their way to Paris.	false	126.3	136.27	22
6317_54487_000003_000003	On the same day, Great Britain, anxiously besought by the French government, promised the aid of the British navy if German warships made hostile demonstrations in the Channel.	On the same day, Great Britain, anxiously besought by the French government, promised the aid of the British navy if German warships made hostile demonstrations in the Channel.	true	136.52	146.71	22.404682
6317_54487_000003_000004	August 3d, the German government declared war on France.	August three d, the German government declared war on France.	false	146.96	150.7	22.733221
6317_54487_000003_000005	The following day, Great Britain demanded of Germany respect for Belgian neutrality and, failing to receive the guarantee, broke off diplomatic relations.	The following day, Great Britain demanded of Germany respect for Belgian neutrality and, failing to receive the guarantee, broke off diplomatic relations.	true	150.86	160.09	22.8958
