1913_147990_000000_000000	When I turned back to my room the place seemed much pleasanter than before.	When I turned back to my room the place seemed much pleasanter than before.	false	0	2.37	16.866686
1913_147990_000000_000001	Lena had left something warm and friendly in the lamplight.	Lena had left something warm and friendly in the lamplight.	false	2.37	3.81	20.774855
1913_147990_000000_000002	How I loved to hear her laugh again!	How I loved to hear her laugh again!	false	3.81	4.77	20.421017
1913_147990_000000_000003	It was so soft and unexcited and appreciative--gave a favorable interpretation to everything.	It was so soft and unexcited and appreciative-gave a favorable interpretation to everything.	false	4.77	7.8	20.813421
1913_147990_000000_000004	When I closed my eyes I could hear them all laughing--the Danish laundry girls and the three Bohemian Marys.	When I closed my eyes I could hear them all laughing-the Danish laundry girls and the three Bohemian Marys.	false	7.8	9.18	20.384274
1913_147990_000000_000005	Lena had brought them all back to me.	Lena had brought them all back to me.	false	9.18	9.18	
1913_147990_000000_000006	It came over me, as it had never done before, the relation between girls like those and the poetry of Virgil.	It came over me, as it had never done before, the relation between girls like those and the poetry of Virgil.	false	9.18	9.39	15
1913_147990_000000_000007	If there were no girls like them in the world, there would be no poetry.	If there were no girls like them in the world, there would be no poetry.	false	9.39	11.4	18
1913_147990_000000_000008	I understood that clearly, for the first time.	I understood that clearly, for the first time.	false	11.4	12.39	18.866291
1913_147990_000000_000009	This revelation seemed to me inestimably precious.	This revelation seemed to me inestimably precious.	false	12.39	13.17	11
1913_147990_000000_000010	I clung to it as if it might suddenly vanish.	I clung to it as if it might suddenly vanish.	false	13.17	14.31	19
1913_147990_000001_000000	As I sat down to my book at last, my old dream about Lena coming across the harvest field in her short skirt seemed to me like the memory of an actual experience.	As I sat down to my book at last, my old dream about Lena coming across the harvest field in her short skirt seemed to me like the memory of an actual experience.	false	14.31	18.15	22.00634
1913_147990_000001_000001	It floated before me on the page like a picture, and underneath it stood the mournful line: Optima dies {~HORIZONTAL ELLIPSIS~} prima fugit.	It floated before me on the page like a picture, and underneath it stood the mournful line: Optima dies {~ HORIZONTAL ELLIPSIS ~} prima fugit.	false	18.15	24.735	21.050962
1913_147990_000002_000000	III	three	true	24.735	25.3	18.491774
1913_147990_000003_000000	IN Lincoln the best part of the theatrical season came late, when the good companies stopped off there for one-night stands, after their long runs in New York and Chicago.	IN Lincoln the best part of the theatrical season came late, when the good companies stopped off there for one night stands, after their long runs in New York and Chicago.	true	26.93	36.07	22.141832
1913_147990_000003_000001	That spring Lena went with me to see Joseph Jefferson in "Rip Van Winkle," and to a war play called "Shenandoah." She was inflexible about paying for her own seat; said she was in business now, and she would n't have a schoolboy spending his money on her.	That spring Lena went with me to see Joseph Jefferson in "Rip Van Winkle," and to a war play called "Shenandoah." She was inflexible about paying for her own seat; said she was in business now, and she would n't have a schoolboy spending his money on her.	false	36.8	51.73	21.005753
1913_147990_000003_000002	I liked to watch a play with Lena; everything was wonderful to her, and everything was true.	I liked to watch a play with Lena; everything was wonderful to her, and everything was true.	true	52.16	57.33	21.822296
1913_147990_000003_000003	It was like going to revival meetings with some one who was always being converted.	It was like going to revival meetings with some one who was always being converted.	false	57.33	62.08	18.73568
1913_147990_000003_000004	She handed her feelings over to the actors with a kind of fatalistic resignation.	She handed her feelings over to the actors with a kind of fatalistic resignation.	true	62.6	67.3	20.753117
1913_147990_000003_000005	Accessories of costume and scene meant much more to her than to me.	Accessories of costume and scene meant much more to her than to me.	true	67.91	71.71	20.77282
1913_147990_000003_000006	She sat entranced through "Robin Hood" and hung upon the lips of the contralto who sang, "Oh, Promise Me!"	She sat entranced through "Robin Hood" and hung upon the lips of the contralto who sang, "Oh, Promise Me!"	true	72.11	78.64	21.477097
1913_147990_000004_000000	Toward the end of April, the billboards, which I watched anxiously in those days, bloomed out one morning with gleaming white posters on which two names were impressively printed in blue Gothic letters: the name of an actress of whom I had often heard, and the name "Camille."	Toward the end of April, the billboards, which I watched anxiously in those days, bloomed out one morning with gleaming white posters on which two names were impressively printed in blue Gothic letters: the name of an actress of whom I had often heard, and the name "Camille."	true	79.64	97.42	22.882023
1913_147990_000005_000000	I called at the Raleigh Block for Lena on Saturday evening, and we walked down to the theater.	I called at the Raleigh Block for Lena on Saturday evening, and we walked down to the theater.	true	98.3	102.88	21.68531
1913_147990_000005_000001	The weather was warm and sultry and put us both in a holiday humor.	The weather was warm and sultry and put us both in a holiday humor.	true	103.43	107.05	20.935623
1913_147990_000005_000002	We arrived early, because Lena liked to watch the people come in.	We arrived early, because Lena liked to watch the people come in.	true	107.48	110.62	24.720505
1913_147990_000005_000003	There was a note on the programme, saying that the "incidental music" would be from the opera "Traviata," which was made from the same story as the play.	There was a note on the programme, saying that the "incidental music" would be from the opera "Traviata," which was made from the same story as the play.	true	111.35	119.89	21.996748
1913_147990_000005_000004	We had neither of us read the play, and we did not know what it was about--though I seemed to remember having heard it was a piece in which great actresses shone.	We had neither of us read the play, and we did not know what it was about-though I seemed to remember having heard it was a piece in which great actresses shone.	false	120.41	128.17	22.042645
1913_147990_000005_000005	"The Count of Monte Cristo," which I had seen James O'Neill play that winter, was by the only Alexandre Dumas I knew.	"The Count of Monte Cristo," which I had seen james O'Neill play that winter, was by the only Alexandre Dumas I knew.	true	128.69	135.91	22.00837
1913_147990_000005_000006	This play, I saw, was by his son, and I expected a family resemblance.	This play, I saw, was by his son, and I expected a family resemblance.	true	136.43	140.95	20.387903
