8138_293531_000000_000000	Peter did not know what to make of it, but he was bound to get that note to Nell.	peter did not know what to make of it, but he was bound to get that note to Nell.	false	0	4.47	21.178934
8138_293531_000000_000001	So when the imp returned, he pointed her out, and the imp went again and handed the note to her.	So when the imp returned, he pointed her out, and the imp went again and handed the note to her.	false	4.47	5.7	19.437166
8138_293531_000000_000002	Peter saw her take it--then he darted away; and remembering suddenly that he was supposed to be on duty, be rushed back to the office and inquired for Mr. Lackman.	peter saw her take it-then he darted away; and remembering suddenly that he was supposed to be on duty, be rushed back to the office and inquired for mr Lackman.	false	5.7	10.23	18.739676
8138_293531_000000_000003	To his horror he learned that Mr. Lackman had returned, paid his bill, and departed with his suitcase to a destination unknown!	To his horror he learned that mr Lackman had returned, paid his bill, and departed with his suitcase to a destination unknown!	false	10.23	11.655	16.353434
8138_293531_000001_000000	Section 39	Section thirty nine	true	11.655	13.15	21.000439
8138_293531_000002_000000	Peter had a midnight appointment with McGivney, and now had to go and admit this humiliating failure.	peter had a midnight appointment with McGivney, and now had to go and admit this humiliating failure.	true	13.31	19.78	18.915276
8138_293531_000002_000001	He had done his best, he declared; he had inquired at the desk, and waited and waited, but the hotel people had failed to notify him of Lackman's arrival.	He had done his best, he declared; he had inquired at the desk, and waited and waited, but the hotel people had failed to notify him of Lackman's arrival.	true	20	28.54	20.70941
8138_293531_000002_000002	All this was strictly true; but it did not pacify McGivney, who was in a black fury.	All this was strictly true; but it did not pacify McGivney, who was in a black fury.	true	28.7	34.39	21.187176
8138_293531_000002_000003	"It might have been worth thousands of dollars to you!" he declared.	"It might have been worth thousands of dollars to you!" he declared.	true	34.46	37.77	20.20623
8138_293531_000002_000004	"He's the biggest fish we'll ever get on our hook."	"He's the biggest fish we'll ever get on our hook."	true	37.77	40.6	22.503391
8138_293531_000003_000000	"Won't he come again?" asked grief-stricken Peter.	"Won't he come again?" asked grief stricken peter.	true	40.94	44.14	20.55559
8138_293531_000004_000000	"No," declared the other.	"No," declared the other.	true	44.42	46.185	21.023573
8138_293531_000004_000001	"They'll get him at his home city."	"They'll get him at his home city."	true	46.185	48.01	20.16283
8138_293531_000005_000000	"But won't that do?" asked Peter, naively.	"But won't that do?" asked peter, naively.	false	48.32	51.34	21.37409
8138_293531_000006_000000	"You damned fool!" was McGivney's response.	"You damned fool!" was McGivney's response.	true	52.04	55.14	23.107813
8138_293531_000006_000001	"We wanted to get him here, where we could pluck him ourselves."	"We wanted to get him here, where we could pluck him ourselves."	false	55.14	58.57	21.754446
8138_293531_000007_000000	The rat-faced man hadn't intended to tell Peter so much, but in his rage he let it out.	The rat faced man hadn't intended to tell peter so much, but in his rage he let it out.	true	59.09	64.66	20.458199
8138_293531_000007_000001	He and a couple of his friends had planned to "get something" on this young millionaire, and scare the wits out of him, with the idea that he would put up a good many thousand dollars to be let off.	He and a couple of his friends had planned to "get something" on this young millionaire, and scare the wits out of him, with the idea that he would put up a good many thousand dollars to be let off.	true	64.94	75.61	20.876034
8138_293531_000007_000002	Peter might have had his share of this--only he had been fool enough to let the bird get out of his net!	peter might have had his share of this-only he had been fool enough to let the bird get out of his net!	true	75.92	81.64	18.888521
8138_293531_000008_000000	Peter offered to follow the young man to his home city, and find some way to lure him back into McGivney's power.	peter offered to follow the young man to his home city, and find some way to lure him back into McGivney's power.	true	82.28	88.78	20.554365
8138_293531_000008_000001	After McGivney had stormed for a while, he decided that this might be possible.	After McGivney had stormed for a while, he decided that this might be possible.	true	89.12	94.15	20.073702
8138_293531_000008_000002	He would talk it over with the others, and let Peter know.	He would talk it over with the others, and let peter know.	true	94.34	97.24	17.944101
8138_293531_000008_000003	But alas, when Peter picked up an afternoon newspaper next day, he read on the front page how young Lackman, stepping off the train in his home city that morning, had been placed under arrest; his school had been raided, and half a dozen of the teachers were in jail, and a ton of Red literature had been confiscated, and a swarm of dire conspiracies against the safety of the country had been laid bare!	But alas, when peter picked up an afternoon newspaper next day, he read on the front page how young Lackman, stepping off the train in his home city that morning, had been placed under arrest; his school had been raided, and half a dozen of the teachers were in jail, and a ton of Red literature had been confiscated, and a swarm of dire conspiracies against the safety of the country had been laid bare!	true	97.61	122.32	21.248165
8138_293531_000009_000000	Peter read this news, and knew that he was in for another stormy hour with his boss.	peter read this news, and knew that he was in for another stormy hour with his boss.	true	123.08	128.26	20.229393
8138_293531_000009_000001	But he hardly gave a thought to it, because of something which had happened a few minutes before, something of so much greater importance.	But he hardly gave a thought to it, because of something which had happened a few minutes before, something of so much greater importance.	false	128.48	136.11	20.484015
