8138_293531_000001_000000	Section 39	Section thirty nine
8138_293531_000002_000001	He had done his best, he declared; he had inquired at the desk, and waited and waited, but the hotel people had failed to notify him of Lackman's arrival.	He had done his best, he declared; he had inquired at the desk, and waited and waited, but the hotel people had failed to notify him of Lackman's arrival.
8138_293531_000002_000002	All this was strictly true; but it did not pacify McGivney, who was in a black fury.	All this was strictly true; but it did not pacify McGivney, who was in a black fury.
8138_293531_000002_000003	"It might have been worth thousands of dollars to you!" he declared.	"It might have been worth thousands of dollars to you!" he declared.
8138_293531_000002_000004	"He's the biggest fish we'll ever get on our hook."	"He's the biggest fish we'll ever get on our hook."
8138_293531_000003_000000	"Won't he come again?" asked grief-stricken Peter.	"Won't he come again?" asked grief stricken peter.
8138_293531_000004_000000	"No," declared the other.	"No," declared the other.
8138_293531_000004_000001	"They'll get him at his home city."	"They'll get him at his home city."
8138_293531_000006_000000	"You damned fool!" was McGivney's response.	"You damned fool!" was McGivney's response.
8138_293531_000007_000000	The rat-faced man hadn't intended to tell Peter so much, but in his rage he let it out.	The rat faced man hadn't intended to tell peter so much, but in his rage he let it out.
8138_293531_000007_000001	He and a couple of his friends had planned to "get something" on this young millionaire, and scare the wits out of him, with the idea that he would put up a good many thousand dollars to be let off.	He and a couple of his friends had planned to "get something" on this young millionaire, and scare the wits out of him, with the idea that he would put up a good many thousand dollars to be let off.
8138_293531_000008_000000	Peter offered to follow the young man to his home city, and find some way to lure him back into McGivney's power.	peter offered to follow the young man to his home city, and find some way to lure him back into McGivney's power.
8138_293531_000008_000001	After McGivney had stormed for a while, he decided that this might be possible.	After McGivney had stormed for a while, he decided that this might be possible.
8138_293531_000009_000000	Peter read this news, and knew that he was in for another stormy hour with his boss.	peter read this news, and knew that he was in for another stormy hour with his boss.
8138_293531_000010_000000	"All right.	"All right.
8138_293531_000010_000001	Meet me in the waiting-room of Guggenheim's Department Store at two o'clock this afternoon.	Meet me in the waiting room of Guggenheim's Department Store at two o'clock this afternoon.
8138_293531_000010_000002	But for God's sake forget Nell Doolin.	But for God's sake forget Nell Doolin.
8138_293531_000011_000000	So here was Peter dressed in his best clothes, as for his temporary honeymoon with the grass widow, and on the way to the rendezvous an hour ahead of time.	So here was peter dressed in his best clothes, as for his temporary honeymoon with the grass widow, and on the way to the rendezvous an hour ahead of time.
8138_293531_000012_000002	Nell wanted to know forthwith what was he doing; he answered that he could not tell, it was a secret of the most desperate import; he was under oath.	Nell wanted to know forthwith what was he doing; he answered that he could not tell, it was a secret of the most desperate import; he was under oath.
8138_293531_000014_000000	He told about the sums he had been making and was expecting to make; he told about Lackman, and showed Nell the newspaper with pictures of the young millionaire and his school.	He told about the sums he had been making and was expecting to make; he told about Lackman, and showed Nell the newspaper with pictures of the young millionaire and his school.
8138_293531_000015_000000	"How do you mean?" asked Peter, a little puzzled.	"How do you mean?" asked peter, a little puzzled.
8138_293531_000015_000001	Could it be that Nell had any sympathy for these Reds?	Could it be that Nell had any sympathy for these Reds?
8138_293531_000016_000000	"I mean," she answered, "that he'd have been worth more to you than all the rest put together."	"I mean," she answered, "that he'd have been worth more to you than all the rest put together."
8138_293531_000017_000002	They're getting the swag, and just giving you tips.	They're getting the swag, and just giving you tips.
8138_293531_000018_000000	Peter's heart leaped.	Peter's heart leaped.
8138_293531_000019_000001	"He'd cut my throat, and yours too, if he knew I was here.	"He'd cut my throat, and yours too, if he knew I was here.
8138_293531_000019_000002	But I'll try to get myself free, and then maybe--I won't promise, but I'll think over your problem, Peter, and I'll certainly try to help, so that McGivney and Guffey and those fellows can't play you for a sucker any longer."	But I'll try to get myself free, and then maybe-I won't promise, but I'll think over your problem, peter, and I'll certainly try to help, so that McGivney and Guffey and those fellows can't play you for a sucker any longer."
8138_293531_000020_000001	She would meet Peter again the next day, and in a more private place than here.	She would meet peter again the next day, and in a more private place than here.
8138_293531_000020_000002	She named a spot in the city park which would be easy to find, and yet sufficiently remote for a quiet conference.	She named a spot in the city park which would be easy to find, and yet sufficiently remote for a quiet conference.
8138_293531_000021_000000	Section 40	Section forty
8138_293531_000022_000000	Peter had been made so bold by Nell's flattery and what she had said about his importance, that he did not go back to McGivney to take his second scolding about the Lackman case.	peter had been made so bold by Nell's flattery and what she had said about his importance, that he did not go back to McGivney to take his second scolding about the Lackman case.
8138_293531_000022_000002	Peter walked the streets all day and a part of the night, thinking about Nell, and thrilling over the half promises she had made him.	peter walked the streets all day and a part of the night, thinking about Nell, and thrilling over the half promises she had made him.
8138_293531_000023_000000	They met next day in the park.	They met next day in the park.
8138_293531_000023_000001	No one was following them, and they found a solitary place, and Nell let him kiss her several times, and in between the kisses she unfolded to him a terrifying plan.	No one was following them, and they found a solitary place, and Nell let him kiss her several times, and in between the kisses she unfolded to him a terrifying plan.
8138_293531_000024_000000	Peter had been doing the hard work, and these big fellows had been using him, handing him a tip now and then, and making fortunes out of the information he brought them.	peter had been doing the hard work, and these big fellows had been using him, handing him a tip now and then, and making fortunes out of the information he brought them.
8138_293531_000024_000002	What Peter must do was to work up something of his own, and get the real money, and make himself one of the big fellows.	What peter must do was to work up something of his own, and get the real money, and make himself one of the big fellows.
8138_293531_000024_000003	Peter had the facts, he knew the people; he had watched in the Goober case exactly how a "frame-up" was made, and now he must make one for himself, and one that would pay.	peter had the facts, he knew the people; he had watched in the Goober case exactly how a "frame up" was made, and now he must make one for himself, and one that would pay.
8138_293531_000025_000000	Nell had spent the night figuring over it, trying to pick out the right person.	Nell had spent the night figuring over it, trying to pick out the right person.
8138_293531_000025_000001	She had hit on old "Nelse" Ackerman, the banker. Ackerman was enormously and incredibly wealthy; he was called the financial king of American City.	She had hit on old "Nelse" Ackerman, the banker. Ackerman was enormously and incredibly wealthy; he was called the financial king of American City.
8138_293531_000026_000000	If Peter had stood alone, would he have dared so perilous a dream as this?	If peter had stood alone, would he have dared so perilous a dream as this?
8138_293531_000026_000001	Or was he a "piker"; a little fellow, the victim of his own fears and vanities?	Or was he a "piker"; a little fellow, the victim of his own fears and vanities?
8138_293531_000026_000004	So he said all right, he would go in on that plan; and proceeded to discuss with Nell the various personalities he might use.	So he said all right, he would go in on that plan; and proceeded to discuss with Nell the various personalities he might use.
8138_293531_000027_000001	"Mac," with his grim, set face and his silent, secretive habits, fitted perfectly to Peter's conception of a dynamiter.	"Mac," with his grim, set face and his silent, secretive habits, fitted perfectly to Peter's conception of a dynamiter.
8138_293531_000027_000002	Also "Mac" was Peter's personal enemy; "Mac" had just returned from his organizing trip in the oil fields, and had been denouncing Peter and gossiping about him in the various radical groups.	Also "Mac" was Peter's personal enemy; "Mac" had just returned from his organizing trip in the oil fields, and had been denouncing peter and gossiping about him in the various radical groups.
8138_293531_000027_000003	"Mac" was the most dangerous Red of them all!	"Mac" was the most dangerous Red of them all!
8138_293531_000027_000004	He must surely be one of the dynamiters!	He must surely be one of the dynamiters!
8138_293531_000028_000001	He was the boldest and most defiant of all the Reds that Peter had yet come upon.	He was the boldest and most defiant of all the Reds that peter had yet come upon.
8138_293531_000028_000003	It wasn't writing poems and passing resolutions that was wanted; it wasn't even men who would refuse to put on the uniform, but men who would take the guns that were offered to them, and drill themselves, and at the proper time face about and use the guns in the other direction.	It wasn't writing poems and passing resolutions that was wanted; it wasn't even men who would refuse to put on the uniform, but men who would take the guns that were offered to them, and drill themselves, and at the proper time face about and use the guns in the other direction.
