4116_13265_000000_000000	"It is the way the Master trod; Shall not the servant tread it still?"	"It is the way the Master trod; Shall not the servant tread it still?"	false	3.03	14.88	23.877438
4116_13265_000001_000000	Chapter Twenty-one	Chapter Twenty one	false	14.88	19.875	23.637503
4116_13265_000002_000000	"Master, I will follow Thee whithersoever Thou goest."	"Master, I will follow Thee whithersoever Thou goest."	true	19.875	23.38	25.3848
4116_13265_000003_000000	THE Saturday afternoon matinee at the Auditorium in Chicago was just over and the usual crowd was struggling to get to its carriage before any one else.	THE Saturday afternoon matinee at the Auditorium in Chicago was just over and the usual crowd was struggling to get to its carriage before any one else.	true	23.69	32.55	23.695797
4116_13265_000003_000001	The Auditorium attendant was shouting out the numbers of different carriages and the carriage doors were slamming as the horses were driven rapidly up to the curb, held there impatiently by the drivers who had shivered long in the raw east wind, and then let go to plunge for a few minutes into the river of vehicles that tossed under the elevated railway and finally went whirling off up the avenue.	The Auditorium attendant was shouting out the numbers of different carriages and the carriage doors were slamming as the horses were driven rapidly up to the curb, held there impatiently by the drivers who had shivered long in the raw east wind, and then let go to plunge for a few minutes into the river of vehicles that tossed under the elevated railway and finally went whirling off up the avenue.	false	32.55	52.66	23.805372
4116_13265_000004_000000	"Now then, 624," shouted the Auditorium attendant; "624!" he repeated, and there dashed up to the curb a splendid span of black horses attached to a carriage having the monogram, "C.	"Now then, six hundred twenty four," shouted the Auditorium attendant; "six hundred twenty four!" he repeated, and there dashed up to the curb a splendid span of black horses attached to a carriage having the monogram, "C.	false	52.7	65.37	25.058811
4116_13265_000004_000001	R. S." in gilt letters on the panel of the door.	r s" in gilt letters on the panel of the door.	true	65.37	68.35	25.020903
4116_13265_000005_000000	Two girls stepped out of the crowd towards the carriage.	Two girls stepped out of the crowd towards the carriage.	true	68.6	71.655	24.413582
4116_13265_000005_000001	The older one had entered and taken her seat and the attendant was still holding the door open for the younger, who stood hesitating on the curb.	The older one had entered and taken her seat and the attendant was still holding the door open for the younger, who stood hesitating on the curb.	false	71.655	79.08	23.927294
4116_13265_000006_000000	"Come, Felicia!	"Come, Felicia!	true	79.08	80.34	21.305376
4116_13265_000006_000001	What are you waiting for!	What are you waiting for!	false	80.34	81.21	14.905347
4116_13265_000006_000002	I shall freeze to death!" called the voice from the carriage.	I shall freeze to death!" called the voice from the carriage.	true	81.21	84.34	24.436207
4116_13265_000007_000000	The girl outside of the carriage hastily unpinned a bunch of English violets from her dress and handed them to a small boy who was standing shivering on the edge of the sidewalk almost under the horses' feet.	The girl outside of the carriage hastily unpinned a bunch of English violets from her dress and handed them to a small boy who was standing shivering on the edge of the sidewalk almost under the horses' feet.	false	84.59	95.28	24.261488
4116_13265_000007_000001	He took them, with a look of astonishment and a "Thank ye, lady!" and instantly buried a very grimy face in the bunch of perfume.	He took them, with a look of astonishment and a "Thank ye, lady!" and instantly buried a very grimy face in the bunch of perfume.	true	95.28	102.37	25.70114
4116_13265_000007_000002	The girl stepped into the carriage, the door shut with the incisive bang peculiar to well-made carriages of this sort, and in a few moments the coachman was speeding the horses rapidly up one of the boulevards.	The girl stepped into the carriage, the door shut with the incisive bang peculiar to well made carriages of this sort, and in a few moments the coachman was speeding the horses rapidly up one of the boulevards.	false	102.47	113.49	25.766665
4116_13265_000008_000000	"You are always doing some queer thing or other, Felicia," said the older girl as the carriage whirled on past the great residences already brilliantly lighted.	"You are always doing some queer thing or other, Felicia," said the older girl as the carriage whirled on past the great residences already brilliantly lighted.	false	113.49	122.08	25.447784
4116_13265_000009_000000	"Am I? What have I done that is queer now, Rose?" asked the other, looking up suddenly and turning her head towards her sister.	"Am I? What have I done that is queer now, Rose?" asked the other, looking up suddenly and turning her head towards her sister.	true	122.3	129.25	23.21487
4116_13265_000010_000000	"Oh, giving those violets to that boy!	"Oh, giving those violets to that boy!	true	129.35	131.955	25.17992
4116_13265_000010_000001	He looked as if he needed a good hot supper more than a bunch of violets.	He looked as if he needed a good hot supper more than a bunch of violets.	true	131.955	135.43	20
4116_13265_000010_000002	It's a wonder you didn't invite him home with us.	It's a wonder you didn't invite him home with us.	true	135.5	137.4	17.912928
4116_13265_000010_000003	I shouldn't have been surprised if you had.	I shouldn't have been surprised if you had.	true	137.4	139.47	26.721027
4116_13265_000010_000004	You are always doing such queer things."	You are always doing such queer things."	false	139.47	141.99	28.608131
4116_13265_000011_000000	"Would it be queer to invite a boy like that to come to the house and get a hot supper?" Felicia asked the question softly and almost as if she were alone.	"Would it be queer to invite a boy like that to come to the house and get a hot supper?" Felicia asked the question softly and almost as if she were alone.	false	141.99	150.49	25.666103
4116_13265_000012_000000	"'Queer' isn't just the word, of course," replied Rose indifferently.	"'Queer' isn't just the word, of course," replied Rose indifferently.	true	150.8	154.8	22.009699
4116_13265_000012_000001	"It would be what Madam Blanc calls 'outre.' Decidedly.	"It would be what Madam Blanc calls 'outre.' Decidedly.	true	154.8	158.8	24.09692
4116_13265_000012_000002	Therefore you will please not invite him or others like him to hot suppers because I suggested it.	Therefore you will please not invite him or others like him to hot suppers because I suggested it.	true	158.93	163.95	21
4116_13265_000012_000003	Oh, dear!	Oh, dear!	false	163.95	165.315	24.396671
4116_13265_000012_000004	I'm awfully tired."	I'm awfully tired."	true	165.315	166.75	24.061798
4116_13265_000013_000000	She yawned, and Felicia silently looked out of the window in the door.	She yawned, and Felicia silently looked out of the window in the door.	false	167.06	170.98	21.987513
4116_13265_000014_000000	"The concert was stupid and the violinist was simply a bore.	"The concert was stupid and the violinist was simply a bore.	true	171.23	175.27	23.89226
4116_13265_000014_000001	I don't see how you could sit so still through it all," Rose exclaimed a little impatiently.	I don't see how you could sit so still through it all," Rose exclaimed a little impatiently.	true	175.37	180.31	24.890068
4116_13265_000015_000000	"I liked the music," answered Felicia quietly.	"I liked the music," answered Felicia quietly.	true	180.65	184.06	26.898268
4116_13265_000016_000000	"You like anything.	"You like anything.	true	184.31	185.68	25.869139
4116_13265_000016_000001	I never saw a girl with so little critical taste."	I never saw a girl with so little critical taste."	true	185.75	188.35	27.385006
4116_13265_000017_000000	Felicia colored slightly, but would not answer.	Felicia colored slightly, but would not answer.	true	188.45	191.31	23.188168
4116_13265_000017_000001	Rose yawned again, and then hummed a fragment of a popular song.	Rose yawned again, and then hummed a fragment of a popular song.	true	191.31	195.34	21.511503
4116_13265_000017_000002	Then she exclaimed abruptly: "I'm sick of 'most everything.	Then she exclaimed abruptly: "I'm sick of 'most everything.	true	195.35	199.245	25.719206
4116_13265_000017_000003	I hope the 'Shadows of London' will be exciting tonight."	I hope the 'Shadows of London' will be exciting tonight."	true	199.245	201.79	28.7617
4116_13265_000018_000000	"The 'Shadows of Chicago,'" murmured Felicia.	"The 'Shadows of Chicago,'" murmured Felicia.	true	202.19	204.915	24.040688
4116_13265_000018_000001	"The 'Shadows of Chicago!' The 'Shadows of London,' the play, the great drama with its wonderful scenery, the sensation of New York for two months.	"The 'Shadows of Chicago!' The 'Shadows of London,' the play, the great drama with its wonderful scenery, the sensation of New York for two months.	false	204.915	212.59	25.779047
4116_13265_000018_000002	You know we have a box with the Delanos tonight."	You know we have a box with the Delanos tonight."	true	212.84	215.38	21.887217
4116_13265_000019_000000	Felicia turned her face towards her sister.	Felicia turned her face towards her sister.	true	215.51	218.1	25.470507
4116_13265_000019_000001	Her great brown eyes were very expressive and not altogether free from a sparkle of luminous heat.	Her great brown eyes were very expressive and not altogether free from a sparkle of luminous heat.	true	218.1	223.84	23.496252
4116_13265_000020_000000	"And yet we never weep over the real thing on the actual stage of life.	"And yet we never weep over the real thing on the actual stage of life.	true	224.03	228.81	23.131155
4116_13265_000020_000001	What are the 'Shadows of London' on the stage to the shadows of London or Chicago as they really exist?	What are the 'Shadows of London' on the stage to the shadows of London or Chicago as they really exist?	true	228.81	234.1	21.04477
4116_13265_000020_000002	Why don't we get excited over the facts as they are?"	Why don't we get excited over the facts as they are?"	false	234.11	237.33	22.165144
4116_13265_000021_000000	"Because the actual people are dirty and disagreeable and it's too much bother, I suppose," replied Rose carelessly.	"Because the actual people are dirty and disagreeable and it's too much bother, I suppose," replied Rose carelessly.	true	237.33	244.06	23
4116_13265_000021_000001	"Felicia, you can never reform the world.	"Felicia, you can never reform the world.	true	244.4	246.735	25.104212
4116_13265_000021_000002	What's the use?	What's the use?	true	246.735	247.75	29
4116_13265_000021_000003	We're not to blame for the poverty and misery.	We're not to blame for the poverty and misery.	true	247.82	250.26	25
4116_13265_000021_000004	There have always been rich and poor; and there always will be.	There have always been rich and poor; and there always will be.	false	250.26	253.26	30.743456
4116_13265_000021_000005	We ought to be thankful we're rich."	We ought to be thankful we're rich."	true	253.26	254.98	27.211237
4116_13265_000022_000000	"Suppose Christ had gone on that principle," replied Felicia, with unusual persistence.	"Suppose Christ had gone on that principle," replied Felicia, with unusual persistence.	true	255.32	260.445	22.995228
4116_13265_000022_000001	"Do you remember Dr. Bruce's sermon on that verse a few Sundays ago: 'For ye know the grace of our Lord Jesus Christ, that though he was rich yet for our sakes he became poor, that ye through his poverty might become rich'?"	"Do you remember dr Bruce's sermon on that verse a few Sundays ago: 'For ye know the grace of our Lord Jesus Christ, that though he was rich yet for our sakes he became poor, that ye through his poverty might become rich'?"	false	260.445	272.71	24.143913
4116_13265_000023_000000	"I remember it well enough," said Rose with some petulance, "and didn't Dr. Bruce go on to say that there is no blame attached to people who have wealth if they are kind and give to the needs of the poor?	"I remember it well enough," said Rose with some petulance, "and didn't dr Bruce go on to say that there is no blame attached to people who have wealth if they are kind and give to the needs of the poor?	false	272.96	282.78	26.145184
4116_13265_000023_000001	And I am sure that he himself is pretty comfortably settled. He never gives up his luxuries just because some people go hungry. What good would it do if he did?	And I am sure that he himself is pretty comfortably settled. He never gives up his luxuries just because some people go hungry. What good would it do if he did?	false	282.78	290.74	24.701624
