4098_11546_000001_000000	CHAPTER III.	CHAPTER three.
4098_11546_000002_000000	THE MEETING.	THE MEETING.
4098_11546_000003_000000	But Denis Oglethorpe did not appear again for several days.	But Denis Oglethorpe did not appear again for several days.
4098_11546_000003_000001	Perhaps business detained him; perhaps he went oftener to see Priscilla.	Perhaps business detained him; perhaps he went oftener to see Priscilla.
4098_11546_000003_000002	At any rate, he did not call again until the end of the week.	At any rate, he did not call again until the end of the week.
4098_11546_000004_000000	Lady Throckmorton was in her private room when he came, and as he made his entrance with as little ceremony as usual, he ran in upon Theodora. Now, to tell the truth, he had, until this moment, forgotten all about that young person's very existence.	Lady Throckmorton was in her private room when he came, and as he made his entrance with as little ceremony as usual, he ran in upon Theodora. Now, to tell the truth, he had, until this moment, forgotten all about that young person's very existence.
4098_11546_000004_000001	He saw so many pretty girls in a day's round, and he was so often too busy to notice half of them--though he was an admirer of pretty girls--that it was nothing new to see one and forget her, until chance threw them together again.	He saw so many pretty girls in a day's round, and he was so often too busy to notice half of them-though he was an admirer of pretty girls-that it was nothing new to see one and forget her, until chance threw them together again.
4098_11546_000004_000002	Of course, he had noticed Theodora North that first night.	Of course, he had noticed Theodora North that first night.
4098_11546_000004_000003	How could a man help noticing her?	How could a man help noticing her?
4098_11546_000004_000004	And the something beautifully over-awed and bashfully curious in her lovely, uncommon eyes, had half amused him.	And the something beautifully over awed and bashfully curious in her lovely, uncommon eyes, had half amused him.
4098_11546_000004_000005	And yet, until this moment, he had forgotten her, with the assistance of proofs, and printers, and Priscilla.	And yet, until this moment, he had forgotten her, with the assistance of proofs, and printers, and Priscilla.
4098_11546_000006_000001	"To be sure; I had forgotten Theodora."	"To be sure; I had forgotten Theodora."
4098_11546_000007_000000	But Theodora had not forgotten him.	But Theodora had not forgotten him.
4098_11546_000007_000001	The moment she saw him she stood up blushing, and with a light in her eyes.	The moment she saw him she stood up blushing, and with a light in her eyes.
4098_11546_000007_000002	It was odd how un-English she looked, and yet how thoroughly English she was in that delicious, uncomfortable trick of blushing vividly upon all occasions.	It was odd how un English she looked, and yet how thoroughly English she was in that delicious, uncomfortable trick of blushing vividly upon all occasions.
4098_11546_000007_000004	She did not feel stately at all; she only felt somewhat confused, and rather glad that Mr. Denis Oglethorpe had surprised her by coming again.	She did not feel stately at all; she only felt somewhat confused, and rather glad that mr Denis Oglethorpe had surprised her by coming again.
4098_11546_000007_000005	How Mr. Denis Oglethorpe would have smiled if he had known what an innocent commotion his simple presence created!	How mr Denis Oglethorpe would have smiled if he had known what an innocent commotion his simple presence created!
4098_11546_000008_000001	"I will go and tell her you are here." There were no bells in the house at Downport, and no servants to answer if any one had rang one, and, very naturally, Theo forgot she was not at Downport.	"I will go and tell her you are here." There were no bells in the house at Downport, and no servants to answer if any one had rang one, and, very naturally, Theo forgot she was not at Downport.
4098_11546_000009_000000	"Excuse me.	"Excuse me.
4098_11546_000009_000001	No," said Mr. Denis Oglethorpe.	No," said mr Denis Oglethorpe.
