4098_11546_000000_000000	"THEO."	"THEO."	false	2.4	21.285	24.442411
4098_11546_000001_000000	CHAPTER III.	CHAPTER three.	true	21.285	22.27	28.582834
4098_11546_000002_000000	THE MEETING.	THE MEETING.	true	22.4	23.41	23.010927
4098_11546_000003_000000	But Denis Oglethorpe did not appear again for several days.	But Denis Oglethorpe did not appear again for several days.	true	24.17	27.84	22.995087
4098_11546_000003_000001	Perhaps business detained him; perhaps he went oftener to see Priscilla.	Perhaps business detained him; perhaps he went oftener to see Priscilla.	true	27.84	32.34	23.997341
4098_11546_000003_000002	At any rate, he did not call again until the end of the week.	At any rate, he did not call again until the end of the week.	true	32.34	35.92	23.276936
4098_11546_000004_000000	Lady Throckmorton was in her private room when he came, and as he made his entrance with as little ceremony as usual, he ran in upon Theodora. Now, to tell the truth, he had, until this moment, forgotten all about that young person's very existence.	Lady Throckmorton was in her private room when he came, and as he made his entrance with as little ceremony as usual, he ran in upon Theodora. Now, to tell the truth, he had, until this moment, forgotten all about that young person's very existence.	true	37.16	52.09	22.040207
4098_11546_000004_000001	He saw so many pretty girls in a day's round, and he was so often too busy to notice half of them--though he was an admirer of pretty girls--that it was nothing new to see one and forget her, until chance threw them together again.	He saw so many pretty girls in a day's round, and he was so often too busy to notice half of them-though he was an admirer of pretty girls-that it was nothing new to see one and forget her, until chance threw them together again.	true	52.13	65.29	23
4098_11546_000004_000002	Of course, he had noticed Theodora North that first night.	Of course, he had noticed Theodora North that first night.	true	65.54	69.25	22.794096
4098_11546_000004_000003	How could a man help noticing her?	How could a man help noticing her?	true	69.26	71.26	24
4098_11546_000004_000004	And the something beautifully over-awed and bashfully curious in her lovely, uncommon eyes, had half amused him.	And the something beautifully over awed and bashfully curious in her lovely, uncommon eyes, had half amused him.	true	71.51	78.16	20
4098_11546_000004_000005	And yet, until this moment, he had forgotten her, with the assistance of proofs, and printers, and Priscilla.	And yet, until this moment, he had forgotten her, with the assistance of proofs, and printers, and Priscilla.	true	78.29	84.79	24.17914
4098_11546_000005_000000	But when, after running lightly up the stair-case, he opened the drawing-room door, and saw a tall, lovely figure in a closely-fitting dress of purple cloth, bending over Sabre, and stroking his huge, tawny head with her supple little tender hand, he remembered.	But when, after running lightly up the stair case, he opened the drawing room door, and saw a tall, lovely figure in a closely fitting dress of purple cloth, bending over Sabre, and stroking his huge, tawny head with her supple little tender hand, he remembered.	false	85.49	101.34	23.674276
4098_11546_000006_000000	"Ah, yes!" he exclaimed, in an admiring aside.	"Ah, yes!" he exclaimed, in an admiring aside.	false	101.34	105.22	22.591047
4098_11546_000006_000001	"To be sure; I had forgotten Theodora."	"To be sure; I had forgotten Theodora."	true	105.32	108.01	25.170599
4098_11546_000007_000000	But Theodora had not forgotten him.	But Theodora had not forgotten him.	true	108.62	110.92	20.855799
4098_11546_000007_000001	The moment she saw him she stood up blushing, and with a light in her eyes.	The moment she saw him she stood up blushing, and with a light in her eyes.	true	111.11	115.39	21.714556
4098_11546_000007_000002	It was odd how un-English she looked, and yet how thoroughly English she was in that delicious, uncomfortable trick of blushing vividly upon all occasions.	It was odd how un English she looked, and yet how thoroughly English she was in that delicious, uncomfortable trick of blushing vividly upon all occasions.	true	115.4	125.32	23.057388
4098_11546_000007_000003	She was quite unconscious of the fact that the purple cloth was so becoming, and that its sweep of straight, heavy folds made her as stately as some Rajah's dark-eyed daughter.	She was quite unconscious of the fact that the purple cloth was so becoming, and that its sweep of straight, heavy folds made her as stately as some Rajah's dark eyed daughter.	false	125.96	135.94	23.966822
4098_11546_000007_000004	She did not feel stately at all; she only felt somewhat confused, and rather glad that Mr. Denis Oglethorpe had surprised her by coming again.	She did not feel stately at all; she only felt somewhat confused, and rather glad that mr Denis Oglethorpe had surprised her by coming again.	true	136.22	144.25	23
4098_11546_000007_000005	How Mr. Denis Oglethorpe would have smiled if he had known what an innocent commotion his simple presence created!	How mr Denis Oglethorpe would have smiled if he had known what an innocent commotion his simple presence created!	true	144.59	151.36	21
