2127_138047_000002_000000	CHAPTER XLII.	CHAPTER forty two.
2127_138047_000003_000000	OF THE COUNSELS WHICH DON QUIXOTE GAVE SANCHO PANZA BEFORE HE SET OUT TO GOVERN THE ISLAND, TOGETHER WITH OTHER WELL-CONSIDERED MATTERS	OF THE COUNSELS WHICH DON QUIXOTE GAVE SANCHO PANZA BEFORE HE SET OUT TO GOVERN THE ISLAND, TOGETHER WITH OTHER WELL CONSIDERED MATTERS
2127_138047_000004_000000	The duke and duchess were so well pleased with the successful and droll result of the adventure of the Distressed One, that they resolved to carry on the joke, seeing what a fit subject they had to deal with for making it all pass for reality.	The duke and duchess were so well pleased with the successful and droll result of the adventure of the Distressed One, that they resolved to carry on the joke, seeing what a fit subject they had to deal with for making it all pass for reality.
2127_138047_000004_000001	So having laid their plans and given instructions to their servants and vassals how to behave to Sancho in his government of the promised island, the next day, that following Clavileno's flight, the duke told Sancho to prepare and get ready to go and be governor, for his islanders were already looking out for him as for the showers of May.	So having laid their plans and given instructions to their servants and vassals how to behave to Sancho in his government of the promised island, the next day, that following Clavileno's flight, the duke told Sancho to prepare and get ready to go and be governor, for his islanders were already looking out for him as for the showers of May.
2127_138047_000005_000001	If your lordship would be so good as to give me ever so small a bit of heaven, were it no more than half a league, I'd rather have it than the best island in the world."	If your lordship would be so good as to give me ever so small a bit of heaven, were it no more than half a league, I'd rather have it than the best island in the world."
2127_138047_000006_000000	"Recollect, Sancho," said the duke, "I cannot give a bit of heaven, no not so much as the breadth of my nail, to anyone; rewards and favours of that sort are reserved for God alone.	"Recollect, Sancho," said the duke, "I cannot give a bit of heaven, no not so much as the breadth of my nail, to anyone; rewards and favours of that sort are reserved for God alone.
2127_138047_000006_000001	What I can give I give you, and that is a real, genuine island, compact, well proportioned, and uncommonly fertile and fruitful, where, if you know how to use your opportunities, you may, with the help of the world's riches, gain those of heaven."	What I can give I give you, and that is a real, genuine island, compact, well proportioned, and uncommonly fertile and fruitful, where, if you know how to use your opportunities, you may, with the help of the world's riches, gain those of heaven."
2127_138047_000009_000000	"Senor," said Sancho, "it is my belief it's a good thing to be in command, if it's only over a drove of cattle."	"Senor," said Sancho, "it is my belief it's a good thing to be in command, if it's only over a drove of cattle."
2127_138047_000012_000001	You, Sancho, shall go partly as a lawyer, partly as a captain, for, in the island I am giving you, arms are needed as much as letters, and letters as much as arms."	You, Sancho, shall go partly as a lawyer, partly as a captain, for, in the island I am giving you, arms are needed as much as letters, and letters as much as arms."
2127_138047_000013_000001	As for arms, I'll handle those they give me till I drop, and then, God be my help!"	As for arms, I'll handle those they give me till I drop, and then, God be my help!"
2127_138047_000014_000000	"With so good a memory," said the duke, "Sancho cannot go wrong in anything."	"With so good a memory," said the duke, "Sancho cannot go wrong in anything."
2127_138047_000015_000003	Some will bribe, beg, solicit, rise early, entreat, persist, without attaining the object of their suit; while another comes, and without knowing why or wherefore, finds himself invested with the place or office so many have sued for; and here it is that the common saying, 'There is good luck as well as bad luck in suits,' applies.	Some will bribe, beg, solicit, rise early, entreat, persist, without attaining the object of their suit; while another comes, and without knowing why or wherefore, finds himself invested with the place or office so many have sued for; and here it is that the common saying, 'There is good luck as well as bad luck in suits,' applies.
2127_138047_000015_000004	Thou, who, to my thinking, art beyond all doubt a dullard, without early rising or night watching or taking any trouble, with the mere breath of knight-errantry that has breathed upon thee, seest thyself without more ado governor of an island, as though it were a mere matter of course.	Thou, who, to my thinking, art beyond all doubt a dullard, without early rising or night watching or taking any trouble, with the mere breath of knight errantry that has breathed upon thee, seest thyself without more ado governor of an island, as though it were a mere matter of course.
2127_138047_000015_000006	With a heart, then, inclined to believe what I have said to thee, attend, my son, to thy Cato here who would counsel thee and be thy polestar and guide to direct and pilot thee to a safe haven out of this stormy sea wherein thou art about to ingulf thyself; for offices and great trusts are nothing else but a mighty gulf of troubles.	With a heart, then, inclined to believe what I have said to thee, attend, my son, to thy Cato here who would counsel thee and be thy polestar and guide to direct and pilot thee to a safe haven out of this stormy sea wherein thou art about to ingulf thyself; for offices and great trusts are nothing else but a mighty gulf of troubles.
2127_138047_000018_000000	"That's the truth," said Sancho; "but that was when I was a boy; afterwards when I was something more of a man it was geese I kept, not pigs.	"That's the truth," said Sancho; "but that was when I was a boy; afterwards when I was something more of a man it was geese I kept, not pigs.
2127_138047_000023_000000	"If thou carriest thy wife with thee (and it is not well for those that administer governments to be long without their wives), teach and instruct her, and strive to smooth down her natural roughness; for all that may be gained by a wise governor may be lost and wasted by a boorish stupid wife.	"If thou carriest thy wife with thee (and it is not well for those that administer governments to be long without their wives), teach and instruct her, and strive to smooth down her natural roughness; for all that may be gained by a wise governor may be lost and wasted by a boorish stupid wife.
2127_138047_000028_000000	"When equity may and should be brought into play, press not the utmost rigour of the law against the guilty; for the reputation of the stern judge stands not higher than that of the compassionate.	"When equity may and should be brought into play, press not the utmost rigour of the law against the guilty; for the reputation of the stern judge stands not higher than that of the compassionate.
2127_138047_000029_000000	"If perchance thou permittest the staff of justice to swerve, let it be not by the weight of a gift, but by that of mercy.	"If perchance thou permittest the staff of justice to swerve, let it be not by the weight of a gift, but by that of mercy.
2127_138047_000038_000000	OF THE SECOND SET OF COUNSELS DON QUIXOTE GAVE SANCHO PANZA	OF THE SECOND SET OF COUNSELS DON QUIXOTE GAVE SANCHO PANZA
2127_138047_000039_000000	Who, hearing the foregoing discourse of Don Quixote, would not have set him down for a person of great good sense and greater rectitude of purpose?	Who, hearing the foregoing discourse of Don Quixote, would not have set him down for a person of great good sense and greater rectitude of purpose?
2127_138047_000040_000000	Sancho listened to him with the deepest attention, and endeavoured to fix his counsels in his memory, like one who meant to follow them and by their means bring the full promise of his government to a happy issue. Don Quixote, then, went on to say:	Sancho listened to him with the deepest attention, and endeavoured to fix his counsels in his memory, like one who meant to follow them and by their means bring the full promise of his government to a happy issue. Don Quixote, then, went on to say:
2127_138047_000045_000000	"Dine sparingly and sup more sparingly still; for the health of the whole body is forged in the workshop of the stomach.	"Dine sparingly and sup more sparingly still; for the health of the whole body is forged in the workshop of the stomach.
2127_138047_000047_000000	"Take care, Sancho, not to chew on both sides, and not to eruct in anybody's presence."	"Take care, Sancho, not to chew on both sides, and not to eruct in anybody's presence."
2127_138047_000048_000000	"Eruct!" said Sancho; "I don't know what that means."	"Eruct!" said Sancho; "I don't know what that means."
2127_138047_000050_000000	"In truth, senor," said Sancho, "one of the counsels and cautions I mean to bear in mind shall be this, not to belch, for I'm constantly doing it."	"In truth, senor," said Sancho, "one of the counsels and cautions I mean to bear in mind shall be this, not to belch, for I'm constantly doing it."
2127_138047_000051_000000	"Eruct, Sancho, not belch," said Don Quixote.	"Eruct, Sancho, not belch," said Don Quixote.
2127_138047_000052_000000	"Eruct, I shall say henceforth, and I swear not to forget it," said Sancho.	"Eruct, I shall say henceforth, and I swear not to forget it," said Sancho.
2127_138047_000054_000000	"God alone can cure that," said Sancho; "for I have more proverbs in me than a book, and when I speak they come so thick together into my mouth that they fall to fighting among themselves to get out; that's why my tongue lets fly the first that come, though they may not be pat to the purpose.	"God alone can cure that," said Sancho; "for I have more proverbs in me than a book, and when I speak they come so thick together into my mouth that they fall to fighting among themselves to get out; that's why my tongue lets fly the first that come, though they may not be pat to the purpose.
2127_138047_000059_000000	"Thy attire shall be hose of full length, a long jerkin, and a cloak a trifle longer; loose breeches by no means, for they are becoming neither for gentlemen nor for governors.	"Thy attire shall be hose of full length, a long jerkin, and a cloak a trifle longer; loose breeches by no means, for they are becoming neither for gentlemen nor for governors.
2127_138047_000062_000002	Besides I can pretend my right hand is disabled and make some one else sign for me, for 'there's a remedy for everything except death;' and as I shall be in command and hold the staff, I can do as I like; moreover, 'he who has the alcalde for his father-,' and I'll be governor, and that's higher than alcalde.	Besides I can pretend my right hand is disabled and make some one else sign for me, for 'there's a remedy for everything except death;' and as I shall be in command and hold the staff, I can do as I like; moreover, 'he who has the alcalde for his father,' and I'll be governor, and that's higher than alcalde.
2127_138047_000063_000003	Tell me, where dost thou pick them up, thou booby?	Tell me, where dost thou pick them up, thou booby?
2127_138047_000065_000000	"That, Sancho, thou art not," said Don Quixote; "for not only art thou not sage silence, but thou art pestilent prate and perversity; still I would like to know what three proverbs have just now come into thy memory, for I have been turning over mine own--and it is a good one--and none occurs to me."	"That, Sancho, thou art not," said Don Quixote; "for not only art thou not sage silence, but thou art pestilent prate and perversity; still I would like to know what three proverbs have just now come into thy memory, for I have been turning over mine own-and it is a good one-and none occurs to me."
2127_138047_000066_000002	So that he 'who sees the mote in another's eye had need to see the beam in his own,' that it be not said of himself, 'the dead woman was frightened at the one with her throat cut;' and your worship knows well that 'the fool knows more in his own house than the wise man in another's.'"	So that he 'who sees the mote in another's eye had need to see the beam in his own,' that it be not said of himself, 'the dead woman was frightened at the one with her throat cut;' and your worship knows well that 'the fool knows more in his own house than the wise man in another's.'"
