2127_138047_000000_000000	"No, senor," said Sancho; "but I have heard say that none ever passed the horns of the moon."	"No, senor," said Sancho; "but I have heard say that none ever passed the horns of the moon."	false	0	3.54	23.14894
2127_138047_000001_000000	They did not care to ask him anything more about his journey, for they saw he was in the vein to go rambling all over the heavens giving an account of everything that went on there, without having ever stirred from the garden.	They did not care to ask him anything more about his journey, for they saw he was in the vein to go rambling all over the heavens giving an account of everything that went on there, without having ever stirred from the garden.	false	3.54	8.1	21
2127_138047_000001_000001	Such, in short, was the end of the adventure of the Distressed Duenna, which gave the duke and duchess laughing matter not only for the time being, but for all their lives, and Sancho something to talk about for ages, if he lived so long; but Don Quixote, coming close to his ear, said to him, "Sancho, as you would have us believe what you saw in heaven, I require you to believe me as to what I saw in the cave of Montesinos; I say no more."	Such, in short, was the end of the adventure of the Distressed Duenna, which gave the duke and duchess laughing matter not only for the time being, but for all their lives, and Sancho something to talk about for ages, if he lived so long; but Don Quixote, coming close to his ear, said to him, "Sancho, as you would have us believe what you saw in heaven, I require you to believe me as to what I saw in the cave of Montesinos; I say no more."	false	8.1	22.62	21.20884
2127_138047_000002_000000	CHAPTER XLII.	CHAPTER forty two.	true	22.62	24.19	28.094458
2127_138047_000003_000000	OF THE COUNSELS WHICH DON QUIXOTE GAVE SANCHO PANZA BEFORE HE SET OUT TO GOVERN THE ISLAND, TOGETHER WITH OTHER WELL-CONSIDERED MATTERS	OF THE COUNSELS WHICH DON QUIXOTE GAVE SANCHO PANZA BEFORE HE SET OUT TO GOVERN THE ISLAND, TOGETHER WITH OTHER WELL CONSIDERED MATTERS	true	24.56	32.62	20.754808
2127_138047_000004_000000	The duke and duchess were so well pleased with the successful and droll result of the adventure of the Distressed One, that they resolved to carry on the joke, seeing what a fit subject they had to deal with for making it all pass for reality.	The duke and duchess were so well pleased with the successful and droll result of the adventure of the Distressed One, that they resolved to carry on the joke, seeing what a fit subject they had to deal with for making it all pass for reality.	true	32.96	45.82	22
2127_138047_000004_000001	So having laid their plans and given instructions to their servants and vassals how to behave to Sancho in his government of the promised island, the next day, that following Clavileno's flight, the duke told Sancho to prepare and get ready to go and be governor, for his islanders were already looking out for him as for the showers of May.	So having laid their plans and given instructions to their servants and vassals how to behave to Sancho in his government of the promised island, the next day, that following Clavileno's flight, the duke told Sancho to prepare and get ready to go and be governor, for his islanders were already looking out for him as for the showers of May.	true	46.01	64.81	20
2127_138047_000005_000000	Sancho made him an obeisance, and said, "Ever since I came down from heaven, and from the top of it beheld the earth, and saw how little it is, the great desire I had to be a governor has been partly cooled in me; for what is there grand in being ruler on a grain of mustard seed, or what dignity or authority in governing half a dozen men about as big as hazel nuts; for, so far as I could see, there were no more on the whole earth?	Sancho made him an obeisance, and said, "Ever since I came down from heaven, and from the top of it beheld the earth, and saw how little it is, the great desire I had to be a governor has been partly cooled in me; for what is there grand in being ruler on a grain of mustard seed, or what dignity or authority in governing half a dozen men about as big as hazel nuts; for, so far as I could see, there were no more on the whole earth?	false	65.72	89.49	17
2127_138047_000005_000001	If your lordship would be so good as to give me ever so small a bit of heaven, were it no more than half a league, I'd rather have it than the best island in the world."	If your lordship would be so good as to give me ever so small a bit of heaven, were it no more than half a league, I'd rather have it than the best island in the world."	true	89.49	98.44	21
2127_138047_000006_000000	"Recollect, Sancho," said the duke, "I cannot give a bit of heaven, no not so much as the breadth of my nail, to anyone; rewards and favours of that sort are reserved for God alone.	"Recollect, Sancho," said the duke, "I cannot give a bit of heaven, no not so much as the breadth of my nail, to anyone; rewards and favours of that sort are reserved for God alone.	true	99.17	110.5	22
2127_138047_000006_000001	What I can give I give you, and that is a real, genuine island, compact, well proportioned, and uncommonly fertile and fruitful, where, if you know how to use your opportunities, you may, with the help of the world's riches, gain those of heaven."	What I can give I give you, and that is a real, genuine island, compact, well proportioned, and uncommonly fertile and fruitful, where, if you know how to use your opportunities, you may, with the help of the world's riches, gain those of heaven."	true	110.51	125.53	20.806906
