2494_156017_000000_000000	THOUGHT AND PURPOSE	THOUGHT AND PURPOSE
2494_156017_000001_000000	UNTIL thought is linked with purpose there is no intelligent accomplishment.	UNTIL thought is linked with purpose there is no intelligent accomplishment.
2494_156017_000001_000001	With the majority the bark of thought is allowed to "drift" upon the ocean of life.	With the majority the bark of thought is allowed to "drift" upon the ocean of life.
2494_156017_000001_000002	Aimlessness is a vice, and such drifting must not continue for him who would steer clear of catastrophe and destruction.	Aimlessness is a vice, and such drifting must not continue for him who would steer clear of catastrophe and destruction.
2494_156017_000002_000000	They who have no central purpose in their life fall an easy prey to petty worries, fears, troubles, and self-pityings, all of which are indications of weakness, which lead, just as surely as deliberately planned sins (though by a different route), to failure, unhappiness, and loss, for weakness cannot persist in a power evolving universe.	They who have no central purpose in their life fall an easy prey to petty worries, fears, troubles, and self pityings, all of which are indications of weakness, which lead, just as surely as deliberately planned sins (though by a different route), to failure, unhappiness, and loss, for weakness cannot persist in a power evolving universe.
2494_156017_000003_000000	A man should conceive of a legitimate purpose in his heart, and set out to accomplish it.	A man should conceive of a legitimate purpose in his heart, and set out to accomplish it.
2494_156017_000003_000001	He should make this purpose the centralizing point of his thoughts.	He should make this purpose the centralizing point of his thoughts.
2494_156017_000003_000002	It may take the form of a spiritual ideal, or it may be a worldly object, according to his nature at the time being; but whichever it is, he should steadily focus his thought-forces upon the object, which he has set before him.	It may take the form of a spiritual ideal, or it may be a worldly object, according to his nature at the time being; but whichever it is, he should steadily focus his thought forces upon the object, which he has set before him.
2494_156017_000003_000004	This is the royal road to self-control and true concentration of thought.	This is the royal road to self control and true concentration of thought.
2494_156017_000004_000001	Only in this way can the thoughts be gathered and focussed, and resolution and energy be developed, which being done, there is nothing which may not be accomplished.	Only in this way can the thoughts be gathered and focussed, and resolution and energy be developed, which being done, there is nothing which may not be accomplished.
2494_156017_000006_000000	As the physically weak man can make himself strong by careful and patient training, so the man of weak thoughts can make them strong by exercising himself in right thinking.	As the physically weak man can make himself strong by careful and patient training, so the man of weak thoughts can make them strong by exercising himself in right thinking.
2494_156017_000007_000000	To put away aimlessness and weakness, and to begin to think with purpose, is to enter the ranks of those strong ones who only recognize failure as one of the pathways to attainment; who make all conditions serve them, and who think strongly, attempt fearlessly, and accomplish masterfully.	To put away aimlessness and weakness, and to begin to think with purpose, is to enter the ranks of those strong ones who only recognize failure as one of the pathways to attainment; who make all conditions serve them, and who think strongly, attempt fearlessly, and accomplish masterfully.
2494_156017_000008_000001	Doubts and fears should be rigorously excluded; they are disintegrating elements, which break up the straight line of effort, rendering it crooked, ineffectual, useless.	Doubts and fears should be rigorously excluded; they are disintegrating elements, which break up the straight line of effort, rendering it crooked, ineffectual, useless.
2494_156017_000008_000002	Thoughts of doubt and fear never accomplished anything, and never can.	Thoughts of doubt and fear never accomplished anything, and never can.
2494_156017_000008_000003	They always lead to failure.	They always lead to failure.
2494_156017_000008_000004	Purpose, energy, power to do, and all strong thoughts cease when doubt and fear creep in.	Purpose, energy, power to do, and all strong thoughts cease when doubt and fear creep in.
2494_156017_000009_000001	Doubt and fear are the great enemies of knowledge, and he who encourages them, who does not slay them, thwarts himself at every step.	Doubt and fear are the great enemies of knowledge, and he who encourages them, who does not slay them, thwarts himself at every step.
2494_156017_000010_000000	He who has conquered doubt and fear has conquered failure.	He who has conquered doubt and fear has conquered failure.
2494_156017_000010_000001	His every thought is allied with power, and all difficulties are bravely met and wisely overcome.	His every thought is allied with power, and all difficulties are bravely met and wisely overcome.
2494_156017_000010_000002	His purposes are seasonably planted, and they bloom and bring forth fruit, which does not fall prematurely to the ground.	His purposes are seasonably planted, and they bloom and bring forth fruit, which does not fall prematurely to the ground.
