475_124999_000000_000000	Mine shares seems to fit the case better than ploughshares.	Mine shares seems to fit the case better than ploughshares.	false	4.53	10.29	18.777315
475_124999_000000_000001	There's lots more about the blessings of Peace, shall I go on reading it?"	There's lots more about the blessings of Peace, shall I go on reading it?"	false	10.29	16.65	19.329191
475_124999_000001_000000	"If I must make a choice, I think I would rather they went on with the war."	"If I must make a choice, I think I would rather they went on with the war."	false	16.65	26.325	18.148443
475_124999_000002_000000	REGINALD'S CHOIR TREAT	REGINALD'S CHOIR TREAT	true	26.325	28.15	21.022099
475_124999_000003_000000	"Never," wrote Reginald to his most darling friend, "be a pioneer.	"Never," wrote Reginald to his most darling friend, "be a pioneer.	false	29.45	34.96	18.386724
475_124999_000003_000001	It's the Early Christian that gets the fattest lion."	It's the Early Christian that gets the fattest lion."	true	35.15	38.98	19.69849
475_124999_000004_000000	Reginald, in his way, was a pioneer.	Reginald, in his way, was a pioneer.	true	39.62	42.97	19.493124
475_124999_000005_000000	None of the rest of his family had anything approaching Titian hair or a sense of humour, and they used primroses as a table decoration.	None of the rest of his family had anything approaching Titian hair or a sense of humour, and they used primroses as a table decoration.	true	43.97	52.75	18.688599
475_124999_000006_000000	It follows that they never understood Reginald, who came down late to breakfast, and nibbled toast, and said disrespectful things about the universe.	It follows that they never understood Reginald, who came down late to breakfast, and nibbled toast, and said disrespectful things about the universe.	true	54.71	63.55	19.456484
475_124999_000006_000001	The family ate porridge, and believed in everything, even the weather forecast.	The family ate porridge, and believed in everything, even the weather forecast.	true	64.7	70.42	21.136942
475_124999_000007_000000	Therefore the family was relieved when the vicar's daughter undertook the reformation of Reginald.	Therefore the family was relieved when the vicar's daughter undertook the reformation of Reginald.	true	72.2	78.16	19.894968
475_124999_000007_000001	Her name was Amabel; it was the vicar's one extravagance.	Her name was Amabel; it was the vicar's one extravagance.	true	78.83	83.17	19.183239
475_124999_000007_000002	Amabel was accounted a beauty and intellectually gifted; she never played tennis, and was reputed to have read Maeterlinck's _Life of the Bee_.	Amabel was accounted a beauty and intellectually gifted; she never played tennis, and was reputed to have read Maeterlinck's underscore Life of the Bee underscore.	false	83.75	93.78	18.425327
475_124999_000007_000003	If you abstain from tennis _and_ read Maeterlinck in a small country village, you are of necessity intellectual.	If you abstain from tennis underscore and underscore read Maeterlinck in a small country village, you are of necessity intellectual.	false	93.78	100.87	18.386145
475_124999_000007_000004	Also she had been twice to Fecamp to pick up a good French accent from the Americans staying there; consequently she had a knowledge of the world which might be considered useful in dealings with a worldling.	Also she had been twice to Fecamp to pick up a good French accent from the Americans staying there; consequently she had a knowledge of the world which might be considered useful in dealings with a worldling.	false	101.6	115.9	18.957382
475_124999_000008_000000	Hence the congratulations in the family when Amabel undertook the reformation of its wayward member.	Hence the congratulations in the family when Amabel undertook the reformation of its wayward member.	true	117.47	123.73	18
475_124999_000009_000000	Amabel commenced operations by asking her unsuspecting pupil to tea in the vicarage garden; she believed in the healthy influence of natural surroundings, never having been in Sicily, where things are different.	Amabel commenced operations by asking her unsuspecting pupil to tea in the vicarage garden; she believed in the healthy influence of natural surroundings, never having been in Sicily, where things are different.	true	125.33	140.05	18.692019
475_124999_000010_000000	And like every woman who has ever preached repentance to unregenerate youth, she dwelt on the sin of an empty life, which always seems so much more scandalous in the country, where people rise early to see if a new strawberry has happened during the night.	And like every woman who has ever preached repentance to unregenerate youth, she dwelt on the sin of an empty life, which always seems so much more scandalous in the country, where people rise early to see if a new strawberry has happened during the night.	true	140.75	155.95	18.837238
