7247_77778_000003_000000	XIII	thirteen
7247_77778_000004_000000	HE DISCUSSES THE MUSIC CURE	HE DISCUSSES THE MUSIC CURE
7247_77778_000005_000000	"Good-morning, Doctor," said the Idiot, as Capsule, M.D., entered the dining-room, "I am mighty glad you've come.	"Good morning, Doctor," said the Idiot, as Capsule, m d, entered the dining room, "I am mighty glad you've come.
7247_77778_000005_000001	I've wanted for a long time to ask you about this music cure that everybody is talking about, and get you, if possible, to write me out a list of musical nostrums for every-day use.	I've wanted for a long time to ask you about this music cure that everybody is talking about, and get you, if possible, to write me out a list of musical nostrums for every day use.
7247_77778_000005_000003	There's nothing but one quinine pill and a soda-mint drop left in it, and if there's anything in the music cure, I don't think I'll have it filled again.	There's nothing but one quinine pill and a soda mint drop left in it, and if there's anything in the music cure, I don't think I'll have it filled again.
7247_77778_000006_000001	"You ought to submit your tongue to some scientific student of dynamics.	"You ought to submit your tongue to some scientific student of dynamics.
7247_77778_000006_000002	I am inclined to think, from my own observation of its ways, that it contains the germ of perpetual motion."	I am inclined to think, from my own observation of its ways, that it contains the germ of perpetual motion."
7247_77778_000007_000000	"I will consider your suggestion," replied the Idiot.	"I will consider your suggestion," replied the Idiot.
7247_77778_000007_000001	"Meanwhile, let us consult harmoniously together on the original point.	"Meanwhile, let us consult harmoniously together on the original point.
7247_77778_000008_000001	"And as for the music cure, I don't know anything about it; haven't heard everybody talking about it; and doubt the existence of any such thing outside of that mysterious realm which is bounded by the four corners of your own bright particular cerebellum.	"And as for the music cure, I don't know anything about it; haven't heard everybody talking about it; and doubt the existence of any such thing outside of that mysterious realm which is bounded by the four corners of your own bright particular cerebellum.
7247_77778_000008_000002	What do you mean by the music cure?"	What do you mean by the music cure?"
7247_77778_000009_000000	"Why, the papers have been full of it lately," explained the Idiot. "The claim is made that in music lies the panacea for all human ills.	"Why, the papers have been full of it lately," explained the Idiot. "The claim is made that in music lies the panacea for all human ills.
7247_77778_000009_000001	It may not be able to perform a surgical operation like that which is required for the removal of a leg, and I don't believe even Wagner ever composed a measure that could be counted on successfully to eliminate one's vermiform appendix from its chief sphere of usefulness; but for other things, like measles, mumps, the snuffles, or indigestion, it is said to be wonderfully efficacious.	It may not be able to perform a surgical operation like that which is required for the removal of a leg, and I don't believe even Wagner ever composed a measure that could be counted on successfully to eliminate one's vermiform appendix from its chief sphere of usefulness; but for other things, like measles, mumps, the snuffles, or indigestion, it is said to be wonderfully efficacious.
7247_77778_000009_000002	What I wanted to find out from you was just what composers were best for which specific troubles."	What I wanted to find out from you was just what composers were best for which specific troubles."
7247_77778_000010_000000	"You'll have to go to somebody else for the information," said the Doctor.	"You'll have to go to somebody else for the information," said the Doctor.
7247_77778_000011_000000	"I have seen a reference to it somewhere," put in Mr. Whitechoker, coming to the Idiot's rescue.	"I have seen a reference to it somewhere," put in mr Whitechoker, coming to the Idiot's rescue.
7247_77778_000011_000001	"As I recall the matter, some lady had been cured of a nervous affection by a scientific application of some musical poultice or other, and the general expectation seems to be that some day we shall find in music a cure for all our human ills, as the Idiot suggests."	"As I recall the matter, some lady had been cured of a nervous affection by a scientific application of some musical poultice or other, and the general expectation seems to be that some day we shall find in music a cure for all our human ills, as the Idiot suggests."
7247_77778_000012_000001	"I saw that same item and several others besides, and I have only told the truth when I say that a large number of people are considering the possibilities of music as a substitute for drugs.	"I saw that same item and several others besides, and I have only told the truth when I say that a large number of people are considering the possibilities of music as a substitute for drugs.
7247_77778_000012_000002	I am surprised that Dr. Capsule has neither heard nor thought about it, for I should think it would prove to be a pleasant and profitable field for speculation. Even I, who am only a dabbler in medicine and know no more about it than the effects of certain remedies upon my own symptoms, have noticed that music of a certain sort is a sure emollient for nervous conditions."	I am surprised that dr Capsule has neither heard nor thought about it, for I should think it would prove to be a pleasant and profitable field for speculation. Even I, who am only a dabbler in medicine and know no more about it than the effects of certain remedies upon my own symptoms, have noticed that music of a certain sort is a sure emollient for nervous conditions."
7247_77778_000013_000000	"For example?" said the Doctor.	"For example?" said the Doctor.
7247_77778_000013_000001	"Of course, we don't doubt your word; but when a man makes a statement based upon personal observation it is profitable to ask him what his precise experience has been, merely for the purpose of adding to our own knowledge."	"Of course, we don't doubt your word; but when a man makes a statement based upon personal observation it is profitable to ask him what his precise experience has been, merely for the purpose of adding to our own knowledge."
7247_77778_000014_000000	"Well," said the Idiot, "the first instance that I can recall is that of a Wagner opera and its effects upon me.	"Well," said the Idiot, "the first instance that I can recall is that of a Wagner opera and its effects upon me.
7247_77778_000014_000001	For a number of years I suffered a great deal from insomnia.	For a number of years I suffered a great deal from insomnia.
7247_77778_000014_000002	I could not get two hours of consecutive sleep, and the effect of my sufferings was to make me nervous and irritable.	I could not get two hours of consecutive sleep, and the effect of my sufferings was to make me nervous and irritable.
7247_77778_000014_000003	Suddenly somebody presented me with a couple of tickets for a performance of 'Parsifal,' and I went.	Suddenly somebody presented me with a couple of tickets for a performance of 'Parsifal,' and I went.
7247_77778_000014_000004	It began at five o'clock in the afternoon.	It began at five o'clock in the afternoon.
7247_77778_000014_000006	I fell into a deep and refreshing slumber.	I fell into a deep and refreshing slumber.
7247_77778_000014_000010	I rubbed my eyes, and looked about me.	I rubbed my eyes, and looked about me.
7247_77778_000014_000011	It was true--the great auditorium was empty, and was gradually darkening.	It was true-the great auditorium was empty, and was gradually darkening.
