476_134312_000000_000000	Letter by letter, T. X. went through the accumulation without finding anything to help him.	Letter by letter, t x went through the accumulation without finding anything to help him.	false	0	3.87	23.635214
476_134312_000000_000001	Then his eye was attracted by a small tin case thrust into one of the oblong pigeon holes at the back of the desk.	Then his eye was attracted by a small tin case thrust into one of the oblong pigeon holes at the back of the desk.	false	3.87	12.03	19.758888
476_134312_000000_000002	This he pulled out and opened and found a small wad of paper wrapped in tin foil.	This he pulled out and opened and found a small wad of paper wrapped in tin foil.	false	12.03	19.68	21.978832
476_134312_000001_000000	"Hello, hello!" said T. X., and he was pardonably exhilarated.	"Hello, hello!" said t x, and he was pardonably exhilarated.	false	19.68	25.8	20.689808
476_134312_000002_000000	CHAPTER VI	CHAPTER six	true	25.8	26.95	24
476_134312_000003_000000	A Man stood in the speckless courtyard before the Governor's house at Dartmoor gaol.	A Man stood in the speckless courtyard before the Governor's house at Dartmoor gaol.	true	28.4	33.58	16
476_134312_000003_000001	He wore the ugly livery of shame which marks the convict. His head was clipped short, and there was two days' growth of beard upon his haggard face.	He wore the ugly livery of shame which marks the convict. His head was clipped short, and there was two days' growth of beard upon his haggard face.	false	33.68	43.51	20.2202
476_134312_000003_000002	Standing with his hands behind him, he waited for the moment when he would be ordered to his work.	Standing with his hands behind him, he waited for the moment when he would be ordered to his work.	true	44.27	49.78	19.890379
476_134312_000004_000000	John Lexman--A.	john Lexman-A.	true	50.36	51.93	28.910307
476_134312_000004_000001	O. 43--looked up at the blue sky as he had looked so many times from the exercise yard, and wondered what the day would bring forth.	O. forty three--looked up at the blue sky as he had looked so many times from the exercise yard, and wondered what the day would bring forth.	true	51.93	61.03	17
476_134312_000004_000002	A day to him was the beginning and the end of an eternity.	A day to him was the beginning and the end of an eternity.	true	61.16	65.35	21.32984
476_134312_000004_000003	He dare not let his mind dwell upon the long aching years ahead.	He dare not let his mind dwell upon the long aching years ahead.	true	65.81	70	16
476_134312_000004_000004	He dare not think of the woman he left, or let his mind dwell upon the agony which she was enduring.	He dare not think of the woman he left, or let his mind dwell upon the agony which she was enduring.	true	70.1	76.3	19
476_134312_000004_000005	He had disappeared from the world, the world he loved, and the world that knew him, and all that there was in life; all that was worth while had been crushed and obliterated into the granite of the Princetown quarries, and its wide horizon shrunken by the gaunt moorland with its menacing tors.	He had disappeared from the world, the world he loved, and the world that knew him, and all that there was in life; all that was worth while had been crushed and obliterated into the granite of the Princetown quarries, and its wide horizon shrunken by the gaunt moorland with its menacing tors.	true	76.82	97.15	19.201155
476_134312_000005_000000	New interests made up his existence.	New interests made up his existence.	true	98.09	100.45	18
476_134312_000005_000001	The quality of the food was one. The character of the book he would receive from the prison library another.	The quality of the food was one. The character of the book he would receive from the prison library another.	true	101.03	107.41	18.807444
476_134312_000005_000002	The future meant Sunday chapel; the present whatever task they found him.	The future meant Sunday chapel; the present whatever task they found him.	true	107.45	112	22.135193
476_134312_000005_000003	For the day he was to paint some doors and windows of an outlying cottage.	For the day he was to paint some doors and windows of an outlying cottage.	true	112.34	116.58	18
476_134312_000005_000004	A cottage occupied by a warder who, for some reason, on the day previous, had spoken to him with a certain kindness and a certain respect which was unusual.	A cottage occupied by a warder who, for some reason, on the day previous, had spoken to him with a certain kindness and a certain respect which was unusual.	false	116.58	128.17	20.519573
476_134312_000006_000000	"Face the wall," growled a voice, and mechanically he turned, his hands still behind him, and stood staring at the grey wall of the prison storehouse.	"Face the wall," growled a voice, and mechanically he turned, his hands still behind him, and stood staring at the grey wall of the prison storehouse.	false	128.93	138.94	21.256678
476_134312_000007_000000	He heard the shuffling feet of the quarry gang, his ears caught the clink of the chains which bound them together.	He heard the shuffling feet of the quarry gang, his ears caught the clink of the chains which bound them together.	true	140.42	146.86	18
476_134312_000007_000001	They were desperate men, peculiarly interesting to him, and he had watched their faces furtively in the early period of his imprisonment.	They were desperate men, peculiarly interesting to him, and he had watched their faces furtively in the early period of his imprisonment.	true	147.32	156.49	20.841797
