480_126336_000000_000000	KING GRISLY-BEARD	KING GRISLY BEARD	true	25.845	27.49	19.709146
480_126336_000001_000000	A great king of a land far away in the East had a daughter who was very beautiful, but so proud, and haughty, and conceited, that none of the princes who came to ask her in marriage was good enough for her, and she only made sport of them.	A great king of a land far away in the East had a daughter who was very beautiful, but so proud, and haughty, and conceited, that none of the princes who came to ask her in marriage was good enough for her, and she only made sport of them.	false	30.77	50.44	21.008064
480_126336_000002_000000	Once upon a time the king held a great feast, and asked thither all her suitors; and they all sat in a row, ranged according to their rank--kings, and princes, and dukes, and earls, and counts, and barons, and knights.	Once upon a time the king held a great feast, and asked thither all her suitors; and they all sat in a row, ranged according to their rank-kings, and princes, and dukes, and earls, and counts, and barons, and knights.	false	52.79	71.5	20.051947
480_126336_000002_000001	Then the princess came in, and as she passed by them she had something spiteful to say to every one.	Then the princess came in, and as she passed by them she had something spiteful to say to every one.	true	73.94	81.46	23.428684
480_126336_000002_000002	The first was too fat: 'He's as round as a tub,' said she.	The first was too fat: 'He's as round as a tub,' said she.	true	82.64	87.88	22.181034
480_126336_000002_000003	The next was too tall: 'What a maypole!' said she.	The next was too tall: 'What a maypole!' said she.	true	88.67	92.95	22.722475
480_126336_000002_000004	The next was too short: 'What a dumpling!' said she.	The next was too short: 'What a dumpling!' said she.	true	94.4	98.65	22.484684
480_126336_000002_000005	The fourth was too pale, and she called him 'Wallface.' The fifth was too red, so she called him 'Coxcomb.' The sixth was not straight enough; so she said he was like a green stick, that had been laid to dry over a baker's oven.	The fourth was too pale, and she called him 'Wallface.' The fifth was too red, so she called him 'Coxcomb.' The sixth was not straight enough; so she said he was like a green stick, that had been laid to dry over a baker's oven.	true	99.68	119.82	21.520824
480_126336_000002_000006	And thus she had some joke to crack upon every one: but she laughed more than all at a good king who was there.	And thus she had some joke to crack upon every one: but she laughed more than all at a good king who was there.	false	119.82	129.19	19.54735
480_126336_000002_000007	'Look at him,' said she; 'his beard is like an old mop; he shall be called Grisly-beard.' So the king got the nickname of Grisly-beard.	'Look at him,' said she; 'his beard is like an old mop; he shall be called Grisly beard.' So the king got the nickname of Grisly beard.	true	130.37	142.15	22.344406
480_126336_000003_000000	But the old king was very angry when he saw how his daughter behaved, and how she ill-treated all his guests; and he vowed that, willing or unwilling, she should marry the first man, be he prince or beggar, that came to the door.	But the old king was very angry when he saw how his daughter behaved, and how she ill treated all his guests; and he vowed that, willing or unwilling, she should marry the first man, be he prince or beggar, that came to the door.	true	144.32	160.9	21.195889
