781_127518_000003_000000	I Go to Bristol	I Go to Bristol
781_127518_000004_000002	Sitting by the fire in the housekeeper's room, I approached that island in my fancy from every possible direction; I explored every acre of its surface; I climbed a thousand times to that tall hill they call the Spy-glass, and from the top enjoyed the most wonderful and changing prospects.	Sitting by the fire in the housekeeper's room, I approached that island in my fancy from every possible direction; I explored every acre of its surface; I climbed a thousand times to that tall hill they call the Spy glass, and from the top enjoyed the most wonderful and changing prospects.
781_127518_000004_000003	Sometimes the isle was thick with savages, with whom we fought, sometimes full of dangerous animals that hunted us, but in all my fancies nothing occurred to me so strange and tragic as our actual adventures.	Sometimes the isle was thick with savages, with whom we fought, sometimes full of dangerous animals that hunted us, but in all my fancies nothing occurred to me so strange and tragic as our actual adventures.
781_127518_000007_000000	Dear Livesey--As I do not know whether you are at the hall or still in London, I send this in double to both places.	Dear Livesey-As I do not know whether you are at the hall or still in London, I send this in double to both places.
781_127518_000008_000000	The ship is bought and fitted.	The ship is bought and fitted.
781_127518_000008_000001	She lies at anchor, ready for sea.	She lies at anchor, ready for sea.
781_127518_000008_000002	You never imagined a sweeter schooner--a child might sail her--two hundred tons; name, HISPANIOLA.	You never imagined a sweeter schooner-a child might sail her-two hundred tons; name, HISPANIOLA.
781_127518_000009_000000	I got her through my old friend, Blandly, who has proved himself throughout the most surprising trump.	I got her through my old friend, Blandly, who has proved himself throughout the most surprising trump.
781_127518_000010_000000	"Redruth," said I, interrupting the letter, "Dr. Livesey will not like that.	"Redruth," said I, interrupting the letter, "dr Livesey will not like that.
781_127518_000010_000001	The squire has been talking, after all."	The squire has been talking, after all."
781_127518_000011_000000	"Well, who's a better right?" growled the gamekeeper.	"Well, who's a better right?" growled the gamekeeper.
781_127518_000011_000001	"A pretty rum go if squire ain't to talk for Dr. Livesey, I should think."	"A pretty rum go if squire ain't to talk for dr Livesey, I should think."
781_127518_000012_000000	At that I gave up all attempts at commentary and read straight on:	At that I gave up all attempts at commentary and read straight on:
