7752_110522_000002_000000	THE WHITE FAWN	THE WHITE FAWN
7752_110522_000003_000000	There was once upon a time a King and Queen who were perfectly happy, with one exception, and that was that they had no child.	There was once upon a time a King and Queen who were perfectly happy, with one exception, and that was that they had no child.
7752_110522_000004_000000	One day when the Queen was staying in a watering-place, some distance from home, she was sitting by a fountain alone, sadly thinking of the daughter she longed to have, when she perceived a crab coming in her direction, who, to the Queen's surprise, addressed her thus:	One day when the Queen was staying in a watering place, some distance from home, she was sitting by a fountain alone, sadly thinking of the daughter she longed to have, when she perceived a crab coming in her direction, who, to the Queen's surprise, addressed her thus:
7752_110522_000005_000000	"Great Queen, if you will condescend to be conducted by a humble crab, I will lead you to a Fairies' palace and your wish shall be fulfilled."	"Great Queen, if you will condescend to be conducted by a humble crab, I will lead you to a Fairies' palace and your wish shall be fulfilled."
7752_110522_000006_000000	"I would certainly come with you," replied the Queen, "but I am afraid that I cannot walk backwards."	"I would certainly come with you," replied the Queen, "but I am afraid that I cannot walk backwards."
7752_110522_000007_000000	The crab smiled, and transforming herself into a beautiful little old woman, said:	The crab smiled, and transforming herself into a beautiful little old woman, said:
7752_110522_000008_000000	"Now, madam, it is not necessary to go backwards.	"Now, madam, it is not necessary to go backwards.
7752_110522_000008_000001	Come with me, and I beg of you to look upon me as your friend." She then escorted the Queen to the most magnificent palace that could possibly be imagined, it was built entirely of diamonds.	Come with me, and I beg of you to look upon me as your friend." She then escorted the Queen to the most magnificent palace that could possibly be imagined, it was built entirely of diamonds.
7752_110522_000010_000002	You have only to hold this bouquet, and mention each flower, thinking of us, and be assured that we shall at once appear in your chamber."	You have only to hold this bouquet, and mention each flower, thinking of us, and be assured that we shall at once appear in your chamber."
7752_110522_000011_000000	The Queen, transported with joy, and overcome with gratitude, threw herself upon their necks, and warmly embraced them; she then spent several hours admiring the wonders of the palace and its gardens, and it was not until evening that she returned to her attendants, who were in a serious state of anxiety at the prolonged absence of Her Majesty.	The Queen, transported with joy, and overcome with gratitude, threw herself upon their necks, and warmly embraced them; she then spent several hours admiring the wonders of the palace and its gardens, and it was not until evening that she returned to her attendants, who were in a serious state of anxiety at the prolonged absence of Her Majesty.
7752_110522_000013_000000	Not very long afterwards, when the Queen was once more at home in her Royal Palace, a baby Princess was born, whom she named Desiree.	Not very long afterwards, when the Queen was once more at home in her Royal Palace, a baby Princess was born, whom she named Desiree.
7752_110522_000013_000001	Then taking the bouquet into her hand, the Queen, one by one, pronounced the names of the flowers, when there immediately appeared, flying through the air in elegant chariots drawn by different kinds of birds, the six Fairies who entered the apartment, bearing beautiful presents for the little baby.	Then taking the bouquet into her hand, the Queen, one by one, pronounced the names of the flowers, when there immediately appeared, flying through the air in elegant chariots drawn by different kinds of birds, the six Fairies who entered the apartment, bearing beautiful presents for the little baby.
7752_110522_000013_000002	Marvellously fine linen, but so strong that it could be worn a hundred years without going into holes, lace of the finest, with the history of the world worked into its pattern, toys of all descriptions that a child would love to play with, and a cradle ornamented with rubies and diamonds, and supported by four Cupids ready to rock it should the baby cry.	Marvellously fine linen, but so strong that it could be worn a hundred years without going into holes, lace of the finest, with the history of the world worked into its pattern, toys of all descriptions that a child would love to play with, and a cradle ornamented with rubies and diamonds, and supported by four Cupids ready to rock it should the baby cry.
7752_110522_000013_000003	But, best of all, the Fairies endowed the little Princess with beauty, and virtue, and health, and every good thing that could be desired.	But, best of all, the Fairies endowed the little Princess with beauty, and virtue, and health, and every good thing that could be desired.
7752_110522_000016_000000	Then, with three waves of a wand, the Fairies caused a high tower to spring up; it had neither door nor window, an underground passage was made, through which everything necessary could be carried, and in this tower the little Princess was shut up and there she lived by candlelight, where never a glimpse of the sun could come.	Then, with three waves of a wand, the Fairies caused a high tower to spring up; it had neither door nor window, an underground passage was made, through which everything necessary could be carried, and in this tower the little Princess was shut up and there she lived by candlelight, where never a glimpse of the sun could come.
7752_110522_000017_000000	When the Princess Desiree was fourteen years old, the Queen had her portrait painted, and copies of it were carried to all the Courts in the world.	When the Princess Desiree was fourteen years old, the Queen had her portrait painted, and copies of it were carried to all the Courts in the world.
7752_110522_000019_000000	"But where have you seen her?" enquired the King.	"But where have you seen her?" enquired the King.
7752_110522_000020_000001	So the King despatched as ambassador a rich young lord named Becafigue.	So the King despatched as ambassador a rich young lord named Becafigue.
7752_110522_000024_000003	Meanwhile once more Becafigue came to the capital where Desiree's father lived, and throwing himself at the King's feet, besought him in most touching words to let his daughter go with him at once to the Prince, who would surely die if he could not behold her.	Meanwhile once more Becafigue came to the capital where Desiree's father lived, and throwing himself at the King's feet, besought him in most touching words to let his daughter go with him at once to the Prince, who would surely die if he could not behold her.
7752_110522_000025_000000	When Princess Desiree heard of the Prince's illness, she suggested that she should set out without delay, but in a dark carriage, that only at night should be opened to give her food.	When Princess Desiree heard of the Prince's illness, she suggested that she should set out without delay, but in a dark carriage, that only at night should be opened to give her food.
7752_110522_000029_000003	She placed the crown upon her head, the sceptre and orb she carried in her hands, so that all should take her for the Princess.	She placed the crown upon her head, the sceptre and orb she carried in her hands, so that all should take her for the Princess.
7752_110522_000029_000004	With her mother bearing her train she gravely walked in the direction of the town.	With her mother bearing her train she gravely walked in the direction of the town.
7752_110522_000032_000000	No one replied at first, and then one of the boldest said,	No one replied at first, and then one of the boldest said,
7752_110522_000033_000000	"Sir, you will see; apparently the fatigue of the journey has somewhat changed her." The Prince was surprised, but when he saw Longue Epine words fail to express what he felt.	"Sir, you will see; apparently the fatigue of the journey has somewhat changed her." The Prince was surprised, but when he saw Longue Epine words fail to express what he felt.
7752_110522_000034_000001	She was frightfully thin, and her nose, which was more hooked than a parrot's beak, shone like a danger signal.	She was frightfully thin, and her nose, which was more hooked than a parrot's beak, shone like a danger signal.
7752_110522_000034_000002	Then her teeth were black and uneven, and, in fact, she was as ugly as Desiree was beautiful.	Then her teeth were black and uneven, and, in fact, she was as ugly as Desiree was beautiful.
7752_110522_000035_000000	At first the Prince could not speak a word, he simply gazed at her in amazement.	At first the Prince could not speak a word, he simply gazed at her in amazement.
7752_110522_000035_000001	Then he said, turning to his father, "We have been deceived, that portrait was painted to mislead us.	Then he said, turning to his father, "We have been deceived, that portrait was painted to mislead us.
7752_110522_000035_000002	It will be the death of me."	It will be the death of me."
7752_110522_000037_000000	"It is not to be wondered at," remarked the King, "that your father kept such a treasure shut up for fifteen years."	"It is not to be wondered at," remarked the King, "that your father kept such a treasure shut up for fifteen years."
7752_110522_000038_000000	Then he and the Prince turned towards the town, and the false Princess and the Lady in Waiting, without any ceremony, were mounted each behind a soldier and taken to be shut up in a castle.	Then he and the Prince turned towards the town, and the false Princess and the Lady in Waiting, without any ceremony, were mounted each behind a soldier and taken to be shut up in a castle.
7752_110522_000041_000000	After three or four days' journeying, the wanderers found themselves in a thick forest.	After three or four days' journeying, the wanderers found themselves in a thick forest.
7752_110522_000041_000001	Quite wearied out, the Prince threw himself upon the ground, while Becafigue went on further in search of fruit wherewith to refresh his royal master.	Quite wearied out, the Prince threw himself upon the ground, while Becafigue went on further in search of fruit wherewith to refresh his royal master.
7752_110522_000042_000000	It is a long time since we left the White Fawn, that is to say the charming Princess.	It is a long time since we left the White Fawn, that is to say the charming Princess.
7752_110522_000043_000000	Very desolately she wept when in a stream she saw her figure reflected, and when night came she was in great fear, for she heard wild beasts about her, and sometimes forgetting she was a fawn she would try to climb a tree.	Very desolately she wept when in a stream she saw her figure reflected, and when night came she was in great fear, for she heard wild beasts about her, and sometimes forgetting she was a fawn she would try to climb a tree.
7752_110522_000043_000001	But with morning dawn she felt a little safer, and the sun appeared a marvellous sight to her from which she could hardly turn her eyes.	But with morning dawn she felt a little safer, and the sun appeared a marvellous sight to her from which she could hardly turn her eyes.
7752_110522_000044_000000	It did not take Giroflee long to discover that this was her dearly-loved mistress, and she promised the White Fawn never to forsake her, for she found she could hear all that was said although she could not speak.	It did not take Giroflee long to discover that this was her dearly loved mistress, and she promised the White Fawn never to forsake her, for she found she could hear all that was said although she could not speak.
7752_110522_000044_000001	Towards night the fear of having no shelter made the two friends so dreadfully dismayed that the Fairy Tulip suddenly appeared before them.	Towards night the fear of having no shelter made the two friends so dreadfully dismayed that the Fairy Tulip suddenly appeared before them.
7752_110522_000046_000000	"I am not going to scold you," she said, "although it is through not following my advice that you are in this misfortune, for it goes to my heart to see you thus.	"I am not going to scold you," she said, "although it is through not following my advice that you are in this misfortune, for it goes to my heart to see you thus.
7752_110522_000046_000002	Giroflee and the Fawn walked in the direction the Fairy had pointed out, and arrived at a neat little cottage where an old woman showed them a room which they could occupy.	Giroflee and the Fawn walked in the direction the Fairy had pointed out, and arrived at a neat little cottage where an old woman showed them a room which they could occupy.
7752_110522_000048_000001	He addressed her politely and asked for the things he required for his master.	He addressed her politely and asked for the things he required for his master.
7752_110522_000048_000002	She hastened to fill a basket, and gave it to him, saying, "I fear that if you pass a night without shelter some harm may come to you.	She hastened to fill a basket, and gave it to him, saying, "I fear that if you pass a night without shelter some harm may come to you.
7752_110522_000048_000003	I can offer you a poor one, but at any rate it is secure from the lions."	I can offer you a poor one, but at any rate it is secure from the lions."
7752_110522_000049_000000	Becafigue went back to the Prince and together they returned to the cottage, where they were led into the room next to that occupied by the Princess.	Becafigue went back to the Prince and together they returned to the cottage, where they were led into the room next to that occupied by the Princess.
7752_110522_000050_000000	Next morning the Prince arose early and went out; he had not long been in the forest when he saw a beautiful little Fawn.	Next morning the Prince arose early and went out; he had not long been in the forest when he saw a beautiful little Fawn.
7752_110522_000051_000000	"It is no use talking thus, when I am a Fawn this room is stifling to me and I must depart from it."	"It is no use talking thus, when I am a Fawn this room is stifling to me and I must depart from it."
7752_110522_000052_000000	The next day the young Prince sought in vain for the White Fawn, and finally tired out threw himself upon the grass and fell asleep.	The next day the young Prince sought in vain for the White Fawn, and finally tired out threw himself upon the grass and fell asleep.
7752_110522_000053_000001	Coming nearer and nearer she presently touched him and he awoke.	Coming nearer and nearer she presently touched him and he awoke.
7752_110522_000055_000000	"Stay, dear little Fawn," he cried, "I would not hurt you for the world." But the wind carried off the words before they reached her ears.	"Stay, dear little Fawn," he cried, "I would not hurt you for the world." But the wind carried off the words before they reached her ears.
7752_110522_000056_000000	"Beautiful Fawn," said he, "do not fear me, I shall lead you with me everywhere." Then he covered her with roses and fed her with the choicest leaves and grasses.	"Beautiful Fawn," said he, "do not fear me, I shall lead you with me everywhere." Then he covered her with roses and fed her with the choicest leaves and grasses.
7752_110522_000057_000001	The next day for a long time she hid from the Prince, but at last he found her, and as she dashed off he shot an arrow which wounded her in the leg.	The next day for a long time she hid from the Prince, but at last he found her, and as she dashed off he shot an arrow which wounded her in the leg.
7752_110522_000058_000000	Sad that he should have done so cruel a thing, the Prince took herbs and laid them upon the wound, and at last he went to fetch Becafigue to help him carry her to the house.	Sad that he should have done so cruel a thing, the Prince took herbs and laid them upon the wound, and at last he went to fetch Becafigue to help him carry her to the house.
7752_110522_000058_000001	He tied her to a tree.	He tied her to a tree.
7752_110522_000059_000001	Who would have thought that the most beautiful Princess in the world would be treated thus?	Who would have thought that the most beautiful Princess in the world would be treated thus?
7752_110522_000059_000002	While she was straining at the ribbons trying to break them, Giroflee arrived, and was leading her away when the Prince met them and claimed the Fawn as his.	While she was straining at the ribbons trying to break them, Giroflee arrived, and was leading her away when the Prince met them and claimed the Fawn as his.
7752_110522_000061_000003	To be a Fawn all the day, to hear him speaking, and not to be able to tell him of my sad fate."	To be a Fawn all the day, to hear him speaking, and not to be able to tell him of my sad fate."
7752_110522_000062_000000	One can guess the astonishment of Becafigue and of the Prince. Guerrier would almost have died of pleasure had he not thought that it must be some enchantment, for did he not know that Desiree and her Lady in Waiting were shut up in the castle.	One can guess the astonishment of Becafigue and of the Prince. Guerrier would almost have died of pleasure had he not thought that it must be some enchantment, for did he not know that Desiree and her Lady in Waiting were shut up in the castle.
7752_110522_000063_000000	He went softly and knocked at the chamber door, which Giroflee opened, thinking it was the old woman, for she required help for the wounded arm.	He went softly and knocked at the chamber door, which Giroflee opened, thinking it was the old woman, for she required help for the wounded arm.
7752_110522_000066_000000	Then it was found that it was the Fairy Tulip in disguise of the old woman who had provided that sheltering cottage in the forest.	Then it was found that it was the Fairy Tulip in disguise of the old woman who had provided that sheltering cottage in the forest.
7752_110522_000069_000000	And, in accordance with the wish of Princess Desiree, Longue Epine and her mother, the false Lady in Waiting, were set at liberty.	And, in accordance with the wish of Princess Desiree, Longue Epine and her mother, the false Lady in Waiting, were set at liberty.
