7752_110522_000000_000000	[Illustration: "WITHOUT A WORD HE JUMPED ON TO THE BED AND GOBBLED UP THE POOR OLD LADY."]	[Illustration: "WITHOUT A WORD HE JUMPED ON TO THE BED AND GOBBLED UP THE POOR OLD LADY."]	false	4.89	21.54	23.730083
7752_110522_000001_000000	[Illustration]	[Illustration]	false	21.54	23.145	25.569538
7752_110522_000002_000000	THE WHITE FAWN	THE WHITE FAWN	true	23.145	24.37	24.759491
7752_110522_000003_000000	There was once upon a time a King and Queen who were perfectly happy, with one exception, and that was that they had no child.	There was once upon a time a King and Queen who were perfectly happy, with one exception, and that was that they had no child.	true	25.19	34.18	25.521637
7752_110522_000004_000000	One day when the Queen was staying in a watering-place, some distance from home, she was sitting by a fountain alone, sadly thinking of the daughter she longed to have, when she perceived a crab coming in her direction, who, to the Queen's surprise, addressed her thus:	One day when the Queen was staying in a watering place, some distance from home, she was sitting by a fountain alone, sadly thinking of the daughter she longed to have, when she perceived a crab coming in her direction, who, to the Queen's surprise, addressed her thus:	true	35.51	53.17	22.654924
7752_110522_000005_000000	"Great Queen, if you will condescend to be conducted by a humble crab, I will lead you to a Fairies' palace and your wish shall be fulfilled."	"Great Queen, if you will condescend to be conducted by a humble crab, I will lead you to a Fairies' palace and your wish shall be fulfilled."	true	53.66	64.54	24.252907
7752_110522_000006_000000	"I would certainly come with you," replied the Queen, "but I am afraid that I cannot walk backwards."	"I would certainly come with you," replied the Queen, "but I am afraid that I cannot walk backwards."	true	65.12	72.04	25.921928
7752_110522_000007_000000	The crab smiled, and transforming herself into a beautiful little old woman, said:	The crab smiled, and transforming herself into a beautiful little old woman, said:	true	72.44	77.71	21.748611
7752_110522_000008_000000	"Now, madam, it is not necessary to go backwards.	"Now, madam, it is not necessary to go backwards.	true	78.17	81.52	24.208061
7752_110522_000008_000001	Come with me, and I beg of you to look upon me as your friend." She then escorted the Queen to the most magnificent palace that could possibly be imagined, it was built entirely of diamonds.	Come with me, and I beg of you to look upon me as your friend." She then escorted the Queen to the most magnificent palace that could possibly be imagined, it was built entirely of diamonds.	true	81.8	94.81	23.857584
7752_110522_000009_000000	In this superb place dwelt six Fairies who received the Queen with the greatest respect, and each one presented her with a flower made of precious stones--a rose, tulip, an anemone, a columbine, a violet, and a carnation.	In this superb place dwelt six Fairies who received the Queen with the greatest respect, and each one presented her with a flower made of precious stones-a rose, tulip, an anemone, a columbine, a violet, and a carnation.	false	95.6	111.34	24.362644
7752_110522_000010_000000	"Madam," they said, "we have pleasure in telling you that soon you will have a daughter whom you will name Desiree.	"Madam," they said, "we have pleasure in telling you that soon you will have a daughter whom you will name Desiree.	false	111.8	119.31	24.056658
