7258_91906_000000_000000	RESURRECTION AND ASCENSION OF JESUS	RESURRECTION AND ASCENSION OF JESUS	true	23.745	26.5	19
7258_91906_000001_000000	(1876.)	(eighteen seventy six.)	true	27.05	28.72	22.429506
7258_91906_000002_000000	In reviewing Mr. R. H. Hutton's Essay on "Christian Evidences, Popular and Critical," I was obliged to follow his lead, joining issue on such pleas as he put forward.	In reviewing mr r h Hutton's Essay on "Christian Evidences, Popular and Critical," I was obliged to follow his lead, joining issue on such pleas as he put forward.	true	30.29	44.11	22.887669
7258_91906_000002_000001	Thus with regard to the resurrection of Jesus, as Mr. Hutton adduced what he thought confirmatory evidence only from the New Testament itself, I confined myself to showing or attempting to show that such evidence is unsubstantial.	Thus with regard to the resurrection of Jesus, as mr Hutton adduced what he thought confirmatory evidence only from the New Testament itself, I confined myself to showing or attempting to show that such evidence is unsubstantial.	true	45.11	62.83	23.082628
7258_91906_000002_000002	But I could not consider this argument adequate or conclusive, for there are large general considerations of incomparably greater importance which it leaves out altogether.	But I could not consider this argument adequate or conclusive, for there are large general considerations of incomparably greater importance which it leaves out altogether.	true	63.62	75.61	24.556309
7258_91906_000002_000003	It is as if a case ruled by broad principles of equity were to be decided on the narrowest technical grounds.	It is as if a case ruled by broad principles of equity were to be decided on the narrowest technical grounds.	true	76.37	84.58	19.33952
7258_91906_000002_000004	Therefore, while confident that even on these grounds the case must go against the Christian believer, I wish to add a few words on its wider relations, in order that the decision may be established, not merely by the letter of the law, but also by the spirit of justice.	Therefore, while confident that even on these grounds the case must go against the Christian believer, I wish to add a few words on its wider relations, in order that the decision may be established, not merely by the letter of the law, but also by the spirit of justice.	true	85.37	103.06	20.958992
7258_91906_000003_000000	We leave thus the torturing of texts in the dim cells of the theological Inquisition, a process by which almost any confession required can be and has been wrung from the unfortunate victims, and emerge into the open daylight of common-sense and reason.	We leave thus the torturing of texts in the dim cells of the theological Inquisition, a process by which almost any confession required can be and has been wrung from the unfortunate victims, and emerge into the open daylight of common sense and reason.	true	103.4	121.27	22.764854
7258_91906_000003_000001	And here I venture to assert that if the story of the resurrection and ascension were recorded of any other than Jesus in any other sacred book than the Bible, Mr. Hutton and all other intelligent Christians would not only disbelieve it, but would not even condescend to investigate it, condemning it offhand as too preposterous to be worthy of serious attention.	And here I venture to assert that if the story of the resurrection and ascension were recorded of any other than Jesus in any other sacred book than the Bible, mr Hutton and all other intelligent Christians would not only disbelieve it, but would not even condescend to investigate it, condemning it offhand as too preposterous to be worthy of serious attention.	true	121.43	147.19	21.914993
7258_91906_000003_000002	Thus, what Christian has ever deigned to examine critically the marvels affirmed in the Koran, such as Mohammed's visit to heaven; although the Koran can be traced far more surely to the Prophet of Islam than can the Gospels to their reputed authors, and this Prophet bears a far higher character for truthfulness than do the early Christians?	Thus, what Christian has ever deigned to examine critically the marvels affirmed in the Koran, such as Mohammed's visit to heaven; although the Koran can be traced far more surely to the Prophet of Islam than can the Gospels to their reputed authors, and this Prophet bears a far higher character for truthfulness than do the early Christians?	true	148.13	171.43	22.576693
7258_91906_000003_000003	Nay, what Bibliolater has ever seriously weighed the evidence for the miracles of his fellow Christian the great St. Bernard; such as those which are minutely related and solemnly attested by ten eye-witnesses, men well known and of unimpeached veracity, and which are thus infinitely better attested than any miracle in the Bible from Genesis to Revelation?	Nay, what Bibliolater has ever seriously weighed the evidence for the miracles of his fellow Christian the great saint Bernard; such as those which are minutely related and solemnly attested by ten eye witnesses, men well known and of unimpeached veracity, and which are thus infinitely better attested than any miracle in the Bible from genesis to revelation?	false	172.1	199.51	22.767895
7258_91906_000004_000000	Your enlightened Protestant simply shrugs his shoulders at all such stories, and says with a superior smile: "Of course, mere imposture and collusion, or superstition and delusion; no sensible man can afford to waste his time in weighing that sort of stuff; we don't think twice before determining whether the impossible ever really occurred." How, then, can this enlightened Protestant receive without question the miracles of the Jewish books while rejecting without question all others?	Your enlightened Protestant simply shrugs his shoulders at all such stories, and says with a superior smile: "Of course, mere imposture and collusion, or superstition and delusion; no sensible man can afford to waste his time in weighing that sort of stuff; we don't think twice before determining whether the impossible ever really occurred." How, then, can this enlightened Protestant receive without question the miracles of the Jewish books while rejecting without question all others?	true	200.48	234.34	21.285896
7258_91906_000004_000001	We have seen that it cannot be because of any superiority of evidence for the former, since the evidence for the latter is in many cases infinitely greater and better authenticated, and since he does not attempt to weigh evidence before either accepting or rejecting, though he may seek evidence and argument to confirm what he has already given himself to believe.	We have seen that it cannot be because of any superiority of evidence for the former, since the evidence for the latter is in many cases infinitely greater and better authenticated, and since he does not attempt to weigh evidence before either accepting or rejecting, though he may seek evidence and argument to confirm what he has already given himself to believe.	true	235.34	258.04	22.089989
7258_91906_000004_000002	He accepts the Jewish miracles simply because they have come down to him, through many generations of his forefathers, invested with a glamor of sanctity, and he regards them with the eye of faith which sees, and sees not, just what it wishes; he rejects miracles not in the Bible because they come to him without any hallowed associations, and he regards them with the eye of reason which beholds the plain facts before it, and neither wishes nor is able to avoid beholding them.	He accepts the Jewish miracles simply because they have come down to him, through many generations of his forefathers, invested with a glamor of sanctity, and he regards them with the eye of faith which sees, and sees not, just what it wishes; he rejects miracles not in the Bible because they come to him without any hallowed associations, and he regards them with the eye of reason which beholds the plain facts before it, and neither wishes nor is able to avoid beholding them.	false	258.92	293.55	22.902134
7258_91906_000005_000000	It is worth noting that while our Christian advocates insist with all their might, such as it is, upon the resurrection of Jesus, they willingly pass over as lightly as possible, if they do not altogether ignore, a similar miracle guaranteed by the very same authority.	It is worth noting that while our Christian advocates insist with all their might, such as it is, upon the resurrection of Jesus, they willingly pass over as lightly as possible, if they do not altogether ignore, a similar miracle guaranteed by the very same authority.	true	293.55	313.9	22.43977
7258_91906_000005_000001	In Matt, xxvii., 52, 53, it stands recorded among the marvels following the death of Jesus: "And the graves were opened; and many bodies of the saints which slept arose, and came out of their graves after his resurrection, and went into the holy city, and appeared unto many." The reader of Shakespeare will remember the prodigies anterior to the death of Julius Caesar when--	In Matt, x x v i i., fifty two, fifty three, it stands recorded among the marvels following the death of Jesus: "And the graves were opened; and many bodies of the saints which slept arose, and came out of their graves after his resurrection, and went into the holy city, and appeared unto many." The reader of Shakespeare will remember the prodigies anterior to the death of Julius Caesar when-	false	314.33	343.785	21.98392
7258_91906_000006_000000	"The sheeted dead Did squeak and gibber in the Roman streets."	"The sheeted dead Did squeak and gibber in the Roman streets."	true	343.785	347.71	20.286165
