7258_91906_000001_000000	(1876.)	(eighteen seventy six.)
7258_91906_000002_000000	In reviewing Mr. R. H. Hutton's Essay on "Christian Evidences, Popular and Critical," I was obliged to follow his lead, joining issue on such pleas as he put forward.	In reviewing mr r h Hutton's Essay on "Christian Evidences, Popular and Critical," I was obliged to follow his lead, joining issue on such pleas as he put forward.
7258_91906_000002_000001	Thus with regard to the resurrection of Jesus, as Mr. Hutton adduced what he thought confirmatory evidence only from the New Testament itself, I confined myself to showing or attempting to show that such evidence is unsubstantial.	Thus with regard to the resurrection of Jesus, as mr Hutton adduced what he thought confirmatory evidence only from the New Testament itself, I confined myself to showing or attempting to show that such evidence is unsubstantial.
7258_91906_000002_000002	But I could not consider this argument adequate or conclusive, for there are large general considerations of incomparably greater importance which it leaves out altogether.	But I could not consider this argument adequate or conclusive, for there are large general considerations of incomparably greater importance which it leaves out altogether.
7258_91906_000002_000004	Therefore, while confident that even on these grounds the case must go against the Christian believer, I wish to add a few words on its wider relations, in order that the decision may be established, not merely by the letter of the law, but also by the spirit of justice.	Therefore, while confident that even on these grounds the case must go against the Christian believer, I wish to add a few words on its wider relations, in order that the decision may be established, not merely by the letter of the law, but also by the spirit of justice.
7258_91906_000003_000000	We leave thus the torturing of texts in the dim cells of the theological Inquisition, a process by which almost any confession required can be and has been wrung from the unfortunate victims, and emerge into the open daylight of common-sense and reason.	We leave thus the torturing of texts in the dim cells of the theological Inquisition, a process by which almost any confession required can be and has been wrung from the unfortunate victims, and emerge into the open daylight of common sense and reason.
7258_91906_000003_000001	And here I venture to assert that if the story of the resurrection and ascension were recorded of any other than Jesus in any other sacred book than the Bible, Mr. Hutton and all other intelligent Christians would not only disbelieve it, but would not even condescend to investigate it, condemning it offhand as too preposterous to be worthy of serious attention.	And here I venture to assert that if the story of the resurrection and ascension were recorded of any other than Jesus in any other sacred book than the Bible, mr Hutton and all other intelligent Christians would not only disbelieve it, but would not even condescend to investigate it, condemning it offhand as too preposterous to be worthy of serious attention.
7258_91906_000003_000002	Thus, what Christian has ever deigned to examine critically the marvels affirmed in the Koran, such as Mohammed's visit to heaven; although the Koran can be traced far more surely to the Prophet of Islam than can the Gospels to their reputed authors, and this Prophet bears a far higher character for truthfulness than do the early Christians?	Thus, what Christian has ever deigned to examine critically the marvels affirmed in the Koran, such as Mohammed's visit to heaven; although the Koran can be traced far more surely to the Prophet of Islam than can the Gospels to their reputed authors, and this Prophet bears a far higher character for truthfulness than do the early Christians?
7258_91906_000004_000001	We have seen that it cannot be because of any superiority of evidence for the former, since the evidence for the latter is in many cases infinitely greater and better authenticated, and since he does not attempt to weigh evidence before either accepting or rejecting, though he may seek evidence and argument to confirm what he has already given himself to believe.	We have seen that it cannot be because of any superiority of evidence for the former, since the evidence for the latter is in many cases infinitely greater and better authenticated, and since he does not attempt to weigh evidence before either accepting or rejecting, though he may seek evidence and argument to confirm what he has already given himself to believe.
7258_91906_000005_000000	It is worth noting that while our Christian advocates insist with all their might, such as it is, upon the resurrection of Jesus, they willingly pass over as lightly as possible, if they do not altogether ignore, a similar miracle guaranteed by the very same authority.	It is worth noting that while our Christian advocates insist with all their might, such as it is, upon the resurrection of Jesus, they willingly pass over as lightly as possible, if they do not altogether ignore, a similar miracle guaranteed by the very same authority.
7258_91906_000006_000000	"The sheeted dead Did squeak and gibber in the Roman streets."	"The sheeted dead Did squeak and gibber in the Roman streets."
