1859_145703_000002_000000	THE DONKEY CABBAGE	THE DONKEY CABBAGE
1859_145703_000003_000006	Then take aim with your gun and shoot in the middle of them; they will let the cloak fall, but one of the birds will be hit and will drop down dead.	Then take aim with your gun and shoot in the middle of them; they will let the cloak fall, but one of the birds will be hit and will drop down dead.
1859_145703_000004_000001	It is just as the old woman said'; and he took his gun on his shoulder, pulled the trigger, and shot into the midst of them, so that their feathers flew about.	It is just as the old woman said'; and he took his gun on his shoulder, pulled the trigger, and shot into the midst of them, so that their feathers flew about.
1859_145703_000004_000002	Then the flock took flight with much screaming, but one fell dead, and the cloak fluttered down.	Then the flock took flight with much screaming, but one fell dead, and the cloak fluttered down.
1859_145703_000004_000003	Then the Hunter did as the old woman had told him: he cut open the bird, found its heart, swallowed it, and took the cloak home with him.	Then the Hunter did as the old woman had told him: he cut open the bird, found its heart, swallowed it, and took the cloak home with him.
1859_145703_000004_000005	But when he lifted up his pillow, there sparkled the gold piece, and the next morning he found another, and so on every time he got up.	But when he lifted up his pillow, there sparkled the gold piece, and the next morning he found another, and so on every time he got up.
1859_145703_000009_000000	'Drink to me now, my dearest,' she said.	'Drink to me now, my dearest,' she said.
1859_145703_000009_000001	Then he took the goblet, and when he had swallowed the drink the bird-heart came out of his mouth. The maiden had to get hold of it secretly and then swallow it herself, for the old witch wanted to have it.	Then he took the goblet, and when he had swallowed the drink the bird heart came out of his mouth. The maiden had to get hold of it secretly and then swallow it herself, for the old witch wanted to have it.
1859_145703_000012_000000	The old witch grew angry, and said, 'Such a cloak is a wonderful thing, it is seldom to be had in the world, and have it I must and will.' She beat the maiden, and said that if she did not obey it would go ill with her.	The old witch grew angry, and said, 'Such a cloak is a wonderful thing, it is seldom to be had in the world, and have it I must and will.' She beat the maiden, and said that if she did not obey it would go ill with her.
1859_145703_000014_000000	'Why are you standing there looking so sad?' asked the Hunter.	'Why are you standing there looking so sad?' asked the Hunter.
1859_145703_000015_000001	I have a great longing to go there, so that when I think of it I am very sad.	I have a great longing to go there, so that when I think of it I am very sad.
