6510_62558_000000_000000	No reply was possible to these questions.	No reply was possible to these questions.	false	0	1.89	18
6510_62558_000000_000001	But it must not be imagined that because Harding and his companions spoke of these things, they were men to despair.	But it must not be imagined that because Harding and his companions spoke of these things, they were men to despair.	false	1.89	7.59	13
6510_62558_000000_000002	Far from that.	Far from that.	false	7.59	8.4	13
6510_62558_000000_000003	They looked their situation in the face, they analyzed the chances, they prepared themselves for any event, they stood firm and straight before the future, and if adversity was at last to strike them, it would find in them men prepared to struggle against it.	They looked their situation in the face, they analyzed the chances, they prepared themselves for any event, they stood firm and straight before the future, and if adversity was at last to strike them, it would find in them men prepared to struggle against it.	false	8.4	24.945	19.09288
6510_62558_000001_000000	Chapter 9	Chapter nine	true	24.945	26.62	21.346886
6510_62558_000002_000000	The convalescence of the young invalid was regularly progressing.	The convalescence of the young invalid was regularly progressing.	false	27.38	32.34	16.327879
6510_62558_000002_000001	One thing only was now to be desired, that his state would allow him to be brought to Granite House.	One thing only was now to be desired, that his state would allow him to be brought to Granite House.	false	32.34	37.99	15
6510_62558_000002_000002	However well built and supplied the corral house was, it could not be so comfortable as the healthy granite dwelling.	However well built and supplied the corral house was, it could not be so comfortable as the healthy granite dwelling.	true	38.24	46.57	20
6510_62558_000002_000003	Besides, it did not offer the same security, and its tenants, notwithstanding their watchfulness, were here always in fear of some shot from the convicts.	Besides, it did not offer the same security, and its tenants, notwithstanding their watchfulness, were here always in fear of some shot from the convicts.	true	46.61	57.85	20.039928
6510_62558_000002_000004	There, on the contrary, in the middle of that impregnable and inaccessible cliff, they would have nothing to fear, and any attack on their persons would certainly fail.	There, on the contrary, in the middle of that impregnable and inaccessible cliff, they would have nothing to fear, and any attack on their persons would certainly fail.	true	58.31	68.98	20
6510_62558_000002_000005	They therefore waited impatiently for the moment when Herbert might be moved without danger from his wound, and they were determined to make this move, although the communication through Jacamar Wood was very difficult.	They therefore waited impatiently for the moment when Herbert might be moved without danger from his wound, and they were determined to make this move, although the communication through Jacamar Wood was very difficult.	true	69.35	84.1	19
6510_62558_000003_000000	They had no news from Neb, but were not uneasy on that account.	They had no news from Neb, but were not uneasy on that account.	true	84.86	89.76	18.078682
6510_62558_000003_000001	The courageous Negro, well entrenched in the depths of Granite House, would not allow himself to be surprised.	The courageous Negro, well entrenched in the depths of Granite House, would not allow himself to be surprised.	true	89.76	97.27	19.717676
6510_62558_000003_000002	Top had not been sent again to him, as it appeared useless to expose the faithful dog to some shot which might deprive the settlers of their most useful auxiliary.	Top had not been sent again to him, as it appeared useless to expose the faithful dog to some shot which might deprive the settlers of their most useful auxiliary.	true	97.4	108.73	18
6510_62558_000004_000000	They waited, therefore, although they were anxious to be reunited at Granite House.	They waited, therefore, although they were anxious to be reunited at Granite House.	true	109.13	114.52	20.419903
6510_62558_000004_000001	It pained the engineer to see his forces divided, for it gave great advantage to the pirates.	It pained the engineer to see his forces divided, for it gave great advantage to the pirates.	false	114.92	121.12	19.28249
6510_62558_000004_000002	Since Ayrton's disappearance they were only four against five, for Herbert could not yet be counted, and this was not the least care of the brave boy, who well understood the trouble of which he was the cause.	Since Ayrton's disappearance they were only four against five, for Herbert could not yet be counted, and this was not the least care of the brave boy, who well understood the trouble of which he was the cause.	true	121.7	135.37	20.45025
6510_62558_000005_000000	The question of knowing how, in their condition, they were to act against the pirates, was thoroughly discussed on the 29th of November by Cyrus Harding, Gideon Spilett, and Pencroft, at a moment when Herbert was asleep and could not hear them.	The question of knowing how, in their condition, they were to act against the pirates, was thoroughly discussed on the twenty ninth of November by Cyrus Harding, Gideon Spilett, and Pencroft, at a moment when Herbert was asleep and could not hear them.	true	136.58	153.4	21.276064
6510_62558_000006_000000	"My friends," said the reporter, after they had talked of Neb and of the impossibility of communicating with him, "I think,--like you, that to venture on the road to the corral would be to risk receiving a gunshot without being able to return it.	"My friends," said the reporter, after they had talked of Neb and of the impossibility of communicating with him, "I think,--like you, that to venture on the road to the corral would be to risk receiving a gunshot without being able to return it.	true	153.92	169.96	21.293964
6510_62558_000006_000001	But do you not think that the best thing to be done now is to openly give chase to these wretches?"	But do you not think that the best thing to be done now is to openly give chase to these wretches?"	true	170.6	177.01	19
6510_62558_000007_000000	"That is just what I was thinking," answered Pencroft.	"That is just what I was thinking," answered Pencroft.	true	177.56	180.58	21.074047
6510_62558_000007_000001	"I believe we're not fellows to be afraid of a bullet, and as for me, if Captain Harding approves, I'm ready to dash into the forest!	"I believe we're not fellows to be afraid of a bullet, and as for me, if Captain Harding approves, I'm ready to dash into the forest!	true	181.01	189.31	21
6510_62558_000007_000002	Why, hang it, one man is equal to another!"	Why, hang it, one man is equal to another!"	true	189.41	192.7	18.966719
6510_62558_000008_000000	"But is he equal to five?" asked the engineer.	"But is he equal to five?" asked the engineer.	true	193.16	196.54	20.974926
6510_62558_000009_000000	"I will join Pencroft," said the reporter, "and both of us, well-armed and accompanied by Top--"	"I will join Pencroft," said the reporter, "and both of us, well armed and accompanied by Top-"	true	197.12	202.57	20
6510_62558_000010_000000	"My dear Spilett, and you, Pencroft," answered Harding, "let us reason coolly.	"My dear Spilett, and you, Pencroft," answered Harding, "let us reason coolly.	true	202.97	208.96	21.455212
6510_62558_000010_000001	If the convicts were hid in one spot of the island, if we knew that spot, and had only to dislodge them, I would undertake a direct attack; but is there not occasion to fear, on the contrary, that they are sure to fire the first shot?"	If the convicts were hid in one spot of the island, if we knew that spot, and had only to dislodge them, I would undertake a direct attack; but is there not occasion to fear, on the contrary, that they are sure to fire the first shot?"	true	209.27	227.95	20.897324
6510_62558_000011_000000	"Well, captain," cried Pencroft, "a bullet does not always reach its mark."	"Well, captain," cried Pencroft, "a bullet does not always reach its mark."	true	228.44	233.11	20.182732
6510_62558_000012_000000	"That which struck Herbert did not miss, Pencroft," replied the engineer.	"That which struck Herbert did not miss, Pencroft," replied the engineer.	true	233.27	238.81	20.266123
6510_62558_000012_000001	"Besides, observe that if both of you left the corral I should remain here alone to defend it.	"Besides, observe that if both of you left the corral I should remain here alone to defend it.	true	239.03	244.9	16
