6510_62558_000001_000000	Chapter 9	Chapter nine
6510_62558_000002_000002	However well built and supplied the corral house was, it could not be so comfortable as the healthy granite dwelling.	However well built and supplied the corral house was, it could not be so comfortable as the healthy granite dwelling.
6510_62558_000002_000003	Besides, it did not offer the same security, and its tenants, notwithstanding their watchfulness, were here always in fear of some shot from the convicts.	Besides, it did not offer the same security, and its tenants, notwithstanding their watchfulness, were here always in fear of some shot from the convicts.
6510_62558_000002_000004	There, on the contrary, in the middle of that impregnable and inaccessible cliff, they would have nothing to fear, and any attack on their persons would certainly fail.	There, on the contrary, in the middle of that impregnable and inaccessible cliff, they would have nothing to fear, and any attack on their persons would certainly fail.
6510_62558_000004_000000	They waited, therefore, although they were anxious to be reunited at Granite House.	They waited, therefore, although they were anxious to be reunited at Granite House.
6510_62558_000004_000002	Since Ayrton's disappearance they were only four against five, for Herbert could not yet be counted, and this was not the least care of the brave boy, who well understood the trouble of which he was the cause.	Since Ayrton's disappearance they were only four against five, for Herbert could not yet be counted, and this was not the least care of the brave boy, who well understood the trouble of which he was the cause.
6510_62558_000005_000000	The question of knowing how, in their condition, they were to act against the pirates, was thoroughly discussed on the 29th of November by Cyrus Harding, Gideon Spilett, and Pencroft, at a moment when Herbert was asleep and could not hear them.	The question of knowing how, in their condition, they were to act against the pirates, was thoroughly discussed on the twenty ninth of November by Cyrus Harding, Gideon Spilett, and Pencroft, at a moment when Herbert was asleep and could not hear them.
6510_62558_000006_000000	"My friends," said the reporter, after they had talked of Neb and of the impossibility of communicating with him, "I think,--like you, that to venture on the road to the corral would be to risk receiving a gunshot without being able to return it.	"My friends," said the reporter, after they had talked of Neb and of the impossibility of communicating with him, "I think,--like you, that to venture on the road to the corral would be to risk receiving a gunshot without being able to return it.
6510_62558_000007_000000	"That is just what I was thinking," answered Pencroft.	"That is just what I was thinking," answered Pencroft.
6510_62558_000007_000001	"I believe we're not fellows to be afraid of a bullet, and as for me, if Captain Harding approves, I'm ready to dash into the forest!	"I believe we're not fellows to be afraid of a bullet, and as for me, if Captain Harding approves, I'm ready to dash into the forest!
6510_62558_000008_000000	"But is he equal to five?" asked the engineer.	"But is he equal to five?" asked the engineer.
6510_62558_000009_000000	"I will join Pencroft," said the reporter, "and both of us, well-armed and accompanied by Top--"	"I will join Pencroft," said the reporter, "and both of us, well armed and accompanied by Top-"
