1283_129808_000000_000000	CHAPTER XXVIII.	CHAPTER twenty eight.
1283_129808_000002_000000	This was a slight that at another time Captain Blood would not have borne for a moment.	This was a slight that at another time Captain Blood would not have borne for a moment.
1283_129808_000002_000001	But at present, in his odd frame of mind, and its divorcement from piracy, he was content to smile his utter contempt of the French General.	But at present, in his odd frame of mind, and its divorcement from piracy, he was content to smile his utter contempt of the French General.
1283_129808_000002_000003	Resentment smouldered amongst them for a while, to flame out violently at the end of that week in Cartagena.	Resentment smouldered amongst them for a while, to flame out violently at the end of that week in Cartagena.
1283_129808_000002_000004	It was only by undertaking to voice their grievance to the Baron that their captain was able for the moment to pacify them.	It was only by undertaking to voice their grievance to the Baron that their captain was able for the moment to pacify them.
1283_129808_000003_000000	He found him in the offices which the Baron had set up in the town, with a staff of clerks to register the treasure brought in and to cast up the surrendered account-books, with a view to ascertaining precisely what were the sums yet to be delivered up.	He found him in the offices which the Baron had set up in the town, with a staff of clerks to register the treasure brought in and to cast up the surrendered account books, with a view to ascertaining precisely what were the sums yet to be delivered up.
1283_129808_000003_000001	The Baron sat there scrutinizing ledgers, like a city merchant, and checking figures to make sure that all was correct to the last peso.	The Baron sat there scrutinizing ledgers, like a city merchant, and checking figures to make sure that all was correct to the last peso.
1283_129808_000003_000002	A choice occupation this for the General of the King's Armies by Sea and Land.	A choice occupation this for the General of the King's Armies by Sea and Land.
1283_129808_000003_000003	He looked up irritated by the interruption which Captain Blood's advent occasioned.	He looked up irritated by the interruption which Captain Blood's advent occasioned.
1283_129808_000004_000001	"I must speak frankly; and you must suffer it.	"I must speak frankly; and you must suffer it.
1283_129808_000004_000002	My men are on the point of mutiny."	My men are on the point of mutiny."
1283_129808_000006_000001	If there is a mutiny, you and your captains shall be held personally responsible.	If there is a mutiny, you and your captains shall be held personally responsible.
1283_129808_000007_000000	Blood contained himself with difficulty.	Blood contained himself with difficulty.
1283_129808_000008_000000	"You may define our positions as you please," said he.	"You may define our positions as you please," said he.
1283_129808_000008_000001	"But I'll remind you that the nature of a thing is not changed by the name you give it. I am concerned with facts; chiefly with the fact that we entered into definite articles with you.	"But I'll remind you that the nature of a thing is not changed by the name you give it. I am concerned with facts; chiefly with the fact that we entered into definite articles with you.
1283_129808_000008_000002	Those articles provide for a certain distribution of the spoil.	Those articles provide for a certain distribution of the spoil.
1283_129808_000008_000003	My men demand it.	My men demand it.
1283_129808_000008_000004	They are not satisfied."	They are not satisfied."
1283_129808_000009_000000	"Of what are they not satisfied?" demanded the Baron.	"Of what are they not satisfied?" demanded the Baron.
1283_129808_000011_000000	A blow in the face could scarcely have taken the Frenchman more aback. He stiffened, and drew himself up, his eyes blazing, his face of a deathly pallor.	A blow in the face could scarcely have taken the Frenchman more aback. He stiffened, and drew himself up, his eyes blazing, his face of a deathly pallor.
1283_129808_000011_000001	The clerks at the tables laid down their pens, and awaited the explosion in a sort of terror.	The clerks at the tables laid down their pens, and awaited the explosion in a sort of terror.
1283_129808_000012_000001	Then the great gentleman delivered himself in a voice of concentrated anger.	Then the great gentleman delivered himself in a voice of concentrated anger.
1283_129808_000012_000002	"Do you really dare so much, you and the dirty thieves that follow you?	"Do you really dare so much, you and the dirty thieves that follow you?
1283_129808_000012_000003	God's Blood!	God's Blood!
1283_129808_000013_000000	"I will remind you," said Blood, "that I am speaking not for myself, but for my men.	"I will remind you," said Blood, "that I am speaking not for myself, but for my men.
1283_129808_000013_000001	It is they who are not satisfied, they who threaten that unless satisfaction is afforded them, and promptly, they will take it."	It is they who are not satisfied, they who threaten that unless satisfaction is afforded them, and promptly, they will take it."
1283_129808_000014_000001	"Let them attempt it, and...."	"Let them attempt it, and...."
1283_129808_000015_000000	"Now don't be rash.	"Now don't be rash.
1283_129808_000016_000000	"God give me patience!	"God give me patience!
1283_129808_000016_000001	How can we share the spoil before it has been completely gathered?"	How can we share the spoil before it has been completely gathered?"
1283_129808_000017_000000	"My men have reason to believe that it is gathered; and, anyway, they view with mistrust that it should all be housed aboard your ships, and remain in your possession.	"My men have reason to believe that it is gathered; and, anyway, they view with mistrust that it should all be housed aboard your ships, and remain in your possession.
1283_129808_000017_000001	They say that hereafter there will be no ascertaining what the spoil really amounts to."	They say that hereafter there will be no ascertaining what the spoil really amounts to."
1283_129808_000018_000000	"But--name of Heaven!--I have kept books.	"But-name of Heaven!--I have kept books.
1283_129808_000018_000001	They are there for all to see."	They are there for all to see."
1283_129808_000019_000000	"They do not wish to see account-books.	"They do not wish to see account books.
1283_129808_000019_000002	They want to view the treasure itself.	They want to view the treasure itself.
1283_129808_000019_000003	They know--you compel me to be blunt--that the accounts have been falsified.	They know-you compel me to be blunt-that the accounts have been falsified.
1283_129808_000019_000005	The men know--and they are very skilled in these computations--that it exceeds the enormous total of forty millions.	The men know-and they are very skilled in these computations-that it exceeds the enormous total of forty millions.
1283_129808_000019_000006	They insist that the treasure itself be produced and weighed in their presence, as is the custom among the Brethren of the Coast."	They insist that the treasure itself be produced and weighed in their presence, as is the custom among the Brethren of the Coast."
1283_129808_000020_000000	"I know nothing of filibuster customs." The gentleman was disdainful.	"I know nothing of filibuster customs." The gentleman was disdainful.
1283_129808_000021_000000	"But you are learning quickly."	"But you are learning quickly."
1283_129808_000022_000000	"What do you mean, you rogue?	"What do you mean, you rogue?
1283_129808_000022_000001	I am a leader of armies, not of plundering thieves."	I am a leader of armies, not of plundering thieves."
1283_129808_000023_000000	"Oh, but of course!" Blood's irony laughed in his eyes.	"Oh, but of course!" Blood's irony laughed in his eyes.
1283_129808_000024_000001	Am I to understand that you are threatening me?"	Am I to understand that you are threatening me?"
1283_129808_000025_000001	I warn you of the trouble that a little prudence may avert.	I warn you of the trouble that a little prudence may avert.
1283_129808_000025_000002	You do not know on what a volcano you are sitting. You do not know the ways of buccaneers.	You do not know on what a volcano you are sitting. You do not know the ways of buccaneers.
1283_129808_000026_000000	That shifted the basis of the argument to less hostile ground.	That shifted the basis of the argument to less hostile ground.
1283_129808_000026_000002	He gave it with an extreme ill-grace, and only because Blood made him realize at last that to withhold it longer would be dangerous.	He gave it with an extreme ill grace, and only because Blood made him realize at last that to withhold it longer would be dangerous.
1283_129808_000026_000003	In an engagement, he might conceivably defeat Blood's followers.	In an engagement, he might conceivably defeat Blood's followers.
1283_129808_000026_000004	But conceivably he might not.	But conceivably he might not.
1283_129808_000026_000005	And even if he succeeded, the effort would be so costly to him in men that he might not thereafter find himself in sufficient strength to maintain his hold of what he had seized.	And even if he succeeded, the effort would be so costly to him in men that he might not thereafter find himself in sufficient strength to maintain his hold of what he had seized.
1283_129808_000028_000001	But when the next dawn broke over Cartagena, they had the explanation of it.	But when the next dawn broke over Cartagena, they had the explanation of it.
1283_129808_000028_000003	The French ships were gone.	The French ships were gone.
1283_129808_000029_000000	The two parties were fused into one by their common fury, and before the exhibition of it the inhabitants of that ill-fated town were stricken with deeper terror than they had yet known since the coming of this expedition.	The two parties were fused into one by their common fury, and before the exhibition of it the inhabitants of that ill fated town were stricken with deeper terror than they had yet known since the coming of this expedition.
1283_129808_000031_000000	"We must follow," he declared.	"We must follow," he declared.
1283_129808_000031_000001	"Follow and punish."	"Follow and punish."
1283_129808_000032_000000	At first that was the general cry.	At first that was the general cry.
1283_129808_000032_000001	Then came the consideration that only two of the buccaneer ships were seaworthy--and these could not accommodate the whole force, particularly being at the moment indifferently victualled for a long voyage.	Then came the consideration that only two of the buccaneer ships were seaworthy-and these could not accommodate the whole force, particularly being at the moment indifferently victualled for a long voyage.
1283_129808_000032_000003	After all, there would be a deal of treasure still hidden in Cartagena.	After all, there would be a deal of treasure still hidden in Cartagena.
1283_129808_000032_000004	They would remain behind to extort it whilst fitting their ships for sea.	They would remain behind to extort it whilst fitting their ships for sea.
1283_129808_000032_000005	Let Blood and Hagthorpe and those who sailed with them do as they pleased.	Let Blood and Hagthorpe and those who sailed with them do as they pleased.
1283_129808_000033_000001	Blood was reduced to despair.	Blood was reduced to despair.
1283_129808_000033_000002	If he went off now, Heaven knew what would happen to the town, the temper of those whom he was leaving being what it was.	If he went off now, Heaven knew what would happen to the town, the temper of those whom he was leaving being what it was.
1283_129808_000033_000003	Yet if he remained, it would simply mean that his own and Hagthorpe's crews would join in the saturnalia and increase the hideousness of events now inevitable.	Yet if he remained, it would simply mean that his own and Hagthorpe's crews would join in the saturnalia and increase the hideousness of events now inevitable.
1283_129808_000033_000004	Unable to reach a decision, his own men and Hagthorpe's took the matter off his hands, eager to give chase to Rivarol.	Unable to reach a decision, his own men and Hagthorpe's took the matter off his hands, eager to give chase to Rivarol.
1283_129808_000033_000005	Not only was a dastardly cheat to be punished but an enormous treasure to be won by treating as an enemy this French commander who, himself, had so villainously broken the alliance.	Not only was a dastardly cheat to be punished but an enormous treasure to be won by treating as an enemy this French commander who, himself, had so villainously broken the alliance.
1283_129808_000034_000000	When Blood, torn as he was between conflicting considerations, still hesitated, they bore him almost by main force aboard the Arabella.	When Blood, torn as he was between conflicting considerations, still hesitated, they bore him almost by main force aboard the Arabella.
1283_129808_000035_000000	Within an hour, the water-casks at least replenished and stowed aboard, the Arabella and the Elizabeth put to sea upon that angry chase.	Within an hour, the water casks at least replenished and stowed aboard, the Arabella and the Elizabeth put to sea upon that angry chase.
1283_129808_000036_000001	I found him sitting alone in his cabin, his head in his hands, torment in the eyes that stared straight before him, seeing nothing."	I found him sitting alone in his cabin, his head in his hands, torment in the eyes that stared straight before him, seeing nothing."
1283_129808_000037_000002	Surely 't isn't the thought of Rivarol!"	Surely 't isn't the thought of Rivarol!"
1283_129808_000038_000000	"No," said Blood thickly.	"No," said Blood thickly.
1283_129808_000038_000001	And for once he was communicative.	And for once he was communicative.
1283_129808_000038_000002	It may well be that he must vent the thing that oppressed him or be driven mad by it.	It may well be that he must vent the thing that oppressed him or be driven mad by it.
1283_129808_000038_000003	And Pitt, after all, was his friend and loved him, and, so, a proper man for confidences.	And Pitt, after all, was his friend and loved him, and, so, a proper man for confidences.
1283_129808_000038_000004	"But if she knew!	"But if she knew!
1283_129808_000038_000005	If she knew!	If she knew!
1283_129808_000038_000006	O God!	O God!
1283_129808_000038_000007	I had thought to have done with piracy; thought to have done with it for ever.	I had thought to have done with piracy; thought to have done with it for ever.
1283_129808_000038_000009	Think of Cartagena!	Think of Cartagena!
1283_129808_000038_000010	Think of the hell those devils will be making of it now!	Think of the hell those devils will be making of it now!
1283_129808_000038_000011	And I must have that on my soul!"	And I must have that on my soul!"
1283_129808_000039_000000	"Nay, Peter--'t isn't on your soul; but on Rivarol's.	"Nay, peter--'t isn't on your soul; but on Rivarol's.
1283_129808_000039_000002	What could you have done to prevent it?"	What could you have done to prevent it?"
1283_129808_000040_000000	"I would have stayed if it could have availed."	"I would have stayed if it could have availed."
1283_129808_000041_000001	So why repine?"	So why repine?"
1283_129808_000042_000000	"There is more than that to it," groaned Blood.	"There is more than that to it," groaned Blood.
1283_129808_000042_000001	"What now?	"What now?
1283_129808_000042_000003	Loyal service with France has led to this; and that is equally impossible hereafter. What to live clean, I believe the only thing is to go and offer my sword to the King of Spain."	Loyal service with France has led to this; and that is equally impossible hereafter. What to live clean, I believe the only thing is to go and offer my sword to the King of Spain."
1283_129808_000043_000000	But something remained--the last thing that he could have expected--something towards which they were rapidly sailing over the tropical, sunlit sea.	But something remained-the last thing that he could have expected-something towards which they were rapidly sailing over the tropical, sunlit sea.
1283_129808_000043_000001	All this against which he now inveighed so bitterly was but a necessary stage in the shaping of his odd destiny.	All this against which he now inveighed so bitterly was but a necessary stage in the shaping of his odd destiny.
1283_129808_000044_000000	Setting a course for Hispaniola, since they judged that thither must Rivarol go to refit before attempting to cross to France, the Arabella and the Elizabeth ploughed briskly northward with a moderately favourable wind for two days and nights without ever catching a glimpse of their quarry.	Setting a course for Hispaniola, since they judged that thither must Rivarol go to refit before attempting to cross to France, the Arabella and the Elizabeth ploughed briskly northward with a moderately favourable wind for two days and nights without ever catching a glimpse of their quarry.
1283_129808_000045_000002	The wind, to which they were sailing very close, was westerly, and it bore to their ears a booming sound which in less experienced ears might have passed for the breaking of surf upon a lee shore.	The wind, to which they were sailing very close, was westerly, and it bore to their ears a booming sound which in less experienced ears might have passed for the breaking of surf upon a lee shore.
1283_129808_000046_000000	"Guns!" said Pitt, who stood with Blood upon the quarter-deck.	"Guns!" said Pitt, who stood with Blood upon the quarter deck.
1283_129808_000046_000001	Blood nodded, listening.	Blood nodded, listening.
1283_129808_000047_000000	"Ten miles away, perhaps fifteen--somewhere off Port Royal, I should judge," Pitt added.	"Ten miles away, perhaps fifteen-somewhere off Port Royal, I should judge," Pitt added.
1283_129808_000047_000002	"Does it concern us?" he asked.	"Does it concern us?" he asked.
1283_129808_000048_000000	"Guns off Port Royal... that should argue Colonel Bishop at work.	"Guns off Port Royal... that should argue Colonel Bishop at work.
1283_129808_000048_000001	And against whom should he be in action but against friends of ours I think it may concern us.	And against whom should he be in action but against friends of ours I think it may concern us.
1283_129808_000048_000002	Anyway, we'll stand in to investigate.	Anyway, we'll stand in to investigate.
1283_129808_000048_000003	Bid them put the helm over."	Bid them put the helm over."
1283_129808_000049_000000	Close-hauled they tacked aweather, guided by the sound of combat, which grew in volume and definition as they approached it.	Close hauled they tacked aweather, guided by the sound of combat, which grew in volume and definition as they approached it.
1283_129808_000049_000001	Thus for an hour, perhaps.	Thus for an hour, perhaps.
1283_129808_000049_000002	Then, as, telescope to his eye, Blood raked the haze, expecting at any moment to behold the battling ships, the guns abruptly ceased.	Then, as, telescope to his eye, Blood raked the haze, expecting at any moment to behold the battling ships, the guns abruptly ceased.
1283_129808_000050_000000	They held to their course, nevertheless, with all hands on deck, eagerly, anxiously scanning the sea ahead.	They held to their course, nevertheless, with all hands on deck, eagerly, anxiously scanning the sea ahead.
1283_129808_000050_000001	And presently an object loomed into view, which soon defined itself for a great ship on fire.	And presently an object loomed into view, which soon defined itself for a great ship on fire.
1283_129808_000050_000002	As the Arabella with the Elizabeth following closely raced nearer on their north-westerly tack, the outlines of the blazing vessel grew clearer. Presently her masts stood out sharp and black above the smoke and flames, and through his telescope Blood made out plainly the pennon of St. George fluttering from her maintop.	As the Arabella with the Elizabeth following closely raced nearer on their north westerly tack, the outlines of the blazing vessel grew clearer. Presently her masts stood out sharp and black above the smoke and flames, and through his telescope Blood made out plainly the pennon of saint George fluttering from her maintop.
1283_129808_000051_000000	"An English ship!" he cried.	"An English ship!" he cried.
1283_129808_000053_000000	They took in sail and hove to as they came up with the drifting boats, laden to capacity with survivors.	They took in sail and hove to as they came up with the drifting boats, laden to capacity with survivors.
