272_130229_000000_000000	Three Months Later	Three Months Later	true	0.78	2.05	18.64956
272_130229_000001_000000	The kangaroo still continues to grow, which is very strange and perplexing.	The kangaroo still continues to grow, which is very strange and perplexing.	true	3.08	8.23	21.017645
272_130229_000001_000001	I never knew one to be so long getting its growth. It has fur on its head now; not like kangaroo fur, but exactly like our hair, except that it is much finer and softer, and instead of being black is red.	I never knew one to be so long getting its growth. It has fur on its head now; not like kangaroo fur, but exactly like our hair, except that it is much finer and softer, and instead of being black is red.	true	8.72	21.49	22.710297
272_130229_000001_000002	I am like to lose my mind over the capricious and harassing developments of this unclassifiable zoological freak. If I could catch another one--but that is hopeless; it is a new variety, and the only sample; this is plain.	I am like to lose my mind over the capricious and harassing developments of this unclassifiable zoological freak. If I could catch another one-but that is hopeless; it is a new variety, and the only sample; this is plain.	false	21.95	36.46	21.66015
272_130229_000001_000003	But I caught a true kangaroo and brought it in, thinking that this one, being lonesome, would rather have that for company than have no kin at all, or any animal it could feel a nearness to or get sympathy from in its forlorn condition here among strangers who do not know its ways or habits, or what to do to make it feel that it is among friends; but it was a mistake--it went into such fits at the sight of the kangaroo that I was convinced it had never seen one before.	But I caught a true kangaroo and brought it in, thinking that this one, being lonesome, would rather have that for company than have no kin at all, or any animal it could feel a nearness to or get sympathy from in its forlorn condition here among strangers who do not know its ways or habits, or what to do to make it feel that it is among friends; but it was a mistake-it went into such fits at the sight of the kangaroo that I was convinced it had never seen one before.	false	36.53	62.44	23.201965
272_130229_000001_000004	I pity the poor noisy little animal, but there is nothing I can do to make it happy.	I pity the poor noisy little animal, but there is nothing I can do to make it happy.	true	62.84	66.88	18
272_130229_000001_000005	If I could tame it--but that is out of the question; the more I try, the worse I seem to make it.	If I could tame it-but that is out of the question; the more I try, the worse I seem to make it.	true	67.22	73.06	22.399364
272_130229_000001_000006	It grieves me to the heart to see it in its little storms of sorrow and passion.	It grieves me to the heart to see it in its little storms of sorrow and passion.	true	73.31	78.34	18
272_130229_000001_000007	I wanted to let it go, but she wouldn't hear of it.	I wanted to let it go, but she wouldn't hear of it.	true	78.89	81.55	20.371767
272_130229_000001_000008	That seemed cruel and not like her; and yet she may be right.	That seemed cruel and not like her; and yet she may be right.	true	81.71	85.78	24.337013
272_130229_000001_000009	It might be lonelier than ever; for since I cannot find another one, how could it?	It might be lonelier than ever; for since I cannot find another one, how could it?	true	85.97	90.82	23
