272_130229_000001_000000	The kangaroo still continues to grow, which is very strange and perplexing.	The kangaroo still continues to grow, which is very strange and perplexing.
272_130229_000001_000001	I never knew one to be so long getting its growth. It has fur on its head now; not like kangaroo fur, but exactly like our hair, except that it is much finer and softer, and instead of being black is red.	I never knew one to be so long getting its growth. It has fur on its head now; not like kangaroo fur, but exactly like our hair, except that it is much finer and softer, and instead of being black is red.
272_130229_000001_000005	If I could tame it--but that is out of the question; the more I try, the worse I seem to make it.	If I could tame it-but that is out of the question; the more I try, the worse I seem to make it.
272_130229_000001_000007	I wanted to let it go, but she wouldn't hear of it.	I wanted to let it go, but she wouldn't hear of it.
272_130229_000001_000008	That seemed cruel and not like her; and yet she may be right.	That seemed cruel and not like her; and yet she may be right.
272_130229_000001_000009	It might be lonelier than ever; for since I cannot find another one, how could it?	It might be lonelier than ever; for since I cannot find another one, how could it?
272_130229_000003_000000	It is not a kangaroo.	It is not a kangaroo.
272_130229_000003_000001	No, for it supports itself by holding to her finger, and thus goes a few steps on its hind legs, and then falls down.	No, for it supports itself by holding to her finger, and thus goes a few steps on its hind legs, and then falls down.
272_130229_000003_000002	It is probably some kind of a bear; and yet it has no tail--as yet--and no fur, except on its head.	It is probably some kind of a bear; and yet it has no tail-as yet-and no fur, except on its head.
272_130229_000003_000004	Bears are dangerous--since our catastrophe--and I shall not be satisfied to have this one prowling about the place much longer without a muzzle on.	Bears are dangerous-since our catastrophe-and I shall not be satisfied to have this one prowling about the place much longer without a muzzle on.
272_130229_000003_000005	I have offered to get her a kangaroo if she would let this one go, but it did no good--she is determined to run us into all sorts of foolish risks, I think.	I have offered to get her a kangaroo if she would let this one go, but it did no good-she is determined to run us into all sorts of foolish risks, I think.
272_130229_000003_000006	She was not like this before she lost her mind.	She was not like this before she lost her mind.
272_130229_000004_000000	A Fortnight Later	A Fortnight Later
272_130229_000005_000000	I examined its mouth.	I examined its mouth.
272_130229_000005_000001	There is no danger yet; it has only one tooth.	There is no danger yet; it has only one tooth.
272_130229_000005_000002	It has no tail yet.	It has no tail yet.
272_130229_000005_000003	It makes more noise now than it ever did before--and mainly at night.	It makes more noise now than it ever did before-and mainly at night.
272_130229_000005_000004	I have moved out.	I have moved out.
272_130229_000006_000000	Four Months Later	Four Months Later
272_130229_000007_000001	Meantime the bear has learned to paddle around all by itself on its hind legs, and says "poppa" and "momma."	Meantime the bear has learned to paddle around all by itself on its hind legs, and says "poppa" and "momma."
272_130229_000007_000003	This resemblance to words may be purely accidental, of course, and may have no purpose or meaning; but even in that case it is still extraordinary, and is a thing which no other bear can do.	This resemblance to words may be purely accidental, of course, and may have no purpose or meaning; but even in that case it is still extraordinary, and is a thing which no other bear can do.
272_130229_000010_000000	Next Day	Next Day
272_130229_000011_000001	I was going to stuff one of them for my collection, but she is prejudiced against it for some reason or other; so I have relinquished the idea, though I think it is a mistake.	I was going to stuff one of them for my collection, but she is prejudiced against it for some reason or other; so I have relinquished the idea, though I think it is a mistake.
272_130229_000011_000002	It would be an irreparable loss to science if they should get away.	It would be an irreparable loss to science if they should get away.
272_130229_000011_000003	The old one is tamer than it was, and can laugh and talk like the parrot, having learned this, no doubt, from being with the parrot so much, and having the imitative faculty in a highly developed degree.	The old one is tamer than it was, and can laugh and talk like the parrot, having learned this, no doubt, from being with the parrot so much, and having the imitative faculty in a highly developed degree.
272_130229_000011_000004	I shall be astonished if it turns out to be a new kind of parrot, and yet I ought not to be astonished, for it has already been everything else it could think of, since those first days when it was a fish.	I shall be astonished if it turns out to be a new kind of parrot, and yet I ought not to be astonished, for it has already been everything else it could think of, since those first days when it was a fish.
272_130229_000011_000006	She calls it Abel.	She calls it Abel.
272_130229_000012_000000	Ten Years Later	Ten Years Later
272_130229_000013_000000	They are boys; we found it out long ago.	They are boys; we found it out long ago.
272_130229_000013_000004	Blessed be the chestnut that brought us near together and taught me to know the goodness of her heart and the sweetness of her spirit!	Blessed be the chestnut that brought us near together and taught me to know the goodness of her heart and the sweetness of her spirit!
