7730_304534_000000_000000	II	two	false	10.17	11.085	21.885395
7730_304534_000001_000000	EARLY LESSONS IN THE LIFE OF FAITH	EARLY LESSONS IN THE LIFE OF FAITH	true	11.085	13.3	20.378042
7730_304534_000002_000000	"I love the Lord, because he hath heard my voice and my supplications."--_Psalm 116:1._	"I love the Lord, because he hath heard my voice and my supplications."--underscore psalm chapter one hundred sixteen verse one.underscore	false	13.55	20.4	20.310585
7730_304534_000003_000000	WHEN a very little child, so young I can remember nothing earlier, a severe thunderstorm passed over our home.	WHEN a very little child, so young I can remember nothing earlier, a severe thunderstorm passed over our home.	true	20.4	26.61	11
7730_304534_000003_000001	Terrified, I ran to my mother, who placed my hands together, and pointing upward repeated over and over again the one word "Jesus."	Terrified, I ran to my mother, who placed my hands together, and pointing upward repeated over and over again the one word "Jesus."	true	26.61	34.72	16
7730_304534_000004_000000	More than fifty years have passed since that day, but the impression left upon my child-mind, of a Being invisible but able to hear and help, has never been effaced.	More than fifty years have passed since that day, but the impression left upon my child mind, of a Being invisible but able to hear and help, has never been effaced.	true	35.18	45.58	19
7730_304534_000005_000000	The most precious recollections of early childhood are associated with stories told us by our mother, many of which illustrated the power of prayer.	The most precious recollections of early childhood are associated with stories told us by our mother, many of which illustrated the power of prayer.	true	46.58	55.21	17
7730_304534_000006_000000	One that made a specially deep impression upon me was about our grandfather, who as a little boy went to visit cousins in the south of England, their home being situated close to a dense forest.	One that made a specially deep impression upon me was about our grandfather, who as a little boy went to visit cousins in the south of England, their home being situated close to a dense forest.	true	55.97	67.24	16
7730_304534_000006_000001	One day the children, lured by the beautiful wild flowers, became hopelessly lost in the woods.	One day the children, lured by the beautiful wild flowers, became hopelessly lost in the woods.	true	67.43	73.09	16
7730_304534_000006_000002	After trying in vain to find a way out, the eldest, a young girl, called the frightened, crying little ones around her and said: "When mother died she told us to always tell Jesus if we were in any trouble.	After trying in vain to find a way out, the eldest, a young girl, called the frightened, crying little ones around her and said: "When mother died she told us to always tell Jesus if we were in any trouble.	true	73.49	85.455	13
7730_304534_000006_000003	Let us kneel down, and ask him to take us home."	Let us kneel down, and ask him to take us home."	true	85.455	88.12	15
7730_304534_000007_000000	They knelt, and as she prayed one of the little ones opened his eyes, to find a bird so close to his hand that he reached out for it.	They knelt, and as she prayed one of the little ones opened his eyes, to find a bird so close to his hand that he reached out for it.	false	88.46	95.89	15
7730_304534_000007_000001	The bird hopped away, but kept so close to the child as to lead him on.	The bird hopped away, but kept so close to the child as to lead him on.	true	96.2	100.39	18
7730_304534_000007_000002	Soon all were joining in the chase after the bird, which flew or hopped in front or just above, and sometimes on the ground almost within reach.	Soon all were joining in the chase after the bird, which flew or hopped in front or just above, and sometimes on the ground almost within reach.	true	100.67	108.945	20
7730_304534_000007_000003	Then suddenly it flew into the air and away.	Then suddenly it flew into the air and away.	true	108.945	111.76	16
7730_304534_000007_000004	The children looked up to find themselves on the edge of the woods and in sight of home.	The children looked up to find themselves on the edge of the woods and in sight of home.	true	112.07	116.38	17
