4438_52195_000000_000000	CHAPTER XII	CHAPTER twelve	false	0.06	7.75	26.058125
4438_52195_000001_000000	Early one evening, struggling with a sonnet that twisted all awry the beauty and thought that trailed in glow and vapor through his brain, Martin was called to the telephone.	Early one evening, struggling with a sonnet that twisted all awry the beauty and thought that trailed in glow and vapor through his brain, Martin was called to the telephone.	true	8.27	18.1	26.098436
4438_52195_000002_000000	"It's a lady's voice, a fine lady's," Mr. Higginbotham, who had called him, jeered.	"It's a lady's voice, a fine lady's," mr Higginbotham, who had called him, jeered.	true	19.31	25.27	24.745173
4438_52195_000003_000000	Martin went to the telephone in the corner of the room, and felt a wave of warmth rush through him as he heard Ruth's voice.	Martin went to the telephone in the corner of the room, and felt a wave of warmth rush through him as he heard Ruth's voice.	false	26.03	32.65	23.191435
4438_52195_000003_000001	In his battle with the sonnet he had forgotten her existence, and at the sound of her voice his love for her smote him like a sudden blow.	In his battle with the sonnet he had forgotten her existence, and at the sound of her voice his love for her smote him like a sudden blow.	true	33.38	41.44	23.570385
4438_52195_000003_000002	And such a voice!--delicate and sweet, like a strain of music heard far off and faint, or, better, like a bell of silver, a perfect tone, crystal-pure. No mere woman had a voice like that.	And such a voice!--delicate and sweet, like a strain of music heard far off and faint, or, better, like a bell of silver, a perfect tone, crystal pure. No mere woman had a voice like that.	true	41.87	56.11	25.998537
4438_52195_000003_000003	There was something celestial about it, and it came from other worlds.	There was something celestial about it, and it came from other worlds.	true	56.42	60.34	24.321367
4438_52195_000003_000004	He could scarcely hear what it said, so ravished was he, though he controlled his face, for he knew that Mr. Higginbotham's ferret eyes were fixed upon him.	He could scarcely hear what it said, so ravished was he, though he controlled his face, for he knew that mr Higginbotham's ferret eyes were fixed upon him.	true	60.8	71.14	23.303528
4438_52195_000004_000000	It was not much that Ruth wanted to say--merely that Norman had been going to take her to a lecture that night, but that he had a headache, and she was so disappointed, and she had the tickets, and that if he had no other engagement, would he be good enough to take her?	It was not much that ruth wanted to say-merely that Norman had been going to take her to a lecture that night, but that he had a headache, and she was so disappointed, and she had the tickets, and that if he had no other engagement, would he be good enough to take her?	false	71.69	86.77	24.81813
4438_52195_000005_000000	Would he!	Would he!	true	87.02	87.97	22.347755
4438_52195_000005_000001	He fought to suppress the eagerness in his voice.	He fought to suppress the eagerness in his voice.	true	88.28	90.97	24.947376
4438_52195_000005_000002	It was amazing.	It was amazing.	true	91.04	92.41	18.838985
4438_52195_000005_000003	He had always seen her in her own house.	He had always seen her in her own house.	true	92.6	94.87	19.596733
4438_52195_000005_000004	And he had never dared to ask her to go anywhere with him.	And he had never dared to ask her to go anywhere with him.	true	95.33	98.08	23.825323
4438_52195_000005_000005	Quite irrelevantly, still at the telephone and talking with her, he felt an overpowering desire to die for her, and visions of heroic sacrifice shaped and dissolved in his whirling brain.	Quite irrelevantly, still at the telephone and talking with her, he felt an overpowering desire to die for her, and visions of heroic sacrifice shaped and dissolved in his whirling brain.	true	98.54	111.64	25.249855
4438_52195_000005_000006	He loved her so much, so terribly, so hopelessly.	He loved her so much, so terribly, so hopelessly.	true	112.1	115.93	26.03042
4438_52195_000005_000007	In that moment of mad happiness that she should go out with him, go to a lecture with him--with him, Martin Eden--she soared so far above him that there seemed nothing else for him to do than die for her.	In that moment of mad happiness that she should go out with him, go to a lecture with him-with him, Martin Eden-she soared so far above him that there seemed nothing else for him to do than die for her.	false	116.57	130.87	23.485199
4438_52195_000005_000008	It was the only fit way in which he could express the tremendous and lofty emotion he felt for her.	It was the only fit way in which he could express the tremendous and lofty emotion he felt for her.	true	131.06	136.51	24.315245
4438_52195_000005_000009	It was the sublime abnegation of true love that comes to all lovers, and it came to him there, at the telephone, in a whirlwind of fire and glory; and to die for her, he felt, was to have lived and loved well.	It was the sublime abnegation of true love that comes to all lovers, and it came to him there, at the telephone, in a whirlwind of fire and glory; and to die for her, he felt, was to have lived and loved well.	true	136.91	152.56	24.253065
4438_52195_000005_000010	And he was only twenty-one, and he had never been in love before.	And he was only twenty one, and he had never been in love before.	true	153.05	157.36	24.758223
4438_52195_000006_000000	His hand trembled as he hung up the receiver, and he was weak from the organ which had stirred him.	His hand trembled as he hung up the receiver, and he was weak from the organ which had stirred him.	true	158.3	163.78	23.305616
4438_52195_000006_000001	His eyes were shining like an angel's, and his face was transfigured, purged of all earthly dross, and pure and holy.	His eyes were shining like an angel's, and his face was transfigured, purged of all earthly dross, and pure and holy.	true	164.72	173.14	24.234198
4438_52195_000007_000000	"Makin' dates outside, eh?" his brother-in-law sneered.	"Makin' dates outside, eh?" his brother in law sneered.	true	173.84	177.4	23.310705
4438_52195_000007_000001	"You know what that means.	"You know what that means.	true	177.47	178.815	30.157606
4438_52195_000007_000002	You'll be in the police court yet."	You'll be in the police court yet."	true	178.815	180.61	25.47057
4438_52195_000008_000000	But Martin could not come down from the height.	But Martin could not come down from the height.	true	181.22	183.67	26.002968
4438_52195_000008_000001	Not even the bestiality of the allusion could bring him back to earth.	Not even the bestiality of the allusion could bring him back to earth.	true	184.25	187.93	24.654764
4438_52195_000008_000002	Anger and hurt were beneath him.	Anger and hurt were beneath him.	true	188.06	190.21	23.68477
4438_52195_000008_000003	He had seen a great vision and was as a god, and he could feel only profound and awful pity for this maggot of a man.	He had seen a great vision and was as a god, and he could feel only profound and awful pity for this maggot of a man.	true	190.4	198.22	22.08388
4438_52195_000008_000004	He did not look at him, and though his eyes passed over him, he did not see him; and as in a dream he passed out of the room to dress.	He did not look at him, and though his eyes passed over him, he did not see him; and as in a dream he passed out of the room to dress.	true	198.71	207.58	22.798027
4438_52195_000008_000005	It was not until he had reached his own room and was tying his necktie that he became aware of a sound that lingered unpleasantly in his ears.	It was not until he had reached his own room and was tying his necktie that he became aware of a sound that lingered unpleasantly in his ears.	true	209.12	217.36	22.123232
