8006_112593_000001_000000	CHAPTER VII.	CHAPTER seven.
8006_112593_000003_000000	Towards the end of the sixth century the great body of the Irish were Christians, so that the holy men of Ireland were able to turn their attention to the conversion of other people.	Towards the end of the sixth century the great body of the Irish were Christians, so that the holy men of Ireland were able to turn their attention to the conversion of other people.
8006_112593_000003_000001	Then arose an extraordinary zeal for spreading religion and learning in foreign lands; and hundreds of devoted and determined missionaries left our shores.	Then arose an extraordinary zeal for spreading religion and learning in foreign lands; and hundreds of devoted and determined missionaries left our shores.
8006_112593_000003_000002	There was ample field for their noble ambition.	There was ample field for their noble ambition.
8006_112593_000003_000003	For these were the Dark Ages, when the civilisation and learning bequeathed by old Greece and Rome had been almost wiped out of existence by the barbarous northern hordes who overran Europe; and Christianity had not yet time to spread its softening influence among them.	For these were the Dark Ages, when the civilisation and learning bequeathed by old Greece and Rome had been almost wiped out of existence by the barbarous northern hordes who overran Europe; and Christianity had not yet time to spread its softening influence among them.
8006_112593_000004_000000	To begin with the Irish missionary work in Great Britain.	To begin with the Irish missionary work in Great Britain.
8006_112593_000005_000000	In the seven kingdoms of England--the Heptarchy--the Anglo-Saxons were the ruling race, rude and stubborn, and greatly attached to their gloomy northern pagan gods.	In the seven kingdoms of England-the Heptarchy-the Anglo Saxons were the ruling race, rude and stubborn, and greatly attached to their gloomy northern pagan gods.
8006_112593_000005_000002	Aidan was an Irishman who entered the monastery of Iona, from which he was sent to preach to the Northumbrians on the invitation of their good king, Oswald.	Aidan was an Irishman who entered the monastery of Iona, from which he was sent to preach to the Northumbrians on the invitation of their good king, Oswald.
8006_112593_000005_000003	He founded the monastery of Lindisfarne, which afterwards became so illustrious.	He founded the monastery of Lindisfarne, which afterwards became so illustrious.
8006_112593_000005_000004	He was its first abbot; and for thirty years it was governed by him and by two other Irish abbots, Finan and Colman, in succession.	He was its first abbot; and for thirty years it was governed by him and by two other Irish abbots, Finan and Colman, in succession.
8006_112593_000006_000000	Whole crowds of ardent and learned Irishmen travelled on the Continent in the sixth, seventh, and succeeding centuries, spreading Christianity and secular knowledge everywhere among the people.	Whole crowds of ardent and learned Irishmen travelled on the Continent in the sixth, seventh, and succeeding centuries, spreading Christianity and secular knowledge everywhere among the people.
