5723_43306_000004_000000	III	three
5723_43306_000007_000000	Well, he was here at last, dishevelled, hatless and exhausted, looking up at the dark windows.	Well, he was here at last, dishevelled, hatless and exhausted, looking up at the dark windows.
5723_43306_000012_000000	She babbled out a question at him.	She babbled out a question at him.
5723_43306_000019_000000	"Oh! thank God!	"Oh! thank God!
5723_43306_000019_000002	You are a priest, father?"	You are a priest, father?"
5723_43306_000022_000001	Yes; this was genuine enough.	Yes; this was genuine enough.
5723_43306_000027_000001	When will you bring me Holy Communion?"	When will you bring me Holy Communion?"
5723_43306_000028_000000	He hesitated.	He hesitated.
5723_43306_000031_000000	"Tell me, are you very ill?"	"Tell me, are you very ill?"
5723_43306_000032_000000	"I don't know, father.	"I don't know, father.
5723_43306_000034_000001	Father, ought I to tell him?"	Father, ought I to tell him?"
5723_43306_000041_000000	"Father, I must not keep you; but tell me this--Who is this man?"	"Father, I must not keep you; but tell me this-Who is this man?"
5723_43306_000042_000000	"Felsenburgh?"	"Felsenburgh?"
5723_43306_000043_000000	"Yes."	"Yes."
5723_43306_000045_000001	Her face seemed to fall away in a kind of emotion, half cunning, half fear.	Her face seemed to fall away in a kind of emotion, half cunning, half fear.
5723_43306_000047_000003	I am a Catholic--?"	I am a Catholic-?"
5723_43306_000052_000001	What do you know of Felsenburgh? You have been dreaming."	What do you know of Felsenburgh? You have been dreaming."
5723_43306_000054_000001	"You have been dreaming.	"You have been dreaming.
5723_43306_000056_000000	"The door is shut, father?	"The door is shut, father?
5723_43306_000058_000002	Well, at least, this is what I dreamt.	Well, at least, this is what I dreamt.
5723_43306_000059_000006	Father---"	Father---"
5723_43306_000066_000000	"Very well, listen, father....	"Very well, listen, father....
5723_43306_000066_000002	Nearer, father."	Nearer, father."
5723_43306_000070_000000	"Hush!" he said.	"Hush!" he said.
5723_43306_000070_000001	"Who is that?"	"Who is that?"
5723_43306_000077_000000	"Why, her light is burning.	"Why, her light is burning.
5723_43306_000077_000001	Come in, Oliver, but softly."	Come in, Oliver, but softly."
