5239_32139_000000_000000	Neptune was Poseidon, according to Plato, founder of Atlantis.	Neptune was Poseidon, according to Plato, founder of Atlantis.	false	0	5.94	24.55937
5239_32139_000001_000000	I could multiply proofs of the close relationship between the people of the Bronze Age of Europe and the ancient inhabitants of Northern Africa, which should be read remembering that "connecting ridge" which, according to the deep-sea soundings, united Africa and Atlantis.	I could multiply proofs of the close relationship between the people of the Bronze Age of Europe and the ancient inhabitants of Northern Africa, which should be read remembering that "connecting ridge" which, according to the deep-sea soundings, united Africa and Atlantis.	false	5.94	28.95	22.779524
5239_32139_000002_000000	CHAPTER V.	CHAPTER five	true	28.95	30.21	21.35851
5239_32139_000003_000000	THE PERUVIAN COLONY.	THE PERUVIAN COLONY.	true	30.21	31.99	24.777134
5239_32139_000004_000000	If we look at the map of Atlantis, as revealed by the deep sea soundings, we will find that it approaches at one point, by its connecting ridge, quite closely to the shore of South America, above the mouth of the Amazon, and that probably it was originally connected with it.	If we look at the map of Atlantis, as revealed by the deep sea soundings, we will find that it approaches at one point, by its connecting ridge, quite closely to the shore of South America, above the mouth of the Amazon, and that probably it was originally connected with it.	false	32.12	49.39	23
5239_32139_000005_000000	If the population of Atlantis expanded westwardly, it naturally found its way in its ships up the magnificent valley of the Amazon and its tributaries; and, passing by the low and fever-stricken lands of Brazil, it rested not until it had reached the high, fertile, beautiful, and healthful regions of Bolivia, from which it would eventually cross the mountains into Peru.	If the population of Atlantis expanded westwardly, it naturally found its way in its ships up the magnificent valley of the Amazon and its tributaries; and, passing by the low and fever stricken lands of Brazil, it rested not until it had reached the high, fertile, beautiful, and healthful regions of Bolivia, from which it would eventually cross the mountains into Peru.	false	49.46	74.715	23.849169
5239_32139_000006_000000	Here it would establish its outlying colonies at the terminus of its western line of advance, arrested only by the Pacific Ocean, precisely as we have seen it advancing up the valley of the Mississippi, and carrying on its mining operations on the shores of Lake Superior; precisely as we have seen it going eastward up the Mediterranean, past the Dardanelles, and founding Aryan, Hamitic, and probably Turanian colonies on the farther shores of the Black Sea and on the Caspian.	Here it would establish its outlying colonies at the terminus of its western line of advance, arrested only by the Pacific Ocean, precisely as we have seen it advancing up the valley of the Mississippi, and carrying on its mining operations on the shores of Lake Superior; precisely as we have seen it going eastward up the Mediterranean, past the Dardanelles, and founding Aryan, Hamitic, and probably Turanian colonies on the farther shores of the Black Sea and on the Caspian.	true	74.715	105.91	22.952787
5239_32139_000006_000001	This is the universal empire over which, the Hindoo books tell us, Deva Nahusha was ruler; this was "the great and aggressive empire" to which Plato alludes; this was the mighty kingdom, embracing the whole of the then known world, from which the Greeks obtained their conception of the universal father of all men in King Zeus.	This is the universal empire over which, the Hindoo books tell us, Deva Nahusha was ruler; this was "the great and aggressive empire" to which Plato alludes; this was the mighty kingdom, embracing the whole of the then known world, from which the Greeks obtained their conception of the universal father of all men in King Zeus.	false	106.07	129.58	22.158888
5239_32139_000006_000002	And in this universal empire Senor Lopez must find an explanation of the similarity which, as we shall show, exists between the speech of the South American Pacific coast on the one hand, and the speech of Gaul, Ireland, England, Italy, Greece, Bactria, and Hindostan on the other.	And in this universal empire Senor Lopez must find an explanation of the similarity which, as we shall show, exists between the speech of the South American Pacific coast on the one hand, and the speech of Gaul, Ireland, England, Italy, Greece, Bactria, and Hindostan on the other.	false	129.68	149.88	24.53031
5239_32139_000007_000000	Montesino tells us that at some time near the date of the Deluge, in other words, in the highest antiquity, America was invaded by a people with four leaders, named Ayar-manco-topa, Ayar-chaki, Ayar-aucca, and Ayar-uyssu.	Montesino tells us that at some time near the date of the Deluge, in other words, in the highest antiquity, America was invaded by a people with four leaders, named Ayar manco topa, Ayar chaki, Ayar aucca, and Ayar uyssu.	false	149.88	166.05	23.825872
5239_32139_000007_000001	"Ayar," says Senor Lopez, "is the Sanscrit Ajar, or aje, and means primitive chief; and manco, chaki, aucca, and uyssu, mean believers, wanderers, soldiers, husbandmen.	"Ayar," says Senor Lopez, "is the Sanscrit Ajar, or a j e, and means primitive chief; and manco, chaki, aucca, and uyssu, mean believers, wanderers, soldiers, husbandmen.	false	166.05	180.19	23.91656
