4278_187018_000001_000000	CHAPTER 23	CHAPTER twenty three
4278_187018_000002_000000	When Chris awoke he saw that Amos had already stolen out of the cabin, for his hammock was rolled up and put away.	When Chris awoke he saw that amos had already stolen out of the cabin, for his hammock was rolled up and put away.
4278_187018_000002_000001	By the strength of the sun and the heat that seeped even through the boards of the ship, Chris judged that the morning was well advanced.	By the strength of the sun and the heat that seeped even through the boards of the ship, Chris judged that the morning was well advanced.
4278_187018_000003_000000	Dressing was rapid, for Chris, like the rest of the sailors in the tropic heat, wore only his breeches.	Dressing was rapid, for Chris, like the rest of the sailors in the tropic heat, wore only his breeches.
4278_187018_000004_000000	Running up to the bridge he was startled at first, at coming on deck, at the sudden green shade everywhere.	Running up to the bridge he was startled at first, at coming on deck, at the sudden green shade everywhere.
4278_187018_000004_000002	That side of the ship that could be seen from the sea through the narrow channel entrance had been completely covered with green.	That side of the ship that could be seen from the sea through the narrow channel entrance had been completely covered with green.
4278_187018_000004_000003	The work was not yet finished, but most of the crew were sleeping during the hot hours, while a handful had volunteered to complete the job.	The work was not yet finished, but most of the crew were sleeping during the hot hours, while a handful had volunteered to complete the job.
4278_187018_000006_000001	The deep water, with a white base of coral sand, flashed in emerald, turquoise, or sapphire blue.	The deep water, with a white base of coral sand, flashed in emerald, turquoise, or sapphire blue.
4278_187018_000007_000000	He put these thoughts from his mind until the time came, and decided to tackle what was most pressing.	He put these thoughts from his mind until the time came, and decided to tackle what was most pressing.
4278_187018_000010_000000	He paused, and Chris, looking up, saw that the Captain's gaze was fixed on Zachary Heigh.	He paused, and Chris, looking up, saw that the Captain's gaze was fixed on Zachary Heigh.
4278_187018_000010_000002	It would be only a few minutes more before up he would jump once more to pace the deck or lean at the ship's rail.	It would be only a few minutes more before up he would jump once more to pace the deck or lean at the ship's rail.
4278_187018_000012_000001	Before the words could leave his mouth, he was interrupted by the appearance of red-faced Ned Cilley.	Before the words could leave his mouth, he was interrupted by the appearance of red faced Ned Cilley.
4278_187018_000012_000002	Cheerful as a sand flea at the prospect of going ashore, Ned had come from his rest with a small company of the sailors to ask permission of the Captain if they might leave the ship.	Cheerful as a sand flea at the prospect of going ashore, Ned had come from his rest with a small company of the sailors to ask permission of the Captain if they might leave the ship.
4278_187018_000015_000000	Chris and Amos were shoved along with their friends, Chris hiking up his breeches to cover the coil of the magic rope around his waist; the leathern bag hanging in plain sight about his neck.	Chris and amos were shoved along with their friends, Chris hiking up his breeches to cover the coil of the magic rope around his waist; the leathern bag hanging in plain sight about his neck.
4278_187018_000015_000003	Zachary Heigh, the Captain, and Mr. Finney were not to be found.	Zachary Heigh, the Captain, and mr Finney were not to be found.
4278_187018_000016_000001	How could he change himself to a fish or other shape, unobserved?	How could he change himself to a fish or other shape, unobserved?
4278_187018_000018_000000	Chris knew the voice of the sailor was right, and was on the point of jumping into one of the dinghies, where they lay pulled up on the beach.	Chris knew the voice of the sailor was right, and was on the point of jumping into one of the dinghies, where they lay pulled up on the beach.
4278_187018_000019_000002	He wondered too if he could row over in time, or if he would be blown up with the ship.	He wondered too if he could row over in time, or if he would be blown up with the ship.
4278_187018_000020_000000	The boy had his hands on the scorching wood of a dinghy, his muscles tensed to thrust it into the waters of the cove, when out over the still harbor, jangling in the heat, came a prolonged and piercing scream.	The boy had his hands on the scorching wood of a dinghy, his muscles tensed to thrust it into the waters of the cove, when out over the still harbor, jangling in the heat, came a prolonged and piercing scream.
4278_187018_000020_000001	Hot as he was, Chris felt himself go cold at the sound.	Hot as he was, Chris felt himself go cold at the sound.
4278_187018_000020_000002	He knew instantly, although he had never heard it before, that this was the death cry of a man.	He knew instantly, although he had never heard it before, that this was the death cry of a man.
4278_187018_000020_000003	The scream came a second time, terrified and despairing, and out over the water following it came a low, scattered rumble.	The scream came a second time, terrified and despairing, and out over the water following it came a low, scattered rumble.
4278_187018_000021_000001	A babble of voices broke out, and one by one the boats were hastily launched, heading back to the ship, leaving Chris shaking and unnerved on the sand.	A babble of voices broke out, and one by one the boats were hastily launched, heading back to the ship, leaving Chris shaking and unnerved on the sand.
4278_187018_000021_000002	Over the water as brawny backs bent to the oars the words came floating back:	Over the water as brawny backs bent to the oars the words came floating back:
4278_187018_000022_000000	"Someone's dead for sartin sure--"	"Someone's dead for sartin sure-"
4278_187018_000026_000000	It was a little later that Chris remembered Amos having taken his arm and led him into the shade, and of how sick he was--the heat and the scream, the fear, and a sense of having failed in warning the Captain, combining to churn his insides into a queasy place that violently rejected his pleasant breakfast of so short a time before.	It was a little later that Chris remembered amos having taken his arm and led him into the shade, and of how sick he was-the heat and the scream, the fear, and a sense of having failed in warning the Captain, combining to churn his insides into a queasy place that violently rejected his pleasant breakfast of so short a time before.
4278_187018_000027_000000	Chris must have dozed, for when he came to himself the light had changed, and men were carrying a shapeless bundle wrapped in canvas to a grave dug in the sand.	Chris must have dozed, for when he came to himself the light had changed, and men were carrying a shapeless bundle wrapped in canvas to a grave dug in the sand.
