2074_159371_000000_000000	"It is at an end," answered the fairy.	"It is at an end," answered the fairy.	false	0	2.76	21.432907
2074_159371_000000_000001	"The King, who no longer loves you, has just married another wife, and his officers will arrive here to-morrow to desire you, in his name, never to return to his court." It came to pass exactly as the fairy had foretold.	"The King, who no longer loves you, has just married another wife, and his officers will arrive here to morrow to desire you, in his name, never to return to his court." It came to pass exactly as the fairy had foretold.	false	2.76	13.8	23.604467
2074_159371_000000_000002	Blanche passed the remainder of her days with her sister Vermilion, in all happiness and reasonable pleasure, and she never thought of the court again except to thank the fairy for having brought her from it to her native village.	Blanche passed the remainder of her days with her sister Vermilion, in all happiness and reasonable pleasure, and she never thought of the court again except to thank the fairy for having brought her from it to her native village.	false	13.8	25.98	25.981924
2074_159371_000001_000000	_Prince Desire and Princess Mignonetta_	underscore Prince Desire and Princess Mignonetta underscore	false	25.98	30.09	22.673363
2074_159371_000002_000000	THERE was once upon a time a king who was passionately fond of a princess; but she could not be married, because she was enchanted.	THERE was once upon a time a king who was passionately fond of a princess; but she could not be married, because she was enchanted.	true	30.09	37.39	26.0616
2074_159371_000002_000001	He went to consult a fairy, to ascertain what he ought to do to make the Princess love him.	He went to consult a fairy, to ascertain what he ought to do to make the Princess love him.	true	37.82	42.79	25.23058
2074_159371_000002_000002	The fairy said to him, "You know that the Princess has a large cat, of which she is very fond; well, she can marry that person only who can succeed in treading on her cat's tail." The King said to himself, "That will not be very difficult to accomplish"; and he quitted the fairy, determined rather to crush the cat's tail than to fail in treading on it.	The fairy said to him, "You know that the Princess has a large cat, of which she is very fond; well, she can marry that person only who can succeed in treading on her cat's tail." The King said to himself, "That will not be very difficult to accomplish"; and he quitted the fairy, determined rather to crush the cat's tail than to fail in treading on it.	true	43.25	64.51	24.449852
2074_159371_000002_000003	He hastened to his mistress's palace; Master Puss came to meet him, very consequentially, as was his wont; the King lifted up his foot, but when he thought to have put it on the cat's tail, Puss turned round so quickly that he trod on nothing but the floor.	He hastened to his mistress's palace; Master Puss came to meet him, very consequentially, as was his wont; the King lifted up his foot, but when he thought to have put it on the cat's tail, Puss turned round so quickly that he trod on nothing but the floor.	true	64.97	80.26	26.246243
2074_159371_000002_000004	He was a week trying to tread on this fatal tail, which appeared to be full of quicksilver, for it was continually moving.	He was a week trying to tread on this fatal tail, which appeared to be full of quicksilver, for it was continually moving.	true	80.87	87.46	26.504694
2074_159371_000002_000005	But, at last, the King had the good fortune to surprise Master Puss while he was asleep, and trod upon his tail with all his weight.	But, at last, the King had the good fortune to surprise Master Puss while he was asleep, and trod upon his tail with all his weight.	true	87.59	95.08	25.506454
2074_159371_000002_000006	Puss awakened, mewing horribly, and immediately took the shape of a tall man, who, looking at the King with eyes full of anger, said to him: "You may now marry the Princess, since you have dissolved the enchantment which prevented you; but I will be revenged.	Puss awakened, mewing horribly, and immediately took the shape of a tall man, who, looking at the King with eyes full of anger, said to him: "You may now marry the Princess, since you have dissolved the enchantment which prevented you; but I will be revenged.	true	95.63	111.195	24.14881
