8152_258993_000001_000000	REACTION OF CONSUMPTION ON PRODUCTION	REACTION OF CONSUMPTION ON PRODUCTION
8152_258993_000004_000000	1.	one.
8152_258993_000004_000002	To take away the prospect of the enjoyment of goods is to take away all their value.	To take away the prospect of the enjoyment of goods is to take away all their value.
8152_258993_000004_000004	Food is consumed quickly, clothing more slowly, and houses wear out after many years.	Food is consumed quickly, clothing more slowly, and houses wear out after many years.
8152_258993_000004_000005	The using up is, in some cases, due to the forces of nature, and is not hastened by enjoyment.	The using up is, in some cases, due to the forces of nature, and is not hastened by enjoyment.
8152_258993_000004_000006	A house goes to ruin more rapidly if uninhabited than with a careful tenant; clothing is destroyed more quickly by moths than by wear.	A house goes to ruin more rapidly if uninhabited than with a careful tenant; clothing is destroyed more quickly by moths than by wear.
8152_258993_000006_000002	The control of purchasing power means the potential control of industry to that degree. It was necessary in discussing the enterpriser to recognize that the buyer eventually dictates the direction of industry; the enterpriser seeks to produce that for which there is most demand.	The control of purchasing power means the potential control of industry to that degree. It was necessary in discussing the enterpriser to recognize that the buyer eventually dictates the direction of industry; the enterpriser seeks to produce that for which there is most demand.
8152_258993_000006_000003	A change of taste affects the value of natural agents.	A change of taste affects the value of natural agents.
8152_258993_000006_000007	Therefore, choosing vines or violets, pictures or pretzels, each with his nickel helps to determine what shall be produced.	Therefore, choosing vines or violets, pictures or pretzels, each with his nickel helps to determine what shall be produced.
8152_258993_000008_000000	The distribution of wealth thus affects the value of agents.	The distribution of wealth thus affects the value of agents.
8152_258993_000008_000001	The wealthy spend relatively more for luxuries, the poor for food and other essentials.	The wealthy spend relatively more for luxuries, the poor for food and other essentials.
8152_258993_000008_000003	If there were no rich men, the demand for vineyards producing fine wines would be less.	If there were no rich men, the demand for vineyards producing fine wines would be less.
8152_258993_000008_000004	The very best qualities of goods take on the highest prices when there is a small, but very wealthy, class of purchasers.	The very best qualities of goods take on the highest prices when there is a small, but very wealthy, class of purchasers.
8152_258993_000009_000000	Inventions often shift demand, and value follows.	Inventions often shift demand, and value follows.
8152_258993_000009_000001	The invention of the bicycle with pneumatic tires, coincident with the adoption of electric traction for street cars, reduced the price of horses between 1890 and 1895.	The invention of the bicycle with pneumatic tires, coincident with the adoption of electric traction for street cars, reduced the price of horses between eighteen ninety and eighteen ninety five.
8152_258993_000009_000003	This change was sudden, extreme, and temporary, and there has since been a gradual adjustment and a return to the former values.	This change was sudden, extreme, and temporary, and there has since been a gradual adjustment and a return to the former values.
8152_258993_000011_000000	3.	three.
8152_258993_000011_000004	Great herds of buffalo were slaughtered to get the hides, which were of comparatively slight value.	Great herds of buffalo were slaughtered to get the hides, which were of comparatively slight value.
8152_258993_000011_000005	Rich land has been exhausted to get a few harvests.	Rich land has been exhausted to get a few harvests.
8152_258993_000012_000003	The lender parts with his wealth and society uses it up.	The lender parts with his wealth and society uses it up.
8152_258993_000014_000002	An influence also is exerted from the side of goods upon the price of labor.	An influence also is exerted from the side of goods upon the price of labor.
8152_258993_000014_000004	A low grade of labor that performs only simple tasks, and those but badly, is injured if demand shifts to better products.	A low grade of labor that performs only simple tasks, and those but badly, is injured if demand shifts to better products.
8152_258993_000014_000005	Back of the sweat-shop shirt is the problem of the inefficient worker.	Back of the sweat shop shirt is the problem of the inefficient worker.
8152_258993_000016_000000	Every buyer then determines in some degree the direction of industry. The market is a democracy where every penny gives a right of vote.	Every buyer then determines in some degree the direction of industry. The market is a democracy where every penny gives a right of vote.
8152_258993_000016_000003	Undoubtedly there is here a great economic force which an enlightened public opinion, even without a formal association, can make in large measure effective.	Undoubtedly there is here a great economic force which an enlightened public opinion, even without a formal association, can make in large measure effective.
8152_258993_000016_000005	Will he read a yellow journal or a pink or a white one?	Will he read a yellow journal or a pink or a white one?
8152_258993_000016_000007	He has a dollar; will he go to the theater or buy ten dishes of ice-cream?	He has a dollar; will he go to the theater or buy ten dishes of ice cream?
8152_258993_000016_000008	He decides to buy a book, and more type and paper are made, and more printers are employed; he subscribes to foreign missions and Christian workers penetrate farther into Africa.	He decides to buy a book, and more type and paper are made, and more printers are employed; he subscribes to foreign missions and Christian workers penetrate farther into Africa.
8152_258993_000016_000009	Every purchase has far-reaching consequences.	Every purchase has far reaching consequences.
8152_258993_000016_000010	You may spend your monthly allowance as an agent of iniquity or of truth.	You may spend your monthly allowance as an agent of iniquity or of truth.
