1629_139710_000000_000000	He died in the fifty-fifth year of his age, and the twenty-fifth of his reign.	He died in the fifty fifth year of his age, and the twenty fifth of his reign.	false	0	17.37	20.090868
1629_139710_000001_000000	CHAPTER XXXVI--ENGLAND UNDER JAMES THE SECOND	CHAPTER thirty six-ENGLAND UNDER james THE SECOND	true	17.37	21.13	19
1629_139710_000002_000000	King James the Second was a man so very disagreeable, that even the best of historians has favoured his brother Charles, as becoming, by comparison, quite a pleasant character.	King james the Second was a man so very disagreeable, that even the best of historians has favoured his brother Charles, as becoming, by comparison, quite a pleasant character.	true	22.16	31.09	15
1629_139710_000002_000001	The one object of his short reign was to re-establish the Catholic religion in England; and this he doggedly pursued with such a stupid obstinacy, that his career very soon came to a close.	The one object of his short reign was to re-establish the Catholic religion in England; and this he doggedly pursued with such a stupid obstinacy, that his career very soon came to a close.	true	31.34	41.56	15
1629_139710_000003_000000	The first thing he did, was, to assure his council that he would make it his endeavour to preserve the Government, both in Church and State, as it was by law established; and that he would always take care to defend and support the Church.	The first thing he did, was, to assure his council that he would make it his endeavour to preserve the Government, both in Church and State, as it was by law established; and that he would always take care to defend and support the Church.	true	42.02	52.9	17
1629_139710_000003_000001	Great public acclamations were raised over this fair speech, and a great deal was said, from the pulpits and elsewhere, about the word of a King which was never broken, by credulous people who little supposed that he had formed a secret council for Catholic affairs, of which a mischievous Jesuit, called FATHER PETRE, was one of the chief members.	Great public acclamations were raised over this fair speech, and a great deal was said, from the pulpits and elsewhere, about the word of a King which was never broken, by credulous people who little supposed that he had formed a secret council for Catholic affairs, of which a mischievous Jesuit, called FATHER PETRE, was one of the chief members.	true	53.24	70.18	16
1629_139710_000003_000002	With tears of joy in his eyes, he received, as the beginning of _his_ pension from the King of France, five hundred thousand livres; yet, with a mixture of meanness and arrogance that belonged to his contemptible character, he was always jealous of making some show of being independent of the King of France, while he pocketed his money. As--notwithstanding his publishing two papers in favour of Popery (and not likely to do it much service, I should think) written by the King, his brother, and found in his strong-box; and his open display of himself attending mass--the Parliament was very obsequious, and granted him a large sum of money, he began his reign with a belief that he could do what he pleased, and with a determination to do it.	With tears of joy in his eyes, he received, as the beginning of underscore his underscore pension from the King of France, five hundred thousand livres; yet, with a mixture of meanness and arrogance that belonged to his contemptible character, he was always jealous of making some show of being independent of the King of France, while he pocketed his money. As-notwithstanding his publishing two papers in favour of Popery (and not likely to do it much service, I should think) written by the King, his brother, and found in his strong box; and his open display of himself attending mass-the Parliament was very obsequious, and granted him a large sum of money, he began his reign with a belief that he could do what he pleased, and with a determination to do it.	false	70.31	109.03	18
1629_139710_000004_000000	Before we proceed to its principal events, let us dispose of Titus Oates. He was tried for perjury, a fortnight after the coronation, and besides being very heavily fined, was sentenced to stand twice in the pillory, to be whipped from Aldgate to Newgate one day, and from Newgate to Tyburn two days afterwards, and to stand in the pillory five times a year as long as he lived.	Before we proceed to its principal events, let us dispose of titus Oates. He was tried for perjury, a fortnight after the coronation, and besides being very heavily fined, was sentenced to stand twice in the pillory, to be whipped from Aldgate to Newgate one day, and from Newgate to Tyburn two days afterwards, and to stand in the pillory five times a year as long as he lived.	true	109.88	128.47	17
1629_139710_000004_000001	This fearful sentence was actually inflicted on the rascal.	This fearful sentence was actually inflicted on the rascal.	true	128.72	131.56	19
1629_139710_000004_000002	Being unable to stand after his first flogging, he was dragged on a sledge from Newgate to Tyburn, and flogged as he was drawn along.	Being unable to stand after his first flogging, he was dragged on a sledge from Newgate to Tyburn, and flogged as he was drawn along.	true	131.63	137.56	14
1629_139710_000004_000003	He was so strong a villain that he did not die under the torture, but lived to be afterwards pardoned and rewarded, though not to be ever believed in any more.	He was so strong a villain that he did not die under the torture, but lived to be afterwards pardoned and rewarded, though not to be ever believed in any more.	true	137.75	145.15	16
1629_139710_000004_000004	Dangerfield, the only other one of that crew left alive, was not so fortunate.	Dangerfield, the only other one of that crew left alive, was not so fortunate.	true	145.52	149.38	17.418222
1629_139710_000004_000005	He was almost killed by a whipping from Newgate to Tyburn, and, as if that were not punishment enough, a ferocious barrister of Gray's Inn gave him a poke in the eye with his cane, which caused his death; for which the ferocious barrister was deservedly tried and executed.	He was almost killed by a whipping from Newgate to Tyburn, and, as if that were not punishment enough, a ferocious barrister of Gray's Inn gave him a poke in the eye with his cane, which caused his death; for which the ferocious barrister was deservedly tried and executed.	true	149.48	162.16	19
1629_139710_000005_000000	As soon as James was on the throne, Argyle and Monmouth went from Brussels to Rotterdam, and attended a meeting of Scottish exiles held there, to concert measures for a rising in England.	As soon as james was on the throne, Argyle and Monmouth went from Brussels to Rotterdam, and attended a meeting of Scottish exiles held there, to concert measures for a rising in England.	true	162.59	172.33	15
1629_139710_000005_000001	It was agreed that Argyle should effect a landing in Scotland, and Monmouth in England; and that two Englishmen should be sent with Argyle to be in his confidence, and two Scotchmen with the Duke of Monmouth.	It was agreed that Argyle should effect a landing in Scotland, and Monmouth in England; and that two Englishmen should be sent with Argyle to be in his confidence, and two Scotchmen with the Duke of Monmouth.	true	172.61	181.75	16
1629_139710_000006_000000	Argyle was the first to act upon this contract.	Argyle was the first to act upon this contract.	true	182.24	184.86	21.427305
1629_139710_000006_000001	But, two of his men being taken prisoners at the Orkney Islands, the Government became aware of his intention, and was able to act against him with such vigour as to prevent his raising more than two or three thousand Highlanders, although he sent a fiery cross, by trusty messengers, from clan to clan and from glen to glen, as the custom then was when those wild people were to be excited by their chiefs.	But, two of his men being taken prisoners at the Orkney Islands, the Government became aware of his intention, and was able to act against him with such vigour as to prevent his raising more than two or three thousand Highlanders, although he sent a fiery cross, by trusty messengers, from clan to clan and from glen to glen, as the custom then was when those wild people were to be excited by their chiefs.	false	184.86	204.01	15
1629_139710_000006_000002	As he was moving towards Glasgow with his small force, he was betrayed by some of his followers, taken, and carried, with his hands tied behind his back, to his old prison in Edinburgh Castle. James ordered him to be executed, on his old shamefully unjust sentence, within three days; and he appears to have been anxious that his legs should have been pounded with his old favourite the boot.	As he was moving towards Glasgow with his small force, he was betrayed by some of his followers, taken, and carried, with his hands tied behind his back, to his old prison in Edinburgh Castle. james ordered him to be executed, on his old shamefully unjust sentence, within three days; and he appears to have been anxious that his legs should have been pounded with his old favourite the boot.	true	204.47	222.61	17
1629_139710_000006_000003	However, the boot was not applied; he was simply beheaded, and his head was set upon the top of Edinburgh Jail.	However, the boot was not applied; he was simply beheaded, and his head was set upon the top of Edinburgh Jail.	true	222.71	227.92	18
1629_139710_000006_000004	One of those Englishmen who had been assigned to him was that old soldier Rumbold, the master of the Rye House.	One of those Englishmen who had been assigned to him was that old soldier Rumbold, the master of the Rye House.	true	228.17	232.87	13
1629_139710_000006_000005	He was sorely wounded, and within a week after Argyle had suffered with great courage, was brought up for trial, lest he should die and disappoint the King.	He was sorely wounded, and within a week after Argyle had suffered with great courage, was brought up for trial, lest he should die and disappoint the King.	true	232.91	240.16	19
1629_139710_000006_000006	He, too, was executed, after defending himself with great spirit, and saying that he did not believe that God had made the greater part of mankind to carry saddles on their backs and bridles in their mouths, and to be ridden by a few, booted and spurred for the purpose--in which I thoroughly agree with Rumbold.	He, too, was executed, after defending himself with great spirit, and saying that he did not believe that God had made the greater part of mankind to carry saddles on their backs and bridles in their mouths, and to be ridden by a few, booted and spurred for the purpose-in which I thoroughly agree with Rumbold.	true	240.35	254.23	16
1629_139710_000007_000000	The Duke of Monmouth, partly through being detained and partly through idling his time away, was five or six weeks behind his friend when he landed at Lyme, in Dorset: having at his right hand an unlucky nobleman called LORD GREY OF WERK, who of himself would have ruined a far more promising expedition.	The Duke of Monmouth, partly through being detained and partly through idling his time away, was five or six weeks behind his friend when he landed at Lyme, in Dorset: having at his right hand an unlucky nobleman called LORD GREY OF WERK, who of himself would have ruined a far more promising expedition.	false	254.63	269.11	17
1629_139710_000007_000001	He immediately set up his standard in the market- place, and proclaimed the King a tyrant, and a Popish usurper, and I know not what else; charging him, not only with what he had done, which was bad enough, but with what neither he nor anybody else had done, such as setting fire to London, and poisoning the late King.	He immediately set up his standard in the market place, and proclaimed the King a tyrant, and a Popish usurper, and I know not what else; charging him, not only with what he had done, which was bad enough, but with what neither he nor anybody else had done, such as setting fire to London, and poisoning the late King.	true	269.39	284.95	16
1629_139710_000007_000002	Raising some four thousand men by these means, he marched on to Taunton, where there were many Protestant dissenters who were strongly opposed to the Catholics. Here, both the rich and poor turned out to receive him, ladies waved a welcome to him from all the windows as he passed along the streets, flowers were strewn in his way, and every compliment and honour that could be devised was showered upon him.	Raising some four thousand men by these means, he marched on to Taunton, where there were many Protestant dissenters who were strongly opposed to the Catholics. Here, both the rich and poor turned out to receive him, ladies waved a welcome to him from all the windows as he passed along the streets, flowers were strewn in his way, and every compliment and honour that could be devised was showered upon him.	false	285.17	304.66	18
1629_139710_000007_000003	Among the rest, twenty young ladies came forward, in their best clothes, and in their brightest beauty, and gave him a Bible ornamented with their own fair hands, together with other presents.	Among the rest, twenty young ladies came forward, in their best clothes, and in their brightest beauty, and gave him a Bible ornamented with their own fair hands, together with other presents.	true	304.94	313.15	15
1629_139710_000008_000000	Encouraged by this homage, he proclaimed himself King, and went on to Bridgewater.	Encouraged by this homage, he proclaimed himself King, and went on to Bridgewater.	true	313.67	317.56	16
1629_139710_000008_000001	But, here the Government troops, under the EARL OF FEVERSHAM, were close at hand; and he was so dispirited at finding that he made but few powerful friends after all, that it was a question whether he should disband his army and endeavour to escape.	But, here the Government troops, under the EARL OF FEVERSHAM, were close at hand; and he was so dispirited at finding that he made but few powerful friends after all, that it was a question whether he should disband his army and endeavour to escape.	true	317.63	328.57	15
1629_139710_000008_000002	It was resolved, at the instance of that unlucky Lord Grey, to make a night attack on the King's army, as it lay encamped on the edge of a morass called Sedgemoor.	It was resolved, at the instance of that unlucky Lord Grey, to make a night attack on the King's army, as it lay encamped on the edge of a morass called Sedgemoor.	true	328.64	335.92	15
1629_139710_000008_000003	The horsemen were commanded by the same unlucky lord, who was not a brave man.	The horsemen were commanded by the same unlucky lord, who was not a brave man.	true	336.29	340.12	14
1629_139710_000008_000004	He gave up the battle almost at the first obstacle--which was a deep drain; and although the poor countrymen, who had turned out for Monmouth, fought bravely with scythes, poles, pitchforks, and such poor weapons as they had, they were soon dispersed by the trained soldiers, and fled in all directions.	He gave up the battle almost at the first obstacle-which was a deep drain; and although the poor countrymen, who had turned out for Monmouth, fought bravely with scythes, poles, pitchforks, and such poor weapons as they had, they were soon dispersed by the trained soldiers, and fled in all directions.	false	340.4	354.4	16
1629_139710_000008_000005	When the Duke of Monmouth himself fled, was not known in the confusion; but the unlucky Lord Grey was taken early next day, and then another of the party was taken, who confessed that he had parted from the Duke only four hours before.	When the Duke of Monmouth himself fled, was not known in the confusion; but the unlucky Lord Grey was taken early next day, and then another of the party was taken, who confessed that he had parted from the Duke only four hours before.	false	354.74	366.76	17
1629_139710_000008_000006	Strict search being made, he was found disguised as a peasant, hidden in a ditch under fern and nettles, with a few peas in his pocket which he had gathered in the fields to eat.	Strict search being made, he was found disguised as a peasant, hidden in a ditch under fern and nettles, with a few peas in his pocket which he had gathered in the fields to eat.	true	367.16	374.86	13
1629_139710_000008_000007	The only other articles he had upon him were a few papers and little books: one of the latter being a strange jumble, in his own writing, of charms, songs, recipes, and prayers.	The only other articles he had upon him were a few papers and little books: one of the latter being a strange jumble, in his own writing, of charms, songs, recipes, and prayers.	true	374.96	383.95	14
1629_139710_000008_000008	He was completely broken.	He was completely broken.	true	383.96	385.54	21.532804
