337_123033_000000_000000	Part III	Part three	false	10.68	24.06	21.032545
337_123033_000001_000000	32 A Horse Fair	thirty two A Horse Fair	true	24.06	26.77	20.819277
337_123033_000002_000000	No doubt a horse fair is a very amusing place to those who have nothing to lose; at any rate, there is plenty to see.	No doubt a horse fair is a very amusing place to those who have nothing to lose; at any rate, there is plenty to see.	true	27.8	36.87	20.034916
337_123033_000003_000000	Long strings of young horses out of the country, fresh from the marshes; and droves of shaggy little Welsh ponies, no higher than Merrylegs; and hundreds of cart horses of all sorts, some of them with their long tails braided up and tied with scarlet cord; and a good many like myself, handsome and high-bred, but fallen into the middle class, through some accident or blemish, unsoundness of wind, or some other complaint.	Long strings of young horses out of the country, fresh from the marshes; and droves of shaggy little Welsh ponies, no higher than Merrylegs; and hundreds of cart horses of all sorts, some of them with their long tails braided up and tied with scarlet cord; and a good many like myself, handsome and high bred, but fallen into the middle class, through some accident or blemish, unsoundness of wind, or some other complaint.	false	36.87	66.46	22.573164
337_123033_000003_000001	There were some splendid animals quite in their prime, and fit for anything; they were throwing out their legs and showing off their paces in high style, as they were trotted out with a leading rein, the groom running by the side.	There were some splendid animals quite in their prime, and fit for anything; they were throwing out their legs and showing off their paces in high style, as they were trotted out with a leading rein, the groom running by the side.	false	66.71	81.7	22
337_123033_000003_000002	But round in the background there were a number of poor things, sadly broken down with hard work, with their knees knuckling over and their hind legs swinging out at every step, and there were some very dejected-looking old horses, with the under lip hanging down and the ears lying back heavily, as if there were no more pleasure in life, and no more hope; there were some so thin you might see all their ribs, and some with old sores on their backs and hips.	But round in the background there were a number of poor things, sadly broken down with hard work, with their knees knuckling over and their hind legs swinging out at every step, and there were some very dejected looking old horses, with the under lip hanging down and the ears lying back heavily, as if there were no more pleasure in life, and no more hope; there were some so thin you might see all their ribs, and some with old sores on their backs and hips.	false	81.98	112.96	21.766834
337_123033_000003_000003	These were sad sights for a horse to look upon, who knows not but he may come to the same state.	These were sad sights for a horse to look upon, who knows not but he may come to the same state.	false	113.15	119.62	23.148447
337_123033_000004_000000	There was a great deal of bargaining, of running up and beating down; and if a horse may speak his mind so far as he understands, I should say there were more lies told and more trickery at that horse fair than a clever man could give an account of.	There was a great deal of bargaining, of running up and beating down; and if a horse may speak his mind so far as he understands, I should say there were more lies told and more trickery at that horse fair than a clever man could give an account of.	false	119.93	136.3	22.000515
337_123033_000004_000001	I was put with two or three other strong, useful-looking horses, and a good many people came to look at us.	I was put with two or three other strong, useful looking horses, and a good many people came to look at us.	true	136.79	144.31	22
337_123033_000004_000002	The gentlemen always turned from me when they saw my broken knees; though the man who had me swore it was only a slip in the stall.	The gentlemen always turned from me when they saw my broken knees; though the man who had me swore it was only a slip in the stall.	true	144.62	152.83	18
337_123033_000005_000000	The first thing was to pull my mouth open, then to look at my eyes, then feel all the way down my legs, and give me a hard feel of the skin and flesh, and then try my paces.	The first thing was to pull my mouth open, then to look at my eyes, then feel all the way down my legs, and give me a hard feel of the skin and flesh, and then try my paces.	false	153.29	165.58	21.125917
337_123033_000005_000001	It was wonderful what a difference there was in the way these things were done.	It was wonderful what a difference there was in the way these things were done.	true	166.31	170.2	18
337_123033_000005_000002	Some did it in a rough, offhand way, as if one was only a piece of wood; while others would take their hands gently over one's body, with a pat now and then, as much as to say, "By your leave." Of course I judged a good deal of the buyers by their manners to myself.	Some did it in a rough, offhand way, as if one was only a piece of wood; while others would take their hands gently over one's body, with a pat now and then, as much as to say, "By your leave." Of course I judged a good deal of the buyers by their manners to myself.	false	170.54	190.09	22.204517
337_123033_000006_000000	There was one man, I thought, if he would buy me, I should be happy. He was not a gentleman, nor yet one of the loud, flashy sort that call themselves so.	There was one man, I thought, if he would buy me, I should be happy. He was not a gentleman, nor yet one of the loud, flashy sort that call themselves so.	true	190.85	202	23.855398
337_123033_000006_000001	He was rather a small man, but well made, and quick in all his motions.	He was rather a small man, but well made, and quick in all his motions.	true	202.49	207.76	19.339428
337_123033_000006_000002	I knew in a moment by the way he handled me, that he was used to horses; he spoke gently, and his gray eye had a kindly, cheery look in it.	I knew in a moment by the way he handled me, that he was used to horses; he spoke gently, and his gray eye had a kindly, cheery look in it.	true	207.98	217.69	23.977997
337_123033_000006_000003	It may seem strange to say--but it is true all the same--that the clean, fresh smell there was about him made me take to him; no smell of old beer and tobacco, which I hated, but a fresh smell as if he had come out of a hayloft.	It may seem strange to say-but it is true all the same-that the clean, fresh smell there was about him made me take to him; no smell of old beer and tobacco, which I hated, but a fresh smell as if he had come out of a hayloft.	false	218	235.09	22.464508
337_123033_000006_000004	He offered twenty-three pounds for me, but that was refused, and he walked away.	He offered twenty three pounds for me, but that was refused, and he walked away.	true	235.28	240.55	21.577684
337_123033_000006_000005	I looked after him, but he was gone, and a very hard-looking, loud-voiced man came.	I looked after him, but he was gone, and a very hard looking, loud voiced man came.	false	240.74	246.88	23
337_123033_000006_000006	I was dreadfully afraid he would have me; but he walked off.	I was dreadfully afraid he would have me; but he walked off.	false	247.13	252.19	20.582546
337_123033_000006_000007	One or two more came who did not mean business.	One or two more came who did not mean business.	true	252.26	255.16	21
