337_123033_000001_000000	32 A Horse Fair	thirty two A Horse Fair
337_123033_000002_000000	No doubt a horse fair is a very amusing place to those who have nothing to lose; at any rate, there is plenty to see.	No doubt a horse fair is a very amusing place to those who have nothing to lose; at any rate, there is plenty to see.
337_123033_000004_000001	I was put with two or three other strong, useful-looking horses, and a good many people came to look at us.	I was put with two or three other strong, useful looking horses, and a good many people came to look at us.
337_123033_000006_000000	There was one man, I thought, if he would buy me, I should be happy. He was not a gentleman, nor yet one of the loud, flashy sort that call themselves so.	There was one man, I thought, if he would buy me, I should be happy. He was not a gentleman, nor yet one of the loud, flashy sort that call themselves so.
337_123033_000006_000002	I knew in a moment by the way he handled me, that he was used to horses; he spoke gently, and his gray eye had a kindly, cheery look in it.	I knew in a moment by the way he handled me, that he was used to horses; he spoke gently, and his gray eye had a kindly, cheery look in it.
337_123033_000006_000004	He offered twenty-three pounds for me, but that was refused, and he walked away.	He offered twenty three pounds for me, but that was refused, and he walked away.
337_123033_000006_000007	One or two more came who did not mean business.	One or two more came who did not mean business.
337_123033_000006_000008	Then the hard-faced man came back again and offered twenty-three pounds.	Then the hard faced man came back again and offered twenty three pounds.
337_123033_000006_000009	A very close bargain was being driven, for my salesman began to think he should not get all he asked, and must come down; but just then the gray-eyed man came back again.	A very close bargain was being driven, for my salesman began to think he should not get all he asked, and must come down; but just then the gray eyed man came back again.
337_123033_000006_000010	I could not help reaching out my head toward him.	I could not help reaching out my head toward him.
337_123033_000006_000011	He stroked my face kindly.	He stroked my face kindly.
337_123033_000007_000001	I'll give twenty-four for him."	I'll give twenty four for him."
337_123033_000008_000000	"Say twenty-five and you shall have him."	"Say twenty five and you shall have him."
337_123033_000009_000000	"Twenty-four ten," said my friend, in a very decided tone, "and not another sixpence--yes or no?"	"Twenty four ten," said my friend, in a very decided tone, "and not another sixpence-yes or no?"
337_123033_000010_000000	"Done," said the salesman; "and you may depend upon it there's a monstrous deal of quality in that horse, and if you want him for cab work he's a bargain."	"Done," said the salesman; "and you may depend upon it there's a monstrous deal of quality in that horse, and if you want him for cab work he's a bargain."
337_123033_000011_000001	He gave me a good feed of oats and stood by while I ate it, talking to himself and talking to me.	He gave me a good feed of oats and stood by while I ate it, talking to himself and talking to me.
337_123033_000011_000002	Half an hour after we were on our way to London, through pleasant lanes and country roads, until we came into the great London thoroughfare, on which we traveled steadily, till in the twilight we reached the great city.	Half an hour after we were on our way to London, through pleasant lanes and country roads, until we came into the great London thoroughfare, on which we traveled steadily, till in the twilight we reached the great city.
337_123033_000011_000003	The gas lamps were already lighted; there were streets to the right, and streets to the left, and streets crossing each other, for mile upon mile.	The gas lamps were already lighted; there were streets to the right, and streets to the left, and streets crossing each other, for mile upon mile.
337_123033_000011_000004	I thought we should never come to the end of them.	I thought we should never come to the end of them.
337_123033_000012_000000	"Halloo!" cried a voice.	"Halloo!" cried a voice.
337_123033_000012_000001	"Have you got a good one?"	"Have you got a good one?"
337_123033_000013_000000	"I think so," replied my owner.	"I think so," replied my owner.
337_123033_000014_000000	"I wish you luck with him."	"I wish you luck with him."
337_123033_000015_000000	"Thank you, governor," and he rode on.	"Thank you, governor," and he rode on.
337_123033_000015_000001	We soon turned up one of the side streets, and about halfway up that we turned into a very narrow street, with rather poor-looking houses on one side, and what seemed to be coach-houses and stables on the other.	We soon turned up one of the side streets, and about halfway up that we turned into a very narrow street, with rather poor looking houses on one side, and what seemed to be coach houses and stables on the other.
337_123033_000016_000000	My owner pulled up at one of the houses and whistled.	My owner pulled up at one of the houses and whistled.
337_123033_000017_000000	"Now, then, Harry, my boy, open the gates, and mother will bring us the lantern."	"Now, then, Harry, my boy, open the gates, and mother will bring us the lantern."
337_123033_000019_000000	"Is he gentle, father?"	"Is he gentle, father?"
337_123033_000020_000000	"Yes, Dolly, as gentle as your own kitten; come and pat him."	"Yes, Dolly, as gentle as your own kitten; come and pat him."
337_123033_000021_000001	How good it felt!	How good it felt!
337_123033_000023_000000	"Do, Polly, it's just what he wants; and I know you've got a beautiful mash ready for me."	"Do, Polly, it's just what he wants; and I know you've got a beautiful mash ready for me."
