3361_1150_000001_000000	Chapter 40	Chapter forty
3361_1150_000002_000000	Elizabeth's impatience to acquaint Jane with what had happened could no longer be overcome; and at length, resolving to suppress every particular in which her sister was concerned, and preparing her to be surprised, she related to her the next morning the chief of the scene between Mr. Darcy and herself.	Elizabeth's impatience to acquaint Jane with what had happened could no longer be overcome; and at length, resolving to suppress every particular in which her sister was concerned, and preparing her to be surprised, she related to her the next morning the chief of the scene between mr Darcy and herself.
3361_1150_000003_000000	Miss Bennet's astonishment was soon lessened by the strong sisterly partiality which made any admiration of Elizabeth appear perfectly natural; and all surprise was shortly lost in other feelings.	Miss Bennet's astonishment was soon lessened by the strong sisterly partiality which made any admiration of Elizabeth appear perfectly natural; and all surprise was shortly lost in other feelings.
3361_1150_000003_000001	She was sorry that Mr. Darcy should have delivered his sentiments in a manner so little suited to recommend them; but still more was she grieved for the unhappiness which her sister's refusal must have given him.	She was sorry that mr Darcy should have delivered his sentiments in a manner so little suited to recommend them; but still more was she grieved for the unhappiness which her sister's refusal must have given him.
3361_1150_000004_000000	"His being so sure of succeeding was wrong," said she, "and certainly ought not to have appeared; but consider how much it must increase his disappointment!"	"His being so sure of succeeding was wrong," said she, "and certainly ought not to have appeared; but consider how much it must increase his disappointment!"
3361_1150_000005_000000	"Indeed," replied Elizabeth, "I am heartily sorry for him; but he has other feelings, which will probably soon drive away his regard for me. You do not blame me, however, for refusing him?"	"Indeed," replied Elizabeth, "I am heartily sorry for him; but he has other feelings, which will probably soon drive away his regard for me. You do not blame me, however, for refusing him?"
3361_1150_000006_000000	"Blame you!	"Blame you!
3361_1150_000006_000001	Oh, no."	Oh, no"
3361_1150_000007_000000	"But you blame me for having spoken so warmly of Wickham?"	"But you blame me for having spoken so warmly of Wickham?"
3361_1150_000010_000000	She then spoke of the letter, repeating the whole of its contents as far as they concerned George Wickham.	She then spoke of the letter, repeating the whole of its contents as far as they concerned George Wickham.
3361_1150_000010_000002	Nor was Darcy's vindication, though grateful to her feelings, capable of consoling her for such discovery. Most earnestly did she labour to prove the probability of error, and seek to clear the one without involving the other.	Nor was Darcy's vindication, though grateful to her feelings, capable of consoling her for such discovery. Most earnestly did she labour to prove the probability of error, and seek to clear the one without involving the other.
3361_1150_000011_000000	"This will not do," said Elizabeth; "you never will be able to make both of them good for anything.	"This will not do," said Elizabeth; "you never will be able to make both of them good for anything.
