2673_156474_000000_000000	XX	x x	false	16.86	36.735	24.616634
2673_156474_000001_000000	The Blockade--Hatteras Inlet--Roanoke Island--Fort Pulaski--Merrimac and Monitor--The Cumberland Sunk--The Congress Burned--Battle of the Ironclads--Flag-officer Farragut--Forts Jackson and St. Philip--New Orleans Captured--Farragut at Vicksburg--Farragut's Second Expedition to Vicksburg--Return to New Orleans	The Blockade-Hatteras Inlet-Roanoke Island-Fort Pulaski-Merrimac and Monitor-The Cumberland Sunk-The Congress Burned-Battle of the Ironclads-Flag officer Farragut-Forts Jackson and saint Philip--New Orleans Captured-Farragut at Vicksburg-Farragut's Second Expedition to Vicksburg-Return to New Orleans	false	36.735	78.37	21.837946
2673_156474_000002_000000	In addition to its heavy work of maintaining the Atlantic blockade, the navy of the United States contributed signally toward the suppression of the rebellion by three brilliant victories which it gained during the first half of the year 1862.	In addition to its heavy work of maintaining the Atlantic blockade, the navy of the United States contributed signally toward the suppression of the rebellion by three brilliant victories which it gained during the first half of the year eighteen sixty two.	false	78.38	94.99	25.147318
2673_156474_000002_000001	After careful preparation during several months, a joint expedition under the command of General Ambrose E. Burnside and Flag-Officer Goldsborough, consisting of more than twelve thousand men and twenty ships of war, accompanied by numerous transports, sailed from Fort Monroe on January 11, with the object of occupying the interior waters of the North Carolina coast.	After careful preparation during several months, a joint expedition under the command of General Ambrose e Burnside and Flag Officer Goldsborough, consisting of more than twelve thousand men and twenty ships of war, accompanied by numerous transports, sailed from Fort Monroe on january eleventh, with the object of occupying the interior waters of the North Carolina coast.	false	95.06	122.56	22.816172
2673_156474_000002_000002	Before the larger vessels could effect their entrance through Hatteras Inlet, captured in the previous August, a furious storm set in, which delayed the expedition nearly a month.	Before the larger vessels could effect their entrance through Hatteras Inlet, captured in the previous August, a furious storm set in, which delayed the expedition nearly a month.	true	122.75	134.5	23.1238
2673_156474_000002_000003	By February 7, however, that and other serious difficulties were overcome, and on the following day the expedition captured Roanoke Island, and thus completely opened the whole interior water-system of Albemarle and Pamlico sounds to the easy approach of the Union fleet and forces.	By february seventh, however, that and other serious difficulties were overcome, and on the following day the expedition captured Roanoke Island, and thus completely opened the whole interior water system of Albemarle and Pamlico sounds to the easy approach of the Union fleet and forces.	false	134.63	154.84	24.022459
2673_156474_000003_000000	From Roanoke Island as a base, minor expeditions within a short period effected the destruction of the not very formidable fleet which the enemy had been able to organize, and the reduction of Fort Macon and the rebel defenses of Elizabeth City, New Berne, and other smaller places. An eventual advance upon Goldsboro' formed part of the original plan; but, before it could be executed, circumstances intervened effectually to thwart that object.	From Roanoke Island as a base, minor expeditions within a short period effected the destruction of the not very formidable fleet which the enemy had been able to organize, and the reduction of Fort Macon and the rebel defenses of Elizabeth City, New Berne, and other smaller places. An eventual advance upon goldsboro' formed part of the original plan; but, before it could be executed, circumstances intervened effectually to thwart that object.	false	155.09	186.34	23.625767
2673_156474_000004_000000	While the gradual occupation of the North Carolina coast was going on, two other expeditions of a similar nature were making steady progress. One of them, under the direction of General Quincy A. Gillmore, carried on a remarkable siege operation against Fort Pulaski, standing on an isolated sea marsh at the mouth of the Savannah River.	While the gradual occupation of the North Carolina coast was going on, two other expeditions of a similar nature were making steady progress. One of them, under the direction of General Quincy a Gillmore, carried on a remarkable siege operation against Fort Pulaski, standing on an isolated sea marsh at the mouth of the Savannah River.	true	186.68	208.815	21.865114
2673_156474_000004_000001	Here not only the difficulties of approach, but the apparently insurmountable obstacle of making the soft, unctuous mud sustain heavy batteries, was overcome, and the fort compelled to surrender on April 11, after an effective bombardment.	Here not only the difficulties of approach, but the apparently insurmountable obstacle of making the soft, unctuous mud sustain heavy batteries, was overcome, and the fort compelled to surrender on april eleventh, after an effective bombardment.	true	208.815	225.97	23.372562
2673_156474_000004_000002	The second was an expedition of nineteen ships, which, within a few days during the month of March, without serious resistance, occupied the whole remaining Atlantic coast southward as far as St. Augustine.	The second was an expedition of nineteen ships, which, within a few days during the month of March, without serious resistance, occupied the whole remaining Atlantic coast southward as far as saint Augustine.	true	226.1	240.25	24.371515
2673_156474_000005_000000	When, at the outbreak of the rebellion, the navy-yard at Norfolk, Virginia, had to be abandoned to the enemy, the destruction at that time attempted by Commodore Paulding remained very incomplete.	When, at the outbreak of the rebellion, the navy yard at norfolk virginia, had to be abandoned to the enemy, the destruction at that time attempted by Commodore Paulding remained very incomplete.	false	240.41	253.63	24.685316
2673_156474_000005_000001	Among the vessels set on fire, the screw-frigate _Merrimac_, which had been scuttled, was burned only to the water's edge, leaving her hull and machinery entirely uninjured.	Among the vessels set on fire, the screw frigate underscore Merrimac underscore, which had been scuttled, was burned only to the water's edge, leaving her hull and machinery entirely uninjured.	false	253.85	265.72	21.624027
2673_156474_000005_000002	In due time she was raised by the Confederates, covered with a sloping roof of railroad iron, provided with a huge wedge-shaped prow of cast iron, and armed with a formidable battery of ten guns.	In due time she was raised by the Confederates, covered with a sloping roof of railroad iron, provided with a huge wedge shaped prow of cast iron, and armed with a formidable battery of ten guns.	true	265.88	280.81	22.263853
2673_156474_000005_000003	Secret information came to the Navy Department of the progress of this work, and such a possibility was kept in mind by the board of officers that decided upon the construction of the three experimental ironclads in September, 1861.	Secret information came to the Navy Department of the progress of this work, and such a possibility was kept in mind by the board of officers that decided upon the construction of the three experimental ironclads in September, eighteen sixty one.	false	281.15	297.55	23.712446
2673_156474_000006_000000	The particular one of these three especially intended for this peculiar emergency was a ship of entirely novel design, made by the celebrated inventor John Ericsson, a Swede by birth, but American by adoption--a man who combined great original genius with long scientific study and experience.	The particular one of these three especially intended for this peculiar emergency was a ship of entirely novel design, made by the celebrated inventor john Ericsson, a Swede by birth, but American by adoption-a man who combined great original genius with long scientific study and experience.	true	298.37	319.3	22.380714
2673_156474_000006_000001	His invention may be most quickly described as having a small, very low hull, covered by a much longer and wider flat deck only a foot or two above the water-line, upon which was placed a revolving iron turret twenty feet in diameter, nine feet high, and eight inches thick, on the inside of which were two eleven-inch guns trained side by side and revolving with the turret.	His invention may be most quickly described as having a small, very low hull, covered by a much longer and wider flat deck only a foot or two above the water line, upon which was placed a revolving iron turret twenty feet in diameter, nine feet high, and eight inches thick, on the inside of which were two eleven inch guns trained side by side and revolving with the turret.	true	320.24	346.36	22.1913
2673_156474_000006_000002	This unique naval structure was promptly nicknamed "a cheese-box on a raft," and the designation was not at all inapt.	This unique naval structure was promptly nicknamed "a cheese box on a raft," and the designation was not at all inapt.	true	347.21	356.08	22.613672
2673_156474_000006_000003	Naval experts at once recognized that her sea-going qualities were bad; but compensation was thought to exist in the belief that her iron turret would resist shot and shell, and that the thin edge of her flat deck would offer only a minimum mark to an enemy's guns: in other words, that she was no cruiser, but would prove a formidable floating battery; and this belief she abundantly justified.	Naval experts at once recognized that her sea going qualities were bad; but compensation was thought to exist in the belief that her iron turret would resist shot and shell, and that the thin edge of her flat deck would offer only a minimum mark to an enemy's guns: in other words, that she was no cruiser, but would prove a formidable floating battery; and this belief she abundantly justified.	true	356.63	383.68	24.399508
2673_156474_000007_000000	The test of her fighting qualities was attended by what almost suggested a miraculous coincidence.	The test of her fighting qualities was attended by what almost suggested a miraculous coincidence.	false	384.74	390.37	24.758348
2673_156474_000007_000001	On Saturday, March 8, 1862, about noon, a strange-looking craft resembling a huge turtle was seen coming into Hampton Roads out of the mouth of Elizabeth River, and it quickly became certain that this was the much talked of rebel ironclad _Merrimac_, or, as the Confederates had renamed her, the _Virginia_.	On saturday march eighth eighteen sixty two, about noon, a strange looking craft resembling a huge turtle was seen coming into Hampton Roads out of the mouth of Elizabeth River, and it quickly became certain that this was the much talked of rebel ironclad underscore Merrimac underscore, or, as the Confederates had renamed her, the underscore Virginia underscore.	false	391.25	415.98	23.544209
2673_156474_000007_000002	She steamed rapidly toward Newport News, three miles to the southwest, where the Union ships _Congress_ and _Cumberland_ lay at anchor.	She steamed rapidly toward Newport News, three miles to the southwest, where the Union ships underscore Congress underscore and underscore Cumberland underscore lay at anchor.	false	415.98	424.6	23.189404
2673_156474_000007_000003	These saw the uncouth monster coming and prepared for action.	These saw the uncouth monster coming and prepared for action.	true	425.21	429.07	24.731607
2673_156474_000007_000004	The _Minnesota_, the _St.	The underscore Minnesota underscore, the underscore st	false	429.71	431.43	25.95109
2673_156474_000007_000005	Lawrence_, and the _Roanoke_, lying at Fortress Monroe also saw her and gave chase, but, the water being low, they all soon grounded.	Lawrence underscore, and the underscore Roanoke underscore, lying at Fortress Monroe also saw her and gave chase, but, the water being low, they all soon grounded.	false	431.43	440.92	22.271336
2673_156474_000007_000006	The broadsides of the _Congress_, as the _Merrimac_ passed her at three hundred yards' distance, seemed to produce absolutely no effect upon her sloping iron roof.	The broadsides of the underscore Congress underscore, as the underscore Merrimac underscore passed her at three hundred yards' distance, seemed to produce absolutely no effect upon her sloping iron roof.	false	441.32	451.45	22.1544
