4957_36386_000003_000000	CHAPTER XI.	CHAPTER eleven.
4957_36386_000004_000000	THE PEBBLE AND THE WINDOW.	THE PEBBLE AND THE WINDOW.
4957_36386_000005_000000	MISS MEADOWCROFT and I were the only representatives of the family at the farm who attended the trial.	MISS MEADOWCROFT and I were the only representatives of the family at the farm who attended the trial.
4957_36386_000006_000000	I have purposely abstained from encumbering my narrative with legal details.	I have purposely abstained from encumbering my narrative with legal details.
4957_36386_000006_000001	I now propose to state the nature of the defense in the briefest outline only.	I now propose to state the nature of the defense in the briefest outline only.
4957_36386_000007_000000	We insisted on making both the prisoners plead not guilty.	We insisted on making both the prisoners plead not guilty.
4957_36386_000007_000001	This done, we took an objection to the legality of the proceedings at starting.	This done, we took an objection to the legality of the proceedings at starting.
4957_36386_000007_000002	We appealed to the old English law, that there should be no conviction for murder until the body of the murdered person was found, or proof of its destruction obtained beyond a doubt.	We appealed to the old English law, that there should be no conviction for murder until the body of the murdered person was found, or proof of its destruction obtained beyond a doubt.
4957_36386_000007_000003	We denied that sufficient proof had been obtained in the case now before the court.	We denied that sufficient proof had been obtained in the case now before the court.
4957_36386_000008_000000	The judges consulted, and decided that the trial should go on.	The judges consulted, and decided that the trial should go on.
4957_36386_000009_000000	We took our next objection when the confessions were produced in evidence.	We took our next objection when the confessions were produced in evidence.
4957_36386_000009_000001	We declared that they had been extorted by terror, or by undue influence; and we pointed out certain minor particulars in which the two confessions failed to corroborate each other.	We declared that they had been extorted by terror, or by undue influence; and we pointed out certain minor particulars in which the two confessions failed to corroborate each other.
4957_36386_000009_000002	For the rest, our defense on this occasion was, as to essentials, what our defense had been at the inquiry before the magistrate.	For the rest, our defense on this occasion was, as to essentials, what our defense had been at the inquiry before the magistrate.
4957_36386_000009_000003	Once more the judges consulted, and once more they overruled our objection.	Once more the judges consulted, and once more they overruled our objection.
4957_36386_000009_000004	The confessions were admitted in evidence.	The confessions were admitted in evidence.
4957_36386_000009_000005	On their side, the prosecution produced one new witness in support of their case.	On their side, the prosecution produced one new witness in support of their case.
4957_36386_000009_000006	It is needless to waste time in recapitulating his evidence.	It is needless to waste time in recapitulating his evidence.
4957_36386_000009_000007	He contradicted himself gravely on cross-examination.	He contradicted himself gravely on cross examination.
4957_36386_000009_000008	We showed plainly, and after investigation proved, that he was not to be believed on his oath.	We showed plainly, and after investigation proved, that he was not to be believed on his oath.
4957_36386_000010_000000	The chief-justice summed up.	The chief justice summed up.
4957_36386_000011_000000	He charged, in relation to the confessions, that no weight should be attached to a confession incited by hope or fear; and he left it to the jury to determine whether the confessions in this case had been so influenced.	He charged, in relation to the confessions, that no weight should be attached to a confession incited by hope or fear; and he left it to the jury to determine whether the confessions in this case had been so influenced.
4957_36386_000011_000002	As for Silas, he was proved to have been beside himself with terror when he made his abominable charge against his brother.	As for Silas, he was proved to have been beside himself with terror when he made his abominable charge against his brother.
