534_127538_000000_000000	32	thirty two
534_127538_000001_000000	The Treasure-hunt--The Voice Among the Trees	The Treasure hunt-The Voice Among the Trees
534_127538_000003_000000	The plateau being somewhat tilted towards the west, this spot on which we had paused commanded a wide prospect on either hand.	The plateau being somewhat tilted towards the west, this spot on which we had paused commanded a wide prospect on either hand.
534_127538_000003_000003	There was no sound but that of the distant breakers, mounting from all round, and the chirp of countless insects in the brush.	There was no sound but that of the distant breakers, mounting from all round, and the chirp of countless insects in the brush.
534_127538_000003_000004	Not a man, not a sail, upon the sea; the very largeness of the view increased the sense of solitude.	Not a man, not a sail, upon the sea; the very largeness of the view increased the sense of solitude.
534_127538_000004_000000	Silver, as he sat, took certain bearings with his compass.	Silver, as he sat, took certain bearings with his compass.
534_127538_000005_000000	"There are three 'tall trees'" said he, "about in the right line from Skeleton Island. 'Spy-glass shoulder,' I take it, means that lower p'int there.	"There are three 'tall trees'" said he, "about in the right line from Skeleton Island. 'Spy glass shoulder,' I take it, means that lower p'int there.
534_127538_000005_000001	It's child's play to find the stuff now.	It's child's play to find the stuff now.
534_127538_000009_000001	"Blue!	"Blue!
534_127538_000009_000002	Well, I reckon he was blue.	Well, I reckon he was blue.
534_127538_000012_000001	The colour went from their six faces like enchantment; some leaped to their feet, some clawed hold of others; Morgan grovelled on the ground.	The colour went from their six faces like enchantment; some leaped to their feet, some clawed hold of others; Morgan grovelled on the ground.
534_127538_000013_000000	"It's Flint, by ----!" cried Merry.	"It's Flint, by ----!" cried Merry.
534_127538_000014_000000	The song had stopped as suddenly as it began--broken off, you would have said, in the middle of a note, as though someone had laid his hand upon the singer's mouth.	The song had stopped as suddenly as it began-broken off, you would have said, in the middle of a note, as though someone had laid his hand upon the singer's mouth.
534_127538_000015_000000	"Come," said Silver, struggling with his ashen lips to get the word out; "this won't do.	"Come," said Silver, struggling with his ashen lips to get the word out; "this won't do.
534_127538_000015_000001	Stand by to go about.	Stand by to go about.
534_127538_000016_000000	His courage had come back as he spoke, and some of the colour to his face along with it.	His courage had come back as he spoke, and some of the colour to his face along with it.
534_127538_000016_000001	Already the others had begun to lend an ear to this encouragement and were coming a little to themselves, when the same voice broke out again--not this time singing, but in a faint distant hail that echoed yet fainter among the clefts of the Spy-glass.	Already the others had begun to lend an ear to this encouragement and were coming a little to themselves, when the same voice broke out again-not this time singing, but in a faint distant hail that echoed yet fainter among the clefts of the Spy glass.
