3119_163519_000000_000000	THE BEST WISH	THE BEST WISH	false	22.005	29.59	21.494501
3119_163519_000001_000000	Once on a time there were three brothers; I don't quite know how it happened, but each of them had got the right to wish one thing, whatever he chose.	Once on a time there were three brothers; I don't quite know how it happened, but each of them had got the right to wish one thing, whatever he chose.	false	30.8	40.54	22
3119_163519_000001_000001	So the two elder were not long a-thinking; they wished that every time they put their hands in their pockets they might pull out a piece of money; for, said they:	So the two elder were not long a thinking; they wished that every time they put their hands in their pockets they might pull out a piece of money; for, said they:	false	41.27	50.79	22.32329
3119_163519_000002_000000	'The man who has as much money as he wishes for is always sure to get on in the world.'	'The man who has as much money as he wishes for is always sure to get on in the world.'	true	50.79	56.62	18
3119_163519_000003_000000	But the youngest wished something better still.	But the youngest wished something better still.	true	57.62	60.49	22
3119_163519_000003_000001	He wished that every woman he saw might fall in love with him as soon as she saw him; and you shall soon hear how far better this was than gold and goods.	He wished that every woman he saw might fall in love with him as soon as she saw him; and you shall soon hear how far better this was than gold and goods.	true	60.59	72.55	16
3119_163519_000004_000000	So, when they had all wished their wishes, the two elder were for setting out to see the world; and Boots, their youngest brother, asked if he mightn't go along with them; but they wouldn't hear of such a thing.	So, when they had all wished their wishes, the two elder were for setting out to see the world; and Boots, their youngest brother, asked if he mightn't go along with them; but they wouldn't hear of such a thing.	true	73.79	86.23	20.91819
3119_163519_000005_000000	'Wherever we go', they said, 'we shall be treated as counts and kings; but you, you starveling wretch, who haven't a penny, and never will have one, who do you think will care a bit about you?'	'Wherever we go', they said, 'we shall be treated as counts and kings; but you, you starveling wretch, who haven't a penny, and never will have one, who do you think will care a bit about you?'	true	86.78	99.16	20.231607
3119_163519_000006_000000	'Well, but in spite of that, I'd like to go with you', said Boots; 'perhaps a dainty bit may fall to my share too off the plates of such high and mighty lords.'	'Well, but in spite of that, I'd like to go with you', said Boots; 'perhaps a dainty bit may fall to my share too off the plates of such high and mighty lords.'	false	100.01	110.08	22.090473
3119_163519_000007_000000	At last, after begging and praying, he got leave to go with them, if he would be their servant, else they wouldn't hear of it.	At last, after begging and praying, he got leave to go with them, if he would be their servant, else they wouldn't hear of it.	true	111.29	119.77	21.312378
3119_163519_000008_000000	So, when they had gone a day or so, they came to an inn, where the two who had the money alighted, and called for fish and flesh, and fowl, and brandy and mead, and everything that was good; but Boots, poor fellow, had to look after their luggage and all that belonged to the two great people.	So, when they had gone a day or so, they came to an inn, where the two who had the money alighted, and called for fish and flesh, and fowl, and brandy and mead, and everything that was good; but Boots, poor fellow, had to look after their luggage and all that belonged to the two great people.	false	120.8	140.86	22
3119_163519_000008_000001	Now, as he went to and fro outside, and loitered about in the inn-yard, the innkeeper's wife looked out of window and saw the servant of the gentlemen upstairs; and, all at once, she thought she had never set eyes on such a handsome chap.	Now, as he went to and fro outside, and loitered about in the inn yard, the innkeeper's wife looked out of window and saw the servant of the gentlemen upstairs; and, all at once, she thought she had never set eyes on such a handsome chap.	false	141.95	160.3	19
3119_163519_000008_000002	So she stared and stared, and the longer she looked the handsomer he seemed.	So she stared and stared, and the longer she looked the handsomer he seemed.	true	160.58	166.9	18
3119_163519_000009_000000	'Why what, by the Deil's skin and bones, is it that you are standing there gaping at out of the window?' said her husband.	'Why what, by the Deil's skin and bones, is it that you are standing there gaping at out of the window?' said her husband.	false	167.36	175.06	16
3119_163519_000009_000001	'I think 'twould be better if you just looked how the sucking pig is getting on, instead of hanging out of window in that way.	'I think 'twould be better if you just looked how the sucking pig is getting on, instead of hanging out of window in that way.	false	175.16	181.72	14
3119_163519_000009_000002	Don't you know what grand folk we have in the house to-day?'	Don't you know what grand folk we have in the house to day?'	true	181.79	184.74	18
3119_163519_000010_000000	'Oh!' said his old dame, 'I don't care a farthing about such a pack of rubbish; if they don't like it they may lump it, and be off; but just do come and look at this lad out in the yard; so handsome a fellow I never saw in all my born days; and, if you'll do as I wish, we'll ask him to step in and treat him a little, for, poor lad, he seems to have a hard fight of it.'	'Oh!' said his old dame, 'I don't care a farthing about such a pack of rubbish; if they don't like it they may lump it, and be off; but just do come and look at this lad out in the yard; so handsome a fellow I never saw in all my born days; and, if you'll do as I wish, we'll ask him to step in and treat him a little, for, poor lad, he seems to have a hard fight of it.'	false	184.74	209.56	21.05388
3119_163519_000011_000000	'Have you lost the little brains you had, Goody?' said the husband, whose eyes glistened with rage; 'into the kitchen with you, and mind the fire; but don't stand there glowering after strange men.'	'Have you lost the little brains you had, Goody?' said the husband, whose eyes glistened with rage; 'into the kitchen with you, and mind the fire; but don't stand there glowering after strange men.'	true	210.47	221.65	18
3119_163519_000012_000000	So the wife had nothing left for it but to go into the kitchen, and look after the cooking; as for the lad outside, she couldn't get leave to ask him in, or to treat him either; but just as she was about spitting the pig in the kitchen, she made an excuse for running out into the yard, and then and there she gave Boots a pair of scissors, of such a kind that they cut of themselves out of the air the loveliest clothes any one ever saw, silk and satin, and all that was fine.	So the wife had nothing left for it but to go into the kitchen, and look after the cooking; as for the lad outside, she couldn't get leave to ask him in, or to treat him either; but just as she was about spitting the pig in the kitchen, she made an excuse for running out into the yard, and then and there she gave Boots a pair of scissors, of such a kind that they cut of themselves out of the air the loveliest clothes any one ever saw, silk and satin, and all that was fine.	true	222.53	257.68	23
3119_163519_000013_000000	'This you shall have because you are so handsome,' said the innkeeper's wife.	'This you shall have because you are so handsome,' said the innkeeper's wife.	true	257.75	263.44	19.452711
3119_163519_000014_000000	So when the two elder brothers had crammed themselves with roast and boiled, they wished to be off again, and Boots had to stand behind their carriage, and be their servant; and so they travelled a good way, till they came to another inn.	So when the two elder brothers had crammed themselves with roast and boiled, they wished to be off again, and Boots had to stand behind their carriage, and be their servant; and so they travelled a good way, till they came to another inn.	false	264.41	278.98	14
3119_163519_000014_000001	There the two brothers again alighted and went indoors, but Boots, who had no money, they wouldn't have inside with them; no, he must wait outside and watch the luggage.	There the two brothers again alighted and went indoors, but Boots, who had no money, they wouldn't have inside with them; no, he must wait outside and watch the luggage.	true	279.77	291.13	18
3119_163519_000014_000002	'And mind', they said, 'if any one asks whose servant you are, say we are two foreign Princes.'	'And mind', they said, 'if any one asks whose servant you are, say we are two foreign Princes.'	false	291.29	301.14	21.854803
3119_163519_000015_000000	But the same thing happened now as happened before; while Boots stood hanging about out in the yard, the innkeeper's wife came to the window and saw him, and she too fell in love with him, just like the first innkeeper's wife; and there she stood and stared, for she thought she could never have her fill of looking at him.	But the same thing happened now as happened before; while Boots stood hanging about out in the yard, the innkeeper's wife came to the window and saw him, and she too fell in love with him, just like the first innkeeper's wife; and there she stood and stared, for she thought she could never have her fill of looking at him.	true	301.14	321.58	18
3119_163519_000015_000001	Then her husband came running through the room with something the two Princes had ordered.	Then her husband came running through the room with something the two Princes had ordered.	true	322.28	326.89	15
3119_163519_000016_000000	'Don't stand there staring like a cow at a barn-door, but take this into the kitchen, and look after your fish-kettle, Goody', said the man; 'don't you see what grand people we have in the house to-day?'	'Don't stand there staring like a cow at a barn door, but take this into the kitchen, and look after your fish kettle, Goody', said the man; 'don't you see what grand people we have in the house to day?'	false	326.99	337.6	17
