7754_108640_000000_000000	I replied as best I could--as only a true lover can.	I replied as best I could-as only a true lover can.
7754_108640_000000_000001	I spoke at length, and perseveringly of my devotion, of my passion--of her exceeding beauty, and of my own enthusiastic admiration.	I spoke at length, and perseveringly of my devotion, of my passion-of her exceeding beauty, and of my own enthusiastic admiration.
7754_108640_000000_000002	In conclusion, I dwelt, with a convincing energy, upon the perils that encompass the course of love--that course of true love that never did run smooth--and thus deduced the manifest danger of rendering that course unnecessarily long.	In conclusion, I dwelt, with a convincing energy, upon the perils that encompass the course of love-that course of true love that never did run smooth-and thus deduced the manifest danger of rendering that course unnecessarily long.
7754_108640_000001_000000	This latter argument seemed finally to soften the rigor of her determination.	This latter argument seemed finally to soften the rigor of her determination.
7754_108640_000001_000001	She relented; but there was yet an obstacle, she said, which she felt assured I had not properly considered.	She relented; but there was yet an obstacle, she said, which she felt assured I had not properly considered.
7754_108640_000001_000002	This was a delicate point--for a woman to urge, especially so; in mentioning it, she saw that she must make a sacrifice of her feelings; still, for me, every sacrifice should be made.	This was a delicate point-for a woman to urge, especially so; in mentioning it, she saw that she must make a sacrifice of her feelings; still, for me, every sacrifice should be made.
7754_108640_000001_000003	She alluded to the topic of age.	She alluded to the topic of age.
7754_108640_000001_000004	Was I aware--was I fully aware of the discrepancy between us?	Was I aware-was I fully aware of the discrepancy between us?
7754_108640_000001_000005	That the age of the husband, should surpass by a few years--even by fifteen or twenty--the age of the wife, was regarded by the world as admissible, and, indeed, as even proper, but she had always entertained the belief that the years of the wife should never exceed in number those of the husband.	That the age of the husband, should surpass by a few years-even by fifteen or twenty-the age of the wife, was regarded by the world as admissible, and, indeed, as even proper, but she had always entertained the belief that the years of the wife should never exceed in number those of the husband.
7754_108640_000001_000006	A discrepancy of this unnatural kind gave rise, too frequently, alas! to a life of unhappiness.	A discrepancy of this unnatural kind gave rise, too frequently, alas! to a life of unhappiness.
7754_108640_000001_000007	Now she was aware that my own age did not exceed two and twenty; and I, on the contrary, perhaps, was not aware that the years of my Eugenie extended very considerably beyond that sum.	Now she was aware that my own age did not exceed two and twenty; and I, on the contrary, perhaps, was not aware that the years of my Eugenie extended very considerably beyond that sum.
