3615_14672_000002_000000	1.--Oriental Canapes.	one.--Oriental Canapes.
3615_14672_000003_000000	Take some lobster or crab-meat and pound in a mortar.	Take some lobster or crab meat and pound in a mortar.
3615_14672_000003_000001	Mix with 1 tablespoonful of butter; season with salt and pepper, a pinch each of mustard, cayenne, nutmeg and curry-powder and moisten with lemon-juice.	Mix with one tablespoonful of butter; season with salt and pepper, a pinch each of mustard, cayenne, nutmeg and curry powder and moisten with lemon juice.
3615_14672_000003_000002	Cut small rounds of toasted bread; scoop out some of the centre; fill with the mixture and cover with a curry sauce.	Cut small rounds of toasted bread; scoop out some of the centre; fill with the mixture and cover with a curry sauce.
3615_14672_000003_000003	Sprinkle with fine bread-crumbs and let bake in the oven a few minutes. Serve hot.	Sprinkle with fine bread crumbs and let bake in the oven a few minutes. Serve hot.
3615_14672_000004_000000	2.--Haggis (SCOTCH).	two.--Haggis (SCOTCH).
3615_14672_000005_000000	Chop a sheep's tongue, liver and heart and 1 pound of bacon.	Chop a sheep's tongue, liver and heart and one pound of bacon.
3615_14672_000005_000003	Then clean the pouch of the sheep and fill with the mixture. Lay in boiling water and let boil three hours.	Then clean the pouch of the sheep and fill with the mixture. Lay in boiling water and let boil three hours.
3615_14672_000005_000004	Serve with apple-sauce.	Serve with apple sauce.
3615_14672_000006_000000	3.--Austrian Braised Tongue.	three.--Austrian Braised Tongue.
3615_14672_000007_000000	Boil a large fresh beef tongue in salted water until tender.	Boil a large fresh beef tongue in salted water until tender.
3615_14672_000007_000001	Remove the tongue and lard it with thin strips of bacon; sprinkle with paprica; lay in a baking-pan; add 1 onion sliced thin and 1 cup of the water in which the tongue was cooked and pour over 1 pint of cream. Let bake in a moderate oven.	Remove the tongue and lard it with thin strips of bacon; sprinkle with paprica; lay in a baking pan; add one onion sliced thin and one cup of the water in which the tongue was cooked and pour over one pint of cream. Let bake in a moderate oven.
3615_14672_000007_000002	Baste often with the sauce.	Baste often with the sauce.
3615_14672_000007_000003	Serve hot, and pour over the sauce; garnish with parsley.	Serve hot, and pour over the sauce; garnish with parsley.
3615_14672_000008_000000	4.--Russian Omelet.	four.--Russian Omelet.
3615_14672_000009_000000	Chop 2 shallots with a little parsley and cook in hot water.	Chop two shallots with a little parsley and cook in hot water.
3615_14672_000009_000001	Add 2 tablespoonfuls of caviare and a teaspoonful of lemon-juice; season to taste.	Add two tablespoonfuls of caviare and a teaspoonful of lemon juice; season to taste.
3615_14672_000009_000002	Beat 4 eggs with 1 tablespoonful of cream, salt and pepper, and fry in an omelet-pan with hot butter until done.	Beat four eggs with one tablespoonful of cream, salt and pepper, and fry in an omelet pan with hot butter until done.
3615_14672_000009_000003	Put the mixture in the centre; turn in the ends and serve at once.	Put the mixture in the centre; turn in the ends and serve at once.
3615_14672_000010_000000	5.--Madras Potato Curry.	five.--Madras Potato Curry.
3615_14672_000011_000000	Cut boiled potatoes into thin slices; then fry 1 chopped onion in 2 tablespoonfuls of butter.	Cut boiled potatoes into thin slices; then fry one chopped onion in two tablespoonfuls of butter.
3615_14672_000011_000001	Add 3 ounces of grated cocoanut, 1 teaspoonful of curry-powder and 1 cup of milk, salt and cayenne pepper to taste.	Add three ounces of grated cocoanut, one teaspoonful of curry powder and one cup of milk, salt and cayenne pepper to taste.
3615_14672_000011_000002	Let boil up.	Let boil up.
3615_14672_000011_000003	Add the sliced potatoes and a sprig of parsley chopped.	Add the sliced potatoes and a sprig of parsley chopped.
3615_14672_000011_000004	Let simmer a few minutes and serve hot.	Let simmer a few minutes and serve hot.
3615_14672_000012_000000	6.--Swiss Baked Eggs.	six.--Swiss Baked Eggs.
3615_14672_000013_000000	Melt 1 ounce of butter in a baking-pan; then cover the bottom of the pan with thin slices of Swiss cheese.	Melt one ounce of butter in a baking pan; then cover the bottom of the pan with thin slices of Swiss cheese.
3615_14672_000013_000001	Break in 6 eggs; sprinkle with salt and pepper.	Break in six eggs; sprinkle with salt and pepper.
3615_14672_000013_000002	Pour over 4 tablespoonfuls of cream; sprinkle with grated Swiss cheese, and let bake in the oven to a delicate brown. Serve hot.	Pour over four tablespoonfuls of cream; sprinkle with grated Swiss cheese, and let bake in the oven to a delicate brown. Serve hot.
3615_14672_000014_000000	7.--Jewish Stewed Shad.	seven.--Jewish Stewed Shad.
3615_14672_000015_000000	Clean and cut a shad into large slices; sprinkle with salt, pepper and ginger.	Clean and cut a shad into large slices; sprinkle with salt, pepper and ginger.
3615_14672_000015_000003	Let boil until done and pour over the fish.	Let boil until done and pour over the fish.
3615_14672_000015_000004	Garnish with sliced lemon and sprigs of parsley and serve cold.	Garnish with sliced lemon and sprigs of parsley and serve cold.
3615_14672_000016_000000	8.--Bombay Spinach.	eight.--Bombay Spinach.
3615_14672_000017_000000	Boil the spinach in salted water until tender; drain and chop fine. Fry 1 chopped onion in 2 tablespoonfuls of butter; add the chopped spinach, a pinch of pepper and curry-powder.	Boil the spinach in salted water until tender; drain and chop fine. Fry one chopped onion in two tablespoonfuls of butter; add the chopped spinach, a pinch of pepper and curry powder.
3615_14672_000017_000001	Cover and let simmer five minutes.	Cover and let simmer five minutes.
3615_14672_000017_000002	Serve on a platter with stewed prawns and garnish with croutons.	Serve on a platter with stewed prawns and garnish with croutons.
3615_14672_000018_000000	9.--Spanish Fricasseed Shrimps.	nine.--Spanish Fricasseed Shrimps.
3615_14672_000019_000000	Heat 2 tablespoonfuls of butter; add 1 onion chopped and 2 cups of tomatoes.	Heat two tablespoonfuls of butter; add one onion chopped and two cups of tomatoes.
3615_14672_000019_000002	Stir in the yolk of an egg.	Stir in the yolk of an egg.
3615_14672_000019_000004	Put some boiled rice on a platter; add the shrimps and pour over the sauce.	Put some boiled rice on a platter; add the shrimps and pour over the sauce.
3615_14672_000019_000005	Serve very hot.	Serve very hot.
3615_14672_000020_000000	10.--Irish Baked Potatoes.	ten.--Irish Baked Potatoes.
