3357_28375_000001_000000	ROMAN WOMEN.	ROMAN WOMEN.
3357_28375_000003_000000	The time when the Roman women began to appear in public, marks a particular era in history.	The time when the Roman women began to appear in public, marks a particular era in history.
3357_28375_000004_000000	The Roman women, for many ages, were respected over the whole world. Their victorious husbands re-visited them with transport, at their return from battle.	The Roman women, for many ages, were respected over the whole world. Their victorious husbands re visited them with transport, at their return from battle.
3357_28375_000004_000001	They laid at their feet the spoils of the enemy, and endeared themselves in their eyes by the wounds which they had received for them and for the state.	They laid at their feet the spoils of the enemy, and endeared themselves in their eyes by the wounds which they had received for them and for the state.
3357_28375_000004_000002	Those warriors often came from imposing commands upon kings, and in their own houses accounted it an honor to obey.	Those warriors often came from imposing commands upon kings, and in their own houses accounted it an honor to obey.
3357_28375_000004_000003	In vain the too rigid laws made them the arbiters of life and death.	In vain the too rigid laws made them the arbiters of life and death.
3357_28375_000004_000004	More powerful than the laws, the women ruled their judges.	More powerful than the laws, the women ruled their judges.
3357_28375_000004_000005	In vain the legislature, foreseeing the wants which exist only among a corrupt people, permitted divorce.	In vain the legislature, foreseeing the wants which exist only among a corrupt people, permitted divorce.
3357_28375_000004_000006	The indulgence of the polity was proscribed by the manners.	The indulgence of the polity was proscribed by the manners.
3357_28375_000005_000000	Such was the influence of beauty at Rome before the licentious intercourse of the sexes had corrupted both.	Such was the influence of beauty at Rome before the licentious intercourse of the sexes had corrupted both.
3357_28375_000006_000000	The Roman matrons do not seem to have possessed that military courage which Plutarch has praised in certain Greek and barbarian women; they partook more of the nature of their sex; or, at least, they departed less from its character.	The Roman matrons do not seem to have possessed that military courage which Plutarch has praised in certain Greek and barbarian women; they partook more of the nature of their sex; or, at least, they departed less from its character.
3357_28375_000006_000001	Their first quality was decency.	Their first quality was decency.
3357_28375_000007_000000	To these austere manners, the Roman women joined an enthusiastic love of their country, which discovered itself upon many great occasions.	To these austere manners, the Roman women joined an enthusiastic love of their country, which discovered itself upon many great occasions.
3357_28375_000007_000001	On the death of Brutus, they all clothed themselves in mourning.	On the death of Brutus, they all clothed themselves in mourning.
3357_28375_000007_000002	In the time of Coriolanus they saved the city.	In the time of Coriolanus they saved the city.
3357_28375_000007_000004	The senate decreed them public thanks, ordered the men to give place to them upon all occasions, caused an altar to be erected for them on the spot where the mother had softened her son, and the wife her husband; and the sex were permitted to add another ornament to their head-dress.	The senate decreed them public thanks, ordered the men to give place to them upon all occasions, caused an altar to be erected for them on the spot where the mother had softened her son, and the wife her husband; and the sex were permitted to add another ornament to their head dress.
3357_28375_000008_000000	The Roman women saved the city a second time, when besieged by Brennus. They gave up all their gold as its ransom.	The Roman women saved the city a second time, when besieged by Brennus. They gave up all their gold as its ransom.
3357_28375_000008_000001	For that instance of their generosity, the senate granted them the honor of having funeral orations pronounced in the rostrum, in common with patriots and heroes.	For that instance of their generosity, the senate granted them the honor of having funeral orations pronounced in the rostrum, in common with patriots and heroes.
3357_28375_000010_000002	The women sought an orator to defend their cause, but found none.	The women sought an orator to defend their cause, but found none.
3357_28375_000010_000003	Nobody would reason against those who had the power of life and death.	Nobody would reason against those who had the power of life and death.
3357_28375_000010_000004	The daughter of the celebrated Hortensius alone appeared.	The daughter of the celebrated Hortensius alone appeared.
3357_28375_000010_000005	She revived the memory of her father's abilities, and supported with intrepidity her own cause and that of her sex.	She revived the memory of her father's abilities, and supported with intrepidity her own cause and that of her sex.
3357_28375_000010_000006	The ruffians blushed and revoked their orders.	The ruffians blushed and revoked their orders.
3357_28375_000011_000000	Hortensia was conducted home in triumph, and had the honor of having given, in one day, an example of courage to men, a pattern of eloquence to women, and a lesson of humanity to tyrants.	Hortensia was conducted home in triumph, and had the honor of having given, in one day, an example of courage to men, a pattern of eloquence to women, and a lesson of humanity to tyrants.
3357_28375_000012_000002	They were desirous to join admiration to esteem, 'till they learned to exceed esteem itself.	They were desirous to join admiration to esteem, 'till they learned to exceed esteem itself.
3357_28375_000012_000003	For in all countries, in proportion as the love of virtue diminishes, we find the love of talents to increase.	For in all countries, in proportion as the love of virtue diminishes, we find the love of talents to increase.
3357_28375_000013_000001	The vast inequality of ranks, the enormous fortunes of individuals, the ridicule, affixed by the imperial court to moral ideas, all contributed to hasten the period of corruption.	The vast inequality of ranks, the enormous fortunes of individuals, the ridicule, affixed by the imperial court to moral ideas, all contributed to hasten the period of corruption.
3357_28375_000014_000001	Portia, the daughter of Cato, and wife of Brutus, showed herself worthy to be associated with the first of human kind, and trusted with the fate of empires.	Portia, the daughter of Cato, and wife of Brutus, showed herself worthy to be associated with the first of human kind, and trusted with the fate of empires.
3357_28375_000015_000000	The example of Portia was followed by that of Arria, who seeing her husband hesitating and afraid to die, in order to encourage him, pierced her own breast, and delivered to him the dagger with a smile.	The example of Portia was followed by that of Arria, who seeing her husband hesitating and afraid to die, in order to encourage him, pierced her own breast, and delivered to him the dagger with a smile.
3357_28375_000017_000001	But the empress Julia the wife of Septimius Severus, possessed a species of merit so very different from any of those already mentioned, as to claim particular attention.	But the empress Julia the wife of Septimius Severus, possessed a species of merit so very different from any of those already mentioned, as to claim particular attention.
3357_28375_000018_000000	This lady was born in Syria, and a daughter of a priest of the sun.	This lady was born in Syria, and a daughter of a priest of the sun
3357_28375_000018_000001	It was predicted that she would rise to sovereign dignity; and her character justified the prophecy.	It was predicted that she would rise to sovereign dignity; and her character justified the prophecy.
3357_28375_000019_000000	Julia, while on the throne, loved, or pretended passionately to love, letters.	Julia, while on the throne, loved, or pretended passionately to love, letters.
3357_28375_000019_000001	Either from taste, from a desire to instruct herself, from a love of renown, or possibly from all these together, she spent her life with philosophers.	Either from taste, from a desire to instruct herself, from a love of renown, or possibly from all these together, she spent her life with philosophers.
3357_28375_000019_000002	Her rank of empress would not, perhaps, have been sufficient to subdue those bold spirits; but she joined to that the more powerful influences of wit and beauty.	Her rank of empress would not, perhaps, have been sufficient to subdue those bold spirits; but she joined to that the more powerful influences of wit and beauty.
3357_28375_000019_000003	These three kinds of empire rendered less necessary to her that which consists only in art; and which, attentive to their tastes and their weaknesses, govern great minds by little means.	These three kinds of empire rendered less necessary to her that which consists only in art; and which, attentive to their tastes and their weaknesses, govern great minds by little means.
3357_28375_000020_000000	It is said she was a philosopher.	It is said she was a philosopher.
3357_28375_000021_000000	Julia was, in short, an empress and a politician, occupied at the same time about literature, and affairs of state, while she mingled her pleasures freely with both.	Julia was, in short, an empress and a politician, occupied at the same time about literature, and affairs of state, while she mingled her pleasures freely with both.
3357_28375_000021_000001	She had courtiers for her lovers, scholars for her friends, and philosophers for her counsellors.	She had courtiers for her lovers, scholars for her friends, and philosophers for her counsellors.
3357_28375_000021_000003	Julia arrived at the highest celebrity; but as among all her excellencies, we find not those of her sex, the virtues of a woman, our admiration is lost in blame.	Julia arrived at the highest celebrity; but as among all her excellencies, we find not those of her sex, the virtues of a woman, our admiration is lost in blame.
3357_28375_000021_000004	In her life time she obtained more praise than respect; and posterity, while it has done justice to her talents and her accomplishments, has agreed to deny her esteem.	In her life time she obtained more praise than respect; and posterity, while it has done justice to her talents and her accomplishments, has agreed to deny her esteem.
3357_28375_000022_000000	LAWS AND CUSTOMS RESPECTING THE ROMAN WOMEN.	LAWS AND CUSTOMS RESPECTING THE ROMAN WOMEN.
3357_28375_000023_000000	The Roman women, as well as the Grecian, were under perpetual guardianship; and were not at any age, nor in any condition, ever trusted with the management of their own fortunes.	The Roman women, as well as the Grecian, were under perpetual guardianship; and were not at any age, nor in any condition, ever trusted with the management of their own fortunes.
3357_28375_000024_000000	Every father had power of life and death over his own daughters: but this power was not restricted to daughters only; it extended also to sons.	Every father had power of life and death over his own daughters: but this power was not restricted to daughters only; it extended also to sons.
3357_28375_000025_000000	The Oppian law prohibited women from having more than half an ounce of gold employed in ornamenting their persons, from wearing clothes of divers colors, and from riding in chariots, either in the city, or a thousand paces round it.	The Oppian law prohibited women from having more than half an ounce of gold employed in ornamenting their persons, from wearing clothes of divers colors, and from riding in chariots, either in the city, or a thousand paces round it.
3357_28375_000026_000001	For either of these faults they were liable to be divorced by their husbands.	For either of these faults they were liable to be divorced by their husbands.
3357_28375_000029_000000	Fabius Pictor relates, that the parents of a Roman lady, having detected her picking the lock of a chest which contained some wine, shut her up and starved her to death.	Fabius Pictor relates, that the parents of a Roman lady, having detected her picking the lock of a chest which contained some wine, shut her up and starved her to death.
3357_28375_000030_000001	They were also liable to be divorced for barrenness, which, if it could be construed into a fault, was at least the fault of nature, and might sometimes be that of the husband.	They were also liable to be divorced for barrenness, which, if it could be construed into a fault, was at least the fault of nature, and might sometimes be that of the husband.
3357_28375_000031_000000	A few sumptuary laws, a subordination to the men, and a total want of authority, do not so much affect the sex, as to be coldly and indelicately treated by their husbands.	A few sumptuary laws, a subordination to the men, and a total want of authority, do not so much affect the sex, as to be coldly and indelicately treated by their husbands.
3357_28375_000032_000000	Such a treatment is touching them in the tenderest part.	Such a treatment is touching them in the tenderest part.
3357_28375_000033_000001	The principal eunuch of Justinian the Second, threatened to chastise the Empress, his master's wife, in the manner that children are chastised at school, if she did not obey his orders.	The principal eunuch of Justinian the Second, threatened to chastise the Empress, his master's wife, in the manner that children are chastised at school, if she did not obey his orders.
3357_28375_000034_000000	With regard to the private diversions of the Roman ladies, history is silent.	With regard to the private diversions of the Roman ladies, history is silent.
3357_28375_000034_000001	Their public ones, were such as were common to both sexes; as bathing, theatrical representations, horse-races, shows of wild beasts, which fought against one another, and sometimes against men, whom the emperors, in the plenitude of their despotic power, ordered to engage them.	Their public ones, were such as were common to both sexes; as bathing, theatrical representations, horse races, shows of wild beasts, which fought against one another, and sometimes against men, whom the emperors, in the plenitude of their despotic power, ordered to engage them.
3357_28375_000035_000000	The Romans, of both sexes, spent a great deal of time at the baths; which at first, perhaps, were interwoven with their religion, but at last were only considered as refinements in luxury.	The romans, of both sexes, spent a great deal of time at the baths; which at first, perhaps, were interwoven with their religion, but at last were only considered as refinements in luxury.
3357_28375_000035_000001	They were places of public resort, where people met with their acquaintances and friends, where public libraries were kept for such as chose to read, and where poets recited their works to such as had patience to hear.	They were places of public resort, where people met with their acquaintances and friends, where public libraries were kept for such as chose to read, and where poets recited their works to such as had patience to hear.
3357_28375_000036_000000	In the earlier periods of Rome, separate baths were appropriated to each sex.	In the earlier periods of Rome, separate baths were appropriated to each sex.
3357_28375_000036_000001	Luxury, by degrees getting the better of decency, the men and women at last bathed promiscuously together.	Luxury, by degrees getting the better of decency, the men and women at last bathed promiscuously together.
