55_121068_000000_000000	Chapter 50.	Chapter fifty.	true	13.29	14.31	17
55_121068_000000_000001	The Morrel Family.	The Morrel Family.	true	14.31	15.55	14.784452
55_121068_000001_000000	In a very few minutes the count reached No. 7 in the Rue Meslay.	In a very few minutes the count reached no seven in the Rue Meslay.	false	15.83	20.04	18.512983
55_121068_000001_000001	The house was of white stone, and in a small court before it were two small beds full of beautiful flowers.	The house was of white stone, and in a small court before it were two small beds full of beautiful flowers.	true	20.04	25.57	16
55_121068_000001_000002	In the concierge that opened the gate the count recognized Cocles; but as he had but one eye, and that eye had become somewhat dim in the course of nine years, Cocles did not recognize the count.	In the concierge that opened the gate the count recognized Cocles; but as he had but one eye, and that eye had become somewhat dim in the course of nine years, Cocles did not recognize the count.	true	26.24	37.51	17
55_121068_000001_000003	The carriages that drove up to the door were compelled to turn, to avoid a fountain that played in a basin of rockwork,--an ornament that had excited the jealousy of the whole quarter, and had gained for the place the appellation of "The Little Versailles." It is needless to add that there were gold and silver fish in the basin.	The carriages that drove up to the door were compelled to turn, to avoid a fountain that played in a basin of rockwork,--an ornament that had excited the jealousy of the whole quarter, and had gained for the place the appellation of "The Little Versailles." It is needless to add that there were gold and silver fish in the basin.	true	38.18	55.78	19.763056
55_121068_000001_000004	The house, with kitchens and cellars below, had above the ground-floor, two stories and attics.	The house, with kitchens and cellars below, had above the ground floor, two stories and attics.	true	56.36	62.35	20
55_121068_000001_000005	The whole of the property, consisting of an immense workshop, two pavilions at the bottom of the garden, and the garden itself, had been purchased by Emmanuel, who had seen at a glance that he could make of it a profitable speculation.	The whole of the property, consisting of an immense workshop, two pavilions at the bottom of the garden, and the garden itself, had been purchased by Emmanuel, who had seen at a glance that he could make of it a profitable speculation.	true	62.63	74.62	17
55_121068_000001_000006	He had reserved the house and half the garden, and building a wall between the garden and the workshops, had let them upon lease with the pavilions at the bottom of the garden.	He had reserved the house and half the garden, and building a wall between the garden and the workshops, had let them upon lease with the pavilions at the bottom of the garden.	true	75.11	83.53	16
55_121068_000001_000007	So that for a trifling sum he was as well lodged, and as perfectly shut out from observation, as the inhabitants of the finest mansion in the Faubourg St. Germain.	So that for a trifling sum he was as well lodged, and as perfectly shut out from observation, as the inhabitants of the finest mansion in the Faubourg st Germain.	false	83.93	93.07	13
55_121068_000001_000008	The breakfast-room was finished in oak; the salon in mahogany, and the furnishings were of blue velvet; the bedroom was in citronwood and green damask.	The breakfast room was finished in oak; the salon in mahogany, and the furnishings were of blue velvet; the bedroom was in citronwood and green damask.	true	93.74	103.03	18.667753
55_121068_000001_000009	There was a study for Emmanuel, who never studied, and a music-room for Julie, who never played.	There was a study for Emmanuel, who never studied, and a music room for Julie, who never played.	true	103.1	108.43	16
55_121068_000001_000010	The whole of the second story was set apart for Maximilian; it was precisely similar to his sister's apartments, except that for the breakfast-parlor he had a billiard-room, where he received his friends.	The whole of the second story was set apart for Maximilian; it was precisely similar to his sister's apartments, except that for the breakfast parlor he had a billiard room, where he received his friends.	true	109.07	119.97	19
55_121068_000001_000011	He was superintending the grooming of his horse, and smoking his cigar at the entrance of the garden, when the count's carriage stopped at the gate.	He was superintending the grooming of his horse, and smoking his cigar at the entrance of the garden, when the count's carriage stopped at the gate.	true	119.97	127.09	16
55_121068_000002_000000	Cocles opened the gate, and Baptistin, springing from the box, inquired whether Monsieur and Madame Herbault and Monsieur Maximilian Morrel would see his excellency the Count of Monte Cristo.	Cocles opened the gate, and Baptistin, springing from the box, inquired whether Monsieur and Madame Herbault and Monsieur Maximilian Morrel would see his excellency the Count of Monte Cristo.	true	127.25	137.49	16
55_121068_000002_000001	"The Count of Monte Cristo?" cried Morrel, throwing away his cigar and hastening to the carriage; "I should think we would see him.	"The Count of Monte Cristo?" cried Morrel, throwing away his cigar and hastening to the carriage; "I should think we would see him.	true	137.49	143.79	15
55_121068_000002_000002	Ah, a thousand thanks, count, for not having forgotten your promise." And the young officer shook the count's hand so warmly, that Monte Cristo could not be mistaken as to the sincerity of his joy, and he saw that he had been expected with impatience, and was received with pleasure.	Ah, a thousand thanks, count, for not having forgotten your promise." And the young officer shook the count's hand so warmly, that Monte Cristo could not be mistaken as to the sincerity of his joy, and he saw that he had been expected with impatience, and was received with pleasure.	false	143.79	159.49	18
55_121068_000002_000003	"Come, come," said Maximilian, "I will serve as your guide; such a man as you are ought not to be introduced by a servant.	"Come, come," said Maximilian, "I will serve as your guide; such a man as you are ought not to be introduced by a servant.	true	160.19	166.24	15
