274_121398_000000_000001	The Place Royale.	The Place Royale.
274_121398_000001_000000	They proceeded silently to the centre of the Place, but as at this very moment the moon had just emerged from behind a cloud, they thought they might be observed if they remained on that spot and therefore regained the shade of the lime-trees.	They proceeded silently to the centre of the Place, but as at this very moment the moon had just emerged from behind a cloud, they thought they might be observed if they remained on that spot and therefore regained the shade of the lime trees.
274_121398_000003_000000	After a few minutes of silent embarrassment, Athos spoke.	After a few minutes of silent embarrassment, Athos spoke.
274_121398_000005_000000	"Hear me, count," replied D'Artagnan; "instead of making compliments to each other, let us explain our conduct to each other, like men of right and honest hearts."	"Hear me, count," replied D'Artagnan; "instead of making compliments to each other, let us explain our conduct to each other, like men of right and honest hearts."
274_121398_000006_000000	"I wish for nothing more; have you any cause of complaint against me or Monsieur d'Herblay?	"I wish for nothing more; have you any cause of complaint against me or Monsieur d'Herblay?
274_121398_000006_000001	If so, speak out," answered Athos.	If so, speak out," answered Athos.
274_121398_000007_000000	"I have," replied D'Artagnan.	"I have," replied D'Artagnan.
274_121398_000007_000001	"When I saw you at your chateau at Bragelonne, I made certain proposals to you which you perfectly understood; instead of answering me as a friend, you played with me as a child; the friendship, therefore, that you boast of was not broken yesterday by the shock of swords, but by your dissimulation at your castle."	"When I saw you at your chateau at Bragelonne, I made certain proposals to you which you perfectly understood; instead of answering me as a friend, you played with me as a child; the friendship, therefore, that you boast of was not broken yesterday by the shock of swords, but by your dissimulation at your castle."
274_121398_000009_000001	You ask what I have against you; I tell you.	You ask what I have against you; I tell you.
274_121398_000009_000002	And I have the same sincerity to show you, if you wish, Monsieur d'Herblay; I acted in a similar way to you and you also deceived me."	And I have the same sincerity to show you, if you wish, Monsieur d'Herblay; I acted in a similar way to you and you also deceived me."
274_121398_000010_000001	"You came seeking me to make to me certain proposals, but did you make them?	"You came seeking me to make to me certain proposals, but did you make them?
274_121398_000010_000002	No, you sounded me, nothing more.	No, you sounded me, nothing more.
274_121398_000010_000005	But that is all.	But that is all.
274_121398_000010_000009	Were you a party man?	Were you a party man?
274_121398_000010_000010	There is no doubt of that.	There is no doubt of that.
274_121398_000010_000011	Well, why should not we, too, belong to a party?	Well, why should not we, too, belong to a party?
274_121398_000010_000012	You had your secret and we had ours; we didn't exchange them.	You had your secret and we had ours; we didn't exchange them.
274_121398_000010_000013	So much the better; it proves that we know how to keep our secrets."	So much the better; it proves that we know how to keep our secrets."
274_121398_000012_000000	"And what do you find in it that is worthy of blame?" asked Aramis, haughtily.	"And what do you find in it that is worthy of blame?" asked Aramis, haughtily.
274_121398_000013_000000	The blood mounted instantly to the temples of D'Artagnan, who arose, and replied:	The blood mounted instantly to the temples of D'Artagnan, who arose, and replied:
274_121398_000014_000000	"I consider it worthy conduct of a pupil of Jesuits."	"I consider it worthy conduct of a pupil of Jesuits."
274_121398_000015_000000	On seeing D'Artagnan rise, Porthos rose also; these four men were therefore all standing at the same time, with a menacing aspect, opposite to each other.	On seeing D'Artagnan rise, Porthos rose also; these four men were therefore all standing at the same time, with a menacing aspect, opposite to each other.
274_121398_000016_000000	Upon hearing D'Artagnan's reply, Aramis seemed about to draw his sword, when Athos prevented him.	Upon hearing D'Artagnan's reply, Aramis seemed about to draw his sword, when Athos prevented him.
274_121398_000017_000000	"D'Artagnan," he said, "you are here to-night, still infuriated by yesterday's adventure.	"D'Artagnan," he said, "you are here to night, still infuriated by yesterday's adventure.
274_121398_000019_000002	However, because I was prudent you must not take me for a fool.	However, because I was prudent you must not take me for a fool.
274_121398_000020_000000	"What are you meddling with?" cried Aramis, pale with anger, suspecting that D'Artagnan had acted as a spy on him and had seen him with Madame de Longueville.	"What are you meddling with?" cried Aramis, pale with anger, suspecting that D'Artagnan had acted as a spy on him and had seen him with Madame de Longueville.
274_121398_000022_000000	Porthos, who had not spoken one word, answered merely by a word and a gesture.	Porthos, who had not spoken one word, answered merely by a word and a gesture.
274_121398_000024_000000	Aramis started back and drew his.	Aramis started back and drew his.
274_121398_000024_000001	D'Artagnan bent forward, ready either to attack or to stand on his defense.	D'Artagnan bent forward, ready either to attack or to stand on his defense.
274_121398_000025_000000	Athos at that moment extended his hand with the air of supreme command which characterized him alone, drew out his sword and the scabbard at the same time, broke the blade in the sheath on his knee and threw the pieces to his right.	Athos at that moment extended his hand with the air of supreme command which characterized him alone, drew out his sword and the scabbard at the same time, broke the blade in the sheath on his knee and threw the pieces to his right.
274_121398_000025_000001	Then turning to Aramis:	Then turning to Aramis:
274_121398_000026_000000	"Aramis," he said, "break your sword."	"Aramis," he said, "break your sword."
274_121398_000027_000000	Aramis hesitated.	Aramis hesitated.
274_121398_000028_000000	"It must be done," said Athos; then in a lower and more gentle voice, he added.	"It must be done," said Athos; then in a lower and more gentle voice, he added.
274_121398_000028_000001	"I wish it."	"I wish it."
274_121398_000029_000000	Then Aramis, paler than before, but subdued by these words, snapped the serpent blade between his hands, and then folding his arms, stood trembling with rage.	Then Aramis, paler than before, but subdued by these words, snapped the serpent blade between his hands, and then folding his arms, stood trembling with rage.
274_121398_000030_000000	These proceedings made D'Artagnan and Porthos draw back.	These proceedings made D'Artagnan and Porthos draw back.
274_121398_000030_000001	D'Artagnan did not draw his sword; Porthos put his back into the sheath.	D'Artagnan did not draw his sword; Porthos put his back into the sheath.
274_121398_000031_000000	"Never!" exclaimed Athos, raising his right hand to Heaven, "never!	"Never!" exclaimed Athos, raising his right hand to Heaven, "never!
274_121398_000031_000001	I swear before God, who seeth us, and who, in the darkness of this night heareth us, never shall my sword cross yours, never my eye express a glance of anger, nor my heart a throb of hatred, at you.	I swear before God, who seeth us, and who, in the darkness of this night heareth us, never shall my sword cross yours, never my eye express a glance of anger, nor my heart a throb of hatred, at you.
274_121398_000031_000003	D'Artagnan, I have always loved you as my son; Porthos, we slept six years side by side; Aramis is your brother as well as mine, and Aramis has once loved you, as I love you now and as I have ever loved you.	D'Artagnan, I have always loved you as my son; Porthos, we slept six years side by side; Aramis is your brother as well as mine, and Aramis has once loved you, as I love you now and as I have ever loved you.
274_121398_000031_000007	I repeat my words, Aramis, and then, if you desire it, and if they desire it, let us separate forever from our old friends."	I repeat my words, Aramis, and then, if you desire it, and if they desire it, let us separate forever from our old friends."
274_121398_000033_000000	"I swear," he said, with a calm brow and kindly glance, but in a voice still trembling with recent emotion, "I swear that I no longer bear animosity to those who were once my friends.	"I swear," he said, with a calm brow and kindly glance, but in a voice still trembling with recent emotion, "I swear that I no longer bear animosity to those who were once my friends.
274_121398_000033_000001	I regret that I ever crossed swords with you, Porthos; I swear not only that it shall never again be pointed at your breast, but that in the bottom of my heart there will never in future be the slightest hostile sentiment; now, Athos, come."	I regret that I ever crossed swords with you, Porthos; I swear not only that it shall never again be pointed at your breast, but that in the bottom of my heart there will never in future be the slightest hostile sentiment; now, Athos, come."
274_121398_000034_000000	Athos was about to retire.	Athos was about to retire.
274_121398_000037_000000	"And as for me," said Porthos, "I swear nothing, but I'm choked. Forsooth!	"And as for me," said Porthos, "I swear nothing, but I'm choked. Forsooth!
274_121398_000038_000000	"My friends," said Athos, "this is what I expected from such hearts as yours.	"My friends," said Athos, "this is what I expected from such hearts as yours.
274_121398_000038_000001	Yes, I have said it and I now repeat it: our destinies are irrevocably united, although we now pursue divergent roads.	Yes, I have said it and I now repeat it: our destinies are irrevocably united, although we now pursue divergent roads.
274_121398_000038_000002	I respect your convictions, and whilst we fight for opposite sides, let us remain friends.	I respect your convictions, and whilst we fight for opposite sides, let us remain friends.
274_121398_000038_000003	Ministers, princes, kings, will pass away like mountain torrents; civil war, like a forest flame; but we--we shall remain; I have a presentiment that we shall."	Ministers, princes, kings, will pass away like mountain torrents; civil war, like a forest flame; but we-we shall remain; I have a presentiment that we shall."
274_121398_000042_000000	"You speak charmingly," said Porthos.	"You speak charmingly," said Porthos.
274_121398_000043_000000	"And are the first of men!" added D'Artagnan.	"And are the first of men!" added D'Artagnan.
274_121398_000043_000001	"You excel us all."	"You excel us all."
274_121398_000044_000000	Athos smiled with ineffable pleasure.	Athos smiled with ineffable pleasure.
274_121398_000045_000001	Gentlemen, your hands; are we not pretty good Christians?"	Gentlemen, your hands; are we not pretty good Christians?"
274_121398_000046_000000	"Egad!" said D'Artagnan, "by Heaven! yes."	"Egad!" said D'Artagnan, "by Heaven! yes."
274_121398_000047_000000	"We should be so on this occasion, if only to be faithful to our oath," said Aramis.	"We should be so on this occasion, if only to be faithful to our oath," said Aramis.
274_121398_000048_000001	Devil take me if I've ever been so happy as at this moment."	Devil take me if I've ever been so happy as at this moment."
274_121398_000049_000000	And he wiped his eyes, still moist.	And he wiped his eyes, still moist.
274_121398_000051_000000	Aramis smiled and drew from his vest a cross of diamonds, which was hung around his neck by a chain of pearls.	Aramis smiled and drew from his vest a cross of diamonds, which was hung around his neck by a chain of pearls.
