7128_84121_000004_000000	CHAPTER XI	CHAPTER eleven
7128_84121_000006_000000	"Here, I'm being trailed."	"Here, I'm being trailed."
7128_84121_000011_000000	Mr. Blair merely shook his head.	mr Blair merely shook his head.
7128_84121_000013_000000	"He's--he's rather busy," began Mr. Blair.	"He's-he's rather busy," began mr Blair.
7128_84121_000014_000002	"Someone's following me around again," he announced, "and I want to know whether it's you or them."	"Someone's following me around again," he announced, "and I want to know whether it's you or them."
7128_84121_000015_000000	"Me or who?" queried Sir Lyster.	"Me or who?" queried Sir Lyster.
7128_84121_000016_000000	"Whether it's some of your boys, or the other lot."	"Whether it's some of your boys, or the other lot."
7128_84121_000018_000000	"Well, you might suggest that it doesn't please me mightily.	"Well, you might suggest that it doesn't please me mightily.
7128_84121_000018_000001	I don't like being trailed in this fashion, so if it's any of your boys just you whistle 'em off."	I don't like being trailed in this fashion, so if it's any of your boys just you whistle 'em off."
7128_84121_000019_000000	"I doubt if you would be aware of the fact if we were having you shadowed, Mr. Dene," said Sir Lyster quietly, "and in any case it would be for your own safety."	"I doubt if you would be aware of the fact if we were having you shadowed, mr Dene," said Sir Lyster quietly, "and in any case it would be for your own safety."
7128_84121_000022_000001	"Your man had better be ready on Friday.	"Your man had better be ready on Friday.
7128_84121_000022_000002	One of my boys'll pick him up, Jim Grant's his name."	One of my boys'll pick him up, Jim Grant's his name."
7128_84121_000023_000000	"Sir Goliath Maggie has appointed Commander Ryles," said Sir Lyster.	"Sir Goliath Maggie has appointed Commander Ryles," said Sir Lyster.
7128_84121_000024_000003	Don't forget to call off your boys;" and with that John Dene was gone.	Don't forget to call off your boys;" and with that john Dene was gone.
7128_84121_000025_000000	Ten minutes later Sir Bridgman North found the First Lord sitting at his table, apparently deep in thought.	Ten minutes later Sir Bridgman North found the First Lord sitting at his table, apparently deep in thought.
7128_84121_000027_000000	Sir Lyster smiled feebly.	Sir Lyster smiled feebly.
7128_84121_000029_000002	They'll probably appreciate him there.	They'll probably appreciate him there.
7128_84121_000030_000001	It----" Sir Lyster paused; then, seeing that he was expected to finish his sentence, he added, "It will really be something of a relief.	It----" Sir Lyster paused; then, seeing that he was expected to finish his sentence, he added, "It will really be something of a relief.
7128_84121_000031_000001	"What happened?"	"What happened?"
7128_84121_000032_000000	"Apparently he objected to being called a dancing lizard, and told to quit his funny work." Sir Lyster smiled as if finding consolation in the fact that another had suffered at the hands of John Dene.	"Apparently he objected to being called a dancing lizard, and told to quit his funny work." Sir Lyster smiled as if finding consolation in the fact that another had suffered at the hands of john Dene.
7128_84121_000033_000000	"It's nothing to what he did to poor old Rayner," laughed Sir Bridgman. "A dear old chap, you know, but rather of the old blue-water school."	"It's nothing to what he did to poor old Rayner," laughed Sir Bridgman. "A dear old chap, you know, but rather of the old blue water school."
7128_84121_000034_000002	With Sir Lyster he was always as technical in his language as a midshipman back from his first cruise.	With Sir Lyster he was always as technical in his language as a midshipman back from his first cruise.
7128_84121_000036_000001	"Frankly, I don't like John Dene."	"Frankly, I don't like john Dene."
7128_84121_000037_000000	"Don't like him!	"Don't like him!
7128_84121_000037_000001	Why?"	Why?"
7128_84121_000041_000000	During his absence, Dorothy was to be at the office each day until lunch time to attend to any matters that might crop up.	During his absence, Dorothy was to be at the office each day until lunch time to attend to any matters that might crop up.
7128_84121_000042_000000	The quality about John Dene that had most impressed Dorothy was his power of concentration.	The quality about john Dene that had most impressed Dorothy was his power of concentration.
7128_84121_000042_000002	A question addressed to him that was unrelated to what was in hand he would ignore, appearing not to have heard it; on the other hand a remark germane to the trend of his thoughts would produce an instant reply.	A question addressed to him that was unrelated to what was in hand he would ignore, appearing not to have heard it; on the other hand a remark germane to the trend of his thoughts would produce an instant reply.
7128_84121_000043_000000	His quickness of decision and amazing vitality Dorothy found bewildering, accustomed as she was to the more methodical procedure of a Government department.	His quickness of decision and amazing vitality Dorothy found bewildering, accustomed as she was to the more methodical procedure of a Government department.
7128_84121_000043_000002	"I sleep on a bed, not on an idea," was another of his remarks that she remembered, and once when commenting upon the cautiousness of Sir Lyster Grayne he had said, "The man who takes risks makes dollars."	"I sleep on a bed, not on an idea," was another of his remarks that she remembered, and once when commenting upon the cautiousness of Sir Lyster Grayne he had said, "The man who takes risks makes dollars."
7128_84121_000046_000001	How blind British statesmen were to the fact that the eyes of many Canadians were turned anxiously towards the great republic upon their borders; how in the rapid growth of the U.S.A. they saw a convincing argument in favour of a tightening of the bonds that bound the Dominion to the Old Country.	How blind British statesmen were to the fact that the eyes of many Canadians were turned anxiously towards the great republic upon their borders; how in the rapid growth of the u s a they saw a convincing argument in favour of a tightening of the bonds that bound the Dominion to the Old Country.
7128_84121_000047_000000	When on the subject he would stride restlessly up and down the room, snapping out short, sharp sentences of protest and criticism.	When on the subject he would stride restlessly up and down the room, snapping out short, sharp sentences of protest and criticism.
7128_84121_000047_000002	To him a Canada lost to the British Empire meant a British Empire lost to itself.	To him a Canada lost to the British Empire meant a British Empire lost to itself.
7128_84121_000047_000003	His great idea was to see the Old Country control the world by virtue of its power, its brain and its justice.	His great idea was to see the Old Country control the world by virtue of its power, its brain and its justice.
7128_84121_000049_000000	There were times when she felt, as she expressed it to her mother, as if she had been dining off beef essence and oxygen.	There were times when she felt, as she expressed it to her mother, as if she had been dining off beef essence and oxygen.
7128_84121_000049_000002	He was a small eater, seeming to regard meals as a waste of time, and he seldom drank anything but water.	He was a small eater, seeming to regard meals as a waste of time, and he seldom drank anything but water.
