7128_84121_000000_000000	"I'm afraid I shall have to do the proposing though," Dorothy added.	"I'm afraid I shall have to do the proposing though," Dorothy added.	false	0	1.95	20.0507
7128_84121_000001_000000	"It was very strange, meeting Mr. Dene to-day," remarked Mrs. West half to herself.	"It was very strange, meeting mr Dene to day," remarked mrs West half to herself.	false	1.95	5.31	21.589556
7128_84121_000002_000000	"Very," remarked Dorothy, and she hastened to talk of something else.	"Very," remarked Dorothy, and she hastened to talk of something else.	false	5.31	8.19	23
7128_84121_000003_000000	That night John Dene dreamed he was a little boy again, and had fallen down and hurt himself, and a beautiful lady had knelt beside him and kissed him.	That night john Dene dreamed he was a little boy again, and had fallen down and hurt himself, and a beautiful lady had knelt beside him and kissed him.	false	8.19	18.9	21.24549
7128_84121_000003_000001	He awakened with a start just as the lady had turned into Dorothy, with her note-book, asking if there were any more letters.	He awakened with a start just as the lady had turned into Dorothy, with her note book, asking if there were any more letters.	false	18.9	24.99	21.858013
7128_84121_000004_000000	CHAPTER XI	CHAPTER eleven	true	24.99	26.19	23
7128_84121_000005_000000	THE STRANGENESS OF JOHN DENE	THE STRANGENESS OF john DENE	false	26.19	28.5	-1
7128_84121_000006_000000	"Here, I'm being trailed."	"Here, I'm being trailed."	true	28.5	31.06	21.823093
7128_84121_000007_000000	Mr. Blair looked up from his writing-table with a startled expression as John Dene burst into his room.	mr Blair looked up from his writing table with a startled expression as john Dene burst into his room.	true	31.88	38.38	19
7128_84121_000007_000001	In entering a room John Dene gave the impression of first endeavouring to break through the panels, and appearing to turn the handle only as an afterthought.	In entering a room john Dene gave the impression of first endeavouring to break through the panels, and appearing to turn the handle only as an afterthought.	true	39.05	49	19.92278
7128_84121_000008_000000	"Trailed," repeated Mr. Blair in an uncomprehending manner.	"Trailed," repeated mr Blair in an uncomprehending manner.	false	49.7	53.83	21.24302
7128_84121_000009_000000	John Dene stood looking down at him accusingly, as if he were responsible.	john Dene stood looking down at him accusingly, as if he were responsible.	true	54.23	59.05	19
7128_84121_000010_000000	"Yes, trailed, watched, tracked, shadowed, followed, bumped-into, trodden-on," snapped John Dene irritably.	"Yes, trailed, watched, tracked, shadowed, followed, bumped into, trodden on," snapped john Dene irritably.	false	59.63	68.38	23.69553
7128_84121_000010_000001	He was annoyed that a man occupying an important position should not be able to grasp his meaning without repetition.	He was annoyed that a man occupying an important position should not be able to grasp his meaning without repetition.	true	68.81	76.24	17
7128_84121_000010_000002	"You know anything about it?" he demanded.	"You know anything about it?" he demanded.	true	76.79	79.18	19.552761
7128_84121_000011_000000	Mr. Blair merely shook his head.	mr Blair merely shook his head.	true	79.73	81.85	22.844398
