7240_92202_000000_000000	IV	i v	false	11.1	21.495	24.96895
7240_92202_000001_000000	GAMES AND SPORTS	GAMES AND SPORTS	true	21.495	23.44	25.985798
7240_92202_000002_000000	The Indian boy was a prince of the wilderness.	The Indian boy was a prince of the wilderness.	true	24.32	27.61	20
7240_92202_000002_000001	He had but very little work to do during the period of his boyhood.	He had but very little work to do during the period of his boyhood.	true	27.74	32.14	20.846514
7240_92202_000002_000002	His principal occupation was the practice of a few simple arts in warfare and the chase.	His principal occupation was the practice of a few simple arts in warfare and the chase.	true	32.3	38.89	23
7240_92202_000002_000003	Aside from this, he was master of his time.	Aside from this, he was master of his time.	true	39.17	42.79	25.71166
7240_92202_000003_000000	It is true that our savage life was a precarious one, and full of dreadful catastrophes; however, this never prevented us from enjoying our sports to the fullest extent.	It is true that our savage life was a precarious one, and full of dreadful catastrophes; however, this never prevented us from enjoying our sports to the fullest extent.	true	43.16	55.3	24.420153
7240_92202_000003_000001	As we left our teepees in the morning, we were never sure that our scalps would not dangle from a pole in the afternoon!	As we left our teepees in the morning, we were never sure that our scalps would not dangle from a pole in the afternoon!	true	55.76	63.67	23.37906
7240_92202_000003_000002	It was an uncertain life, to be sure.	It was an uncertain life, to be sure.	true	63.83	66.97	20.92807
7240_92202_000003_000003	Yet we observed that the fawns skipped and played happily while the gray wolves might be peeping forth from behind the hills, ready to tear them limb from limb.	Yet we observed that the fawns skipped and played happily while the gray wolves might be peeping forth from behind the hills, ready to tear them limb from limb.	true	67.16	78.25	23.634296
7240_92202_000004_000000	Our sports were molded by the life and customs of our people; indeed, we practiced only what we expected to do when grown.	Our sports were molded by the life and customs of our people; indeed, we practiced only what we expected to do when grown.	true	78.86	87.82	25.094046
7240_92202_000004_000001	Our games were feats with the bow and arrow, foot and pony races, wrestling, swimming and imitation of the customs and habits of our fathers.	Our games were feats with the bow and arrow, foot and pony races, wrestling, swimming and imitation of the customs and habits of our fathers.	true	88.04	98.71	22.117481
7240_92202_000004_000002	We had sham fights with mud balls and willow wands; we played lacrosse, made war upon bees, shot winter arrows (which were used only in that season), and coasted upon the ribs of animals and buffalo robes.	We had sham fights with mud balls and willow wands; we played lacrosse, made war upon bees, shot winter arrows (which were used only in that season), and coasted upon the ribs of animals and buffalo robes.	true	99.11	115.36	23.674004
7240_92202_000005_000000	No sooner did the boys get together than, as a usual thing, they divided into squads and chose sides; then a leading arrow was shot at random into the air.	No sooner did the boys get together than, as a usual thing, they divided into squads and chose sides; then a leading arrow was shot at random into the air.	false	115.67	127.62	20.739178
7240_92202_000005_000001	Before it fell to the ground a volley from the bows of the participants followed.	Before it fell to the ground a volley from the bows of the participants followed.	true	127.62	133.24	24.497879
7240_92202_000005_000002	Each player was quick to note the direction and speed of the leading arrow and he tried to send his own at the same speed and at an equal height, so that when it fell it would be closer to the first than any of the others.	Each player was quick to note the direction and speed of the leading arrow and he tried to send his own at the same speed and at an equal height, so that when it fell it would be closer to the first than any of the others.	true	133.37	148.39	23.593155
7240_92202_000006_000000	It was considered out of place to shoot by first sighting the object aimed at.	It was considered out of place to shoot by first sighting the object aimed at.	true	149	154.84	23.3197
7240_92202_000006_000001	This was usually impracticable in actual life, because the object was almost always in motion, while the hunter himself was often upon the back of a pony at full gallop.	This was usually impracticable in actual life, because the object was almost always in motion, while the hunter himself was often upon the back of a pony at full gallop.	true	155.12	167.41	22.701431
7240_92202_000006_000002	Therefore, it was the off-hand shot that the Indian boy sought to master.	Therefore, it was the off hand shot that the Indian boy sought to master.	true	167.63	172.96	23.904358
7240_92202_000006_000003	There was another game with arrows that was characterized by gambling, and was generally confined to the men.	There was another game with arrows that was characterized by gambling, and was generally confined to the men.	true	173.36	180.7	22
7240_92202_000007_000000	The races were an every-day occurrence.	The races were an every day occurrence.	false	181.58	184.24	22.780548
7240_92202_000007_000001	At noon the boys were usually gathered by some pleasant sheet of water, and as soon as the ponies were watered, they were allowed to graze for an hour or two, while the boys stripped for their noonday sports.	At noon the boys were usually gathered by some pleasant sheet of water, and as soon as the ponies were watered, they were allowed to graze for an hour or two, while the boys stripped for their noonday sports.	true	184.46	197.41	22.097288
7240_92202_000007_000002	A boy might say to some other whom he considered his equal:	A boy might say to some other whom he considered his equal:	true	197.99	202.33	25
7240_92202_000008_000000	"I can't run; but I will challenge you to fifty paces."	"I can't run; but I will challenge you to fifty paces."	true	202.67	206.89	25.877748
7240_92202_000009_000000	A former hero, when beaten, would often explain his defeat by saying: "I drank too much water."	A former hero, when beaten, would often explain his defeat by saying: "I drank too much water."	true	207.29	214.42	25.030252
7240_92202_000010_000000	Boys of all ages were paired for a "spin," and the little red men cheered on their favorites with spirit.	Boys of all ages were paired for a "spin," and the little red men cheered on their favorites with spirit.	true	215.06	222.52	22.556273
7240_92202_000011_000000	As soon as this was ended, the pony races followed.	As soon as this was ended, the pony races followed.	true	223.1	226.81	21.950169
7240_92202_000011_000001	All the speedy ponies were picked out and riders chosen.	All the speedy ponies were picked out and riders chosen.	true	226.91	230.65	24.045086
7240_92202_000011_000002	If a boy declined to ride, there would be shouts of derision.	If a boy declined to ride, there would be shouts of derision.	true	230.96	235.24	21.972569
7240_92202_000012_000000	Last of all came the swimming.	Last of all came the swimming.	true	235.91	238.33	25.380493
7240_92202_000012_000001	A little urchin would hang to his pony's long tail, while the latter, with only his head above water, glided sportively along.	A little urchin would hang to his pony's long tail, while the latter, with only his head above water, glided sportively along.	true	238.79	247.69	21.666735
7240_92202_000012_000002	Finally the animals were driven into a fine field of grass and we turned our attention to other games.	Finally the animals were driven into a fine field of grass and we turned our attention to other games.	true	248.06	254.95	19
7240_92202_000013_000000	The "mud-and-willow" fight was rather a severe and dangerous sport.	The "mud and willow" fight was rather a severe and dangerous sport.	false	255.92	260.92	20.533997
7240_92202_000013_000001	A lump of soft clay was stuck on the end of a limber and springy willow wand and thrown as boys throw apples from sticks, with considerable force.	A lump of soft clay was stuck on the end of a limber and springy willow wand and thrown as boys throw apples from sticks, with considerable force.	false	261.32	272.68	22.151262
7240_92202_000013_000002	When there were fifty or a hundred players on each side, the battle became warm; but anything to arouse the bravery of Indian boys seemed to them a good and wholesome diversion.	When there were fifty or a hundred players on each side, the battle became warm; but anything to arouse the bravery of Indian boys seemed to them a good and wholesome diversion.	true	273.05	285.49	21
7240_92202_000014_000000	Wrestling was largely indulged in by us all.	Wrestling was largely indulged in by us all.	true	286.1	289.81	19.879
7240_92202_000014_000001	It may seem odd, but wrestling was done by a great many boys at once--from ten to any number on a side.	It may seem odd, but wrestling was done by a great many boys at once-from ten to any number on a side.	true	289.97	297.7	20.633589
7240_92202_000014_000002	It was really a battle, in which each one chose his opponent.	It was really a battle, in which each one chose his opponent.	true	297.83	302.47	23.418898
7240_92202_000014_000003	The rule was that if a boy sat down, he was let alone, but as long as he remained standing within the field, he was open to an attack.	The rule was that if a boy sat down, he was let alone, but as long as he remained standing within the field, he was open to an attack.	true	302.75	312.64	23.545473
7240_92202_000014_000004	No one struck with the hand, but all manner of tripping with legs and feet and butting with the knees was allowed.	No one struck with the hand, but all manner of tripping with legs and feet and butting with the knees was allowed.	true	312.83	320.74	23.191116
7240_92202_000014_000005	Altogether it was an exhausting pastime--fully equal to the American game of football, and only the young athlete could really enjoy it.	Altogether it was an exhausting pastime-fully equal to the American game of football, and only the young athlete could really enjoy it.	true	320.93	330.67	21.955938
7240_92202_000015_000000	One of our most curious sports was a war upon the nests of wild bees. We imagined ourselves about to make an attack upon the Ojibways or some tribal foe.	One of our most curious sports was a war upon the nests of wild bees. We imagined ourselves about to make an attack upon the Ojibways or some tribal foe.	true	331.19	343.06	22.046774
7240_92202_000015_000001	We all painted and stole cautiously upon the nest; then, with a rush and war-whoop, sprang upon the object of our attack and endeavored to destroy it.	We all painted and stole cautiously upon the nest; then, with a rush and war whoop, sprang upon the object of our attack and endeavored to destroy it.	false	343.19	354.64	24.335712
7240_92202_000015_000002	But it seemed that the bees were always on the alert and never entirely surprised, for they always raised quite as many scalps as did their bold assailants!	But it seemed that the bees were always on the alert and never entirely surprised, for they always raised quite as many scalps as did their bold assailants!	true	354.89	365.26	22
7240_92202_000015_000003	After the onslaught upon the nest was ended, we usually followed it by a pretended scalp dance.	After the onslaught upon the nest was ended, we usually followed it by a pretended scalp dance.	true	365.69	372.82	24.743174
7240_92202_000016_000000	On the occasion of my first experience in this mode of warfare, there were two other little boys who were also novices.	On the occasion of my first experience in this mode of warfare, there were two other little boys who were also novices.	true	373.4	380.89	22.925999
7240_92202_000016_000001	One of them particularly was really too young to indulge in an exploit of that kind.	One of them particularly was really too young to indulge in an exploit of that kind.	false	381.14	386.89	22
7240_92202_000016_000002	As it was the custom of our people, when they killed or wounded an enemy on the battle-field, to announce the act in a loud voice, we did the same.	As it was the custom of our people, when they killed or wounded an enemy on the battle field, to announce the act in a loud voice, we did the same.	true	387.26	397.36	22.82732
7240_92202_000016_000003	My friend, Little Wound (as I will call him, for I do not remember his name), being quite small, was unable to reach the nest until it had been well trampled upon and broken and the insects had made a counter charge with such vigor as to repulse and scatter our numbers in every direction.	My friend, Little Wound (as I will call him, for I do not remember his name), being quite small, was unable to reach the nest until it had been well trampled upon and broken and the insects had made a counter charge with such vigor as to repulse and scatter our numbers in every direction.	true	397.64	418.39	23.358753
7240_92202_000016_000004	However, he evidently did not want to retreat without any honors; so he bravely jumped upon the nest and yelled:	However, he evidently did not want to retreat without any honors; so he bravely jumped upon the nest and yelled:	true	418.67	426.55	21.53865
7240_92202_000017_000000	"I, the brave Little Wound, to-day kill the only fierce enemy!"	"I, the brave Little Wound, to day kill the only fierce enemy!"	true	427.01	432.69	22.996216
7240_92202_000018_000000	[Illustration: So he bravely jumped upon the nest.	[Illustration: So he bravely jumped upon the nest.	false	432.69	433.14	-20
7240_92202_000018_000001	_Page 32._]	underscore Page thirty two.underscore]	false	433.14	433.425	-20
7240_92202_000019_000000	Scarcely were the last words uttered when he screamed as if stabbed to the heart.	Scarcely were the last words uttered when he screamed as if stabbed to the heart.	true	433.425	438.82	24
7240_92202_000019_000001	One of his older companions shouted:	One of his older companions shouted:	true	438.95	441.43	21.865944
7240_92202_000020_000000	"Dive into the water!	"Dive into the water!	true	441.8	443.415	23.124533
7240_92202_000020_000001	Run!	Run!	true	443.415	444.24	19.689913
7240_92202_000020_000002	Dive into the water!" for there was a lake near by.	Dive into the water!" for there was a lake near by.	true	444.24	448.39	20.548119
7240_92202_000020_000003	This advice he obeyed.	This advice he obeyed.	true	448.82	451.03	22.099894
7240_92202_000021_000000	When we had reassembled and were indulging in our mimic dance, Little Wound was not allowed to dance.	When we had reassembled and were indulging in our mimic dance, Little Wound was not allowed to dance.	true	451.58	458.59	21.615583
7240_92202_000021_000001	He was considered not to be in existence--he had been killed by our enemies, the Bee tribe.	He was considered not to be in existence-he had been killed by our enemies, the Bee tribe.	true	458.72	466.51	23.071884
7240_92202_000021_000002	Poor little fellow!	Poor little fellow!	true	466.7	468.31	27.652948
7240_92202_000021_000003	His swollen face was sad and ashamed as he sat on a fallen log and watched the dance.	His swollen face was sad and ashamed as he sat on a fallen log and watched the dance.	true	468.38	475.21	22.079063
