6927_87732_000002_000000	CHAPTER V.	CHAPTER five
6927_87732_000003_000000	Our hopes when elevated to that standard of ambition which demands unison may fall asunder like an ancient ruin.	Our hopes when elevated to that standard of ambition which demands unison may fall asunder like an ancient ruin.
6927_87732_000003_000001	They are no longer fit for construction unless on an approved principle.	They are no longer fit for construction unless on an approved principle.
6927_87732_000003_000002	They smoulder away like the ashes of burnt embers, and are cast outwardly from their confined abode, never more to be found where once they existed only as smouldering serpents of scorned pride.	They smoulder away like the ashes of burnt embers, and are cast outwardly from their confined abode, never more to be found where once they existed only as smouldering serpents of scorned pride.
6927_87732_000004_000000	The little chat that Irene apparently enjoyed in the conservatory would gladly have become an act of forgetfulness on her part had not Sir John reminded her of its existence a few days afterwards.	The little chat that Irene apparently enjoyed in the conservatory would gladly have become an act of forgetfulness on her part had not Sir john reminded her of its existence a few days afterwards.
6927_87732_000005_000000	It happened about three weeks preceding the day set apart for their holy union, on Sir John arriving at the castle, he was informed of Irene's recent exit, and gently turning away, he resolved to have a stroll in the tastefully laid-out gardens with the sole object of meeting her.	It happened about three weeks preceding the day set apart for their holy union, on Sir john arriving at the castle, he was informed of Irene's recent exit, and gently turning away, he resolved to have a stroll in the tastefully laid out gardens with the sole object of meeting her.
6927_87732_000006_000000	Walking leisurely along, and stooping to pick up some fallen fruit, he suddenly heard a faint sound issue amongst the trees.	Walking leisurely along, and stooping to pick up some fallen fruit, he suddenly heard a faint sound issue amongst the trees.
6927_87732_000006_000002	Boldly moving towards the spot whence the sound of music issued, how delightfully surprised was he to find a magnificently-constructed little summer-house, a charming pyramidal Gothic structure, robed internally with mossy mantles of nature, and brightened beyond conception with the instrument of humanity which gave origin to such pathetic and sweetened strains.	Boldly moving towards the spot whence the sound of music issued, how delightfully surprised was he to find a magnificently constructed little summer house, a charming pyramidal Gothic structure, robed internally with mossy mantles of nature, and brightened beyond conception with the instrument of humanity which gave origin to such pathetic and sweetened strains.
6927_87732_000008_000000	Irene held in her snowy palms a roll of Italian music, which she earnestly endeavoured to conceal from his penetrating stare, probably on account of the words contained therein, which for ever would be unknown to his varied sphere of knowledge, and which would undoubtedly have betrayed her feelings, never dreaming that they should strike other ears than those for whom they practically were intended.	Irene held in her snowy palms a roll of Italian music, which she earnestly endeavoured to conceal from his penetrating stare, probably on account of the words contained therein, which for ever would be unknown to his varied sphere of knowledge, and which would undoubtedly have betrayed her feelings, never dreaming that they should strike other ears than those for whom they practically were intended.
6927_87732_000009_000001	Sir John chatted gaily until he gained good ground for delivering to her the message that instinct had so prompted him to utter.	Sir john chatted gaily until he gained good ground for delivering to her the message that instinct had so prompted him to utter.
6927_87732_000012_000000	"I must acquaint you, though it pains me deeply to do so, that lately you have not treated me with such respect or attention as you certainly lavished upon me before the announcement of our engagement, and for what reason or reasons I now wish to be apprised.	"I must acquaint you, though it pains me deeply to do so, that lately you have not treated me with such respect or attention as you certainly lavished upon me before the announcement of our engagement, and for what reason or reasons I now wish to be apprised.
6927_87732_000012_000002	I promised to be at the castle last night, but unfortunately I felt indisposed, and only that I wished to have a thorough understanding relative to your recent conduct, and which has pained me acutely, I should not have ventured out of doors this evening either.	I promised to be at the castle last night, but unfortunately I felt indisposed, and only that I wished to have a thorough understanding relative to your recent conduct, and which has pained me acutely, I should not have ventured out of doors this evening either.
