2790_142824_000000_000000	_Time_.--About 1/2 hour.	underscore Time underscore.--About one half hour.	false	88.05	151.62	20.097538
2790_142824_000001_000000	_Average cost_, 1s. 3d.	underscore Average cost underscore, ones. three d.	false	151.62	155.01	18.439514
2790_142824_000002_000000	_Sufficient_ for 5 or 6 persons.	underscore Sufficient underscore for five or six persons.	false	155.01	157.77	20.061476
2790_142824_000003_000000	_Seasonable_ from August to March.	underscore Seasonable underscore from August to March.	false	157.77	160.53	20.3157
2790_142824_000004_000000	_Note_.--A very good economical pudding may be made merely with apples, boiled and sweetened, with the addition of a few strips of lemon-peel.	underscore Note underscore.--A very good economical pudding may be made merely with apples, boiled and sweetened, with the addition of a few strips of lemon peel.	false	160.53	171.25	20.070492
2790_142824_000004_000001	A layer of bread crumbs should be placed above and below the apples, and the pudding baked for 1/2 hour.	A layer of bread crumbs should be placed above and below the apples, and the pudding baked for one half hour.	false	171.59	177.88	22.699583
2790_142824_000005_000000	CONSTITUENTS OF THE APPLE.--All apples contain sugar, malic acid, or the acid of apples; mucilage, or gum; woody fibre, and water; together with some aroma, on which their peculiar flavour depends.	CONSTITUENTS OF THE APPLE.--All apples contain sugar, malic acid, or the acid of apples; mucilage, or gum; woody fibre, and water; together with some aroma, on which their peculiar flavour depends.	true	180.11	194.53	20.185797
2790_142824_000005_000001	The hard acid kinds are unwholesome if eaten raw; but by the process of cooking, a great deal of this acid is decomposed and converted into sugar.	The hard acid kinds are unwholesome if eaten raw; but by the process of cooking, a great deal of this acid is decomposed and converted into sugar.	true	195.08	205.09	20.174932
2790_142824_000005_000002	The sweet and mellow kinds form a valuable addition to the dessert.	The sweet and mellow kinds form a valuable addition to the dessert.	true	205.61	209.41	21.344322
2790_142824_000005_000003	A great part of the acid juice is converted into sugar as the fruit ripens, and even after it is gathered, by natural process, termed maturation; but, when apples decay, the sugar is changed into a bitter principle, and the mucilage becomes mouldy and offensive.	A great part of the acid juice is converted into sugar as the fruit ripens, and even after it is gathered, by natural process, termed maturation; but, when apples decay, the sugar is changed into a bitter principle, and the mucilage becomes mouldy and offensive.	false	209.9	228.24	20.52252
2790_142824_000005_000004	Old cheese has a remarkable effect in meliorating the apple when eaten; probably from the volatile alkali or ammonia of the cheese neutralizing its acid.	Old cheese has a remarkable effect in meliorating the apple when eaten; probably from the volatile alkali or ammonia of the cheese neutralizing its acid.	true	228.24	240.25	19.49836
