8011_117866_000001_000000	MOTTO FOR THE MOTHER	MOTTO FOR THE MOTHER
8011_117866_000005_000000	The first knight was called Sir Brian the Brave.	The first knight was called Sir Brian the Brave.
8011_117866_000005_000001	He had killed the great lion that came out of the forest to frighten the women and children, had slain a dragon, and had saved a princess from a burning castle; for he was afraid of nothing under the sun.	He had killed the great lion that came out of the forest to frighten the women and children, had slain a dragon, and had saved a princess from a burning castle; for he was afraid of nothing under the sun
8011_117866_000006_000000	The second knight was Gerald the Glad, who was so happy himself that he made everybody around him happy too; for his sweet smile and cheery words were so comforting that none could be sad or cross or angry when he was near.	The second knight was Gerald the Glad, who was so happy himself that he made everybody around him happy too; for his sweet smile and cheery words were so comforting that none could be sad or cross or angry when he was near.
8011_117866_000007_000000	Sir Kenneth the Kind was the third knight, and he won his name by his tender heart.	Sir Kenneth the Kind was the third knight, and he won his name by his tender heart.
8011_117866_000007_000001	Even the creatures of the wood knew and loved him, for he never hurt anything that God had made.	Even the creatures of the wood knew and loved him, for he never hurt anything that God had made.
8011_117866_000008_000000	The fourth knight had a face as beautiful as his name, and he was called Percival the Pure.	The fourth knight had a face as beautiful as his name, and he was called Percival the Pure.
8011_117866_000008_000001	He thought beautiful thoughts, said beautiful words, and did beautiful deeds, for he kept his whole life as lovely as a garden full of flowers without a single weed.	He thought beautiful thoughts, said beautiful words, and did beautiful deeds, for he kept his whole life as lovely as a garden full of flowers without a single weed.
8011_117866_000009_000000	Tristram the True was the last knight, and he was leader of them all.	Tristram the True was the last knight, and he was leader of them all.
8011_117866_000010_000000	The king of the country trusted these five knights; and one morning in the early spring-time he called them to him and said:--	The king of the country trusted these five knights; and one morning in the early spring time he called them to him and said:--
8011_117866_000011_000000	"My trusty knights, I am growing old, and I long to see in my kingdom many knights like you to take care of my people; and so I will send you through all my kingdom to choose for me a little boy who may live at my court and learn from you those things which a knight must know.	"My trusty knights, I am growing old, and I long to see in my kingdom many knights like you to take care of my people; and so I will send you through all my kingdom to choose for me a little boy who may live at my court and learn from you those things which a knight must know.
8011_117866_000011_000001	Only a good child can be chosen.	Only a good child can be chosen.
8011_117866_000011_000002	A good child is worth more than a kingdom.	A good child is worth more than a kingdom.
8011_117866_000011_000003	And when you have found him, bring him, if he will come willingly, to me, and I shall be happy in my old age."	And when you have found him, bring him, if he will come willingly, to me, and I shall be happy in my old age."
8011_117866_000012_000000	Now the knights were well pleased with the words of the king, and at the first peep of day they were ready for their journey, and rode down the king's highway with waving plumes and shining shields.	Now the knights were well pleased with the words of the king, and at the first peep of day they were ready for their journey, and rode down the king's highway with waving plumes and shining shields.
8011_117866_000014_000000	The parents' messages were so full of praises of their children that the knights scarcely knew where to go.	The parents' messages were so full of praises of their children that the knights scarcely knew where to go.
8011_117866_000014_000001	Some of the parents said that their sons were beautiful; some said theirs were smart; but as the knights cared nothing for a child who was not good, they did not hurry to see these children.	Some of the parents said that their sons were beautiful; some said theirs were smart; but as the knights cared nothing for a child who was not good, they did not hurry to see these children.
8011_117866_000015_000000	On the second day, however, as they rode along, they met a company of men in very fine clothes, who bowed down before them; and while the knights drew rein in astonishment, a little man stepped in front of the others to speak to them.	On the second day, however, as they rode along, they met a company of men in very fine clothes, who bowed down before them; and while the knights drew rein in astonishment, a little man stepped in front of the others to speak to them.
8011_117866_000016_000000	He was a fat little man, with a fat little voice; and he told the knights that he had come to invite them to the castle of the Baron Borribald, whose son Florimond was the most wonderful child in the world.	He was a fat little man, with a fat little voice; and he told the knights that he had come to invite them to the castle of the Baron Borribald, whose son Florimond was the most wonderful child in the world.
8011_117866_000017_000000	"Oh! there is nothing he cannot do," cried the fat little man whose name was Puff.	"Oh! there is nothing he cannot do," cried the fat little man whose name was Puff.
8011_117866_000017_000001	"You must hear him talk!	"You must hear him talk!
8011_117866_000017_000002	You must see him walk!"	You must see him walk!"
8011_117866_000018_000000	So the knights followed him; and when they had reached the castle, Florimond ran to meet them.	So the knights followed him; and when they had reached the castle, Florimond ran to meet them.
8011_117866_000018_000001	He was a merry little fellow, with long fair curls and rosy cheeks; and when he saw the fine horses he clapped his hands with delight.	He was a merry little fellow, with long fair curls and rosy cheeks; and when he saw the fine horses he clapped his hands with delight.
8011_117866_000018_000002	The baron and baroness, too, were well pleased with their visitors, and made a feast in their honor; but early the next morning, the knights were startled by a most awful sound which seemed to come from the hall below.	The baron and baroness, too, were well pleased with their visitors, and made a feast in their honor; but early the next morning, the knights were startled by a most awful sound which seemed to come from the hall below.
8011_117866_000019_000001	It sounded something like the howling of a dog; but as they listened, it grew louder and louder, until it sounded like the roaring of a lion.	It sounded something like the howling of a dog; but as they listened, it grew louder and louder, until it sounded like the roaring of a lion.
8011_117866_000021_000000	His mamma and papa were begging him to be quiet.	His mamma and papa were begging him to be quiet.
8011_117866_000022_000000	Then the knights saw that they were not wanted, and they hurried upstairs to prepare for their journey.	Then the knights saw that they were not wanted, and they hurried upstairs to prepare for their journey.
8011_117866_000022_000001	The baron and baroness and fat little Puff all begged them to stay, and Florimond cried again when they left him; but the knights did not care to stay with a child who was not good.	The baron and baroness and fat little Puff all begged them to stay, and Florimond cried again when they left him; but the knights did not care to stay with a child who was not good.
8011_117866_000024_000000	North, south, east, and west, they searched; and at last, one afternoon, they halted under an oak tree, to talk, and they decided to part company.	North, south, east, and west, they searched; and at last, one afternoon, they halted under an oak tree, to talk, and they decided to part company.
8011_117866_000028_000000	"Greeting to you, little boy," said he.	"Greeting to you, little boy," said he.
8011_117866_000029_000000	"Greeting to you, fair sir," said the boy, looking up with eager eyes at the knight on his splendid horse, that stood so still when the knight bade it.	"Greeting to you, fair sir," said the boy, looking up with eager eyes at the knight on his splendid horse, that stood so still when the knight bade it.
8011_117866_000030_000000	"What is your name?" asked the knight.	"What is your name?" asked the knight.
8011_117866_000032_000000	"And can you prove a trusty guide, little Gauvain, and lead me to a pleasant place where I may rest to-night?" asked the knight.	"And can you prove a trusty guide, little Gauvain, and lead me to a pleasant place where I may rest to night?" asked the knight.
8011_117866_000034_000000	Now little Gauvain wanted to help the good knight so much that he was sorry to say this; but Sir Tristram told him to run, and promised to wait patiently until his return; and before many moments Gauvain was back, bounding like a fawn through the wood, to lead the way to his own home.	Now little Gauvain wanted to help the good knight so much that he was sorry to say this; but Sir Tristram told him to run, and promised to wait patiently until his return; and before many moments Gauvain was back, bounding like a fawn through the wood, to lead the way to his own home.
8011_117866_000035_000000	When they came there the little dog ran out to meet them, and the cat rubbed up against Gauvain, and the mother called from the kitchen:--	When they came there the little dog ran out to meet them, and the cat rubbed up against Gauvain, and the mother called from the kitchen:--
