8011_117866_000000_000000	_THE SEARCH FOR A GOOD CHILD_	underscore THE SEARCH FOR A GOOD CHILD underscore	false	8.34	14.91	24.575157
8011_117866_000001_000000	MOTTO FOR THE MOTHER	MOTTO FOR THE MOTHER	true	14.91	16.32	25.278786
8011_117866_000002_000000	_Teach your child that every one Loves him when he's good and true, But that though so dear to others, He is doubly dear to you_.	underscore Teach your child that every one Loves him when he's good and true, But that though so dear to others, He is doubly dear to you underscore.	false	16.32	25.62	21.7436
8011_117866_000003_000000	--_Miss Blow's Mottoes and Commentaries_.	--underscore Miss Blow's Mottoes and Commentaries underscore.	false	25.62	29.07	20.10333
8011_117866_000004_000000	Long, long ago there lived, in a kingdom far away, five knights who were so good and so wise that each one was known by a name that meant something beautiful.	Long, long ago there lived, in a kingdom far away, five knights who were so good and so wise that each one was known by a name that meant something beautiful.	false	29.07	39.37	24.655104
8011_117866_000005_000000	The first knight was called Sir Brian the Brave.	The first knight was called Sir Brian the Brave.	true	39.53	42.37	21.678879
8011_117866_000005_000001	He had killed the great lion that came out of the forest to frighten the women and children, had slain a dragon, and had saved a princess from a burning castle; for he was afraid of nothing under the sun.	He had killed the great lion that came out of the forest to frighten the women and children, had slain a dragon, and had saved a princess from a burning castle; for he was afraid of nothing under the sun	true	42.41	54.34	22.779703
8011_117866_000006_000000	The second knight was Gerald the Glad, who was so happy himself that he made everybody around him happy too; for his sweet smile and cheery words were so comforting that none could be sad or cross or angry when he was near.	The second knight was Gerald the Glad, who was so happy himself that he made everybody around him happy too; for his sweet smile and cheery words were so comforting that none could be sad or cross or angry when he was near.	true	54.65	69.37	24.373562
8011_117866_000007_000000	Sir Kenneth the Kind was the third knight, and he won his name by his tender heart.	Sir Kenneth the Kind was the third knight, and he won his name by his tender heart.	true	69.56	74.65	22.477913
8011_117866_000007_000001	Even the creatures of the wood knew and loved him, for he never hurt anything that God had made.	Even the creatures of the wood knew and loved him, for he never hurt anything that God had made.	true	74.75	80.5	23.21491
8011_117866_000008_000000	The fourth knight had a face as beautiful as his name, and he was called Percival the Pure.	The fourth knight had a face as beautiful as his name, and he was called Percival the Pure.	true	80.6	86.35	22.603294
8011_117866_000008_000001	He thought beautiful thoughts, said beautiful words, and did beautiful deeds, for he kept his whole life as lovely as a garden full of flowers without a single weed.	He thought beautiful thoughts, said beautiful words, and did beautiful deeds, for he kept his whole life as lovely as a garden full of flowers without a single weed.	true	86.45	96.49	24.221062
8011_117866_000009_000000	Tristram the True was the last knight, and he was leader of them all.	Tristram the True was the last knight, and he was leader of them all.	true	96.59	100.99	26.323282
8011_117866_000010_000000	The king of the country trusted these five knights; and one morning in the early spring-time he called them to him and said:--	The king of the country trusted these five knights; and one morning in the early spring time he called them to him and said:--	true	101.3	108.1	23.637941
8011_117866_000011_000000	"My trusty knights, I am growing old, and I long to see in my kingdom many knights like you to take care of my people; and so I will send you through all my kingdom to choose for me a little boy who may live at my court and learn from you those things which a knight must know.	"My trusty knights, I am growing old, and I long to see in my kingdom many knights like you to take care of my people; and so I will send you through all my kingdom to choose for me a little boy who may live at my court and learn from you those things which a knight must know.	true	108.2	125.65	23.874626
8011_117866_000011_000001	Only a good child can be chosen.	Only a good child can be chosen.	true	125.81	128.01	26.455534
8011_117866_000011_000002	A good child is worth more than a kingdom.	A good child is worth more than a kingdom.	true	128.01	130.36	23.16573
8011_117866_000011_000003	And when you have found him, bring him, if he will come willingly, to me, and I shall be happy in my old age."	And when you have found him, bring him, if he will come willingly, to me, and I shall be happy in my old age."	true	130.52	137.11	21.46431
8011_117866_000012_000000	Now the knights were well pleased with the words of the king, and at the first peep of day they were ready for their journey, and rode down the king's highway with waving plumes and shining shields.	Now the knights were well pleased with the words of the king, and at the first peep of day they were ready for their journey, and rode down the king's highway with waving plumes and shining shields.	true	137.36	147.76	23.141691
8011_117866_000013_000000	No sooner had they started on their journey than the news spread abroad over the country, and many fathers and mothers who were anxious for the favor of the king sent messengers to invite the knights to visit them.	No sooner had they started on their journey than the news spread abroad over the country, and many fathers and mothers who were anxious for the favor of the king sent messengers to invite the knights to visit them.	false	147.98	159.37	23.090372
8011_117866_000014_000000	The parents' messages were so full of praises of their children that the knights scarcely knew where to go.	The parents' messages were so full of praises of their children that the knights scarcely knew where to go.	true	159.41	165.34	25.167027
8011_117866_000014_000001	Some of the parents said that their sons were beautiful; some said theirs were smart; but as the knights cared nothing for a child who was not good, they did not hurry to see these children.	Some of the parents said that their sons were beautiful; some said theirs were smart; but as the knights cared nothing for a child who was not good, they did not hurry to see these children.	true	165.47	175.54	23.275614
8011_117866_000015_000000	On the second day, however, as they rode along, they met a company of men in very fine clothes, who bowed down before them; and while the knights drew rein in astonishment, a little man stepped in front of the others to speak to them.	On the second day, however, as they rode along, they met a company of men in very fine clothes, who bowed down before them; and while the knights drew rein in astonishment, a little man stepped in front of the others to speak to them.	true	175.7	189.01	23.399775
8011_117866_000016_000000	He was a fat little man, with a fat little voice; and he told the knights that he had come to invite them to the castle of the Baron Borribald, whose son Florimond was the most wonderful child in the world.	He was a fat little man, with a fat little voice; and he told the knights that he had come to invite them to the castle of the Baron Borribald, whose son Florimond was the most wonderful child in the world.	true	189.14	201.61	24.051552
8011_117866_000017_000000	"Oh! there is nothing he cannot do," cried the fat little man whose name was Puff.	"Oh! there is nothing he cannot do," cried the fat little man whose name was Puff.	true	201.71	206.98	22.78242
8011_117866_000017_000001	"You must hear him talk!	"You must hear him talk!	true	207.05	208.515	30.424976
8011_117866_000017_000002	You must see him walk!"	You must see him walk!"	true	208.515	210.13	22.623877
8011_117866_000018_000000	So the knights followed him; and when they had reached the castle, Florimond ran to meet them.	So the knights followed him; and when they had reached the castle, Florimond ran to meet them.	true	210.23	215.77	24.119465
8011_117866_000018_000001	He was a merry little fellow, with long fair curls and rosy cheeks; and when he saw the fine horses he clapped his hands with delight.	He was a merry little fellow, with long fair curls and rosy cheeks; and when he saw the fine horses he clapped his hands with delight.	true	215.99	224.02	23.898954
8011_117866_000018_000002	The baron and baroness, too, were well pleased with their visitors, and made a feast in their honor; but early the next morning, the knights were startled by a most awful sound which seemed to come from the hall below.	The baron and baroness, too, were well pleased with their visitors, and made a feast in their honor; but early the next morning, the knights were startled by a most awful sound which seemed to come from the hall below.	true	224.21	237.105	23.927628
8011_117866_000019_000000	"Boo-hoo-hoo-hoo!"	"Boo hoo hoo hoo!"	false	237.105	239.88	18.469557
8011_117866_000019_000001	It sounded something like the howling of a dog; but as they listened, it grew louder and louder, until it sounded like the roaring of a lion.	It sounded something like the howling of a dog; but as they listened, it grew louder and louder, until it sounded like the roaring of a lion.	true	239.88	248.14	23.18127
8011_117866_000020_000000	The knights seized their swords and rushed down to see what was the matter; and there, in the middle of the hall, stood Florimond, his cheeks puffed up and his eyes swollen,--and right out of his open mouth came that terrible noise: "Boo-hoo-hoo-hoo!"	The knights seized their swords and rushed down to see what was the matter; and there, in the middle of the hall, stood Florimond, his cheeks puffed up and his eyes swollen,--and right out of his open mouth came that terrible noise: "Boo hoo hoo hoo!"	false	248.33	265.02	22.097998
8011_117866_000021_000000	His mamma and papa were begging him to be quiet.	His mamma and papa were begging him to be quiet.	true	265.02	267.97	27.533009
8011_117866_000021_000001	The cook had run up with a pie, and the nurse with a toy, but Florimond only opened his mouth and screamed the louder, because the rain was coming down, when he wanted to play out of doors!	The cook had run up with a pie, and the nurse with a toy, but Florimond only opened his mouth and screamed the louder, because the rain was coming down, when he wanted to play out of doors!	false	268.04	279.73	24.554646
8011_117866_000022_000000	Then the knights saw that they were not wanted, and they hurried upstairs to prepare for their journey.	Then the knights saw that they were not wanted, and they hurried upstairs to prepare for their journey.	true	280.19	285.34	23.540573
8011_117866_000022_000001	The baron and baroness and fat little Puff all begged them to stay, and Florimond cried again when they left him; but the knights did not care to stay with a child who was not good.	The baron and baroness and fat little Puff all begged them to stay, and Florimond cried again when they left him; but the knights did not care to stay with a child who was not good.	true	285.62	296.86	24.19842
8011_117866_000023_000000	The knights began to think that their mission was a difficult one; but they rode on, asking at every house: "Is there a good boy here?" only to be disappointed many times.	The knights began to think that their mission was a difficult one; but they rode on, asking at every house: "Is there a good boy here?" only to be disappointed many times.	false	296.99	307.18	21.61447
8011_117866_000024_000000	North, south, east, and west, they searched; and at last, one afternoon, they halted under an oak tree, to talk, and they decided to part company.	North, south, east, and west, they searched; and at last, one afternoon, they halted under an oak tree, to talk, and they decided to part company.	true	307.4	318.33	23.880432
8011_117866_000025_000000	"Let each take his own way," said Tristram the True, "and to-morrow we will meet, under this same tree, and tell what we have seen; for the time draws near when we must return to the king."	"Let each take his own way," said Tristram the True, "and to morrow we will meet, under this same tree, and tell what we have seen; for the time draws near when we must return to the king."	false	318.33	330.9	22.169012
8011_117866_000026_000000	Then they bade each other farewell, and each rode away, except Sir Tristram, who lingered long under the oak tree; for he was the leader, and had many things to think about.	Then they bade each other farewell, and each rode away, except Sir Tristram, who lingered long under the oak tree; for he was the leader, and had many things to think about.	false	330.9	341.26	22.987099
8011_117866_000027_000000	Just as the sun was red in the west, he saw a little boy coming towards him, with a bundle of sticks on his back.	Just as the sun was red in the west, he saw a little boy coming towards him, with a bundle of sticks on his back.	false	341.93	348.54	22.593819
8011_117866_000028_000000	"Greeting to you, little boy," said he.	"Greeting to you, little boy," said he.	true	348.54	350.56	23.082699
8011_117866_000029_000000	"Greeting to you, fair sir," said the boy, looking up with eager eyes at the knight on his splendid horse, that stood so still when the knight bade it.	"Greeting to you, fair sir," said the boy, looking up with eager eyes at the knight on his splendid horse, that stood so still when the knight bade it.	true	350.87	360.52	24.392073
8011_117866_000030_000000	"What is your name?" asked the knight.	"What is your name?" asked the knight.	true	360.68	362.8	25.131227
8011_117866_000031_000000	"My name is little Gauvain," replied the child.	"My name is little Gauvain," replied the child.	true	363.11	366.55	19.94759
8011_117866_000032_000000	"And can you prove a trusty guide, little Gauvain, and lead me to a pleasant place where I may rest to-night?" asked the knight.	"And can you prove a trusty guide, little Gauvain, and lead me to a pleasant place where I may rest to night?" asked the knight.	true	366.68	373.44	27.917725
8011_117866_000033_000000	"Ay, that I can," Gauvain answered gladly, his whole face lighting up with pleasure; but he added quickly, "I can, if you will wait until I carry my sticks to Granny Slowsteps, and bring her water from the spring; for I promised to be there before the setting of the sun."	"Ay, that I can," Gauvain answered gladly, his whole face lighting up with pleasure; but he added quickly, "I can, if you will wait until I carry my sticks to Granny Slowsteps, and bring her water from the spring; for I promised to be there before the setting of the sun"	false	373.44	390.31	24.186277
8011_117866_000034_000000	Now little Gauvain wanted to help the good knight so much that he was sorry to say this; but Sir Tristram told him to run, and promised to wait patiently until his return; and before many moments Gauvain was back, bounding like a fawn through the wood, to lead the way to his own home.	Now little Gauvain wanted to help the good knight so much that he was sorry to say this; but Sir Tristram told him to run, and promised to wait patiently until his return; and before many moments Gauvain was back, bounding like a fawn through the wood, to lead the way to his own home.	true	390.5	407.53	23.819782
8011_117866_000035_000000	When they came there the little dog ran out to meet them, and the cat rubbed up against Gauvain, and the mother called from the kitchen:--	When they came there the little dog ran out to meet them, and the cat rubbed up against Gauvain, and the mother called from the kitchen:--	true	407.66	414.76	22.037552
8011_117866_000036_000000	"Is that my sunbeam coming home to roost?" which made Gauvain and the knight both laugh.	"Is that my sunbeam coming home to roost?" which made Gauvain and the knight both laugh.	true	414.92	420.54	21.979343
8011_117866_000037_000000	Then the mother came out in haste to welcome the stranger; and she treated him with honor, giving him the best place at the table and the hottest cakes.	Then the mother came out in haste to welcome the stranger; and she treated him with honor, giving him the best place at the table and the hottest cakes.	false	420.54	428.59	26.252659
